date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,35.19,35.38,35.0,35.31,1.7838,49300.0,0.0,1.0
1998-01-05,1,35.5,35.69,34.88,35.13,1.7747,66800.0,0.0,1.0
1998-01-06,2,34.94,35.0,34.44,34.5,1.7429,65400.0,0.0,1.0
1998-01-07,3,34.5,34.5,33.25,34.13,1.7242,123100.0,0.0,1.0
1998-01-08,4,34.25,34.38,33.5,33.69,1.7019,65400.0,0.0,1.0
1998-01-09,5,33.56,33.75,31.0,31.19,1.5756,155400.0,0.0,1.0
1998-01-12,6,30.69,32.94,30.69,32.63,1.6484,223300.0,0.0,1.0
1998-01-13,7,32.5,32.88,31.94,32.0,1.6166,168100.0,0.0,1.0
1998-01-14,8,32.0,32.13,30.69,30.94,1.5630000000000002,372800.0,0.0,1.0
1998-01-15,9,30.69,31.0,29.81,30.94,1.5630000000000002,296000.0,0.0,1.0
1998-01-16,10,31.0,32.06,30.94,31.69,1.6009,57400.0,0.0,1.0
1998-01-20,11,31.88,31.88,30.88,31.19,1.5756,121100.0,0.0,1.0
1998-01-21,12,31.19,32.38,31.19,32.0,1.6166,133400.0,0.0,1.0
1998-01-22,13,31.75,31.88,30.0,30.5,1.5408,342900.0,0.0,1.0
1998-01-23,14,30.63,31.5,30.63,30.63,1.5474,168900.0,0.0,1.0
1998-01-26,15,30.88,31.31,30.81,31.31,1.5817,60700.0,0.0,1.0
1998-01-27,16,31.31,31.38,30.59,31.0,1.5659999999999998,227700.0,0.0,1.0
1998-01-28,17,30.94,32.0,30.94,31.75,1.6039,147600.0,0.0,1.0
1998-01-29,18,31.63,32.5,31.63,32.25,1.6292,66500.0,0.0,1.0
1998-01-30,19,32.25,32.5,32.0,32.5,1.6418,109300.0,0.0,1.0
1998-02-02,20,32.75,32.94,31.63,32.0,1.6166,122100.0,0.0,1.0
1998-02-03,21,32.13,32.63,31.88,32.5,1.6418,213500.0,0.0,1.0
1998-02-04,22,32.19,32.56,32.19,32.56,1.6449,84000.0,0.0,1.0
1998-02-05,23,32.44,32.94,31.81,32.44,1.6388,123300.0,0.0,1.0
