date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,94.56,94.88,93.38,94.63,22.498,1081750.0,0.0,1.0
1998-01-05,94.13,95.94,94.0,95.81,22.7785,2416950.0,0.0,1.0
1998-01-06,95.25,96.81,94.88,96.38,22.914,2270550.0,0.0,1.0
1998-01-07,96.5,96.88,96.0,96.44,22.9283,2107300.0,0.0,1.0
1998-01-08,95.88,96.69,94.25,94.31,22.4219,2556050.0,0.0,1.0
1998-01-09,93.13,93.75,89.81,89.81,21.352,3495950.0,0.0,1.0
1998-01-12,88.94,92.75,88.81,92.5,21.9916,3318600.0,0.0,1.0
1998-01-13,93.13,93.19,91.81,92.06,21.8869,2274750.0,0.0,1.0
1998-01-14,93.88,93.88,91.69,92.0,21.8727,2981750.0,0.0,1.0
1998-01-15,92.63,92.88,91.56,92.0,21.8727,2546150.0,0.0,1.0
1998-01-16,92.0,94.13,91.63,93.44,22.215,3268900.0,0.0,1.0
1998-01-20,94.44,96.94,94.31,96.69,22.9877,3051100.0,0.0,1.0
1998-01-21,96.0,96.0,93.5,94.5,22.467,2730950.0,0.0,1.0
1998-01-22,94.5,96.94,93.56,95.63,22.7357,3415400.0,0.0,1.0
1998-01-23,95.94,97.63,94.63,97.44,23.166,3305050.0,0.0,1.0
1998-01-26,97.0,97.5,96.38,97.19,23.1066,2416000.0,0.0,1.0
1998-01-27,96.5,98.13,96.5,97.5,23.1803,3081250.0,0.0,1.0
1998-01-28,97.69,100.1,97.63,99.81,23.7295,2562550.0,0.0,1.0
1998-01-29,99.75,101.6,98.69,101.5,24.1313,2915550.0,0.0,1.0
1998-01-30,101.5,101.6,99.5,99.69,23.701,2190100.0,0.0,1.0
1998-02-02,102.0,104.6,102.0,102.4,24.3452,3419250.0,0.0,1.0
1998-02-03,101.5,101.9,99.13,100.0,23.7747,2982600.0,0.0,1.0
1998-02-04,99.63,100.0,98.5,100.0,23.7747,2685500.0,0.0,1.0
1998-02-05,100.0,100.6,98.0,98.56,23.4323,2145350.0,0.0,1.0
1998-02-06,98.88,99.75,97.81,97.94,23.2849,2294200.0,0.0,1.0
1998-02-09,98.0,98.44,97.38,97.94,23.2849,2326700.0,0.0,1.0
1998-02-10,98.38,101.0,98.38,100.7,23.9411,2963700.0,0.0,1.0
1998-02-11,100.0,100.1,98.0,99.5,23.6558,2310300.0,0.0,1.0
1998-02-12,99.0,99.75,98.0,99.06,23.5512,2375450.0,0.0,1.0
1998-02-13,98.25,99.25,97.88,98.5,23.418,1294200.0,0.0,1.0
1998-02-17,99.0,99.69,98.56,99.38,23.6273,2077450.0,0.0,1.0
1998-02-18,99.5,100.2,99.25,99.81,23.7295,2058550.0,0.0,1.0
1998-02-19,99.75,99.88,97.0,97.75,23.2397,2671600.0,0.0,1.0
1998-02-20,97.75,98.5,96.63,98.5,23.418,2758900.0,0.0,1.0
1998-02-23,98.5,100.8,98.5,100.5,23.8935,2291700.0,0.0,1.0
1998-02-24,100.0,102.0,99.69,100.6,23.9173,3039850.0,0.0,1.0
1998-02-25,101.4,101.8,99.94,99.94,23.7604,2320050.0,0.0,1.0
1998-02-26,100.1,100.6,99.81,100.0,23.7747,1186700.0,0.0,1.0
1998-02-27,100.8,101.8,99.88,100.2,23.8222,1545400.0,0.0,1.0
1998-03-02,100.2,101.7,99.75,101.5,24.1313,1606450.0,0.0,1.0
1998-03-03,101.1,102.8,101.0,102.3,24.3215,2030300.0,0.0,1.0
1998-03-04,101.5,102.3,100.1,101.1,24.0362,1277400.0,0.0,1.0
1998-03-05,100.5,101.8,99.56,100.0,23.7747,1886950.0,0.0,1.0
1998-03-06,100.8,102.6,100.7,102.5,24.369,1829300.0,0.0,1.0
1998-03-09,102.3,105.0,102.0,105.0,24.9634,2139150.0,0.0,1.0
1998-03-10,105.0,107.3,104.3,107.3,25.5102,2463450.0,0.0,1.0
1998-03-11,106.8,107.8,106.1,107.0,25.4389,2367000.0,0.0,1.0
1998-03-12,106.8,107.3,105.8,107.3,25.5102,1407450.0,0.0,1.0
1998-03-13,107.9,108.3,106.3,106.9,25.4151,1661500.0,0.0,1.0
1998-03-16,106.9,107.9,106.4,107.9,25.6529,1722350.0,0.0,1.0
1998-03-17,108.0,108.4,106.4,107.8,25.6291,1698900.0,0.0,1.0
1998-03-18,107.9,107.9,106.5,107.1,25.4627,1073550.0,0.0,1.0
1998-03-19,107.0,107.2,106.4,106.9,25.4151,1102950.0,0.0,1.0
1998-03-20,107.2,108.6,106.6,108.5,25.7955,2382350.0,0.0,1.0
1998-03-23,107.9,108.0,104.5,105.4,25.0585,2039100.0,0.0,1.0
1998-03-24,105.1,106.8,105.0,106.8,25.3913,1741250.0,0.0,1.0
1998-03-25,107.8,107.8,103.5,104.9,24.9396,1887100.0,0.0,1.0
1998-03-26,103.6,104.9,103.3,103.9,24.7019,1861350.0,0.0,1.0
1998-03-27,104.3,104.7,100.0,101.3,24.0837,3547650.0,0.0,1.0
1998-03-30,101.3,103.0,100.8,102.0,24.2501,2114650.0,0.0,1.0
1998-03-31,102.2,105.2,102.0,104.3,24.797,2178100.0,0.0,1.0
1998-04-01,104.3,106.3,103.6,106.1,25.3176,1844200.0,0.39,1.0
1998-04-02,106.1,106.9,105.5,106.5,25.4131,2025650.0,0.0,1.0
1998-04-03,106.3,106.9,105.6,106.8,25.4847,1751950.0,0.0,1.0
1998-04-06,106.8,107.6,106.4,107.3,25.604,1458950.0,0.0,1.0
1998-04-07,107.3,108.4,105.5,107.4,25.6278,2341150.0,0.0,1.0
1998-04-08,107.3,107.3,103.1,104.1,24.8404,2370800.0,0.0,1.0
1998-04-09,104.5,104.8,102.8,103.9,24.7927,2296100.0,0.0,1.0
1998-04-13,103.9,104.4,103.0,103.8,24.7688,2045200.0,0.0,1.0
1998-04-14,103.5,104.2,103.3,103.4,24.6734,1622500.0,0.0,1.0
1998-04-15,103.4,103.8,101.6,101.8,24.2916,3067900.0,0.0,1.0
1998-04-16,101.8,103.4,100.4,102.1,24.3631,3119700.0,0.0,1.0
1998-04-17,102.1,105.1,100.3,105.1,25.079,2279500.0,0.0,1.0
1998-04-20,105.0,106.4,104.4,106.4,25.3892,1643000.0,0.0,1.0
1998-04-21,108.3,108.4,106.4,107.3,25.604,2306200.0,0.0,1.0
1998-04-22,107.6,108.1,106.3,106.7,25.4608,1695250.0,0.0,1.0
1998-04-23,105.6,106.6,103.9,104.4,24.912,1574800.0,0.0,1.0
1998-04-24,104.7,105.4,101.8,102.3,24.4109,1790500.0,0.0,1.0
1998-04-27,100.8,101.1,98.88,99.19,23.6688,2724350.0,0.0,1.0
1998-04-28,101.5,103.3,99.69,103.1,24.6018,2063150.0,0.0,1.0
1998-04-29,103.1,104.4,101.1,103.5,24.6972,1589850.0,0.0,1.0
1998-04-30,103.5,106.2,103.1,105.9,25.2699,1898200.0,0.0,1.0
1998-05-01,105.9,106.3,104.6,106.0,25.2938,2288550.0,0.0,1.0
1998-05-04,111.0,111.8,108.7,109.3,26.0812,4555150.0,0.0,1.0
1998-05-05,109.5,109.8,107.0,108.5,25.8903,2784450.0,0.0,1.0
1998-05-06,109.5,109.5,107.3,107.3,25.604,1716250.0,0.0,1.0
1998-05-07,107.4,108.8,105.5,105.6,25.1983,1658850.0,0.0,1.0
1998-05-08,105.7,109.0,105.6,108.9,25.9858,1349650.0,0.0,1.0
1998-05-11,108.9,109.9,107.6,108.6,25.9142,1253000.0,0.0,1.0
1998-05-12,109.5,110.3,108.6,110.1,26.2721,1398850.0,0.0,1.0
1998-05-13,109.1,110.5,109.1,109.6,26.1528,983500.0,0.0,1.0
1998-05-14,109.4,111.4,109.1,111.2,26.5346,1073450.0,0.0,1.0
1998-05-15,111.6,111.9,108.8,110.1,26.2721,1967150.0,0.0,1.0
1998-05-18,110.0,110.5,108.3,109.1,26.0335,1367950.0,0.0,1.0
1998-05-19,111.0,112.0,110.4,111.2,26.5346,1638800.0,0.0,1.0
1998-05-20,111.7,111.7,111.6,111.6,26.63,1142550.0,0.0,1.0
1998-05-21,112.8,113.0,109.5,110.4,26.3437,1322350.0,0.0,1.0
1998-05-22,111.4,112.1,110.0,111.8,26.6778,986250.0,0.0,1.0
1998-05-26,112.0,113.4,110.8,110.8,26.4391,1506100.0,0.0,1.0
1998-05-27,110.5,112.3,108.8,110.9,26.463,1627750.0,0.0,1.0
1998-05-28,111.0,111.6,109.5,110.5,26.3676,1182100.0,0.0,1.0
1998-05-29,111.0,111.4,107.1,107.5,25.6517,1294100.0,0.0,1.0
1998-06-01,107.5,108.9,106.9,108.0,25.771,2157100.0,0.0,1.0
1998-06-02,109.0,109.4,106.1,109.0,26.0096,1637250.0,0.0,1.0
1998-06-03,108.8,109.1,106.4,106.6,25.4369,1329800.0,0.0,1.0
1998-06-04,106.5,109.4,105.8,108.9,25.9858,1102000.0,0.0,1.0
1998-06-05,109.5,111.4,109.1,111.4,26.5823,1600050.0,0.0,1.0
1998-06-08,110.4,112.3,109.9,111.9,26.7016,1261600.0,0.0,1.0
1998-06-09,111.4,112.4,110.6,112.2,26.7732,1353850.0,0.0,1.0
1998-06-10,112.37,117.0,112.0,113.75,27.1431,2371850.0,0.0,1.0
1998-06-11,113.0,114.9,111.5,111.9,26.7016,2097650.0,0.0,1.0
1998-06-12,112.8,116.8,112.1,116.4,27.7754,2517600.0,0.0,1.0
1998-06-15,114.3,115.4,113.0,113.2,27.0118,2113600.0,0.0,1.0
1998-06-16,113.3,115.0,112.8,113.3,27.0357,2358400.0,0.0,1.0
1998-06-17,113.5,115.7,113.1,114.6,27.3459,1809950.0,0.0,1.0
1998-06-18,114.0,114.6,113.0,113.0,26.9641,1770650.0,0.0,1.0
1998-06-19,113.5,114.5,112.7,113.6,27.1073,1739750.0,0.0,1.0
1998-06-22,113.4,114.1,111.3,111.9,26.7016,1172950.0,0.0,1.0
1998-06-23,111.9,114.7,111.6,114.3,27.2743,1699450.0,0.0,1.0
1998-06-24,113.0,116.3,112.5,115.1,27.4652,1509050.0,0.0,1.0
1998-06-25,115.4,116.3,114.0,114.0,27.2027,1764250.0,0.0,1.0
1998-06-26,115.9,117.5,115.7,117.5,28.0379,1280950.0,0.0,1.0
1998-06-29,118.0,118.7,116.5,118.4,28.2527,2210600.0,0.0,1.0
1998-06-30,116.6,117.4,114.1,114.9,27.5106,1799050.0,0.39,1.0
1998-07-01,115.9,116.9,115.3,116.7,27.9415,1191100.0,0.0,1.0
1998-07-02,116.9,119.6,116.6,119.1,28.5162,1238500.0,0.0,1.0
1998-07-06,119.9,119.9,118.7,119.5,28.6119,1576400.0,0.0,1.0
1998-07-07,119.5,121.1,119.3,119.8,28.6838,1991100.0,0.0,1.0
1998-07-08,121.0,121.0,119.6,120.3,28.8035,1389400.0,0.0,1.0
1998-07-09,119.1,119.7,117.3,117.8,28.2049,1658450.0,0.0,1.0
1998-07-10,119.0,121.3,118.4,119.6,28.6359,2603100.0,0.0,1.0
1998-07-13,120.0,120.4,119.1,119.1,28.5162,1114400.0,0.0,1.0
1998-07-14,120.4,122.8,119.8,122.8,29.4021,1471100.0,0.0,1.0
1998-07-15,122.0,122.3,120.8,121.3,29.0429,1300400.0,0.0,1.0
1998-07-16,121.1,122.1,120.7,122.1,29.2344,1140700.0,0.0,1.0
1998-07-17,122.1,123.5,122.0,123.4,29.5457,1641200.0,0.0,1.0
1998-07-20,123.3,125.9,122.6,125.8,30.1203,1276100.0,0.0,1.0
1998-07-21,124.8,124.8,119.9,119.9,28.7077,3085900.0,0.0,1.0
1998-07-22,121.3,123.4,119.6,120.1,28.7556,2470300.0,0.0,1.0
1998-07-23,120.1,121.1,116.6,117.0,28.0134,2072750.0,0.0,1.0
1998-07-24,117.2,118.5,115.7,115.8,27.726,2318050.0,0.0,1.0
1998-07-27,115.8,119.4,115.3,117.9,28.2288,1679150.0,0.0,1.0
1998-07-28,116.9,116.9,113.9,114.1,27.319,1693100.0,0.0,1.0
1998-07-29,114.8,115.9,114.1,114.9,27.5106,1282850.0,0.0,1.0
1998-07-30,115.0,117.8,115.0,117.4,28.1091,1587550.0,0.0,1.0
1998-07-31,117.2,117.4,112.7,113.9,27.2711,1458000.0,0.0,1.0
1998-08-03,113.3,113.7,111.4,112.3,26.888,1803000.0,0.0,1.0
1998-08-04,112.4,112.7,106.8,107.1,25.643,3337500.0,0.0,1.0
1998-08-05,105.5,107.8,104.8,107.4,25.7148,3471050.0,0.0,1.0
