date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,1539.0,1539.0,1529.0,1529.0,30.58,1300.0,0.0,1.0
1998-01-05,1,1546.0,1556.0,1542.0,1555.0,31.1,6400.0,0.0,1.0
1998-01-06,2,1560.0,1564.0,1539.0,1559.0,31.18,6000.0,0.0,1.0
1998-01-07,3,1561.0,1573.0,1540.0,1573.0,31.46,3500.0,0.0,1.0
1998-01-08,4,1582.0,1592.0,1571.0,1590.0,31.8,3300.0,0.0,1.0
1998-01-09,5,1595.0,1595.0,1572.0,1572.0,31.44,5000.0,0.0,1.0
1998-01-12,6,1535.0,1562.0,1535.0,1562.0,31.24,5900.0,0.0,1.0
1998-01-13,7,1564.0,1572.0,1564.0,1572.0,31.44,2000.0,0.0,1.0
1998-01-14,8,1573.0,1575.0,1560.0,1569.0,31.38,2900.0,0.0,1.0
1998-01-15,9,1570.0,1572.0,1564.0,1572.0,31.44,2100.0,0.0,1.0
1998-01-16,10,1578.0,1590.0,1572.0,1587.0,31.74,5900.0,0.0,1.0
1998-01-20,11,1603.0,1633.0,1597.0,1632.0,32.64,3700.0,0.0,1.0
1998-01-21,12,1643.0,1675.0,1643.0,1668.0,33.36,6300.0,0.0,1.0
1998-01-22,13,1670.0,1670.0,1648.0,1650.0,33.0,4500.0,0.0,1.0
1998-01-23,14,1656.0,1665.0,1645.0,1647.0,32.94,4300.0,0.0,1.0
1998-01-26,15,1652.0,1653.0,1644.0,1644.0,32.88,1500.0,0.0,1.0
1998-01-27,16,1648.0,1664.0,1642.0,1664.0,33.28,2300.0,0.0,1.0
1998-01-28,17,1668.0,1670.0,1662.0,1670.0,33.4,1700.0,0.0,1.0
1998-01-29,18,1670.0,1687.0,1668.0,1687.0,33.74,4300.0,0.0,1.0
1998-01-30,19,1690.0,1693.0,1677.0,1677.0,33.54,2300.0,0.0,1.0
1998-02-02,20,1693.0,1740.0,1692.0,1730.0,34.6,3900.0,0.0,1.0
1998-02-03,21,1743.0,1760.0,1740.0,1760.0,35.2,3400.0,0.0,1.0
1998-02-04,22,1760.0,1763.0,1756.0,1758.0,35.16,5800.0,0.0,1.0
1998-02-05,23,1768.0,1792.0,1763.0,1783.0,35.66,5500.0,0.0,1.0
1998-02-06,24,1785.0,1794.0,1778.0,1779.0,35.58,3700.0,0.0,1.0
1998-02-09,25,1790.0,1790.0,1782.5,1786.0,35.72,4000.0,0.0,1.0
1998-02-10,26,1786.0,1788.0,1782.0,1787.0,35.74,3100.0,0.0,1.0
1998-02-11,27,1796.0,1815.0,1793.0,1803.0,36.06,4700.0,0.0,1.0
1998-02-12,28,1803.0,1803.0,1787.0,1794.0,35.88,2900.0,0.0,1.0
1998-02-13,29,1783.0,1804.0,1783.0,1804.0,36.08,3700.0,0.0,1.0
