date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,46.25,47.19,46.0,46.25,11.5625,523400.0,0.0,1.0
1998-01-05,1,46.88,47.38,46.0,47.0,11.75,648700.0,0.0,1.0
1998-01-06,2,46.63,46.88,46.13,46.13,11.5325,624200.0,0.0,1.0
1998-01-07,3,46.38,46.5,45.06,46.25,11.5625,854800.0,0.0,1.0
1998-01-08,4,46.56,49.56,46.44,49.25,12.3125,1766000.0,0.0,1.0
1998-01-09,5,49.0,49.0,46.13,47.31,11.8275,1595400.0,0.0,1.0
1998-01-12,6,46.0,47.44,45.75,45.88,11.47,1061700.0,0.0,1.0
1998-01-13,7,45.0,45.56,44.13,44.25,11.0625,1052300.0,0.0,1.0
1998-01-14,8,44.25,44.88,42.81,43.25,10.8125,1776400.0,0.0,1.0
1998-01-15,9,43.31,43.44,42.25,43.06,10.765,1635900.0,0.0,1.0
1998-01-16,10,46.5,48.94,46.38,46.56,11.64,3311300.0,0.0,1.0
1998-01-20,11,48.5,49.0,47.0,47.25,11.8125,1340500.0,0.0,1.0
1998-01-21,12,47.38,48.75,47.38,48.5,12.125,998500.0,0.0,1.0
1998-01-22,13,48.13,48.81,47.56,48.69,12.1725,1300700.0,0.0,1.0
1998-01-23,14,48.56,49.5,48.0,49.31,12.3275,734400.0,0.0,1.0
1998-01-26,15,49.25,49.25,48.63,48.94,12.235,672600.0,0.0,1.0
1998-01-27,16,48.88,50.94,48.88,50.06,12.515,1492900.0,0.0,1.0
1998-01-28,17,50.75,52.25,49.75,51.0,12.75,1544200.0,0.0,1.0
1998-01-29,18,51.63,52.5,50.88,51.44,12.86,697600.0,0.0,1.0
1998-01-30,19,51.44,51.44,50.44,50.75,12.6875,884400.0,0.0,1.0
1998-02-02,20,52.13,53.25,52.06,53.0,13.25,1011700.0,0.0,1.0
1998-02-03,21,53.0,53.94,49.75,51.38,12.845,1659800.0,0.0,1.0
1998-02-04,22,51.38,54.69,50.88,54.25,13.5625,1357100.0,0.0,1.0
1998-02-05,23,55.25,55.94,53.75,54.38,13.595,1234600.0,0.0,1.0
1998-02-06,24,54.44,56.31,54.44,56.31,14.0775,1222300.0,0.0,1.0
1998-02-09,25,56.31,56.81,55.5,56.81,14.2025,870100.0,0.0,1.0
1998-02-10,26,59.63,62.5,57.44,58.0,14.5,3402200.0,0.0,1.0
1998-02-11,27,58.0,58.75,56.88,58.44,14.61,2185900.0,0.0,1.0
1998-02-12,28,58.75,58.88,57.56,57.88,14.47,1558500.0,0.0,1.0
1998-02-13,29,58.25,59.25,57.38,57.5,14.375,1334500.0,0.0,1.0
1998-02-17,30,58.38,58.88,57.38,58.5,14.625,829200.0,0.0,1.0
1998-02-18,31,58.5,59.5,58.5,59.25,14.8125,569200.0,0.0,1.0
1998-02-19,32,59.38,60.38,57.25,59.75,14.9375,1010500.0,0.0,1.0
1998-02-20,33,59.38,59.44,57.94,58.0,14.5,994100.0,0.0,1.0
1998-02-23,34,56.0,56.88,55.25,55.31,13.8275,1468700.0,0.0,1.0
1998-02-24,35,55.06,57.63,54.75,55.81,13.9525,1475700.0,0.0,1.0
1998-02-25,36,58.5,60.38,58.25,58.81,14.7025,2289500.0,0.0,1.0
1998-02-26,37,58.81,59.75,58.5,59.31,14.8275,1014500.0,0.0,1.0
1998-02-27,38,59.69,61.0,59.38,59.75,14.9375,1171800.0,0.0,1.0
1998-03-02,39,59.25,59.94,59.06,59.5,14.875,530500.0,0.0,1.0
1998-03-03,40,59.06,60.25,59.06,59.63,14.9075,596800.0,0.0,1.0
1998-03-04,41,60.44,60.44,58.75,58.88,14.72,633500.0,0.0,1.0
1998-03-05,42,58.5,58.5,57.94,58.0,14.5,822600.0,0.0,1.0
1998-03-06,43,58.0,58.94,57.63,58.13,14.5325,952500.0,0.0,1.0
1998-03-09,44,57.5,59.88,57.5,59.63,14.9075,784300.0,0.0,1.0
1998-03-10,45,59.38,62.44,59.25,61.81,15.4525,1361500.0,0.0,1.0
1998-03-11,46,62.0,62.44,60.75,61.13,15.2825,682100.0,0.0,1.0
1998-03-12,47,61.0,65.5,61.0,65.38,16.345,2103400.0,0.0,1.0
1998-03-13,48,69.0,69.31,67.56,68.13,17.0325,3706700.0,0.0,1.0
1998-03-16,49,68.38,70.44,68.38,70.06,17.515,1502600.0,0.0,1.0
1998-03-17,50,70.13,70.5,69.38,69.75,17.4375,1163500.0,0.0,1.0
1998-03-18,51,69.5,70.19,68.63,70.06,17.515,1002900.0,0.0,1.0
1998-03-19,52,70.06,71.69,70.0,70.94,17.735,1058800.0,0.0,1.0
1998-03-20,53,71.38,71.5,70.56,71.0,17.75,942400.0,0.0,1.0
1998-03-23,54,71.0,71.0,69.63,70.25,17.5625,640900.0,0.0,1.0
1998-03-24,55,70.0,70.25,68.63,69.38,17.345,772300.0,0.0,1.0
