date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,33.13,33.19,33.0,33.19,12.3973,27900.0,0.0,1.0
1998-01-05,1,33.44,33.69,32.94,33.63,12.5616,39700.0,0.0,1.0
1998-01-06,2,33.69,33.75,33.44,33.69,12.584,53400.0,0.0,1.0
1998-01-07,3,33.63,33.75,33.5,33.56,12.5355,36400.0,0.0,1.0
1998-01-08,4,33.69,33.75,33.5,33.69,12.584,34600.0,0.0,1.0
1998-01-09,5,33.69,33.75,33.31,33.44,12.4907,66700.0,0.0,1.0
1998-01-12,6,33.25,33.25,32.81,33.0,12.3263,22300.0,0.0,1.0
1998-01-13,7,32.81,32.81,32.44,32.5,12.1395,58400.0,0.0,1.0
1998-01-14,8,32.75,32.94,32.63,32.88,12.2815,55000.0,0.0,1.0
1998-01-15,9,32.94,33.31,32.94,33.25,12.4197,77200.0,0.0,1.0
1998-01-16,10,33.13,34.75,33.13,34.5,12.8866,140900.0,0.0,1.0
1998-01-20,11,34.25,34.25,33.5,33.56,12.5355,117100.0,0.0,1.0
1998-01-21,12,33.75,34.25,33.63,34.19,12.7708,288200.0,0.0,1.0
1998-01-22,13,34.13,35.0,34.13,34.56,12.909,259100.0,0.0,1.0
1998-01-23,14,34.63,35.0,34.56,34.94,13.0509,94800.0,0.0,1.0
1998-01-26,15,34.81,35.75,34.81,35.13,13.1219,294700.0,0.0,1.0
1998-01-27,16,35.13,35.63,35.13,35.56,13.2825,6032500.0,0.0,1.0
1998-01-28,17,35.5,35.75,35.5,35.63,13.3087,1054100.0,0.0,1.0
1998-01-29,18,35.69,35.94,35.56,35.75,13.3535,790500.0,0.0,1.0
1998-01-30,19,35.56,35.63,35.31,35.56,13.2825,1075500.0,0.0,1.0
1998-02-02,20,35.5,35.94,35.5,35.88,13.4021,582700.0,0.0,1.0
1998-02-03,21,35.81,36.06,35.81,35.88,13.4021,596300.0,0.0,1.0
1998-02-04,22,35.88,35.88,35.56,35.69,13.3311,283900.0,0.0,1.0
1998-02-05,23,35.63,35.88,35.5,35.81,13.3759,241700.0,0.0,1.0
1998-02-06,24,35.81,35.94,35.69,35.75,13.3535,266200.0,0.0,1.0
1998-02-09,25,35.88,35.88,35.56,35.69,13.3311,234500.0,0.0,1.0
1998-02-10,26,35.63,35.69,35.44,35.56,13.2825,532700.0,0.0,1.0
1998-02-11,27,35.5,35.5,35.25,35.44,13.2377,572400.0,0.0,1.0
1998-02-12,28,35.38,35.38,35.13,35.31,13.1891,272100.0,0.0,1.0
1998-02-13,29,35.25,35.31,35.13,35.19,13.1443,330000.0,0.0,1.0
1998-02-17,30,35.13,35.25,35.0,35.13,13.1219,216100.0,0.0,1.0
1998-02-18,31,35.19,35.19,34.88,35.0,13.0734,360500.0,0.0,1.0
1998-02-19,32,35.06,35.13,34.88,35.0,13.0734,362700.0,0.0,1.0
1998-02-20,33,34.88,35.0,34.75,34.88,13.0285,190500.0,0.0,1.0
1998-02-23,34,34.88,35.0,34.5,34.88,13.0285,140700.0,0.0,1.0
1998-02-24,35,34.88,35.0,34.63,35.0,13.0734,215400.0,0.0,1.0
1998-02-25,36,35.0,35.06,34.5,34.75,12.98,326400.0,0.0,1.0
1998-02-26,37,34.63,34.81,33.88,34.13,12.7484,372500.0,0.0,1.0
1998-02-27,38,34.25,34.25,34.0,34.0,12.6998,95000.0,0.0,1.0
1998-03-02,39,34.0,34.06,33.31,33.63,12.5616,589800.0,0.0,1.0
1998-03-03,40,33.38,33.38,32.75,33.13,12.3749,644800.0,0.0,1.0
1998-03-04,41,33.38,34.75,33.38,34.11,12.7409,360900.0,0.0,1.0
1998-03-05,42,34.0,34.88,33.88,34.31,12.8156,428000.0,0.0,1.0
1998-03-06,43,34.25,34.69,34.25,34.38,12.8418,111900.0,0.0,1.0
1998-03-09,44,34.44,34.56,34.13,34.31,12.8156,141700.0,0.0,1.0
1998-03-10,45,34.25,34.56,34.0,34.44,12.8642,509600.0,0.0,1.0
1998-03-11,46,34.31,34.38,34.25,34.25,12.7932,273200.0,0.0,1.0
1998-03-12,47,34.25,34.5,34.25,34.31,12.8156,63300.0,0.0,1.0
1998-03-13,48,34.25,34.44,34.25,34.25,12.7932,259200.0,0.0,1.0
1998-03-16,49,34.19,34.25,32.75,33.19,12.3973,655100.0,0.0,1.0
1998-03-17,50,33.25,33.38,32.88,33.0,12.3263,395300.0,0.0,1.0
1998-03-18,51,33.0,33.13,32.75,32.81,12.2553,400200.0,0.0,1.0
1998-03-19,52,32.81,32.88,32.75,32.88,12.2815,465900.0,0.0,1.0
1998-03-20,53,32.88,33.69,32.88,33.5,12.5131,575500.0,0.0,1.0
1998-03-23,54,33.5,34.13,33.5,34.0,12.6998,155400.0,0.0,1.0
1998-03-24,55,34.06,34.5,33.75,34.38,12.8418,136600.0,0.0,1.0
1998-03-25,56,34.31,34.5,33.88,34.31,12.8156,100700.0,0.0,1.0
1998-03-26,57,34.38,35.13,34.38,35.0,13.0734,151300.0,0.0,1.0
1998-03-27,58,35.0,35.25,34.94,35.19,13.1443,193900.0,0.0,1.0
1998-03-30,59,35.19,35.44,35.0,35.13,13.1219,145800.0,0.0,1.0
1998-03-31,60,35.06,35.19,34.94,35.19,13.1443,185100.0,0.0,1.0
1998-04-01,61,35.19,35.25,34.94,35.0,13.0734,136000.0,0.0,1.0
1998-04-02,62,35.06,35.38,34.94,35.25,13.1667,176500.0,0.0,1.0
1998-04-03,63,35.31,35.31,35.0,35.31,13.1891,194900.0,0.0,1.0
