date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,33.0,33.63,32.25,33.19,12.5464,839100.0,0.0,1.0
1998-01-05,31.0,31.0,30.0,30.81,11.6468,5112900.0,0.0,1.0
1998-01-06,30.81,31.38,30.5,31.0,11.7186,3762600.0,0.0,1.0
1998-01-07,31.0,31.06,30.5,31.0,11.7186,3649700.0,0.0,1.0
1998-01-08,31.0,31.25,30.81,31.06,11.7413,2129200.0,0.0,1.0
1998-01-09,31.06,31.19,30.5,30.81,11.6468,1011100.0,0.0,1.0
1998-01-12,30.25,32.06,30.13,32.06,12.1193,1815600.0,0.0,1.0
1998-01-13,32.0,32.25,31.31,32.19,12.1684,2437500.0,0.0,1.0
1998-01-14,32.13,32.44,31.63,32.13,12.1457,1030500.0,0.0,1.0
1998-01-15,32.25,32.63,32.06,32.38,12.2402,1012900.0,0.0,1.0
1998-01-16,32.94,32.94,32.0,32.38,12.2402,1062300.0,0.0,1.0
1998-01-20,32.75,33.0,32.5,32.88,12.4293,1004400.0,0.0,1.0
1998-01-21,32.0,32.5,31.75,32.5,12.2856,1376900.0,0.0,1.0
1998-01-22,31.94,32.19,31.38,31.63,11.9567,1706700.0,0.0,1.0
1998-01-23,31.56,31.75,31.38,31.5,11.9076,1115100.0,0.0,1.0
1998-01-26,31.75,32.25,31.56,32.25,12.1911,830300.0,0.0,1.0
1998-01-27,32.19,33.06,32.13,33.06,12.4973,1171800.0,0.0,1.0
1998-01-28,32.88,33.31,31.44,32.25,12.2502,876100.0,0.1563,1.0
1998-01-29,32.19,32.75,31.56,32.13,12.2046,857900.0,0.0,1.0
1998-01-30,32.38,32.44,31.5,31.75,12.0602,1059500.0,0.0,1.0
1998-02-02,32.13,32.56,31.94,32.31,12.273,794500.0,0.0,1.0
1998-02-03,31.88,32.06,31.38,32.06,12.178,779600.0,0.0,1.0
1998-02-04,31.81,32.13,31.31,31.44,11.9425,1170100.0,0.0,1.0
1998-02-05,31.56,31.75,30.81,31.75,12.0602,1869200.0,0.0,1.0
1998-02-06,32.13,32.75,31.69,32.44,12.3223,1674900.0,0.0,1.0
1998-02-09,32.94,33.0,32.13,32.94,12.5123,1159100.0,0.0,1.0
1998-02-10,32.94,33.06,31.63,31.88,12.1096,965700.0,0.0,1.0
1998-02-11,31.81,32.69,31.69,32.69,12.4173,1209400.0,0.0,1.0
1998-02-12,32.56,32.88,32.25,32.88,12.4895,750900.0,0.0,1.0
