date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-12-05,0,30.0,30.0,26.7,26.7,7.7978,1087800.0,0.0,1.0
2005-12-06,1,26.85,26.85,25.75,25.76,7.5232,1743800.0,0.0,1.0
2005-12-07,2,26.0,26.0,25.25,25.55,7.4619,1536400.0,0.0,1.0
2005-12-08,3,25.53,25.75,25.1,25.39,7.4152,2100700.0,0.0,1.0
2005-12-09,4,25.4,25.95,24.95,25.63,7.4853,2414700.0,0.0,1.0
2005-12-12,5,25.9,26.3,25.9,26.24,7.6634,898600.0,0.0,1.0
2005-12-13,6,26.25,26.26,25.93,26.0,7.5933,639700.0,0.0,1.0
2005-12-14,7,26.0,26.05,25.65,25.7,7.5057,672800.0,0.0,1.0
2005-12-15,8,25.7,25.7,25.2,25.32,7.3947,1948400.0,0.0,1.0
2005-12-16,9,25.33,25.5,25.17,25.3,7.3889,1023000.0,0.0,1.0
2005-12-19,10,25.31,25.4,25.1,25.29,7.386,362700.0,0.0,1.0
2005-12-20,11,25.29,25.29,24.74,25.07,7.3217,385800.0,0.0,1.0
2005-12-21,12,25.15,25.3,24.98,25.25,7.3743,673000.0,0.0,1.0
2005-12-22,13,25.25,25.25,25.0,25.11,7.3334,274300.0,0.0,1.0
2005-12-23,14,25.1,25.52,25.1,25.5,7.4473,667100.0,0.0,1.0
2005-12-27,15,25.65,25.93,25.3,25.65,7.4911,511400.0,0.0,1.0
2005-12-28,16,25.75,25.84,25.0,25.05,7.3159,821600.0,0.0,1.0
2005-12-29,17,25.15,25.25,24.75,25.0,7.3013,776100.0,0.0,1.0
2005-12-30,18,25.0,25.5,24.85,25.5,7.4473,3887900.0,0.0,1.0
2006-01-03,19,25.6,27.4,25.6,26.2,19.7894,6604500.0,41.56,1.0
2006-01-04,20,26.27,26.27,25.841,26.0,19.6383,8900000.0,0.0,1.0
2006-01-05,21,26.0,26.44,25.83,26.36,19.9102,8040500.0,0.0,1.0
2006-01-06,22,26.5,27.3,26.46,27.23,20.5673,7449100.0,0.0,1.0
2006-01-09,23,27.0,27.21,26.85,27.03,20.4163,7858700.0,0.0,1.0
2006-01-10,24,27.1,27.17,26.43,26.56,20.0613,9081400.0,0.0,1.0
2006-01-11,25,26.66,26.75,26.05,26.18,19.7743,6941200.0,0.0,1.0
2006-01-12,26,25.86,26.15,25.49,25.99,19.6307,7687400.0,0.0,1.0
2006-01-13,27,25.95,26.0,25.48,25.48,19.2455,4858900.0,0.0,1.0
2006-01-17,28,25.15,25.66,25.01,25.06,18.9283,6226600.0,0.0,1.0
2006-01-18,29,25.0,25.67,24.83,25.0799,18.9433,5522800.0,0.0,1.0
2006-01-19,30,25.64,25.71,25.34,25.57,19.3135,5021500.0,0.0,1.0
2006-01-20,31,25.35,25.72,24.92,24.98,18.8679,5064800.0,0.0,1.0
2006-01-23,32,25.3,25.9,25.05,25.82,19.5023,6361700.0,0.0,1.0
2006-01-24,33,26.0,27.0,25.8,26.9,20.3181,8567000.0,0.0,1.0
2006-01-25,34,27.0,27.0,26.09,26.4,19.9404,5665700.0,0.0,1.0
2006-01-26,35,26.55,27.1099,26.48,26.81,20.2501,7545300.0,0.0,1.0
2006-01-27,36,26.75,27.35,26.43,26.8,20.2426,7927600.0,0.0,1.0
2006-01-30,37,26.85,27.45,26.7,27.27,20.5976,5639100.0,0.0,1.0
2006-01-31,38,27.17,27.17,26.03,26.13,19.7365,6437100.0,0.0,1.0
2006-02-01,39,26.01,26.56,25.96,26.14,19.744,4373800.0,0.0,1.0
2006-02-02,40,26.12,26.3,25.47,25.65,19.3739,6802800.0,0.0,1.0
2006-02-03,41,25.6,26.02,25.38,25.66,19.3815,5411600.0,0.0,1.0
2006-02-06,42,25.66,26.08,25.64,25.84,19.5174,3735500.0,0.0,1.0
2006-02-07,43,25.95,26.14,25.53,25.53,19.2833,3321300.0,0.0,1.0
2006-02-08,44,25.53,26.07,25.53,26.02,19.6534,3761800.0,0.0,1.0
2006-02-09,45,25.8,26.0,25.54,25.63,19.3588,3644000.0,0.0,1.0
2006-02-10,46,25.58,25.65,25.29,25.46,19.2304,3895200.0,0.0,1.0
2006-02-13,47,25.25,25.63,25.15,25.54,19.2909,2695600.0,0.0,1.0
2006-02-14,48,25.45,25.83,25.28,25.6,19.3362,4273900.0,0.0,1.0
2006-02-15,49,25.72,25.81,25.55,25.61,19.3437,1984200.0,0.0,1.0
2006-02-16,50,25.55,25.58,25.1,25.15,18.9963,4152400.0,0.0,1.0
2006-02-17,51,25.05,25.95,25.03,25.85,19.525,5383800.0,0.0,1.0
2006-02-21,52,26.0,26.02,25.16,25.3,19.1096,4557900.0,0.0,1.0
2006-02-22,53,25.45,25.52,25.17,25.23,19.0567,7170900.0,0.0,1.0
2006-02-23,54,25.23,25.55,24.86,25.2,19.034,5946200.0,0.0,1.0
2006-02-24,55,25.04,25.27,24.53,24.53,18.6488,7852800.0,0.16,1.0
2006-02-27,56,24.53,25.05,24.53,24.83,18.8769,7683400.0,0.0,1.0
2006-02-28,57,24.66,24.75,24.38,24.46,18.5956,4980000.0,0.0,1.0
2006-03-01,58,24.5,24.74,24.2101,24.65,18.7401,4525500.0,0.0,1.0
2006-03-02,59,24.24,24.29,23.91,24.06,18.2915,8128400.0,0.0,1.0
2006-03-03,60,24.06,24.31,23.85,23.98,18.2307,4152400.0,0.0,1.0
