date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,55.5,55.63,54.0,54.38,16.7991,277200.0,0.0,1.0
1998-01-05,54.44,55.81,54.0,55.0,16.9907,393800.0,0.0,1.0
1998-01-06,54.63,55.0,54.0,54.0,16.6817,218300.0,0.0,1.0
1998-01-07,54.06,55.56,54.06,55.5,17.1451,310700.0,0.0,1.0
1998-01-08,55.25,56.0,54.25,55.63,17.1853,674800.0,0.0,1.0
1998-01-09,55.63,55.63,53.06,53.25,16.4501,597700.0,0.0,1.0
1998-01-12,52.75,53.19,52.44,53.19,16.4315,503900.0,0.0,1.0
1998-01-13,53.31,53.31,51.94,52.5,16.2184,584200.0,0.0,1.0
1998-01-14,52.44,53.0,51.94,53.0,16.3728,293900.0,0.0,1.0
1998-01-15,53.0,53.13,52.69,53.0,16.3728,201400.0,0.0,1.0
1998-01-16,53.13,54.25,53.0,54.25,16.759,349800.0,0.0,1.0
1998-01-20,55.25,55.5,54.69,55.0,16.9907,338800.0,0.0,1.0
1998-01-21,55.0,55.06,54.38,54.88,16.9536,238200.0,0.0,1.0
1998-01-22,54.88,55.5,54.88,55.25,17.0679,271600.0,0.0,1.0
1998-01-23,55.5,55.81,55.25,55.31,17.0864,456200.0,0.0,1.0
1998-01-26,55.06,55.88,55.06,55.75,17.2224,419300.0,0.0,1.0
1998-01-27,55.94,56.25,55.0,56.0,17.2996,560700.0,0.0,1.0
1998-01-28,55.88,56.75,55.75,56.38,17.417,342200.0,0.0,1.0
1998-01-29,56.88,57.0,56.13,56.38,17.417,352700.0,0.0,1.0
1998-01-30,56.44,56.5,55.75,55.81,17.2409,464200.0,0.0,1.0
1998-02-02,56.0,56.81,55.38,56.38,17.417,435700.0,0.0,1.0
1998-02-03,56.5,56.63,55.25,55.5,17.1451,451900.0,0.0,1.0
1998-02-04,55.44,56.0,55.19,55.63,17.1853,421300.0,0.0,1.0
1998-02-05,56.13,56.44,55.94,55.94,17.281,309800.0,0.0,1.0
1998-02-06,56.13,57.19,56.13,56.56,17.4726,243500.0,0.0,1.0
1998-02-09,57.0,57.75,56.88,57.06,17.627,203500.0,0.0,1.0
1998-02-10,57.13,57.94,56.75,57.5,17.763,266700.0,0.0,1.0
1998-02-11,57.56,58.63,57.56,58.56,18.1368,367800.0,0.15,1.0
1998-02-12,58.31,58.31,57.0,57.38,17.7713,1270100.0,0.0,1.0
1998-02-13,57.0,57.44,57.0,57.19,17.7125,747500.0,0.0,1.0
1998-02-17,57.31,57.31,56.38,56.44,17.4802,292900.0,0.0,1.0
1998-02-18,56.56,57.69,56.38,57.5,17.8085,323200.0,0.0,1.0
1998-02-19,57.44,57.75,57.0,57.63,17.8487,303300.0,0.0,1.0
1998-02-20,57.75,57.94,57.0,57.5,17.8085,116400.0,0.0,1.0
1998-02-23,57.75,58.13,57.19,57.38,17.7713,349500.0,0.0,1.0
1998-02-24,57.44,57.63,57.06,57.06,17.6722,285000.0,0.0,1.0
1998-02-25,57.56,58.5,57.5,58.13,18.0036,364100.0,0.0,1.0
1998-02-26,58.25,58.75,58.13,58.56,18.1368,399300.0,0.0,1.0
1998-02-27,58.81,59.06,58.31,58.88,18.2359,382400.0,0.0,1.0
1998-03-02,59.13,59.5,59.06,59.38,18.3907,220200.0,0.0,1.0
1998-03-03,59.25,59.75,59.19,59.38,18.3907,395900.0,0.0,1.0
1998-03-04,60.0,60.88,59.88,60.0,18.5827,346200.0,0.0,1.0
1998-03-05,59.88,61.5,59.75,60.5,18.7376,481800.0,0.0,1.0
1998-03-06,61.0,62.5,61.0,61.81,19.1433,371100.0,0.0,1.0
1998-03-09,62.06,63.0,61.94,62.88,19.4747,466900.0,0.0,1.0
1998-03-10,62.75,63.31,62.0,62.0,19.2022,474500.0,0.0,1.0
1998-03-11,62.0,62.0,60.5,60.75,18.815,413600.0,0.0,1.0
1998-03-12,60.88,61.5,60.63,61.5,19.0473,481900.0,0.0,1.0
1998-03-13,61.56,62.13,60.69,60.94,18.8739,390000.0,0.0,1.0
1998-03-16,60.94,60.94,60.31,60.63,18.7779,414200.0,0.0,1.0
1998-03-17,61.63,63.44,61.5,63.19,19.5707,427600.0,0.0,1.0
1998-03-18,63.13,63.75,62.25,63.13,19.5521,477900.0,0.0,1.0
1998-03-19,63.19,66.0,63.19,65.44,20.2676,660000.0,0.0,1.0
1998-03-20,66.25,67.5,65.88,66.56,20.6145,776200.0,0.0,1.0
1998-03-23,67.0,67.44,66.13,66.25,20.5184,377500.0,0.0,1.0
1998-03-24,66.0,66.25,64.94,66.25,20.5184,1001300.0,0.0,1.0
1998-03-25,67.5,68.13,67.0,67.63,20.9459,645300.0,0.0,1.0
1998-03-26,67.56,67.75,67.13,67.69,20.9644,220800.0,0.0,1.0
1998-03-27,68.13,68.5,65.75,65.81,20.3822,397000.0,0.0,1.0
1998-03-30,66.5,68.0,66.25,67.81,21.0016,354300.0,0.0,1.0
1998-03-31,67.88,69.75,67.19,69.25,21.4476,511300.0,0.0,1.0
1998-04-01,69.75,72.0,69.75,71.38,22.1073,736400.0,0.0,1.0
1998-04-02,71.38,72.0,70.38,72.0,22.2993,656400.0,0.0,1.0
1998-04-03,71.75,75.69,71.75,74.0,22.9187,806800.0,0.0,1.0
1998-04-06,75.25,76.5,75.06,75.81,23.4793,715200.0,0.0,1.0
1998-04-07,75.5,75.63,71.19,71.69,22.2033,1069500.0,0.0,1.0
1998-04-08,71.5,72.19,71.31,71.5,22.1444,706500.0,0.0,1.0
1998-04-09,71.5,71.56,69.06,69.75,21.6024,982300.0,0.0,1.0
1998-04-13,69.75,70.06,69.56,70.0,21.6799,600400.0,0.0,1.0
1998-04-14,71.0,72.94,71.0,72.25,22.3767,1155100.0,0.0,1.0
1998-04-15,73.0,73.25,71.75,72.0,22.2993,631300.0,0.0,1.0
1998-04-16,71.75,71.81,70.63,70.75,21.9122,647700.0,0.0,1.0
1998-04-17,71.0,71.31,70.25,70.94,21.971,453000.0,0.0,1.0
1998-04-20,70.94,70.94,69.38,70.19,21.7387,643400.0,0.0,1.0
1998-04-21,70.0,70.25,68.25,70.19,21.7387,1102800.0,0.0,1.0
1998-04-22,70.44,70.63,69.31,69.38,21.4878,322100.0,0.0,1.0
1998-04-23,68.0,68.56,67.94,68.0,21.0604,481500.0,0.0,1.0
1998-04-24,67.88,68.13,65.63,67.31,20.8467,718000.0,0.0,1.0
1998-04-27,66.63,66.63,64.56,65.88,20.4039,494300.0,0.0,1.0
1998-04-28,66.88,68.94,66.5,68.19,21.1193,1220700.0,0.0,1.0
1998-04-29,66.75,69.0,66.75,68.56,21.2339,986300.0,0.0,1.0
1998-04-30,69.0,70.06,69.0,69.56,21.5436,802700.0,0.0,1.0
1998-05-01,69.56,70.38,69.56,69.94,21.6613,245900.0,0.0,1.0
1998-05-04,70.0,70.06,69.5,69.88,21.6427,282400.0,0.0,1.0
1998-05-05,69.75,70.06,69.31,69.88,21.6427,398900.0,0.0,1.0
1998-05-06,70.13,70.38,69.69,70.0,21.6799,210000.0,0.0,1.0
1998-05-07,70.13,72.44,70.0,71.69,22.2033,568600.0,0.0,1.0
1998-05-08,71.56,72.31,69.94,70.0,21.6799,711000.0,0.0,1.0
1998-05-11,70.25,70.69,70.0,70.38,21.7976,230100.0,0.0,1.0
1998-05-12,70.13,70.19,69.31,69.31,21.4662,350000.0,0.0,1.0
1998-05-13,69.25,70.19,69.25,69.5,21.525,257200.0,0.0,1.0
1998-05-14,69.75,69.94,69.06,69.06,21.3887,206500.0,0.0,1.0
1998-05-15,69.38,69.69,69.25,69.25,21.4476,405000.0,0.0,1.0
1998-05-18,69.88,69.94,69.31,69.5,21.525,394700.0,0.0,1.0
1998-05-19,69.38,70.44,69.38,70.25,21.7573,583700.0,0.0,1.0
1998-05-20,71.06,71.06,71.06,71.06,22.0082,592600.0,0.0,1.0
1998-05-21,71.38,72.13,70.88,71.0,21.9896,518900.0,0.0,1.0
1998-05-22,70.94,71.0,69.81,70.19,21.7387,338200.0,0.0,1.0
1998-05-26,70.06,70.06,68.13,68.44,21.1967,414200.0,0.0,1.0
1998-05-27,68.0,68.75,67.13,68.56,21.2803,462400.0,0.15,1.0
1998-05-28,68.63,70.0,68.5,69.5,21.5721,337300.0,0.0,1.0
1998-05-29,68.75,69.38,67.13,67.75,21.0289,3677400.0,0.0,1.0
1998-06-01,67.5,67.75,66.19,67.06,20.8148,907300.0,0.0,1.0
1998-06-02,67.75,67.75,66.56,67.44,20.9327,785200.0,0.0,1.0
1998-06-03,67.88,68.44,67.75,67.94,21.0879,407600.0,0.0,1.0
1998-06-04,68.0,68.75,67.94,68.75,21.3393,527700.0,0.0,1.0
1998-06-05,68.81,69.31,68.56,69.19,21.4759,359600.0,0.0,1.0
1998-06-08,69.38,70.75,69.25,69.81,21.6683,499200.0,0.0,1.0
1998-06-09,69.88,72.0,69.88,71.69,22.2519,472800.0,0.0,1.0
1998-06-10,71.69,71.69,70.88,71.38,22.1556,308700.0,0.0,1.0
1998-06-11,71.88,72.25,71.25,71.25,22.1153,522800.0,0.0,1.0
1998-06-12,71.44,71.44,69.63,70.38,21.8453,337800.0,0.0,1.0
1998-06-15,35.0,35.38,34.06,34.06,21.1438,237250.0,0.0,2.0
1998-06-16,34.25,34.88,33.63,34.13,21.1872,795100.0,0.0,1.0
1998-06-17,34.63,34.88,34.0,34.25,21.2617,521100.0,0.0,1.0
1998-06-18,34.06,34.75,33.75,34.13,21.1872,559700.0,0.0,1.0
1998-06-19,34.5,35.56,34.44,34.69,21.5349,1337000.0,0.0,1.0
1998-06-22,34.88,36.38,34.56,36.38,22.584,3057300.0,0.0,1.0
1998-06-23,37.0,38.19,36.5,38.0,23.5896,1322300.0,0.0,1.0
1998-06-24,38.13,40.06,38.0,40.06,24.8684,1446000.0,0.0,1.0
1998-06-25,40.06,40.06,37.81,38.13,23.6703,1170100.0,0.0,1.0
1998-06-26,37.56,39.0,37.31,38.75,24.0552,773600.0,0.0,1.0
1998-06-29,39.13,39.94,38.38,38.44,23.8628,747600.0,0.0,1.0
1998-06-30,38.56,39.63,38.13,39.63,24.6015,770100.0,0.0,1.0
1998-07-01,39.94,40.38,39.0,40.0,24.8312,1454400.0,0.0,1.0
1998-07-02,40.13,40.19,37.88,38.56,23.9373,885200.0,0.0,1.0
1998-07-06,39.5,40.63,39.25,40.31,25.0236,883700.0,0.0,1.0
1998-07-07,40.56,40.94,39.88,40.69,25.2595,496900.0,0.0,1.0
1998-07-08,40.44,42.13,40.38,42.06,26.11,607300.0,0.0,1.0
1998-07-09,42.0,42.63,40.88,41.63,25.8431,825700.0,0.0,1.0
1998-07-10,41.63,41.75,40.31,41.75,25.9176,552600.0,0.0,1.0
1998-07-13,41.88,41.88,40.81,40.88,25.3775,421300.0,0.0,1.0
1998-07-14,41.5,41.63,40.5,41.0,25.452,712100.0,0.0,1.0
1998-07-15,40.88,40.88,39.75,40.5,25.1416,1128800.0,0.0,1.0
1998-07-16,40.63,41.44,40.06,41.25,25.6072,1304400.0,0.0,1.0
1998-07-17,41.13,41.69,40.75,41.31,25.6444,659400.0,0.0,1.0
1998-07-20,41.31,41.75,41.13,41.5,25.7624,527300.0,0.0,1.0
1998-07-21,40.0,41.25,39.06,40.63,25.2223,2014000.0,0.0,1.0
1998-07-22,40.0,40.25,38.88,39.31,24.4029,1153800.0,0.0,1.0
1998-07-23,39.69,39.75,38.06,38.5,23.9,739700.0,0.0,1.0
1998-07-24,38.44,38.44,36.69,37.19,23.0868,1272800.0,0.0,1.0
1998-07-27,37.44,37.44,36.75,37.13,23.0496,1517100.0,0.0,1.0
1998-07-28,37.06,38.0,37.0,37.5,23.2793,665100.0,0.0,1.0
1998-07-29,38.0,38.63,37.31,38.44,23.8628,1132000.0,0.0,1.0
1998-07-30,38.25,38.75,37.13,38.13,23.6703,724600.0,0.0,1.0
