date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,24.38,25.19,24.06,24.94,24.94,554800.0,0.0,1.0
1998-01-05,1,25.0,25.25,24.81,25.13,25.13,1100000.0,0.0,1.0
1998-01-06,2,25.0,25.19,24.44,24.5,24.5,796800.0,0.0,1.0
1998-01-07,3,24.06,24.06,23.5,23.88,23.88,667200.0,0.0,1.0
1998-01-08,4,23.69,24.75,23.5,24.31,24.31,573200.0,0.0,1.0
1998-01-09,5,24.25,24.25,22.88,23.31,23.31,859500.0,0.0,1.0
1998-01-12,6,22.69,23.5,22.56,22.75,22.75,421200.0,0.0,1.0
1998-01-13,7,22.69,24.13,22.69,23.75,23.75,1323400.0,0.0,1.0
1998-01-14,8,23.75,23.88,22.06,23.13,23.13,1262200.0,0.0,1.0
1998-01-15,9,22.88,24.38,22.75,24.06,24.06,1891400.0,0.0,1.0
1998-01-16,10,24.25,24.5,23.38,23.44,23.44,901800.0,0.0,1.0
1998-01-20,11,23.69,25.25,23.69,24.88,24.88,1506500.0,0.0,1.0
1998-01-21,12,25.19,25.19,24.0,24.75,24.75,784400.0,0.0,1.0
1998-01-22,13,24.63,25.69,24.63,25.31,25.31,988500.0,0.0,1.0
1998-01-23,14,25.69,25.75,24.5,25.0,25.0,638700.0,0.0,1.0
1998-01-26,15,25.0,25.75,24.69,24.81,24.81,893200.0,0.0,1.0
1998-01-27,16,24.81,25.25,22.38,25.0,25.0,470300.0,0.0,1.0
1998-01-28,17,26.25,28.88,26.06,28.56,28.56,2973100.0,0.0,1.0
1998-01-29,18,28.31,28.69,27.44,27.63,27.63,1155400.0,0.0,1.0
1998-01-30,19,27.63,28.69,27.38,28.0,28.0,1114700.0,0.0,1.0
1998-02-02,20,28.25,29.25,28.25,28.63,28.63,1439400.0,0.0,1.0
1998-02-03,21,28.69,29.69,28.5,29.69,29.69,1459200.0,0.0,1.0
1998-02-04,22,29.0,29.75,28.81,29.63,29.63,1254900.0,0.0,1.0
1998-02-05,23,30.0,32.0,30.0,31.56,31.56,2070100.0,0.0,1.0
1998-02-06,24,31.44,31.94,29.88,29.88,29.88,1254800.0,0.0,1.0
1998-02-09,25,30.5,31.0,29.94,30.06,30.06,925200.0,0.0,1.0
1998-02-10,26,30.0,31.75,29.94,31.69,31.69,1599300.0,0.0,1.0
1998-02-11,27,31.94,33.25,31.56,32.69,32.69,1895100.0,0.0,1.0
1998-02-12,28,32.69,33.0,31.94,33.0,33.0,1104000.0,0.0,1.0
1998-02-13,29,32.56,33.25,32.31,33.0,33.0,1019900.0,0.0,1.0
1998-02-17,30,33.0,33.44,31.63,31.69,31.69,763600.0,0.0,1.0
1998-02-18,31,31.56,32.44,31.56,32.44,32.44,1008800.0,0.0,1.0
1998-02-19,32,32.19,33.81,32.0,33.31,33.31,1564500.0,0.0,1.0
1998-02-20,33,33.31,33.38,32.75,33.38,33.38,988800.0,0.0,1.0
1998-02-23,34,33.38,34.44,33.25,33.25,33.25,751200.0,0.0,1.0
1998-02-24,35,33.13,33.25,32.38,32.63,32.63,687400.0,0.0,1.0
1998-02-25,36,32.88,34.44,32.88,34.0,34.0,885800.0,0.0,1.0
1998-02-26,37,34.13,36.0,34.06,36.0,36.0,1728100.0,0.0,1.0
1998-02-27,38,35.75,35.75,34.75,34.94,34.94,1126700.0,0.0,1.0
1998-03-02,39,35.0,36.38,34.5,34.94,34.94,1175800.0,0.0,1.0
1998-03-03,40,34.69,35.0,34.38,34.63,34.63,548100.0,0.0,1.0
1998-03-04,41,34.69,35.44,34.25,34.81,34.81,487200.0,0.0,1.0
1998-03-05,42,33.81,34.5,33.63,33.88,33.88,1104000.0,0.0,1.0
1998-03-06,43,34.0,34.44,33.75,33.94,33.94,647400.0,0.0,1.0
1998-03-09,44,33.81,34.5,32.94,33.0,33.0,462500.0,0.0,1.0
1998-03-10,45,33.0,34.13,33.0,33.69,33.69,575600.0,0.0,1.0
1998-03-11,46,33.88,34.44,33.69,34.25,34.25,1094000.0,0.0,1.0
1998-03-12,47,34.06,34.38,33.38,33.94,33.94,444100.0,0.0,1.0
1998-03-13,48,33.94,34.75,33.44,33.5,33.5,449100.0,0.0,1.0
1998-03-16,49,33.69,33.94,33.38,33.69,33.69,556800.0,0.0,1.0
1998-03-17,50,33.69,34.0,32.38,33.88,33.88,697900.0,0.0,1.0
1998-03-18,51,33.69,35.38,33.56,35.19,35.19,1628500.0,0.0,1.0
1998-03-19,52,35.19,36.19,35.0,35.38,35.38,951900.0,0.0,1.0
1998-03-20,53,35.13,35.25,34.19,34.44,34.44,1341900.0,0.0,1.0
1998-03-23,54,34.5,35.0,33.81,34.0,34.0,482700.0,0.0,1.0
1998-03-24,55,34.19,34.44,33.75,34.0,34.0,422700.0,0.0,1.0
1998-03-25,56,34.75,35.63,34.31,34.56,34.56,1023800.0,0.0,1.0
1998-03-26,57,34.56,34.63,33.31,34.63,34.63,885100.0,0.0,1.0
1998-03-27,58,35.81,35.88,35.06,35.06,35.06,509800.0,0.0,1.0
1998-03-30,59,34.94,35.25,34.25,34.38,34.38,510800.0,0.0,1.0
1998-03-31,60,34.31,36.13,34.31,34.63,34.63,770300.0,0.0,1.0
1998-04-01,61,34.63,37.13,33.88,37.0,37.0,1332900.0,0.0,1.0
1998-04-02,62,36.81,38.25,36.56,37.44,37.44,1489500.0,0.0,1.0
1998-04-03,63,37.5,38.0,36.75,37.0,37.0,1977700.0,0.0,1.0
1998-04-06,64,36.81,37.75,36.13,36.13,36.13,535900.0,0.0,1.0
1998-04-07,65,35.88,35.88,34.69,34.88,34.88,739500.0,0.0,1.0
1998-04-08,66,35.13,35.44,34.56,34.81,34.81,538500.0,0.0,1.0
1998-04-09,67,35.44,35.69,34.44,34.5,34.5,408200.0,0.0,1.0
1998-04-13,68,34.63,34.94,33.94,34.31,34.31,624900.0,0.0,1.0
1998-04-14,69,34.63,35.63,34.63,35.06,35.06,553800.0,0.0,1.0
1998-04-15,70,35.25,35.94,34.75,35.0,35.0,664700.0,0.0,1.0
1998-04-16,71,35.0,35.0,34.38,34.75,34.75,383400.0,0.0,1.0
1998-04-17,72,34.5,35.31,34.25,35.06,35.06,301000.0,0.0,1.0
1998-04-20,73,35.06,37.13,35.06,36.38,36.38,689500.0,0.0,1.0
1998-04-21,74,37.0,38.06,36.75,38.0,38.0,805400.0,0.0,1.0
1998-04-22,75,37.88,37.88,35.13,35.5,35.5,1142300.0,0.0,1.0
1998-04-23,76,35.38,35.56,34.69,34.81,34.81,550900.0,0.0,1.0
1998-04-24,77,34.81,35.75,33.19,34.88,34.88,1742400.0,0.0,1.0
1998-04-27,78,34.25,34.5,33.56,33.88,33.88,725000.0,0.0,1.0
1998-04-28,79,34.31,35.5,34.31,35.5,35.5,980300.0,0.0,1.0
1998-04-29,80,35.38,35.5,34.19,34.44,34.44,488200.0,0.0,1.0
1998-04-30,81,34.75,36.5,34.75,36.31,36.31,1373800.0,0.0,1.0
1998-05-01,82,36.06,36.63,35.63,36.5,36.5,609200.0,0.0,1.0
1998-05-04,83,36.75,37.63,36.44,37.44,37.44,1069500.0,0.0,1.0
1998-05-05,84,37.5,37.94,37.25,37.38,37.38,521500.0,0.0,1.0
1998-05-06,85,37.38,37.75,36.69,36.69,36.69,531200.0,0.0,1.0
1998-05-07,86,36.88,36.88,35.94,36.19,36.19,567100.0,0.0,1.0
1998-05-08,87,36.13,36.94,36.0,36.5,36.5,507500.0,0.0,1.0
1998-05-11,88,36.38,36.5,35.88,35.94,35.94,374000.0,0.0,1.0
1998-05-12,89,35.75,36.31,35.25,35.88,35.88,318900.0,0.0,1.0
1998-05-13,90,35.81,36.94,35.81,36.56,36.56,572100.0,0.0,1.0
1998-05-14,91,36.31,36.75,36.06,36.19,36.19,566900.0,0.0,1.0
1998-05-15,92,36.69,37.94,36.56,37.0,37.0,1264700.0,0.0,1.0
1998-05-18,93,36.88,36.88,35.81,36.25,36.25,722600.0,0.0,1.0
1998-05-19,94,37.13,38.38,37.13,37.94,37.94,1025800.0,0.0,1.0
1998-05-20,95,37.94,37.94,37.94,37.94,37.94,598300.0,0.0,1.0
1998-05-21,96,37.06,37.56,36.13,36.75,36.75,324200.0,0.0,1.0
1998-05-22,97,36.75,36.88,35.44,35.75,35.75,744800.0,0.0,1.0
1998-05-26,98,36.0,36.5,35.5,35.56,35.56,522800.0,0.0,1.0
1998-05-27,99,35.0,35.19,34.5,34.88,34.88,936500.0,0.0,1.0
1998-05-28,100,35.0,35.69,35.0,35.44,35.44,796800.0,0.0,1.0
1998-05-29,101,36.25,36.5,35.25,35.25,35.25,833000.0,0.0,1.0
1998-06-01,102,35.0,35.5,34.5,34.75,34.75,1204200.0,0.0,1.0
1998-06-02,103,35.0,35.38,33.75,34.19,34.19,1188300.0,0.0,1.0
1998-06-03,104,34.13,34.63,32.19,32.19,32.19,1864700.0,0.0,1.0
1998-06-04,105,32.56,33.44,31.75,32.94,32.94,1732400.0,0.0,1.0
1998-06-05,106,33.19,33.19,32.5,32.5,32.5,893500.0,0.0,1.0
1998-06-08,107,33.0,33.63,32.75,33.38,33.38,1776700.0,0.0,1.0
1998-06-09,108,34.13,34.88,33.81,34.88,34.88,902900.0,0.0,1.0
1998-06-10,109,34.88,34.88,34.88,34.88,34.88,1443100.0,0.0,1.0
1998-06-11,110,33.25,33.25,31.81,32.25,32.25,1374100.0,0.0,1.0
1998-06-12,111,32.25,32.5,30.25,32.25,32.25,1649100.0,0.0,1.0
1998-06-15,112,32.0,32.25,31.0,31.13,31.13,451400.0,0.0,1.0
1998-06-16,113,31.25,32.06,31.0,31.75,31.75,780400.0,0.0,1.0
1998-06-17,114,31.75,33.0,31.13,32.0,32.0,1741600.0,0.0,1.0
1998-06-18,115,31.63,31.75,30.56,31.5,31.5,3009400.0,0.0,1.0
1998-06-19,116,31.25,31.88,31.0,31.19,31.19,1205100.0,0.0,1.0
1998-06-22,117,31.13,32.5,31.0,32.06,32.06,1050900.0,0.0,1.0
1998-06-23,118,32.63,33.75,32.63,33.0,33.0,954300.0,0.0,1.0
1998-06-24,119,33.19,33.94,33.0,33.25,33.25,891700.0,0.0,1.0
1998-06-25,120,33.75,34.38,33.0,33.5,33.5,979700.0,0.0,1.0
1998-06-26,121,33.31,33.38,32.63,33.0,33.0,490800.0,0.0,1.0
1998-06-29,122,33.0,33.5,32.5,32.5,32.5,472500.0,0.0,1.0
1998-06-30,123,32.44,32.44,30.63,31.25,31.25,1931900.0,0.0,1.0
1998-07-01,124,31.25,31.25,27.25,29.88,29.88,4712000.0,0.0,1.0
1998-07-02,125,28.75,28.75,27.63,27.63,27.63,2499700.0,0.0,1.0
1998-07-06,126,28.0,29.13,28.0,28.5,28.5,828300.0,0.0,1.0
1998-07-07,127,30.0,30.75,28.06,28.63,28.63,3729100.0,0.0,1.0
1998-07-08,128,28.63,28.94,27.5,28.56,28.56,1054400.0,0.0,1.0
1998-07-09,129,28.44,28.44,27.75,27.94,27.94,1006500.0,0.0,1.0
1998-07-10,130,27.94,27.94,26.94,27.81,27.81,1152300.0,0.0,1.0
1998-07-13,131,27.75,28.0,27.13,27.31,27.31,540300.0,0.0,1.0
1998-07-14,132,27.25,27.25,24.56,26.63,26.63,3998200.0,0.0,1.0
1998-07-15,133,27.81,29.88,27.63,29.19,29.19,1976400.0,0.0,1.0
1998-07-16,134,28.94,31.0,28.44,30.44,30.44,1443200.0,0.0,1.0
1998-07-17,135,30.56,31.38,29.88,29.88,29.88,1138400.0,0.0,1.0
1998-07-20,136,30.0,32.25,29.88,31.13,31.13,1126300.0,0.0,1.0
1998-07-21,137,31.06,31.44,29.44,29.63,29.63,1066100.0,0.0,1.0
1998-07-22,138,29.63,29.63,27.0,28.5,28.5,2320500.0,0.0,1.0
1998-07-23,139,30.38,31.0,29.5,30.13,30.13,2408900.0,0.0,1.0
1998-07-24,140,30.13,30.94,30.13,30.69,30.69,932500.0,0.0,1.0
1998-07-27,141,30.56,30.63,29.56,30.38,30.38,846600.0,0.0,1.0
1998-07-28,142,30.25,30.38,29.06,29.94,29.94,1493500.0,0.0,1.0
1998-07-29,143,30.0,30.38,28.5,29.0,29.0,427500.0,0.0,1.0
1998-07-30,144,29.19,30.38,29.19,30.25,30.25,799500.0,0.0,1.0
1998-07-31,145,30.31,30.44,28.81,28.81,28.81,520300.0,0.0,1.0
1998-08-03,146,28.81,28.81,27.38,28.0,28.0,587300.0,0.0,1.0
1998-08-04,147,28.5,28.75,27.38,27.56,27.56,760200.0,0.0,1.0
1998-08-05,148,27.25,28.0,26.31,26.69,26.69,541100.0,0.0,1.0
1998-08-06,149,26.44,27.94,26.44,27.75,27.75,819800.0,0.0,1.0
1998-08-07,150,28.0,29.0,27.81,28.13,28.13,994200.0,0.0,1.0
1998-08-10,151,27.75,27.88,26.81,26.94,26.94,834000.0,0.0,1.0
1998-08-11,152,26.0,26.69,25.81,26.19,26.19,1543800.0,0.0,1.0
1998-08-12,153,26.75,27.94,26.75,27.75,27.75,433200.0,0.0,1.0
1998-08-13,154,27.75,27.75,27.13,27.38,27.38,762500.0,0.0,1.0
1998-08-14,155,27.38,28.25,27.25,27.31,27.31,861800.0,0.0,1.0
1998-08-17,156,27.44,28.0,27.19,28.0,28.0,490200.0,0.0,1.0
1998-08-18,157,28.25,29.38,28.25,29.13,29.13,667700.0,0.0,1.0
1998-08-19,158,29.19,30.0,28.63,28.81,28.81,714000.0,0.0,1.0
1998-08-20,159,29.0,29.19,28.25,28.38,28.38,301500.0,0.0,1.0
1998-08-21,160,27.88,27.88,26.88,27.56,27.56,728900.0,0.0,1.0
1998-08-24,161,27.56,28.13,26.75,27.13,27.13,594500.0,0.0,1.0
1998-08-25,162,27.38,27.63,26.06,26.31,26.31,522200.0,0.0,1.0
1998-08-26,163,26.06,26.13,24.75,25.06,25.06,876400.0,0.0,1.0
1998-08-27,164,24.25,24.63,23.0,24.0,24.0,1618200.0,0.0,1.0
1998-08-28,165,24.63,24.88,23.5,24.31,24.31,1590700.0,0.0,1.0
1998-08-31,166,24.19,24.31,21.13,21.13,21.13,806500.0,0.0,1.0
1998-09-01,167,21.31,21.69,20.0,20.69,20.69,1184700.0,0.0,1.0
1998-09-02,168,20.75,22.0,20.75,20.88,20.88,1603400.0,0.0,1.0
1998-09-03,169,20.38,22.5,20.0,22.5,22.5,2011500.0,0.0,1.0
1998-09-04,170,22.56,23.13,22.06,22.81,22.81,1038900.0,0.0,1.0
1998-09-08,171,23.06,25.75,23.06,25.44,25.44,1013700.0,0.0,1.0
1998-09-09,172,25.5,25.75,24.19,24.56,24.56,779000.0,0.0,1.0
1998-09-10,173,24.06,24.88,23.25,24.06,24.06,660500.0,0.0,1.0
1998-09-11,174,24.13,25.25,24.0,24.81,24.81,643700.0,0.0,1.0
1998-09-14,175,25.25,26.0,25.19,25.5,25.5,639300.0,0.0,1.0
1998-09-15,176,25.63,25.63,25.0,25.31,25.31,375600.0,0.0,1.0
1998-09-16,177,25.56,25.75,24.94,25.5,25.5,154700.0,0.0,1.0
1998-09-17,178,25.0,25.0,23.5,23.56,23.56,1212400.0,0.0,1.0
1998-09-18,179,23.31,23.63,22.56,22.88,22.88,1083200.0,0.0,1.0
1998-09-21,180,21.38,23.31,21.25,23.13,23.13,931900.0,0.0,1.0
1998-09-22,181,23.81,24.31,23.38,23.94,23.94,788900.0,0.0,1.0
