date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-01-21,0,16.0,16.2,15.5,16.0,13.6745,22145000.0,0.0,1.0
2005-01-24,1,16.05,16.08,16.0,16.0,13.6745,3509900.0,0.0,1.0
2005-01-25,2,16.0,16.01,15.5,15.65,13.3754,2995500.0,0.0,1.0
2005-01-26,3,15.55,15.63,15.5,15.59,13.3241,1467500.0,0.0,1.0
2005-01-27,4,15.59,15.85,15.1,15.78,13.4865,858000.0,0.0,1.0
2005-01-28,5,15.8,16.02,15.78,16.0,13.6745,697300.0,0.0,1.0
2005-01-31,6,16.05,16.26,16.02,16.13,13.7856,1641900.0,0.0,1.0
2005-02-01,7,16.13,16.28,16.0,16.2,13.8454,838100.0,0.0,1.0
2005-02-02,8,16.2,16.34,16.16,16.2,13.8454,759200.0,0.0,1.0
2005-02-03,9,16.21,16.21,15.99,16.01,13.683,729500.0,0.0,1.0
2005-02-04,10,16.04,16.07,16.0,16.04,13.7087,926600.0,0.0,1.0
2005-02-07,11,16.03,16.1,15.75,15.75,13.4608,1128300.0,0.0,1.0
2005-02-08,12,15.75,16.0,15.71,15.8,13.5036,274900.0,0.0,1.0
2005-02-09,13,15.83,15.94,15.68,15.79,13.495,410500.0,0.0,1.0
2005-02-10,14,15.7,15.71,15.5,15.58,13.3155,551600.0,0.0,1.0
2005-02-11,15,15.52,15.74,15.25,15.57,13.307,842000.0,0.0,1.0
2005-02-14,16,15.3,15.65,15.1,15.6,13.3326,652500.0,0.0,1.0
2005-02-15,17,15.57,16.0,15.55,15.94,13.6232,438400.0,0.0,1.0
2005-02-16,18,15.95,16.14,15.81,16.1,13.76,514800.0,0.0,1.0
2005-02-17,19,16.15,16.7,16.11,16.5,14.1018,928500.0,0.0,1.0
2005-02-18,20,16.57,16.8,16.4,16.74,14.3069,2403100.0,0.0,1.0
2005-02-22,21,16.52,16.79,16.37,16.45,14.0591,782700.0,0.0,1.0
2005-02-23,22,16.4,16.75,16.35,16.6,14.1873,474500.0,0.0,1.0
2005-02-24,23,16.51,16.75,16.45,16.75,14.3155,482900.0,0.0,1.0
2005-02-25,24,16.75,17.27,16.75,17.27,14.7599,1240600.0,0.0,1.0
2005-02-28,25,17.25,17.25,16.55,16.7,14.2728,993300.0,0.0,1.0
2005-03-01,26,16.68,16.68,16.12,16.16,13.8112,916800.0,0.0,1.0
2005-03-02,27,16.55,16.71,16.05,16.36,13.9822,1275400.0,0.0,1.0
2005-03-03,28,16.5,16.7,16.25,16.25,13.8882,836400.0,0.0,1.0
2005-03-04,29,16.4,16.76,16.35,16.51,14.1104,1138700.0,0.0,1.0
2005-03-07,30,16.68,17.16,16.67,17.09,14.6061,1395900.0,0.0,1.0
2005-03-08,31,17.45,17.45,17.2,17.25,14.7428,1201500.0,0.0,1.0
2005-03-09,32,17.5,18.24,17.36,17.95,15.3411,1465300.0,0.0,1.0
2005-03-10,33,17.95,18.09,17.39,17.9,15.2983,966700.0,0.0,1.0
2005-03-11,34,18.05,18.08,17.9,18.0,15.3838,722300.0,0.0,1.0
2005-03-14,35,18.03,18.16,17.42,17.85,15.2556,1093100.0,0.0,1.0
2005-03-15,36,17.98,18.25,17.52,17.65,15.0847,687800.0,0.0,1.0
2005-03-16,37,17.45,17.7,17.18,17.32,14.8026,726300.0,0.0,1.0
2005-03-17,38,17.22,17.5,17.22,17.39,14.8625,301200.0,0.0,1.0
2005-03-18,39,17.35,17.4,17.17,17.26,14.7514,383200.0,0.0,1.0
2005-03-21,40,17.26,17.35,16.76,16.95,14.4864,394800.0,0.0,1.0
2005-03-22,41,17.07,17.14,16.99,16.99,14.5206,282500.0,0.0,1.0
2005-03-23,42,17.0,17.3,16.7,16.9,14.4437,766900.0,0.0,1.0
2005-03-24,43,18.15,18.65,17.75,18.09,15.4607,2373600.0,0.0,1.0
2005-03-28,44,18.3,18.34,17.78,17.83,15.2385,732200.0,0.0,1.0
2005-03-29,45,17.78,18.0,17.4,17.41,14.8796,457300.0,0.0,1.0
2005-03-30,46,17.47,17.85,17.45,17.7,15.1274,522800.0,0.0,1.0
2005-03-31,47,17.7,18.2,17.7,17.99,15.3753,1568500.0,0.0,1.0
2005-04-01,48,17.99,18.16,17.5,18.1,15.4693,472000.0,0.0,1.0
2005-04-04,49,18.02,18.05,17.16,17.39,14.8625,317800.0,0.0,1.0
2005-04-05,50,17.39,17.43,17.15,17.33,14.8112,294300.0,0.0,1.0
2005-04-06,51,17.4,17.48,17.2,17.25,14.7428,339900.0,0.0,1.0
2005-04-07,52,17.25,17.39,17.13,17.28,14.7685,148700.0,0.0,1.0
2005-04-08,53,17.18,17.18,17.02,17.02,14.5462,256800.0,0.0,1.0
2005-04-11,54,17.05,17.14,16.98,17.08,14.5975,198600.0,0.0,1.0
2005-04-12,55,17.07,17.31,16.72,17.31,14.7941,353500.0,0.0,1.0
2005-04-13,56,17.31,17.31,16.79,16.81,14.3668,307000.0,0.0,1.0
2005-04-14,57,16.8,16.87,16.125,16.18,13.8283,393000.0,0.0,1.0
2005-04-15,58,16.17,16.17,15.53,15.65,13.3754,367600.0,0.0,1.0
2005-04-18,59,15.0,15.36,14.95,15.3,13.0762,887200.0,0.0,1.0
2005-04-19,60,15.5,15.6,15.35,15.6,13.3326,583900.0,0.0,1.0
2005-04-20,61,15.63,15.69,15.05,15.1,12.9053,186800.0,0.0,1.0
2005-04-21,62,15.2,15.35,15.07,15.26,13.0421,980800.0,0.0,1.0
2005-04-22,63,15.15,15.21,14.7,15.0,12.8198,858800.0,0.0,1.0
2005-04-25,64,15.05,15.27,15.0,15.27,13.0506,438900.0,0.0,1.0
2005-04-26,65,15.27,15.32,14.753,14.78,12.6318,408600.0,0.0,1.0
2005-04-27,66,14.78,14.78,14.2,14.3,12.2216,496200.0,0.0,1.0
2005-04-28,67,14.32,14.41,14.06,14.1,12.0507,445600.0,0.0,1.0
2005-04-29,68,14.5,14.7,14.29,14.55,12.4352,874600.0,0.0,1.0
2005-05-02,69,14.6,15.12,14.6,15.12,12.9224,862700.0,0.0,1.0
2005-05-03,70,15.02,15.35,15.02,15.12,12.9224,353400.0,0.0,1.0
2005-05-04,71,15.15,15.21,15.0,15.21,12.9993,573700.0,0.0,1.0
2005-05-05,72,15.22,15.57,15.16,15.5,13.2472,517700.0,0.0,1.0
2005-05-06,73,15.55,15.77,15.41,15.47,13.2215,335500.0,0.0,1.0
2005-05-09,74,15.5,16.0,15.5,15.91,13.5976,839900.0,0.0,1.0
2005-05-10,75,15.75,16.2,14.7,15.15,12.948,1417000.0,0.0,1.0
2005-05-11,76,15.14,15.24,15.0,15.09,12.8968,816500.0,0.0,1.0
2005-05-12,77,15.07,15.28,14.68,14.85,12.6916,770900.0,0.0,1.0
2005-05-13,78,14.85,14.9,14.25,14.26,12.1874,420000.0,0.0,1.0
2005-05-16,79,14.3,14.51,14.06,14.06,12.0165,592700.0,0.0,1.0
2005-05-17,80,14.08,14.16,13.54,14.16,12.1019,805600.0,0.0,1.0
2005-05-18,81,14.21,14.81,14.08,14.64,12.5122,640000.0,0.0,1.0
2005-05-19,82,15.45,15.45,15.11,15.28,13.0591,698600.0,0.0,1.0
2005-05-20,83,15.4,15.67,15.25,15.55,13.2899,381100.0,0.0,1.0
2005-05-23,84,15.6,16.3,15.51,16.25,13.8882,756600.0,0.0,1.0
2005-05-24,85,16.25,16.25,15.8,16.1,13.76,604300.0,0.0,1.0
2005-05-25,86,16.02,16.11,15.78,15.94,13.6232,336200.0,0.0,1.0
2005-05-26,87,16.04,16.04,15.41,15.62,13.3497,330900.0,0.0,1.0
2005-05-27,88,15.6,15.63,15.2,15.53,13.2728,297500.0,0.0,1.0
2005-05-31,89,15.52,15.53,15.32,15.48,13.2301,261900.0,0.0,1.0
2005-06-01,90,15.5,15.94,15.5,15.76,13.4694,457000.0,0.0,1.0
2005-06-02,91,15.7,15.95,15.64,15.95,13.6318,333500.0,0.0,1.0
2005-06-03,92,15.9,15.9,15.8,15.88,13.5719,195900.0,0.0,1.0
2005-06-06,93,15.87,15.87,15.8,15.85,13.5463,295100.0,0.0,1.0
2005-06-07,94,15.9,15.9,15.69,15.82,13.5207,247100.0,0.0,1.0
2005-06-08,95,15.81,15.81,15.74,15.79,13.495,575200.0,0.0,1.0
2005-06-09,96,15.8,15.84,15.75,15.8,13.5036,492300.0,0.0,1.0
2005-06-10,97,15.8,15.8,15.74,15.8,13.5036,236700.0,0.0,1.0
2005-06-13,98,15.75,15.78,15.54,15.64,13.3668,149600.0,0.0,1.0
2005-06-14,99,15.6,15.8,15.55,15.7,13.4181,528500.0,0.0,1.0
2005-06-15,100,15.76,15.87,15.72,15.87,13.5634,1340000.0,0.0,1.0
2005-06-16,101,15.87,16.38,15.87,16.3,13.9309,633500.0,0.0,1.0
