date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,8.625,8.75,8.375,8.625,0.3594,62400.0,0.0,1.0
1998-01-05,1,8.5,9.375,8.375,9.0,0.375,187200.0,0.0,1.0
1998-01-06,2,9.125,9.125,8.875,9.063,0.3776,115500.0,0.0,1.0
1998-01-07,3,9.063,9.625,8.812999999999997,9.625,0.401,174500.0,0.0,1.0
1998-01-08,4,9.625,9.75,9.0,9.125,0.3802,205600.0,0.0,1.0
1998-01-09,5,9.0,9.25,8.75,8.75,0.3646,94300.0,0.0,1.0
1998-01-12,6,8.75,9.0,8.625,8.875,0.3698,88800.0,0.0,1.0
1998-01-13,7,8.937999999999997,8.937999999999997,8.625,8.625,0.3594,123200.0,0.0,1.0
1998-01-14,8,8.812999999999997,8.812999999999997,8.625,8.812999999999997,0.3672,46100.0,0.0,1.0
1998-01-15,9,8.75,8.75,8.25,8.437999999999999,0.3516,106000.0,0.0,1.0
1998-01-16,10,8.25,8.75,8.25,8.625,0.3594,59000.0,0.0,1.0
1998-01-20,11,8.75,9.125,8.625,9.0,0.375,222700.0,0.0,1.0
1998-01-21,12,9.063,9.25,8.75,8.75,0.3646,27100.0,0.0,1.0
1998-01-22,13,8.687999999999999,9.0,8.687999999999999,8.687999999999999,0.362,20800.0,0.0,1.0
1998-01-23,14,8.687999999999999,8.875,8.125,8.437999999999999,0.3516,80700.0,0.0,1.0
1998-01-26,15,8.75,9.125,7.75,7.875,0.3281,99500.0,0.0,1.0
1998-01-27,16,7.5,8.25,7.125,8.0,0.3333,132900.0,0.0,1.0
1998-01-28,17,8.125,8.375,8.0,8.375,0.349,96800.0,0.0,1.0
1998-01-29,18,8.5,9.0,8.5,8.875,0.3698,112800.0,0.0,1.0
1998-01-30,19,8.625,8.875,8.5,8.562999999999999,0.3568,46400.0,0.0,1.0
1998-02-02,20,8.562999999999999,8.875,8.25,8.375,0.349,109800.0,0.0,1.0
1998-02-03,21,8.375,8.375,8.062999999999999,8.375,0.349,77000.0,0.0,1.0
1998-02-04,22,8.0,8.375,8.0,8.187999999999999,0.3412,49800.0,0.0,1.0
1998-02-05,23,8.5,8.5,8.125,8.25,0.3438,60200.0,0.0,1.0
1998-02-06,24,8.125,8.187999999999999,7.875,8.0,0.3333,85700.0,0.0,1.0
1998-02-09,25,8.125,8.25,7.75,8.0,0.3333,126300.0,0.0,1.0
1998-02-10,26,8.0,8.25,8.0,8.187999999999999,0.3412,69200.0,0.0,1.0
1998-02-11,27,8.187999999999999,8.375,7.813,7.813,0.3255,81700.0,0.0,1.0
1998-02-12,28,7.75,7.875,7.625,7.875,0.3281,113600.0,0.0,1.0
1998-02-13,29,7.813,7.813,7.625,7.688,0.3203,94400.0,0.0,1.0
1998-02-17,30,7.5,7.688,7.25,7.625,0.3177,153200.0,0.0,1.0
1998-02-18,31,7.625,7.688,6.938,7.063,0.2943,719700.0,0.0,1.0
1998-02-19,32,7.25,7.688,6.938,7.625,0.3177,316800.0,0.0,1.0
1998-02-20,33,7.813,9.063,7.75,8.625,0.3594,326700.0,0.0,1.0
1998-02-23,34,8.5,9.25,8.5,9.188,0.3828,152500.0,0.0,1.0
1998-02-24,35,9.25,9.375,8.625,8.625,0.3594,119900.0,0.0,1.0
