date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,28.0,28.5,28.0,28.5,1.8192,8800.0,0.0,1.0
1998-01-05,1,28.5,28.81,28.5,28.81,1.839,19200.0,0.0,1.0
1998-01-06,2,28.81,28.81,28.5,28.56,1.823,8600.0,0.0,1.0
1998-01-07,3,28.5,28.81,28.5,28.81,1.839,7900.0,0.0,1.0
1998-01-08,4,28.75,28.81,28.44,28.56,1.823,20700.0,0.0,1.0
1998-01-09,5,28.5,28.5,27.69,27.69,1.7675,16400.0,0.0,1.0
1998-01-12,6,27.63,27.69,27.38,27.69,1.7675,5400.0,0.0,1.0
1998-01-13,7,27.75,27.75,27.31,27.44,1.7515,14000.0,0.0,1.0
1998-01-14,8,27.19,27.87,27.19,27.81,1.7751,11300.0,0.0,1.0
1998-01-15,9,27.94,28.0,27.81,27.88,1.7796,25400.0,0.0,1.0
1998-01-16,10,28.0,28.25,28.0,28.0,1.7873,37200.0,0.0,1.0
1998-01-20,11,28.19,28.5,28.19,28.31,1.807,13800.0,0.0,1.0
1998-01-21,12,28.44,28.5,27.88,27.94,1.7834,11100.0,0.0,1.0
1998-01-22,13,27.25,27.25,26.69,26.75,1.7075,43100.0,0.0,1.0
1998-01-23,14,26.63,27.56,26.56,27.44,1.7515,26500.0,0.0,1.0
1998-01-26,15,27.56,27.75,26.75,27.44,1.7515,28300.0,0.0,1.0
1998-01-27,16,27.75,28.0,27.5,28.0,1.7873,53600.0,0.0,1.0
1998-01-28,17,28.0,28.5,27.88,27.94,1.7834,20400.0,0.0,1.0
1998-01-29,18,28.0,28.38,27.25,27.31,1.7432,49500.0,0.0,1.0
1998-01-30,19,27.44,28.0,27.31,27.94,1.7834,12300.0,0.0,1.0
1998-02-02,20,28.06,28.31,27.88,27.88,1.7796,39700.0,0.0,1.0
1998-02-03,21,27.94,28.0,27.31,27.44,1.7515,25300.0,0.0,1.0
1998-02-04,22,27.25,27.81,27.13,27.13,1.7317,44300.0,0.0,1.0
1998-02-05,23,27.0,27.38,26.69,26.81,1.7113,36400.0,0.0,1.0
1998-02-06,24,26.63,26.88,26.56,26.69,1.7113,43300.0,0.12,1.0
1998-02-09,25,26.88,27.0,26.75,26.94,1.7273,35200.0,0.0,1.0
1998-02-10,26,27.0,27.38,27.0,27.25,1.7472,36100.0,0.0,1.0
1998-02-11,27,27.25,27.31,27.13,27.31,1.7511,26000.0,0.0,1.0
1998-02-12,28,27.19,27.19,27.0,27.06,1.735,23900.0,0.0,1.0
1998-02-13,29,27.06,27.44,27.06,27.44,1.7594,15000.0,0.0,1.0
1998-02-17,30,27.31,27.5,27.31,27.5,1.7632,6200.0,0.0,1.0
1998-02-18,31,27.56,27.88,27.56,27.56,1.7671,11000.0,0.0,1.0
1998-02-19,32,27.69,28.0,27.56,27.63,1.7716,17900.0,0.0,1.0
1998-02-20,33,27.5,27.88,27.5,27.88,1.7876,10300.0,0.0,1.0
1998-02-23,34,28.0,28.13,27.88,27.88,1.7876,33600.0,0.0,1.0
1998-02-24,35,27.81,28.13,27.81,27.94,1.7915,20900.0,0.0,1.0
1998-02-25,36,28.0,29.31,28.0,29.25,1.8754,74900.0,0.0,1.0
1998-02-26,37,29.19,29.19,28.25,28.44,1.8235,41400.0,0.0,1.0
