date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,22.13,23.13,22.13,23.13,4.12,28100.0,0.0,1.0
1998-01-05,24.13,24.38,22.5,22.5,4.0078,157400.0,0.0,1.0
1998-01-06,22.38,22.38,21.0,21.69,3.8635,228800.0,0.0,1.0
1998-01-07,21.69,23.0,21.69,22.25,3.9633,41200.0,0.0,1.0
1998-01-08,22.0,23.13,22.0,23.0,4.0969,59000.0,0.0,1.0
1998-01-09,22.63,23.0,22.0,22.0,3.9187,35100.0,0.0,1.0
1998-01-12,21.5,22.13,21.38,21.38,3.8083,231800.0,0.0,1.0
1998-01-13,22.0,22.0,21.25,21.75,3.8742,25100.0,0.0,1.0
1998-01-14,21.75,22.25,21.38,21.44,3.819,146400.0,0.0,1.0
1998-01-15,21.75,21.75,21.38,21.5,3.8297,104300.0,0.0,1.0
1998-01-16,21.75,22.38,21.38,22.25,3.9633,17300.0,0.0,1.0
1998-01-20,22.0,23.13,22.0,23.13,4.12,87200.0,0.0,1.0
1998-01-21,23.0,23.13,22.88,23.0,4.0969,35400.0,0.0,1.0
1998-01-22,22.88,23.0,22.63,22.63,4.031,23100.0,0.0,1.0
1998-01-23,22.63,23.5,22.63,23.25,4.1414,52800.0,0.0,1.0
1998-01-26,23.5,23.5,22.5,22.88,4.0755,124300.0,0.0,1.0
1998-01-27,23.0,23.0,22.5,22.5,4.0078,24100.0,0.0,1.0
1998-01-28,22.5,22.75,22.5,22.63,4.031,38700.0,0.0,1.0
1998-01-29,22.63,23.25,22.63,22.88,4.0755,27100.0,0.0,1.0
1998-01-30,23.19,23.19,22.63,22.88,4.0755,32600.0,0.0,1.0
1998-02-02,23.13,24.63,23.13,24.0,4.275,145200.0,0.0,1.0
1998-02-03,23.75,24.5,23.75,24.0,4.275,39800.0,0.0,1.0
1998-02-04,24.0,24.38,23.63,23.63,4.2091,139400.0,0.0,1.0
1998-02-05,23.5,23.88,23.5,23.5,4.1859,18300.0,0.0,1.0
1998-02-06,23.88,24.38,23.5,23.75,4.2305,61700.0,0.0,1.0
1998-02-09,23.63,24.75,23.63,24.25,4.3195,181200.0,0.0,1.0
1998-02-10,24.25,25.25,24.25,25.0,4.4531,100400.0,0.0,1.0
1998-02-11,24.63,25.0,22.13,23.0,4.0969,515800.0,0.0,1.0
1998-02-12,23.25,23.63,23.0,23.63,4.2091,116100.0,0.0,1.0
1998-02-13,23.88,23.88,23.25,23.75,4.2305,40800.0,0.0,1.0
1998-02-17,24.13,24.13,23.5,23.63,4.2091,174300.0,0.0,1.0
1998-02-18,24.0,24.0,23.63,23.63,4.2091,517800.0,0.0,1.0
1998-02-19,24.0,24.0,23.38,23.38,4.1646,46200.0,0.0,1.0
1998-02-20,23.38,23.63,23.13,23.13,4.12,22300.0,0.0,1.0
1998-02-23,23.13,23.38,22.88,22.88,4.0755,155400.0,0.0,1.0
1998-02-24,22.88,23.31,22.0,22.0,3.9187,104400.0,0.0,1.0
1998-02-25,22.0,22.5,21.88,22.38,3.9864,50300.0,0.0,1.0
1998-02-26,22.25,22.25,21.88,21.88,3.8974,37300.0,0.0,1.0
1998-02-27,22.13,22.75,21.88,22.75,4.0523,69500.0,0.0,1.0
1998-03-02,22.41,22.75,21.63,21.63,3.8528,90100.0,0.0,1.0
1998-03-03,22.0,22.0,21.38,21.5,3.8297,103500.0,0.0,1.0
1998-03-04,22.0,22.0,21.5,21.63,3.8528,122400.0,0.0,1.0
1998-03-05,21.38,21.75,21.38,21.63,3.8528,57000.0,0.0,1.0
1998-03-06,21.5,22.0,21.5,21.75,3.8742,106100.0,0.0,1.0
1998-03-09,22.0,22.0,21.5,21.75,3.8742,26600.0,0.0,1.0
1998-03-10,21.75,21.75,21.5,21.5,3.8404,58100.0,0.06,1.0
1998-03-11,21.75,22.25,21.5,22.06,3.9404,487700.0,0.0,1.0
1998-03-12,22.0,22.5,22.0,22.13,3.9529,74300.0,0.0,1.0
1998-03-13,22.13,23.13,22.0,22.75,4.0636,61800.0,0.0,1.0
1998-03-16,23.0,23.88,22.5,23.63,4.2208,198100.0,0.0,1.0
1998-03-17,23.25,23.38,22.75,23.0,4.1083,229100.0,0.0,1.0
1998-03-18,22.75,23.13,22.75,23.13,4.1315,387500.0,0.0,1.0
1998-03-19,23.25,23.69,23.0,23.5,4.1976,149300.0,0.0,1.0
1998-03-20,23.25,23.63,23.25,23.5,4.1976,64500.0,0.0,1.0
1998-03-23,23.25,23.63,23.25,23.25,4.153,92000.0,0.0,1.0
1998-03-24,23.38,24.13,23.25,24.0,4.2869,226700.0,0.0,1.0
1998-03-25,24.0,24.63,23.5,23.5,4.1976,102100.0,0.0,1.0
1998-03-26,24.25,24.25,23.5,23.5,4.1976,86200.0,0.0,1.0
1998-03-27,23.5,24.0,23.5,23.81,4.253,55200.0,0.0,1.0
1998-03-30,23.88,24.13,23.88,24.0,4.2869,34000.0,0.0,1.0
1998-03-31,24.0,26.25,24.0,26.0,4.6442,255600.0,0.0,1.0
1998-04-01,24.63,25.0,24.31,24.75,4.4209,404200.0,0.0,1.0
1998-04-02,24.63,27.0,24.25,26.75,4.7781,290000.0,0.0,1.0
1998-04-03,25.63,25.94,25.0,25.13,4.4888,414400.0,0.0,1.0
1998-04-06,25.0,26.0,24.75,25.31,4.5209,79300.0,0.0,1.0
1998-04-07,25.13,25.13,24.75,24.75,4.4209,34900.0,0.0,1.0
1998-04-08,24.75,24.88,24.5,24.5,4.3762,124000.0,0.0,1.0
1998-04-09,24.5,24.75,23.75,24.0,4.2869,55400.0,0.0,1.0
1998-04-13,24.0,24.0,22.75,23.25,4.153,78500.0,0.0,1.0
1998-04-14,23.38,23.63,22.88,23.13,4.1315,58400.0,0.0,1.0
1998-04-15,22.88,23.0,22.38,23.0,4.1083,670800.0,0.0,1.0
1998-04-16,22.75,23.75,22.75,23.31,4.1637,31600.0,0.0,1.0
1998-04-17,23.38,23.75,23.0,23.31,4.1637,81600.0,0.0,1.0
1998-04-20,22.88,23.25,22.75,23.25,4.153,69900.0,0.0,1.0
1998-04-21,23.0,23.25,22.88,23.0,4.1083,56500.0,0.0,1.0
1998-04-22,23.25,23.38,22.88,23.25,4.153,225900.0,0.0,1.0
1998-04-23,23.38,23.38,22.75,23.13,4.1315,171300.0,0.0,1.0
