date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,140.0,140.8,134.3,136.1,22.1274,284400.0,0.0,1.0
1998-01-05,1,135.3,136.5,132.3,135.0,21.9486,452233.0,0.0,1.0
1998-01-06,2,133.5,135.3,132.5,134.6,21.8835,136133.0,0.0,1.0
1998-01-07,3,133.3,134.0,132.5,133.4,21.6884,289467.0,0.0,1.0
1998-01-08,4,132.3,132.7,128.0,130.6,21.2332,338333.0,0.0,1.0
1998-01-09,5,129.8,130.6,124.8,127.3,20.6967,326633.0,0.0,1.0
1998-01-12,6,125.8,132.0,123.5,131.0,21.2982,186833.0,0.0,1.0
1998-01-13,7,131.0,137.0,129.3,135.0,21.9486,248233.0,0.0,1.0
1998-01-14,8,133.0,135.5,131.0,132.1,21.4771,121667.0,0.0,1.0
1998-01-15,9,131.0,132.9,130.0,132.5,21.5421,70767.0,0.0,1.0
1998-01-16,10,133.8,135.0,131.0,132.3,21.5096,142500.0,0.0,1.0
1998-01-20,11,134.9,135.0,132.0,133.8,21.7535,212733.0,0.0,1.0
1998-01-21,12,132.0,134.1,131.8,132.8,21.5909,93567.0,0.0,1.0
1998-01-22,13,131.5,133.4,129.3,129.4,21.0381,125100.0,0.0,1.0
1998-01-23,14,129.4,130.9,127.5,127.6,20.7455,107233.0,0.0,1.0
1998-01-26,15,128.1,128.5,125.6,126.3,20.5341,54533.0,0.0,1.0
1998-01-27,16,125.6,127.8,125.0,127.8,20.778,198400.0,0.0,1.0
1998-01-28,17,126.3,128.1,126.0,127.3,20.6967,41533.0,0.0,1.0
1998-01-29,18,128.3,131.4,125.0,129.8,21.1031,89167.0,0.0,1.0
1998-01-30,19,128.3,130.3,126.5,127.5,20.7292,82200.0,0.0,1.0
1998-02-02,20,130.0,131.0,127.5,129.9,21.1194,148900.0,0.0,1.0
1998-02-03,21,128.0,130.6,127.5,129.5,21.0544,55433.0,0.0,1.0
1998-02-04,22,129.0,130.3,128.0,129.9,21.1194,44867.0,0.0,1.0
1998-02-05,23,129.9,130.1,126.6,128.3,20.8593,43433.0,0.0,1.0
1998-02-06,24,127.9,129.5,127.3,128.6,20.908,40667.0,0.0,1.0
1998-02-09,25,130.5,131.5,129.3,131.1,21.3145,63033.0,0.0,1.0
1998-02-10,26,130.1,133.0,130.1,132.0,21.4608,93567.0,0.0,1.0
1998-02-11,27,131.5,133.0,130.5,131.5,21.3795,56400.0,0.0,1.0
1998-02-12,28,129.5,134.3,129.5,133.8,21.7535,84000.0,0.0,1.0
1998-02-13,29,133.3,134.5,133.0,133.7,21.7372,32033.0,0.0,1.0
1998-02-17,30,134.0,134.5,131.5,133.5,21.7047,172733.0,0.0,1.0
1998-02-18,31,133.5,135.4,131.0,133.8,21.7535,84300.0,0.0,1.0
1998-02-19,32,132.2,133.9,131.0,132.4,21.5258,46700.0,0.0,1.0
1998-02-20,33,135.5,135.9,133.6,135.9,22.0949,89367.0,0.0,1.0
1998-02-23,34,135.9,137.0,134.5,135.1,21.9648,150333.0,0.0,1.0
1998-02-24,35,135.3,135.5,130.6,132.0,21.4608,56967.0,0.0,1.0
1998-02-25,36,132.8,133.0,131.0,132.0,21.4608,57833.0,0.0,1.0
1998-02-26,37,133.0,135.9,131.8,135.3,21.9973,60500.0,0.0,1.0
1998-02-27,38,135.0,135.0,133.1,135.0,21.9486,31167.0,0.0,1.0
