date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,74.5,74.5,72.69,73.25,11.8961,451500.0,0.0,1.0
1998-01-05,1,74.0,74.88,73.25,74.88,12.1608,770000.0,0.0,1.0
1998-01-06,2,74.94,74.94,71.75,71.94,11.6833,861600.0,0.0,1.0
1998-01-07,3,70.25,71.63,69.88,71.63,11.633,1125100.0,0.0,1.0
1998-01-08,4,71.63,71.75,69.38,69.75,11.3277,949700.0,0.0,1.0
1998-01-09,5,69.0,69.06,67.5,68.0,11.0435,1796200.0,0.0,1.0
1998-01-12,6,67.25,68.44,67.25,67.88,11.024,1351000.0,0.0,1.0
1998-01-13,7,68.06,68.25,67.5,68.0,11.0435,1201400.0,0.0,1.0
1998-01-14,8,68.25,69.5,67.88,69.44,11.2773,1676500.0,0.0,1.0
1998-01-15,9,69.44,69.44,67.75,69.19,11.2367,1050300.0,0.0,1.0
1998-01-16,10,70.0,71.0,69.69,70.69,11.4803,1088200.0,0.0,1.0
1998-01-20,11,70.56,71.25,70.31,71.06,11.5404,812600.0,0.0,1.0
1998-01-21,12,71.0,71.25,69.75,70.0,11.3683,921100.0,0.0,1.0
1998-01-22,13,69.13,69.88,68.88,69.44,11.2773,721400.0,0.0,1.0
1998-01-23,14,69.75,70.19,68.75,69.06,11.2603,1183400.0,0.275,1.0
1998-01-26,15,69.63,70.19,69.06,69.81,11.3826,443900.0,0.0,1.0
1998-01-27,16,69.69,71.25,69.63,70.63,11.5163,979000.0,0.0,1.0
1998-01-28,17,70.88,71.69,70.44,71.5,11.6581,763500.0,0.0,1.0
1998-01-29,18,71.81,72.63,71.06,72.31,11.7902,1691000.0,0.0,1.0
1998-01-30,19,72.5,73.81,72.13,73.25,11.9435,1218500.0,0.0,1.0
1998-02-02,20,74.0,74.5,73.63,74.5,12.1473,940300.0,0.0,1.0
1998-02-03,21,74.81,75.75,73.25,75.75,12.3511,2006300.0,0.0,1.0
1998-02-04,22,75.5,76.5,75.0,76.19,12.4228,1305500.0,0.0,1.0
1998-02-05,23,76.69,77.63,76.5,77.63,12.6576,986500.0,0.0,1.0
1998-02-06,24,77.5,78.25,77.44,77.63,12.6576,1099300.0,0.0,1.0
1998-02-09,25,77.88,78.75,77.13,78.31,12.7685,780100.0,0.0,1.0
1998-02-10,26,78.13,78.88,77.63,78.69,12.8305,673100.0,0.0,1.0
1998-02-11,27,78.56,80.5,78.25,80.31,13.0946,916000.0,0.0,1.0
1998-02-12,28,79.75,81.69,79.25,81.13,13.2283,897300.0,0.0,1.0
1998-02-13,29,81.0,81.0,79.25,80.13,13.0653,648500.0,0.0,1.0
1998-02-17,30,80.0,80.31,77.63,77.88,12.6984,1364900.0,0.0,1.0
1998-02-18,31,78.06,79.94,78.0,79.31,12.9316,752100.0,0.0,1.0
1998-02-19,32,80.5,80.5,78.25,78.25,12.7587,671300.0,0.0,1.0
1998-02-20,33,78.81,80.13,78.25,80.06,13.0538,682400.0,0.0,1.0
1998-02-23,34,80.0,80.06,78.63,79.0,12.880999999999998,556800.0,0.0,1.0
1998-02-24,35,78.75,79.88,78.38,78.5,12.7995,572800.0,0.0,1.0
1998-02-25,36,78.88,79.69,78.56,78.88,12.8614,738600.0,0.0,1.0
1998-02-26,37,78.63,79.0,78.25,79.0,12.880999999999998,345300.0,0.0,1.0
1998-02-27,38,79.25,81.81,78.75,81.19,13.2381,655900.0,0.0,1.0
1998-03-02,39,80.94,81.56,80.06,81.13,13.2283,611000.0,0.0,1.0
1998-03-03,40,80.25,81.25,79.5,80.25,13.0848,611000.0,0.0,1.0
1998-03-04,41,79.75,80.13,78.75,79.31,12.9316,1042700.0,0.0,1.0
1998-03-05,42,79.0,79.44,78.63,79.19,12.912,914900.0,0.0,1.0
1998-03-06,43,80.25,84.25,80.25,83.94,13.6865,1730400.0,0.0,1.0
1998-03-09,44,83.94,87.5,83.5,86.75,14.1446,1364600.0,0.0,1.0
1998-03-10,45,87.88,87.88,85.38,86.81,14.1544,991400.0,0.0,1.0
1998-03-11,46,86.25,88.0,86.0,87.81,14.3175,650200.0,0.0,1.0
1998-03-12,47,87.13,87.38,85.25,85.44,13.9311,850300.0,0.0,1.0
1998-03-13,48,84.5,85.5,82.88,83.81,13.6653,815800.0,0.0,1.0
1998-03-16,49,84.0,84.63,83.25,83.56,13.6245,670100.0,0.0,1.0
1998-03-17,50,83.81,84.94,83.5,84.75,13.8185,759600.0,0.0,1.0
1998-03-18,51,84.75,86.31,84.63,85.94,14.0126,590500.0,0.0,1.0
1998-03-19,52,85.69,86.5,84.19,85.19,13.8903,575900.0,0.0,1.0
1998-03-20,53,85.44,85.69,84.5,85.63,13.962,751200.0,0.0,1.0
1998-03-23,54,85.38,86.0,84.69,85.63,13.962,417400.0,0.0,1.0
1998-03-24,55,86.25,86.75,85.75,86.75,14.1446,363500.0,0.0,1.0
1998-03-25,56,86.75,87.25,84.56,85.75,13.9816,574300.0,0.0,1.0
1998-03-26,57,86.75,88.88,85.81,86.88,14.1658,704500.0,0.0,1.0
1998-03-27,58,88.75,88.75,85.13,86.63,14.1251,820500.0,0.0,1.0
1998-03-30,59,86.38,87.5,85.25,86.56,14.1137,457900.0,0.0,1.0
1998-03-31,60,86.56,87.44,85.63,86.75,14.1446,535300.0,0.0,1.0
1998-04-01,61,86.5,88.0,86.19,87.75,14.3077,530000.0,0.0,1.0
1998-04-02,62,88.0,88.13,86.0,87.13,14.2066,1067500.0,0.0,1.0
1998-04-03,63,87.75,88.06,86.5,87.75,14.3077,547400.0,0.0,1.0
1998-04-06,64,88.0,88.63,87.06,87.06,14.1952,608900.0,0.0,1.0
1998-04-07,65,87.19,87.25,84.75,85.63,13.962,679200.0,0.0,1.0
1998-04-08,66,85.25,85.75,84.56,84.63,13.799,584800.0,0.0,1.0
1998-04-09,67,84.94,86.13,84.75,85.75,13.9816,470500.0,0.0,1.0
1998-04-13,68,85.5,85.94,83.63,85.44,13.9311,609000.0,0.0,1.0
1998-04-14,69,85.19,85.19,84.31,84.38,13.7582,382000.0,0.0,1.0
1998-04-15,70,85.0,85.0,83.0,83.19,13.5642,851000.0,0.0,1.0
1998-04-16,71,83.25,83.38,81.5,82.44,13.4419,719000.0,0.0,1.0
1998-04-17,72,83.5,86.25,82.69,85.75,13.9816,838100.0,0.0,1.0
1998-04-20,73,87.63,87.94,86.0,87.75,14.3077,931500.0,0.0,1.0
1998-04-21,74,86.75,86.75,85.63,85.88,14.0028,479700.0,0.0,1.0
1998-04-22,75,86.25,89.88,85.38,89.5,14.593,1892700.0,0.0,1.0
1998-04-23,76,89.75,91.5,88.13,89.31,14.6069,1195800.0,0.275,1.0
1998-04-24,77,89.5,89.63,86.75,87.75,14.3518,1111600.0,0.0,1.0
1998-04-27,78,86.75,87.19,85.63,87.0,14.2291,1511300.0,0.0,1.0
1998-04-28,79,87.75,88.0,86.06,86.81,14.198,925600.0,0.0,1.0
1998-04-29,80,86.88,87.88,86.25,87.69,14.3419,677600.0,0.0,1.0
1998-04-30,81,88.0,90.38,87.88,89.69,14.669,872800.0,0.0,1.0
1998-05-01,82,89.5,91.0,89.5,90.19,14.7508,427800.0,0.0,1.0
1998-05-04,83,90.88,90.88,88.81,89.13,14.5775,835700.0,0.0,1.0
1998-05-05,84,89.13,90.0,88.38,89.13,14.5775,574800.0,0.0,1.0
1998-05-06,85,89.0,89.0,87.63,88.0,14.3926,624400.0,0.0,1.0
1998-05-07,86,88.0,89.13,87.75,88.31,14.4433,986800.0,0.0,1.0
1998-05-08,87,88.31,90.44,88.0,88.06,14.4025,652700.0,0.0,1.0
1998-05-11,88,88.06,88.5,87.13,87.75,14.3518,716900.0,0.0,1.0
1998-05-12,89,87.38,88.81,87.38,88.38,14.4548,612200.0,0.0,1.0
1998-05-13,90,88.25,88.5,87.69,88.0,14.3926,463300.0,0.0,1.0
1998-05-14,91,87.38,90.13,87.06,89.69,14.669,698000.0,0.0,1.0
1998-05-15,92,89.5,89.69,88.5,88.94,14.5464,537300.0,0.0,1.0
1998-05-18,93,88.75,90.88,88.06,90.63,14.8228,327300.0,0.0,1.0
1998-05-19,94,90.63,90.63,89.25,89.88,14.7001,581300.0,0.0,1.0
1998-05-20,95,90.62,90.81,87.75,89.0,14.5562,978400.0,0.0,1.0
1998-05-21,96,89.25,90.5,89.0,89.44,14.6282,495200.0,0.0,1.0
1998-05-22,97,89.44,89.56,88.0,88.56,14.4842,360900.0,0.0,1.0
1998-05-26,98,88.75,89.06,86.31,86.31,14.1162,595200.0,0.0,1.0
1998-05-27,99,85.88,87.13,84.88,87.13,14.2504,819100.0,0.0,1.0
1998-05-28,100,87.0,87.19,86.0,86.56,14.1571,534000.0,0.0,1.0
1998-05-29,101,86.81,87.5,86.63,87.0,14.2291,569900.0,0.0,1.0
1998-06-01,102,87.0,88.75,86.25,87.88,14.373,504000.0,0.0,1.0
1998-06-02,103,88.25,88.5,86.63,87.0,14.2291,800200.0,0.0,1.0
1998-06-03,104,87.0,88.38,86.69,87.0,14.2291,604300.0,0.0,1.0
1998-06-04,105,86.81,88.0,85.88,87.88,14.373,326900.0,0.0,1.0
1998-06-05,106,88.75,89.5,87.56,89.5,14.638,431800.0,0.0,1.0
1998-06-08,107,89.5,90.5,89.0,89.88,14.7001,421300.0,0.0,1.0
1998-06-09,108,89.75,89.81,88.19,88.81,14.5251,539000.0,0.0,1.0
1998-06-10,109,88.56,90.5,87.88,88.31,14.4433,572800.0,0.0,1.0
1998-06-11,110,88.13,88.88,87.63,88.06,14.4025,546700.0,0.0,1.0
1998-06-12,111,88.06,88.38,86.25,87.44,14.3011,646100.0,0.0,1.0
1998-06-15,112,86.75,87.63,86.25,86.44,14.1375,576900.0,0.0,1.0
1998-06-16,113,86.31,87.0,84.94,86.63,14.1686,538100.0,0.0,1.0
1998-06-17,114,87.25,90.0,86.75,89.69,14.669,788800.0,0.0,1.0
1998-06-18,115,89.69,92.13,89.25,91.44,14.9553,683500.0,0.0,1.0
1998-06-19,116,91.0,91.0,87.25,87.88,14.373,1359400.0,0.0,1.0
1998-06-22,117,87.38,87.75,86.56,87.25,14.27,737800.0,0.0,1.0
1998-06-23,118,87.0,88.94,86.63,87.81,14.3616,839500.0,0.0,1.0
1998-06-24,119,88.0,89.94,86.88,89.75,14.6789,582400.0,0.0,1.0
1998-06-25,120,89.75,89.94,87.25,87.69,14.3419,578100.0,0.0,1.0
1998-06-26,121,87.75,89.0,87.44,88.13,14.4139,526900.0,0.0,1.0
1998-06-29,122,89.0,89.94,88.5,89.0,14.5562,536700.0,0.0,1.0
1998-06-30,123,88.63,89.06,88.0,88.0,14.3926,765600.0,0.0,1.0
1998-07-01,124,88.25,88.81,87.75,88.63,14.4957,739500.0,0.0,1.0
1998-07-02,125,88.63,89.0,87.81,88.25,14.4335,475500.0,0.0,1.0
1998-07-06,126,88.0,91.5,88.0,91.13,14.9046,526400.0,0.0,1.0
1998-07-07,127,91.25,91.88,90.81,91.5,14.9651,547800.0,0.0,1.0
1998-07-08,128,91.31,93.0,91.25,92.94,15.2006,825400.0,0.0,1.0
1998-07-09,129,93.0,93.0,90.75,90.94,14.8735,720700.0,0.0,1.0
1998-07-10,130,90.75,95.19,90.75,94.13,15.3952,730400.0,0.0,1.0
1998-07-13,131,94.25,94.5,92.0,93.75,15.3331,776200.0,0.0,1.0
1998-07-14,132,94.75,97.81,94.63,95.81,15.67,788400.0,0.0,1.0
1998-07-15,133,96.06,97.13,95.88,96.19,15.7321,541400.0,0.0,1.0
1998-07-16,134,95.75,96.06,94.38,95.13,15.5588,653100.0,0.0,1.0
1998-07-17,135,95.13,95.88,92.56,95.69,15.6504,743200.0,0.0,1.0
1998-07-20,136,96.63,97.63,94.5,95.44,15.6095,481700.0,0.0,1.0
1998-07-21,137,95.19,96.38,94.0,94.88,15.5179,769900.0,0.0,1.0
1998-07-22,138,94.5,95.94,94.44,95.0,15.5375,563100.0,0.0,1.0
1998-07-23,139,95.25,98.5,95.25,96.94,15.8998,1085800.0,0.275,1.0
1998-07-24,140,98.13,98.88,95.88,96.38,15.8079,933100.0,0.0,1.0
1998-07-27,141,96.13,96.13,94.0,95.63,15.6849,840800.0,0.0,1.0
1998-07-28,142,95.38,95.88,92.69,95.75,15.7046,761200.0,0.0,1.0
1998-07-29,143,96.0,97.13,95.5,96.31,15.7965,665800.0,0.0,1.0
1998-07-30,144,96.94,97.38,94.25,96.25,15.7866,683100.0,0.0,1.0
1998-07-31,145,95.63,96.0,92.0,92.25,15.1305,662400.0,0.0,1.0
1998-08-03,146,92.75,93.31,91.0,91.75,15.0485,625600.0,0.0,1.0
1998-08-04,147,92.5,92.75,89.88,89.88,14.7418,979100.0,0.0,1.0
1998-08-05,148,90.25,91.25,88.63,89.75,14.7205,1507700.0,0.0,1.0
1998-08-06,149,89.38,90.56,87.5,90.31,14.8124,768800.0,0.0,1.0
1998-08-07,150,90.19,90.19,87.13,88.19,14.4646,1008100.0,0.0,1.0
1998-08-10,151,88.0,89.25,86.94,87.69,14.3826,721700.0,0.0,1.0
1998-08-11,152,87.0,87.06,84.38,85.63,14.0448,839400.0,0.0,1.0
1998-08-12,153,87.0,87.56,84.38,87.56,14.3613,644600.0,0.0,1.0
1998-08-13,154,87.5,88.25,85.44,86.38,14.1678,572100.0,0.0,1.0
1998-08-14,155,86.38,86.5,84.56,85.19,13.9726,426700.0,0.0,1.0
1998-08-17,156,84.5,88.0,84.13,87.44,14.3416,848800.0,0.0,1.0
1998-08-18,157,87.44,88.0,85.63,85.81,14.0743,563500.0,0.0,1.0
1998-08-19,158,86.5,86.5,84.5,84.75,13.9004,665200.0,0.0,1.0
1998-08-20,159,84.81,84.81,81.94,82.0,13.4494,1242500.0,0.0,1.0
1998-08-21,160,82.0,83.0,80.5,83.0,13.6134,1660000.0,0.0,1.0
1998-08-24,161,83.25,84.88,83.19,84.88,13.9217,848200.0,0.0,1.0
1998-08-25,162,85.25,86.88,83.75,83.75,13.7364,871500.0,0.0,1.0
1998-08-26,163,83.25,86.19,83.0,85.63,14.0448,819200.0,0.0,1.0
1998-08-27,164,83.75,84.25,80.75,80.88,13.2657,1391000.0,0.0,1.0
1998-08-28,165,81.0,82.5,77.13,77.94,12.7835,1831400.0,0.0,1.0
1998-08-31,166,78.0,78.31,71.88,72.13,11.8305,1894900.0,0.0,1.0
1998-09-01,167,72.13,75.88,70.63,75.0,12.3013,1699700.0,0.0,1.0
1998-09-02,168,77.0,77.0,72.19,73.0,11.9732,1764200.0,0.0,1.0
1998-09-03,169,72.0,74.13,71.0,71.75,11.7682,2184600.0,0.0,1.0
1998-09-04,170,71.88,72.25,69.0,70.0,11.4812,1132000.0,0.0,1.0
1998-09-08,171,73.0,75.5,70.56,74.75,12.2603,1304900.0,0.0,1.0
1998-09-09,172,74.25,74.25,70.56,70.88,11.6255,1221800.0,0.0,1.0
1998-09-10,173,68.25,69.25,65.69,68.13,11.1745,1586900.0,0.0,1.0
1998-09-11,174,66.75,70.38,66.25,69.75,11.4402,2121400.0,0.0,1.0
