date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,79.25,79.44,78.0,79.12,22.9109,99400.0,0.0,1.0
1998-01-05,1,78.62,79.12,77.88,79.12,22.9109,193200.0,0.0,1.0
1998-01-06,2,78.75,79.75,77.5,78.06,22.6039,122500.0,0.0,1.0
1998-01-07,3,77.5,77.62,76.62,77.31,22.3868,146600.0,0.0,1.0
1998-01-08,4,77.38,77.88,76.75,76.88,22.2623,172200.0,0.0,1.0
1998-01-09,5,76.62,77.94,75.94,77.5,22.4418,287900.0,0.0,1.0
1998-01-12,6,76.75,78.62,75.19,77.0,22.297,357700.0,0.0,1.0
1998-01-13,7,76.12,77.62,76.12,77.12,22.3317,287400.0,0.0,1.0
1998-01-14,8,77.38,79.25,76.5,79.06,22.8935,312800.0,0.0,1.0
1998-01-15,9,78.81,79.38,77.0,77.5,22.4418,180200.0,0.0,1.0
1998-01-16,10,78.0,78.12,77.0,77.5,22.4418,209600.0,0.0,1.0
1998-01-20,11,75.5,77.38,75.5,76.44,22.1348,410800.0,0.0,1.0
1998-01-21,12,76.0,76.44,74.38,75.06,21.7352,473700.0,0.0,1.0
1998-01-22,13,74.81,77.25,74.69,76.69,22.2072,416100.0,0.0,1.0
1998-01-23,14,76.44,76.75,74.81,75.94,21.9901,222600.0,0.0,1.0
1998-01-26,15,76.31,76.38,75.5,76.12,22.0422,125000.0,0.0,1.0
1998-01-27,16,75.75,77.06,75.75,76.44,22.1348,264200.0,0.0,1.0
1998-01-28,17,76.19,76.38,75.5,76.06,22.1175,260700.0,0.32,1.0
1998-01-29,18,76.31,78.25,76.12,76.56,22.2629,227700.0,0.0,1.0
1998-01-30,19,76.62,77.38,76.25,76.62,22.2803,142900.0,0.0,1.0
1998-02-02,20,77.44,79.5,77.44,78.12,22.7165,198200.0,0.0,1.0
1998-02-03,21,77.88,79.0,77.88,79.0,22.9724,108900.0,0.0,1.0
1998-02-04,22,79.0,79.0,78.25,78.5,22.827,345000.0,0.0,1.0
1998-02-05,23,78.38,79.0,78.31,78.5,22.827,240300.0,0.0,1.0
1998-02-06,24,78.88,79.94,78.88,79.44,23.1003,100200.0,0.0,1.0
1998-02-09,25,79.31,79.75,78.5,79.25,23.0451,139200.0,0.0,1.0
1998-02-10,26,79.25,80.88,79.19,79.81,23.2079,285000.0,0.0,1.0
1998-02-11,27,79.44,81.25,79.44,80.88,23.5191,272800.0,0.0,1.0
1998-02-12,28,80.5,82.44,79.88,82.31,23.9349,202400.0,0.0,1.0
1998-02-13,29,81.88,83.12,81.75,82.75,24.0628,228300.0,0.0,1.0
1998-02-17,30,82.94,83.19,80.94,81.62,23.7343,250400.0,0.0,1.0
1998-02-18,31,81.5,83.62,81.5,82.62,24.025,378600.0,0.0,1.0
1998-02-19,32,82.81,83.44,82.44,82.94,24.1181,250700.0,0.0,1.0
1998-02-20,33,83.38,84.75,82.75,84.56,24.5892,271000.0,0.0,1.0
1998-02-23,34,84.81,86.5,84.69,85.5,24.8625,302300.0,0.0,1.0
1998-02-24,35,85.44,86.31,85.06,85.44,24.8451,241900.0,0.0,1.0
1998-02-25,36,85.44,87.19,85.38,86.56,25.1708,164500.0,0.0,1.0
1998-02-26,37,86.69,87.0,86.19,86.94,25.2813,153400.0,0.0,1.0
1998-02-27,38,86.69,88.0,86.56,87.75,25.5168,165100.0,0.0,1.0
1998-03-02,39,87.81,88.25,87.19,87.69,25.4993,161600.0,0.0,1.0
1998-03-03,40,87.81,88.62,87.62,88.38,25.7,239100.0,0.0,1.0
1998-03-04,41,87.75,87.75,85.56,85.81,24.9527,529400.0,0.0,1.0
1998-03-05,42,85.38,86.38,85.38,86.12,25.0428,431200.0,0.0,1.0
1998-03-06,43,86.31,87.5,86.25,87.25,25.3714,407400.0,0.0,1.0
1998-03-09,44,87.31,89.25,87.31,89.0,25.8803,291800.0,0.0,1.0
1998-03-10,45,88.81,89.44,88.0,88.88,25.8454,236800.0,0.0,1.0
1998-03-11,46,89.12,89.94,88.56,88.69,25.7901,165000.0,0.0,1.0
1998-03-12,47,89.0,89.0,87.0,87.81,25.5342,161800.0,0.0,1.0
1998-03-13,48,87.81,87.81,86.62,86.81,25.2435,183900.0,0.0,1.0
1998-03-16,49,87.06,87.44,86.5,86.69,25.2086,175200.0,0.0,1.0
1998-03-17,50,86.69,87.12,86.69,86.88,25.2638,340400.0,0.0,1.0
1998-03-18,51,87.5,88.5,87.19,87.5,25.4441,225800.0,0.0,1.0
1998-03-19,52,87.25,88.56,87.19,88.25,25.6622,98500.0,0.0,1.0
1998-03-20,53,88.5,88.69,87.88,88.56,25.7523,126300.0,0.0,1.0
1998-03-23,54,88.0,88.19,87.0,87.69,25.4993,131000.0,0.0,1.0
1998-03-24,55,87.25,87.25,86.5,87.06,25.3162,297100.0,0.0,1.0
1998-03-25,56,87.0,87.5,85.12,86.0,25.0079,265300.0,0.0,1.0
1998-03-26,57,86.38,87.06,85.56,86.62,25.1882,265900.0,0.0,1.0
1998-03-27,58,85.75,86.38,83.75,84.0,24.4263,306500.0,0.0,1.0
1998-03-30,59,84.0,85.88,84.0,85.06,24.7346,288700.0,0.0,1.0
1998-03-31,60,85.94,86.19,84.5,85.94,24.9905,170300.0,0.0,1.0
1998-04-01,61,85.69,87.31,84.62,87.31,25.3888,310900.0,0.0,1.0
1998-04-02,62,87.06,89.0,86.62,88.56,25.7523,229000.0,0.0,1.0
1998-04-03,63,88.56,89.44,88.0,89.44,26.0082,234400.0,0.0,1.0
1998-04-06,64,89.44,90.19,89.12,89.5,26.0257,289600.0,0.0,1.0
1998-04-07,65,89.38,90.0,87.56,88.12,25.6244,232400.0,0.0,1.0
1998-04-08,66,88.38,88.38,87.0,87.75,25.5168,200600.0,0.0,1.0
1998-04-09,67,87.69,88.19,87.0,87.56,25.4615,86000.0,0.0,1.0
1998-04-13,68,87.31,87.31,85.44,86.94,25.2813,175300.0,0.0,1.0
1998-04-14,69,86.94,87.06,85.75,86.31,25.0981,101000.0,0.0,1.0
1998-04-15,70,86.19,86.19,84.56,85.5,24.8625,252200.0,0.0,1.0
1998-04-16,71,85.06,85.25,84.25,84.5,24.5717,130600.0,0.0,1.0
1998-04-17,72,84.0,84.88,83.25,84.44,24.5543,355000.0,0.0,1.0
1998-04-20,73,83.88,84.56,83.75,84.56,24.5892,194900.0,0.0,1.0
1998-04-21,74,85.69,86.12,84.75,85.38,24.8276,241900.0,0.0,1.0
1998-04-22,75,85.0,85.38,84.62,84.94,24.7927,126900.0,0.32,1.0
1998-04-23,76,84.44,85.06,84.06,84.38,24.6293,281000.0,0.0,1.0
1998-04-24,77,84.62,85.25,81.5,81.56,23.8062,900400.0,0.0,1.0
1998-04-27,78,81.44,81.44,80.06,80.75,23.5697,416800.0,0.0,1.0
1998-04-28,79,81.0,81.31,79.12,79.75,23.2778,338300.0,0.0,1.0
1998-04-29,80,80.0,80.44,79.56,80.19,23.4063,582700.0,0.0,1.0
1998-04-30,81,82.0,84.06,81.56,83.94,24.5008,370100.0,0.0,1.0
1998-05-01,82,83.88,83.94,82.06,82.69,24.136,354300.0,0.0,1.0
1998-05-04,83,82.75,82.88,80.06,81.5,23.7886,279400.0,0.0,1.0
1998-05-05,84,81.06,81.38,80.75,81.0,23.6427,101600.0,0.0,1.0
1998-05-06,85,80.62,81.06,79.62,80.0,23.3508,185900.0,0.0,1.0
1998-05-07,86,80.06,81.12,79.75,81.0,23.6427,229000.0,0.0,1.0
1998-05-08,87,81.06,83.12,81.06,82.5,24.0805,198500.0,0.0,1.0
1998-05-11,88,82.25,82.5,81.31,81.69,23.8441,200800.0,0.0,1.0
1998-05-12,89,81.19,82.12,80.69,82.06,23.9521,175600.0,0.0,1.0
1998-05-13,90,82.31,82.38,80.5,81.25,23.7157,180700.0,0.0,1.0
