date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,90.13,91.5,90.0,91.0,33.6324,274600.0,0.0,1.0
1998-01-05,91.0,91.25,90.44,91.25,33.7248,230400.0,0.0,1.0
1998-01-06,91.0,91.06,88.38,88.44,32.6863,255400.0,0.0,1.0
1998-01-07,88.19,88.75,86.56,86.88,32.1097,358200.0,0.0,1.0
1998-01-08,86.5,87.0,84.0,85.0,31.4149,244667.0,0.0,1.0
1998-01-09,85.5,85.88,83.0,83.5,30.8605,432267.0,0.0,1.0
1998-01-12,82.0,83.5,81.5,83.5,30.8605,311667.0,0.0,1.0
1998-01-13,83.31,84.5,82.75,84.38,31.1858,225067.0,0.0,1.0
1998-01-14,84.88,86.38,84.75,86.25,31.8769,176800.0,0.0,1.0
1998-01-15,86.0,86.38,85.0,85.94,31.7623,116067.0,0.0,1.0
1998-01-16,86.75,88.63,86.5,88.0,32.5237,294600.0,0.0,1.0
1998-01-20,87.75,91.25,87.63,91.13,33.6805,329667.0,0.0,1.0
1998-01-21,92.0,92.25,88.44,88.69,32.7787,348067.0,0.0,1.0
1998-01-22,88.69,89.0,88.0,88.25,32.6161,192000.0,0.0,1.0
1998-01-23,88.31,88.88,85.25,86.81,32.0839,444200.0,0.0,1.0
1998-01-26,86.81,88.19,86.75,87.06,32.1763,282867.0,0.0,1.0
1998-01-27,86.81,90.75,86.81,90.31,33.3774,446667.0,0.0,1.0
1998-01-28,90.25,91.94,90.0,91.25,33.7248,400600.0,0.0,1.0
1998-01-29,91.13,93.44,91.0,93.19,34.4418,457400.0,0.0,1.0
1998-01-30,93.19,94.75,93.19,94.38,34.8816,383800.0,0.0,1.0
1998-02-02,94.44,98.94,94.13,98.0,36.2196,605867.0,0.0,1.0
1998-02-03,97.5,99.88,96.88,97.69,36.105,411000.0,0.0,1.0
1998-02-04,97.75,97.88,95.94,96.19,35.5506,267067.0,0.0,1.0
1998-02-05,96.19,96.31,94.88,96.06,35.5026,252600.0,0.0,1.0
1998-02-06,96.19,97.38,96.19,96.88,35.8056,160600.0,0.0,1.0
1998-02-09,96.63,96.94,95.75,96.5,35.6652,266667.0,0.0,1.0
1998-02-10,96.25,97.5,95.88,96.69,35.7354,232667.0,0.0,1.0
1998-02-11,96.13,96.63,94.88,95.56,35.3178,398067.0,0.0,1.0
1998-02-12,95.38,95.44,94.63,95.38,35.2512,331867.0,0.0,1.0
1998-02-13,95.0,95.06,94.0,94.63,34.974,182200.0,0.0,1.0
1998-02-17,94.75,95.38,94.5,94.75,35.0184,344200.0,0.0,1.0
1998-02-18,94.38,95.94,93.75,95.25,35.2032,303867.0,0.0,1.0
1998-02-19,95.0,95.06,94.31,95.0,35.1108,222467.0,0.0,1.0
1998-02-20,95.0,95.38,94.38,95.0,35.1108,294867.0,0.0,1.0
1998-02-23,95.25,97.19,95.25,96.75,35.7576,388800.0,0.0,1.0
1998-02-24,96.81,97.38,96.44,96.81,35.7797,283200.0,0.0,1.0
1998-02-25,97.0,99.38,97.0,98.56,36.4265,267000.0,0.0,1.0
1998-02-26,98.31,100.1,97.81,99.75,36.8663,242000.0,0.0,1.0
1998-02-27,100.0,100.8,99.5,100.8,37.2544,404867.0,0.0,1.0
1998-03-02,100.4,100.8,98.88,99.88,36.9144,282667.0,0.0,1.0
1998-03-03,99.88,101.1,99.56,100.5,37.1435,294000.0,0.0,1.0
