date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,58.94,59.81,58.94,59.81,9.2236,130900.0,0.0,1.0
1998-01-05,60.06,60.19,59.25,59.75,9.2144,138000.0,0.0,1.0
1998-01-06,59.75,60.0,58.63,58.75,9.0602,309400.0,0.0,1.0
1998-01-07,58.75,58.88,57.88,58.13,8.9645,235400.0,0.0,1.0
1998-01-08,57.88,57.94,55.0,55.56,8.5682,360300.0,0.0,1.0
1998-01-09,55.81,55.81,51.88,52.38,8.0778,432100.0,0.0,1.0
1998-01-12,51.0,53.69,51.0,53.69,8.2798,327400.0,0.0,1.0
1998-01-13,53.63,54.13,53.19,53.63,8.2706,147400.0,0.0,1.0
1998-01-14,53.63,55.13,53.63,54.56,8.414,160900.0,0.0,1.0
1998-01-15,55.06,55.5,54.44,54.69,8.434,91700.0,0.0,1.0
1998-01-16,54.94,55.5,53.56,54.56,8.414,146000.0,0.0,1.0
1998-01-20,54.81,56.25,54.13,56.25,8.6746,204800.0,0.0,1.0
1998-01-21,56.25,57.19,53.13,53.25,8.212,1500400.0,0.0,1.0
1998-01-22,53.25,54.25,53.13,53.56,8.2598,226600.0,0.0,1.0
1998-01-23,53.81,54.31,53.44,53.94,8.3184,176800.0,0.0,1.0
1998-01-26,54.19,54.63,53.56,53.69,8.2798,107000.0,0.0,1.0
1998-01-27,53.69,54.88,53.44,53.63,8.2706,166600.0,0.0,1.0
1998-01-28,55.0,55.5,54.56,55.25,8.5204,300300.0,0.0,1.0
1998-01-29,54.5,54.5,52.63,53.13,8.1935,409100.0,0.0,1.0
1998-01-30,53.25,53.94,53.25,53.5,8.2505,139400.0,0.0,1.0
1998-02-02,54.06,55.0,54.0,54.56,8.414,245100.0,0.0,1.0
1998-02-03,54.88,55.44,54.81,54.88,8.4633,283300.0,0.0,1.0
1998-02-04,54.63,55.63,54.63,54.94,8.4726,278200.0,0.0,1.0
1998-02-05,55.19,55.44,54.81,55.31,8.5297,176000.0,0.0,1.0
1998-02-06,55.31,56.25,55.31,55.88,8.6176,208900.0,0.0,1.0
1998-02-09,56.13,56.63,55.69,56.0,8.6361,180900.0,0.0,1.0
1998-02-10,55.94,56.13,55.25,55.81,8.6068,366400.0,0.0,1.0
1998-02-11,55.75,56.06,55.25,55.94,8.6268,380500.0,0.0,1.0
1998-02-12,55.69,55.81,55.38,55.56,8.5682,181900.0,0.0,1.0
1998-02-13,55.81,57.25,55.81,56.06,8.6453,218500.0,0.0,1.0
1998-02-17,56.31,57.56,56.31,57.19,8.8196,188700.0,0.0,1.0
1998-02-18,56.19,57.88,56.19,57.44,8.8581,156200.0,0.0,1.0
1998-02-19,57.44,58.19,57.44,57.63,8.8874,253200.0,0.0,1.0
1998-02-20,58.31,58.31,57.38,58.25,8.9831,122100.0,0.0,1.0
1998-02-23,58.44,58.5,57.19,57.19,8.8196,167400.0,0.0,1.0
1998-02-24,57.06,57.31,56.06,56.44,8.7039,126100.0,0.0,1.0
1998-02-25,56.69,56.94,56.44,56.5,8.7132,144900.0,0.0,1.0
1998-02-26,56.31,56.94,56.31,56.94,8.8234,83900.0,0.275,1.0
1998-02-27,57.0,58.5,56.63,57.88,8.9691,155800.0,0.0,1.0
1998-03-02,57.63,57.88,56.75,57.56,8.9195,180900.0,0.0,1.0
1998-03-03,58.0,58.25,56.75,57.44,8.9009,250700.0,0.0,1.0
1998-03-04,57.5,57.94,57.0,57.31,8.8808,269800.0,0.0,1.0
1998-03-05,57.0,57.13,56.44,56.44,8.746,137400.0,0.0,1.0
1998-03-06,56.56,57.69,56.56,57.56,8.9195,87100.0,0.0,1.0
1998-03-09,57.69,57.75,56.31,56.94,8.8234,281500.0,0.0,1.0
1998-03-10,57.06,57.5,56.63,56.88,8.8141,147700.0,0.0,1.0
1998-03-11,56.63,57.38,55.75,56.13,8.6979,182500.0,0.0,1.0
1998-03-12,56.38,58.75,56.38,58.63,9.0853,237600.0,0.0,1.0
1998-03-13,59.63,60.56,58.63,59.94,9.2883,300300.0,0.0,1.0
1998-03-16,60.5,61.19,60.31,61.13,9.4727,376700.0,0.0,1.0
1998-03-17,61.75,61.75,60.75,61.06,9.4619,188600.0,0.0,1.0
1998-03-18,61.13,62.31,61.13,62.06,9.6168,145100.0,0.0,1.0
1998-03-19,62.13,62.75,61.5,61.69,9.5595,176200.0,0.0,1.0
1998-03-20,55.75,57.0,55.69,56.13,8.6979,883800.0,0.0,1.0
1998-03-23,56.19,56.19,55.13,55.25,8.5616,364400.0,0.0,1.0
1998-03-24,55.25,55.31,54.69,55.19,8.5523,378200.0,0.0,1.0
1998-03-25,55.13,55.25,54.75,55.06,8.5321,119400.0,0.0,1.0
1998-03-26,55.06,55.44,54.44,54.81,8.4934,450300.0,0.0,1.0
1998-03-27,54.69,55.13,54.44,54.94,8.5135,348100.0,0.0,1.0
1998-03-30,54.94,55.06,54.06,54.69,8.4748,219500.0,0.0,1.0
1998-03-31,54.88,55.63,54.88,55.13,8.543,238600.0,0.0,1.0
1998-04-01,55.19,55.81,53.25,55.75,8.639,733200.0,0.0,1.0
1998-04-02,55.75,56.0,54.81,56.0,8.6778,220700.0,0.0,1.0
1998-04-03,56.0,57.0,55.38,56.63,8.7754,216400.0,0.0,1.0
1998-04-06,56.56,57.13,55.38,55.44,8.591,104800.0,0.0,1.0
1998-04-07,55.19,55.19,53.75,54.19,8.3973,315800.0,0.0,1.0
1998-04-08,54.44,54.44,52.88,53.19,8.2423,234200.0,0.0,1.0
1998-04-09,53.25,53.25,50.63,50.88,7.8844,510800.0,0.0,1.0
1998-04-13,51.0,51.0,49.63,49.88,7.7294,545200.0,0.0,1.0
1998-04-14,49.63,51.75,49.63,51.5,7.9805,437300.0,0.0,1.0
1998-04-15,51.75,52.25,51.13,51.88,8.0393,384800.0,0.0,1.0
1998-04-16,52.0,53.63,52.0,53.0,8.2129,703500.0,0.0,1.0
1998-04-17,53.0,53.13,52.19,52.81,8.1835,309400.0,0.0,1.0
1998-04-20,52.81,53.25,52.63,53.0,8.2129,205100.0,0.0,1.0
1998-04-21,53.06,54.44,53.06,54.13,8.388,243800.0,0.0,1.0
1998-04-22,54.0,54.19,52.81,53.63,8.3105,247600.0,0.0,1.0
1998-04-23,53.75,53.75,52.81,53.06,8.2222,116000.0,0.0,1.0
1998-04-24,54.0,54.13,53.0,53.0,8.2129,211900.0,0.0,1.0
1998-04-27,52.44,52.5,51.5,52.0,8.0579,293900.0,0.0,1.0
1998-04-28,52.25,52.38,51.94,52.13,8.0781,215100.0,0.0,1.0
1998-04-29,52.0,52.75,51.81,52.5,8.1354,132200.0,0.0,1.0
1998-04-30,53.13,54.5,53.06,54.38,8.4267,172200.0,0.0,1.0
1998-05-01,54.38,54.75,54.06,54.5,8.4453,141500.0,0.0,1.0
1998-05-04,55.0,55.94,55.0,55.75,8.639,188200.0,0.0,1.0
1998-05-05,55.63,55.69,54.63,55.38,8.5817,159900.0,0.0,1.0
1998-05-06,55.38,55.63,55.0,55.06,8.5321,196900.0,0.0,1.0
1998-05-07,55.31,56.94,55.19,56.31,8.7258,241300.0,0.0,1.0
1998-05-08,56.31,56.88,56.25,56.38,8.7367,139700.0,0.0,1.0
1998-05-11,56.38,57.0,56.13,56.81,8.8033,236100.0,0.0,1.0
1998-05-12,56.0,56.81,55.75,56.5,8.7553,214900.0,0.0,1.0
1998-05-13,56.38,56.75,55.88,56.38,8.7367,169600.0,0.0,1.0
1998-05-14,56.0,57.31,56.0,56.81,8.8033,296000.0,0.0,1.0
1998-05-15,56.25,56.81,56.06,56.44,8.746,230700.0,0.0,1.0
1998-05-18,56.25,56.63,54.5,55.25,8.5616,544100.0,0.0,1.0
1998-05-19,55.44,55.56,55.0,55.38,8.5817,131200.0,0.0,1.0
1998-05-20,55.13,55.69,54.88,55.44,8.591,61100.0,0.0,1.0
1998-05-21,55.19,55.94,55.06,55.31,8.5709,150000.0,0.0,1.0
1998-05-22,55.31,55.75,54.5,55.38,8.5817,98600.0,0.0,1.0
1998-05-26,55.19,55.38,53.88,53.88,8.3493,165700.0,0.0,1.0
1998-05-27,53.5,53.56,52.81,53.25,8.2516,144500.0,0.0,1.0
1998-05-28,53.13,53.44,52.88,53.06,8.2648,125500.0,0.275,1.0
1998-05-29,53.06,53.06,51.75,52.13,8.1199,152600.0,0.0,1.0
1998-06-01,51.75,52.31,50.69,51.19,7.9735,191500.0,0.0,1.0
1998-06-02,51.25,52.75,51.25,52.31,8.148,205900.0,0.0,1.0
1998-06-03,53.0,53.38,52.25,52.5,8.1776,159100.0,0.0,1.0
1998-06-04,52.0,52.75,52.0,52.63,8.1978,75500.0,0.0,1.0
