date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,19.06,19.13,19.0,19.0,1.4243,41800.0,0.0,1.0
1998-01-05,1,19.0,19.25,18.31,18.5,1.3868,83267.0,0.0,1.0
1998-01-06,2,18.31,18.31,17.5,17.75,1.3306,83467.0,0.0,1.0
1998-01-07,3,17.75,18.31,17.75,18.31,1.3726,78067.0,0.0,1.0
1998-01-08,4,18.13,18.13,17.81,18.0,1.3493,35000.0,0.0,1.0
1998-01-09,5,17.94,17.94,17.38,17.38,1.3029,61200.0,0.0,1.0
1998-01-12,6,17.25,17.25,16.88,17.06,1.2789,50267.0,0.0,1.0
1998-01-13,7,17.13,18.06,17.13,18.06,1.3538,44067.0,0.0,1.0
1998-01-14,8,18.06,18.63,18.06,18.63,1.3966,21667.0,0.0,1.0
1998-01-15,9,18.5,18.63,18.13,18.38,1.3778,63600.0,0.0,1.0
1998-01-16,10,18.38,19.38,18.38,19.38,1.4528,49600.0,0.0,1.0
1998-01-20,11,19.5,21.0,19.5,20.94,1.5697,138000.0,0.0,1.0
1998-01-21,12,20.81,20.81,19.56,19.63,1.4715,100667.0,0.0,1.0
1998-01-22,13,19.38,19.44,18.06,18.31,1.3726,56000.0,0.0,1.0
1998-01-23,14,18.31,18.81,18.31,18.75,1.4056,37267.0,0.0,1.0
1998-01-26,15,18.69,18.81,18.56,18.81,1.4101,20667.0,0.0,1.0
1998-01-27,16,18.56,18.94,18.56,18.75,1.4056,6867.0,0.0,1.0
1998-01-28,17,18.94,20.0,18.94,19.94,1.4948,140067.0,0.0,1.0
1998-01-29,18,19.69,20.31,19.69,20.0,1.4993,40200.0,0.0,1.0
1998-01-30,19,20.0,20.13,19.81,19.81,1.485,78000.0,0.0,1.0
1998-02-02,20,19.88,20.75,19.59,19.75,1.4805,85467.0,0.0,1.0
1998-02-03,21,19.75,20.25,19.75,20.25,1.518,77067.0,0.0,1.0
1998-02-04,22,20.25,20.31,20.25,20.31,1.5225,33667.0,0.0,1.0
1998-02-05,23,20.38,20.38,19.88,19.94,1.4948,147467.0,0.0,1.0
1998-02-06,24,20.25,20.25,20.0,20.25,1.518,65200.0,0.0,1.0
1998-02-09,25,20.25,20.25,19.81,19.81,1.485,193800.0,0.0,1.0
1998-02-10,26,19.88,20.38,19.88,20.31,1.5225,83000.0,0.0,1.0
1998-02-11,27,20.38,20.38,19.88,19.88,1.4933,61000.0,0.04,1.0
1998-02-12,28,20.0,20.0,19.75,20.0,1.5023,125400.0,0.0,1.0
1998-02-13,29,20.0,20.19,20.0,20.13,1.5119999999999998,52867.0,0.0,1.0
1998-02-17,30,20.06,20.31,20.06,20.31,1.5256,59667.0,0.0,1.0
1998-02-18,31,20.25,20.5,20.19,20.5,1.5398,40400.0,0.0,1.0
1998-02-19,32,20.5,20.63,20.38,20.44,1.5353,38600.0,0.0,1.0
1998-02-20,33,20.44,21.06,20.44,21.06,1.5819,29000.0,0.0,1.0
1998-02-23,34,20.5,20.5,19.88,20.13,1.5119999999999998,71667.0,0.0,1.0
1998-02-24,35,20.0,20.0,19.75,20.0,1.5023,60800.0,0.0,1.0
1998-02-25,36,20.06,20.13,19.94,20.0,1.5023,102800.0,0.0,1.0
1998-02-26,37,20.06,20.81,19.94,20.69,1.5541,67600.0,0.0,1.0
1998-02-27,38,20.69,21.0,20.69,21.0,1.5774,40067.0,0.0,1.0
1998-03-02,39,21.06,21.44,21.06,21.19,1.5917,38267.0,0.0,1.0
1998-03-03,40,21.25,21.5,21.0,21.44,1.6104,55000.0,0.0,1.0
1998-03-04,41,21.44,21.81,21.38,21.69,1.6292,91400.0,0.0,1.0
1998-03-05,42,21.56,21.63,21.31,21.31,1.6007,69067.0,0.0,1.0
1998-03-06,43,21.31,21.63,21.25,21.63,1.6247,36067.0,0.0,1.0
1998-03-09,44,21.88,21.88,21.19,21.31,1.6007,123867.0,0.0,1.0
1998-03-10,45,21.31,21.63,21.31,21.63,1.6247,116467.0,0.0,1.0
1998-03-11,46,21.5,21.69,21.13,21.13,1.5872,57467.0,0.0,1.0
1998-03-12,47,21.13,21.13,20.75,21.06,1.5819,27000.0,0.0,1.0
1998-03-13,48,21.13,21.19,21.0,21.0,1.5774,34667.0,0.0,1.0
1998-03-16,49,21.0,21.25,21.0,21.19,1.5917,44200.0,0.0,1.0
1998-03-17,50,21.13,21.19,19.81,20.0,1.5023,92200.0,0.0,1.0
1998-03-18,51,20.13,20.81,20.06,20.81,1.5631,86267.0,0.0,1.0
1998-03-19,52,20.81,20.94,20.38,20.94,1.5729,79600.0,0.0,1.0
1998-03-20,53,20.81,21.25,20.81,21.13,1.5872,81200.0,0.0,1.0
1998-03-23,54,21.31,22.56,21.31,21.75,1.6337,186600.0,0.0,1.0
1998-03-24,55,21.31,21.75,21.25,21.69,1.6292,70067.0,0.0,1.0
1998-03-25,56,21.69,21.81,20.75,21.0,1.5774,87600.0,0.0,1.0
1998-03-26,57,21.0,21.19,20.75,21.19,1.5917,31867.0,0.0,1.0
1998-03-27,58,21.06,21.44,21.0,21.13,1.5872,51000.0,0.0,1.0
1998-03-30,59,21.25,21.69,21.19,21.25,1.5962,34000.0,0.0,1.0
1998-03-31,60,23.0,23.0,21.94,22.63,1.6998,337800.0,0.0,1.0
1998-04-01,61,22.63,23.06,22.31,23.0,1.7276,101800.0,0.0,1.0
1998-04-02,62,23.0,23.06,22.56,22.75,1.7088,46467.0,0.0,1.0
1998-04-03,63,22.94,23.0,22.69,22.69,1.7043,39667.0,0.0,1.0
