date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,41.12,41.12,39.62,40.38,19.7053,54800.0,0.0,1.0
1998-01-05,40.38,40.5,39.88,40.5,19.7639,84700.0,0.0,1.0
1998-01-06,40.75,40.88,40.38,40.62,19.8225,53800.0,0.0,1.0
1998-01-07,40.5,42.5,40.5,41.5,20.2519,180100.0,0.0,1.0
1998-01-08,41.75,42.06,41.62,41.94,20.4666,89400.0,0.0,1.0
1998-01-09,41.94,41.94,39.88,40.19,19.6126,76000.0,0.0,1.0
1998-01-12,39.94,40.06,39.38,39.88,19.4613,64300.0,0.0,1.0
1998-01-13,40.12,41.5,40.12,41.38,20.1933,60800.0,0.0,1.0
1998-01-14,41.44,42.12,41.44,41.94,20.4666,44700.0,0.0,1.0
1998-01-15,41.75,42.75,41.75,42.19,20.5886,125000.0,0.0,1.0
1998-01-16,42.62,44.5,42.5,43.94,21.4426,287300.0,0.0,1.0
1998-01-20,44.12,46.12,44.0,46.06,22.4772,262400.0,0.0,1.0
1998-01-21,46.19,49.69,45.38,47.5,23.1799,529500.0,0.0,1.0
1998-01-22,47.38,47.38,44.62,45.75,22.3259,448700.0,0.0,1.0
1998-01-23,45.88,45.94,44.88,45.69,22.2966,152000.0,0.0,1.0
1998-01-26,45.75,46.31,45.75,46.06,22.4772,61700.0,0.0,1.0
1998-01-27,46.0,46.56,45.5,46.5,22.6919,88500.0,0.0,1.0
1998-01-28,46.62,48.0,46.62,47.81,23.3312,73300.0,0.0,1.0
1998-01-29,47.88,48.0,47.38,47.75,23.3019,39200.0,0.0,1.0
1998-01-30,48.0,50.0,48.0,49.62,24.2144,162600.0,0.0,1.0
1998-02-02,50.5,51.69,50.38,51.12,24.9464,194500.0,0.0,1.0
1998-02-03,51.19,51.31,48.62,49.88,24.3413,126400.0,0.0,1.0
1998-02-04,49.75,50.31,49.69,50.0,24.3999,190900.0,0.0,1.0
1998-02-05,50.0,50.62,49.75,50.44,24.6146,69900.0,0.0,1.0
1998-02-06,50.38,50.69,49.75,50.25,24.5219,58100.0,0.0,1.0
1998-02-09,49.5,50.0,49.38,49.69,24.2486,71000.0,0.0,1.0
1998-02-10,49.69,50.5,49.69,50.06,24.4291,78900.0,0.0,1.0
1998-02-11,49.88,50.62,49.69,50.0,24.3999,40500.0,0.0,1.0
1998-02-12,49.88,50.0,48.88,49.38,24.0973,53000.0,0.0,1.0
1998-02-13,49.44,49.56,49.25,49.5,24.1559,16400.0,0.0,1.0
1998-02-17,49.75,49.75,48.19,48.25,23.5459,109800.0,0.0,1.0
1998-02-18,48.12,49.12,48.0,48.88,23.8533,57000.0,0.0,1.0
1998-02-19,48.94,48.94,47.75,47.94,23.3946,59600.0,0.0,1.0
1998-02-20,47.69,47.88,46.38,46.94,22.9066,123200.0,0.0,1.0
1998-02-23,47.0,47.0,44.5,45.25,22.0819,238700.0,0.0,1.0
1998-02-24,44.75,44.88,43.38,44.0,21.4719,180200.0,0.0,1.0
1998-02-25,44.25,46.25,44.0,45.5,22.2039,268500.0,0.0,1.0
1998-02-26,45.75,47.38,45.5,47.38,23.1213,191800.0,0.0,1.0
1998-02-27,47.5,47.75,46.62,46.75,22.8139,47500.0,0.0,1.0
1998-03-02,46.81,47.5,46.81,47.06,22.9652,45400.0,0.0,1.0
1998-03-03,46.81,46.88,45.56,45.75,22.3259,50200.0,0.0,1.0
1998-03-04,45.75,46.19,45.75,45.88,22.3893,78200.0,0.0,1.0
1998-03-05,45.88,46.0,45.62,45.69,22.2966,124200.0,0.0,1.0
1998-03-06,45.69,46.5,45.69,46.06,22.4772,89900.0,0.0,1.0
1998-03-09,45.88,47.62,45.88,47.12,22.9944,61000.0,0.0,1.0
1998-03-10,47.06,47.25,46.25,46.56,22.7212,45000.0,0.0,1.0
1998-03-11,46.44,47.62,46.44,47.0,22.9359,65900.0,0.0,1.0
1998-03-12,47.0,47.0,46.31,46.5,22.6919,143300.0,0.0,1.0
1998-03-13,46.5,46.5,44.62,45.0,21.9599,56800.0,0.0,1.0
1998-03-16,44.75,44.75,41.88,42.06,20.5252,338600.0,0.0,1.0
1998-03-17,41.38,42.06,38.5,41.94,20.4666,557000.0,0.0,1.0
1998-03-18,42.12,43.5,42.12,42.62,20.7984,123900.0,0.0,1.0
1998-03-19,42.62,42.62,41.25,41.5,20.2519,108900.0,0.0,1.0
1998-03-20,41.5,41.5,40.75,41.0,20.0079,70000.0,0.0,1.0
1998-03-23,41.12,41.56,40.69,40.75,19.8859,128900.0,0.0,1.0
1998-03-24,40.25,40.25,39.0,39.38,19.2173,294300.0,0.0,1.0
1998-03-25,39.5,40.62,39.38,39.75,19.3979,191200.0,0.0,1.0
1998-03-26,39.81,39.81,38.88,39.12,19.0905,201600.0,0.0,1.0
1998-03-27,39.25,39.88,39.25,39.5,19.2759,52100.0,0.0,1.0
1998-03-30,41.25,41.25,40.19,40.44,19.7346,197900.0,0.0,1.0
1998-03-31,41.12,42.5,41.0,42.44,20.7106,196500.0,0.0,1.0
1998-04-01,42.19,42.31,41.62,41.62,20.3105,78600.0,0.0,1.0
1998-04-02,42.5,43.19,42.5,42.88,20.9253,105500.0,0.0,1.0
1998-04-03,43.0,44.5,43.0,43.81,21.3792,134000.0,0.0,1.0
1998-04-06,44.06,44.44,41.56,41.94,20.4666,114400.0,0.0,1.0
1998-04-07,42.0,42.38,41.31,41.56,20.2812,49900.0,0.0,1.0
1998-04-08,41.5,42.25,40.5,40.69,19.8566,98700.0,0.0,1.0
1998-04-09,40.75,41.25,40.44,40.69,19.8566,51200.0,0.0,1.0
1998-04-13,40.94,41.0,40.25,40.5,19.7639,45500.0,0.0,1.0
1998-04-14,40.44,41.0,40.25,40.94,19.9786,32000.0,0.0,1.0
1998-04-15,40.88,41.12,40.38,40.5,19.7639,26800.0,0.0,1.0
1998-04-16,40.75,40.75,38.75,39.69,19.3686,121800.0,0.0,1.0
1998-04-17,39.69,39.69,38.5,38.62,18.8465,164300.0,0.0,1.0
1998-04-20,38.62,38.75,35.75,36.19,17.6606,288400.0,0.0,1.0
1998-04-21,36.44,37.25,34.0,36.94,18.0266,833400.0,0.0,1.0
1998-04-22,38.0,38.5,37.5,38.5,18.7879,485700.0,0.0,1.0
1998-04-23,38.62,39.44,37.94,38.25,18.6659,244900.0,0.0,1.0
1998-04-24,38.5,38.69,37.75,38.25,18.6659,131300.0,0.0,1.0
1998-04-27,37.38,37.5,36.75,37.0,18.0559,109400.0,0.0,1.0
1998-04-28,37.25,38.0,37.25,37.62,18.3585,110000.0,0.0,1.0
1998-04-29,37.81,37.88,37.25,37.31,18.2072,98400.0,0.0,1.0
1998-04-30,37.5,38.5,37.5,38.44,18.7586,88600.0,0.0,1.0
1998-05-01,38.69,39.25,38.5,38.88,18.9733,101200.0,0.0,1.0
1998-05-04,39.12,39.75,39.0,39.5,19.2759,152000.0,0.0,1.0
1998-05-05,39.5,39.75,38.94,39.69,19.3686,100500.0,0.0,1.0
