date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,57.94,59.44,57.75,59.38,33.3741,426100.0,0.0,1.0
1998-01-05,1,59.13,59.44,57.88,58.69,32.9863,539000.0,0.0,1.0
1998-01-06,2,58.44,58.44,56.06,56.56,31.7891,760900.0,0.0,1.0
1998-01-07,3,55.63,56.06,55.25,55.75,31.3339,1071300.0,0.0,1.0
1998-01-08,4,55.75,55.94,55.13,55.38,31.1259,772100.0,0.0,1.0
1998-01-09,5,55.25,55.69,52.94,53.0,29.7883,817900.0,0.0,1.0
1998-01-12,6,52.75,55.44,52.69,55.44,31.1596,950200.0,0.0,1.0
1998-01-13,7,55.69,55.69,54.13,55.0,30.9123,438500.0,0.0,1.0
1998-01-14,8,55.06,55.13,53.5,55.13,30.9854,518400.0,0.0,1.0
1998-01-15,9,54.94,54.94,53.81,53.94,30.3166,414600.0,0.0,1.0
1998-01-16,10,54.06,55.13,53.88,54.94,30.8786,592700.0,0.0,1.0
1998-01-20,11,55.0,55.13,54.44,55.06,30.9461,541900.0,0.0,1.0
1998-01-21,12,55.13,55.63,53.63,54.38,30.5639,585300.0,0.0,1.0
1998-01-22,13,54.13,54.5,53.25,53.25,29.9288,494800.0,0.0,1.0
1998-01-23,14,53.38,54.38,52.69,54.19,30.4571,795000.0,0.0,1.0
1998-01-26,15,54.44,54.75,53.63,54.31,30.5245,606300.0,0.0,1.0
1998-01-27,16,54.31,55.19,54.25,54.69,30.7381,633800.0,0.0,1.0
1998-01-28,17,55.0,55.38,54.44,54.81,30.8056,425000.0,0.0,1.0
1998-01-29,18,54.81,56.31,54.56,55.75,31.3339,579700.0,0.0,1.0
1998-01-30,19,55.5,55.69,53.5,53.5,30.0693,935600.0,0.0,1.0
1998-02-02,20,53.69,55.5,53.69,55.0,30.9123,851700.0,0.0,1.0
1998-02-03,21,54.88,54.94,53.81,54.75,30.7718,979300.0,0.0,1.0
1998-02-04,22,54.75,55.94,54.56,55.06,30.9461,833200.0,0.0,1.0
1998-02-05,23,55.19,55.88,55.0,55.81,31.3676,619600.0,0.0,1.0
1998-02-06,24,56.0,56.44,55.63,55.88,31.4069,521400.0,0.0,1.0
1998-02-09,25,56.13,56.13,54.25,54.5,30.6313,1250600.0,0.0,1.0
1998-02-10,26,54.63,54.81,53.88,54.69,30.7381,2386100.0,0.0,1.0
1998-02-11,27,54.69,55.56,54.5,55.44,31.1596,803400.0,0.0,1.0
1998-02-12,28,55.44,55.5,54.56,55.38,31.1259,634300.0,0.0,1.0
1998-02-13,29,55.13,55.38,54.88,55.19,31.0191,406800.0,0.0,1.0
1998-02-17,30,55.5,55.81,54.31,54.56,30.665,766000.0,0.0,1.0
1998-02-18,31,53.25,55.31,53.25,55.06,30.9461,1712900.0,0.0,1.0
