date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-12-15,0,25.0,25.23,23.51,24.2,24.2,42259200.0,0.0,1.0
2011-12-16,1,24.45,24.8,23.51,24.1,24.1,3998900.0,0.0,1.0
2011-12-19,2,24.5,25.09,24.31,24.88,24.88,3245500.0,0.0,1.0
2011-12-20,3,25.02,25.76,25.02,25.45,25.45,1710200.0,0.0,1.0
2011-12-21,4,25.64,26.78,25.46,26.55,26.55,2501500.0,0.0,1.0
2011-12-22,5,26.45,27.485,26.45,27.27,27.27,1145400.0,0.0,1.0
2011-12-23,6,27.52,27.52,26.84,27.0,27.0,979800.0,0.0,1.0
2011-12-27,7,27.15,27.33,26.88,27.2,27.2,535100.0,0.0,1.0
2011-12-28,8,27.58,27.58,27.09,27.41,27.41,595200.0,0.0,1.0
2011-12-29,9,27.5,27.5,27.22,27.22,27.22,260400.0,0.0,1.0
2011-12-30,10,27.31,27.35,27.11,27.25,27.25,302400.0,0.0,1.0
2012-01-03,11,27.25,27.53,27.0,27.15,27.15,726500.0,0.0,1.0
2012-01-04,12,27.19,27.26,26.36,26.4,26.4,726900.0,0.0,1.0
2012-01-05,13,26.07,27.06,25.5,26.45,26.45,785100.0,0.0,1.0
2012-01-06,14,26.45,26.72,25.95,26.0,26.0,1680800.0,0.0,1.0
2012-01-09,15,25.87,26.27,25.87,26.2,26.2,635100.0,0.0,1.0
2012-01-10,16,26.47,26.63,26.235,26.42,26.42,926800.0,0.0,1.0
2012-01-11,17,26.29,26.605,26.13,26.14,26.14,759700.0,0.0,1.0
2012-01-12,18,26.47,26.47,25.75,26.1,26.1,599700.0,0.0,1.0
2012-01-13,19,25.93,26.56,25.93,26.56,26.56,613300.0,0.0,1.0
2012-01-17,20,26.78,28.55,26.75,28.05,28.05,2405400.0,0.0,1.0
2012-01-18,21,28.11,28.85,27.95,28.4,28.4,899900.0,0.0,1.0
2012-01-19,22,28.69,28.8,28.5,28.68,28.68,699100.0,0.0,1.0
2012-01-20,23,28.75,29.61,28.72,29.35,29.35,1809700.0,0.0,1.0
2012-01-23,24,29.71,29.88,28.75,29.76,29.76,831700.0,0.0,1.0
2012-01-24,25,30.22,30.25,29.21,29.5,29.5,1218500.0,0.0,1.0
2012-01-25,26,29.76,30.5,29.65,30.5,30.5,919900.0,0.0,1.0
2012-01-26,27,30.58,30.65,29.28,29.78,29.78,688600.0,0.0,1.0
2012-01-27,28,29.74,30.13,29.4,29.85,29.85,890100.0,0.0,1.0
2012-01-30,29,29.86,29.95,29.32,29.84,29.84,307200.0,0.0,1.0
2012-01-31,30,29.95,31.37,29.45,30.95,30.95,1919900.0,0.0,1.0
2012-02-01,31,31.0,31.74,30.76,31.3,31.3,745100.0,0.0,1.0
2012-02-02,32,31.57,32.0,31.38,31.67,31.67,1047200.0,0.0,1.0
2012-02-03,33,31.81,32.82,31.81,32.51,32.51,936900.0,0.0,1.0
2012-02-06,34,32.64,33.81,32.391,33.13,33.13,1030700.0,0.0,1.0
2012-02-07,35,33.31,33.7792,32.65,32.66,32.66,1001800.0,0.0,1.0
2012-02-08,36,32.98,33.33,31.75,33.21,33.21,1187500.0,0.0,1.0
2012-02-09,37,33.71,34.24,33.13,33.97,33.97,1025400.0,0.0,1.0
2012-02-10,38,33.51,33.82,33.385,33.47,33.47,896100.0,0.0,1.0
2012-02-13,39,34.2,34.87,33.02,33.61,33.61,2767800.0,0.0,1.0
2012-02-14,40,39.49,43.0,39.25,42.85,42.85,11284200.0,0.0,1.0
2012-02-15,41,43.47,44.97,41.88,42.85,42.85,5557000.0,0.0,1.0
2012-02-16,42,42.75,43.81,41.51,42.25,42.25,1622400.0,0.0,1.0
2012-02-17,43,42.35,42.7,41.75,41.82,41.82,752000.0,0.0,1.0
2012-02-21,44,42.07,42.11,40.17,41.1,41.1,1417300.0,0.0,1.0
2012-02-22,45,40.66,42.05,39.62,41.05,41.05,1773300.0,0.0,1.0
2012-02-23,46,40.76,42.8,40.67,40.76,40.76,1174600.0,0.0,1.0
2012-02-24,47,41.07,42.2,40.61,41.51,41.51,683200.0,0.0,1.0
2012-02-27,48,41.82,44.02,41.57,43.66,43.66,1631400.0,0.0,1.0
2012-02-28,49,43.9,43.9,42.2619,42.69,42.69,1029500.0,0.0,1.0
2012-02-29,50,42.72,44.15,42.24,43.25,43.25,1183000.0,0.0,1.0
