date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,54.0,54.0,53.0,53.75,5.8725,404700.0,0.0,1.0
1998-01-05,53.75,54.06,53.62,54.06,5.9064,806600.0,0.0,1.0
1998-01-06,53.81,54.94,53.75,54.5,5.9545,554800.0,0.0,1.0
1998-01-07,54.5,54.94,53.75,54.75,5.9818,527700.0,0.0,1.0
1998-01-08,54.94,55.0,53.88,54.19,5.9206,448700.0,0.0,1.0
1998-01-09,54.06,54.06,51.56,51.87,5.6671,603600.0,0.0,1.0
1998-01-12,51.75,53.25,51.75,52.69,5.7567,316800.0,0.0,1.0
1998-01-13,52.88,53.19,52.69,53.13,5.8048,213000.0,0.0,1.0
1998-01-14,53.25,53.31,52.88,53.25,5.8179,196800.0,0.0,1.0
1998-01-15,53.5,53.5,52.62,52.88,5.7775,495600.0,0.0,1.0
1998-01-16,53.0,53.25,52.69,52.75,5.7633,535700.0,0.0,1.0
1998-01-20,53.0,53.5,52.81,53.37,5.831,610600.0,0.0,1.0
1998-01-21,53.0,53.19,51.25,51.56,5.6332,823400.0,0.0,1.0
1998-01-22,50.56,50.75,49.25,50.0,5.4628,746200.0,0.0,1.0
1998-01-23,49.88,50.94,49.75,50.31,5.4967,493400.0,0.0,1.0
1998-01-26,50.56,51.0,50.56,50.69,5.5382,446900.0,0.0,1.0
1998-01-27,50.62,51.56,50.56,51.44,5.6201,585900.0,0.0,1.0
1998-01-28,51.25,52.0,50.94,51.94,5.6748,284300.0,0.0,1.0
1998-01-29,51.81,53.75,51.81,52.88,5.7775,311500.0,0.0,1.0
1998-01-30,52.88,53.44,52.56,53.0,5.7906,447700.0,0.0,1.0
1998-02-02,53.5,53.94,53.31,53.94,5.8933,216100.0,0.0,1.0
1998-02-03,54.0,54.87,54.0,54.5,5.9545,348600.0,0.0,1.0
1998-02-04,54.25,55.88,54.25,55.38,6.0506,376200.0,0.0,1.0
1998-02-05,56.0,56.44,55.38,56.06,6.1249,537600.0,0.0,1.0
1998-02-06,56.13,57.75,56.06,57.56,6.2888,618400.0,0.0,1.0
1998-02-09,57.56,57.63,56.5,57.06,6.2341,461700.0,0.0,1.0
1998-02-10,57.12,57.81,57.0,57.44,6.2757,451200.0,0.0,1.0
1998-02-11,57.38,58.5,57.38,58.5,6.3915,341000.0,0.0,1.0
1998-02-12,58.38,59.94,57.87,59.44,6.4942,383400.0,0.0,1.0
1998-02-13,58.38,59.0,58.06,59.0,6.4461,302900.0,0.0,1.0
1998-02-17,58.88,59.37,58.81,59.0,6.4461,376200.0,0.0,1.0
1998-02-18,59.0,59.81,58.25,58.44,6.3849,545500.0,0.0,1.0
1998-02-19,58.38,58.44,57.31,57.87,6.3226,347200.0,0.0,1.0
1998-02-20,57.75,58.31,57.69,58.12,6.35,435800.0,0.0,1.0
1998-02-23,58.12,58.44,57.12,57.87,6.3554,229200.0,0.3,1.0
1998-02-24,57.75,57.87,56.56,57.0,6.2599,200700.0,0.0,1.0
1998-02-25,56.37,57.12,56.13,56.5,6.205,433000.0,0.0,1.0
1998-02-26,56.25,56.56,55.12,56.37,6.1907,396800.0,0.0,1.0
1998-02-27,56.37,56.69,55.44,55.94,6.1435,330100.0,0.0,1.0
1998-03-02,56.25,56.81,56.19,56.44,6.1984,343700.0,0.0,1.0
1998-03-03,56.56,57.12,56.37,57.0,6.2599,635100.0,0.0,1.0
1998-03-04,56.75,57.0,56.31,56.62,6.2181,623900.0,0.0,1.0
1998-03-05,56.44,56.75,55.19,55.5,6.0951,747400.0,0.0,1.0
1998-03-06,55.75,56.31,55.75,56.0,6.1501,870500.0,0.0,1.0
1998-03-09,55.75,56.5,55.69,56.19,6.1709,934100.0,0.0,1.0
1998-03-10,56.44,56.56,56.25,56.5,6.205,370200.0,0.0,1.0
1998-03-11,56.37,57.0,56.13,56.44,6.1984,655400.0,0.0,1.0
1998-03-12,56.44,56.5,56.0,56.19,6.1709,275200.0,0.0,1.0
1998-03-13,56.25,56.69,56.13,56.69,6.2258,604000.0,0.0,1.0
1998-03-16,56.81,57.38,56.75,57.12,6.2731,390200.0,0.0,1.0
1998-03-17,57.38,58.0,57.38,57.87,6.3554,361600.0,0.0,1.0
1998-03-18,57.81,58.12,57.69,57.69,6.3357,344000.0,0.0,1.0
1998-03-19,59.0,59.37,58.06,59.31,6.5136,248100.0,0.0,1.0
1998-03-20,60.31,60.31,58.81,59.31,6.5136,728100.0,0.0,1.0
