date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,39.0,41.0,39.0,40.0,20.7466,188000.0,0.0,1.0
1998-01-05,1,40.5,42.5,40.0,42.31,21.9447,199467.0,0.0,1.0
1998-01-06,2,42.5,42.5,40.88,40.88,21.203000000000007,90400.0,0.0,1.0
1998-01-07,3,41.25,42.25,40.88,41.5,21.5246,321800.0,0.0,1.0
1998-01-08,4,41.5,43.88,41.5,43.69,22.6604,537800.0,0.0,1.0
1998-01-09,5,43.25,44.5,42.63,42.63,22.1107,201667.0,0.0,1.0
1998-01-12,6,42.25,42.25,40.5,41.38,21.4623,254267.0,0.0,1.0
1998-01-13,7,41.75,42.0,41.0,41.56,21.5557,158467.0,0.0,1.0
1998-01-14,8,42.0,42.0,39.25,41.0,21.2652,242800.0,0.0,1.0
1998-01-15,9,41.38,41.5,40.0,40.25,20.8762,101400.0,0.0,1.0
1998-01-16,10,40.38,41.75,40.25,41.75,21.6542,428867.0,0.0,1.0
1998-01-20,11,42.0,44.13,40.88,43.0,22.3026,213600.0,0.0,1.0
1998-01-21,12,42.5,43.0,41.5,42.5,22.0432,186400.0,0.0,1.0
1998-01-22,13,42.25,44.0,41.5,42.75,22.1729,189667.0,0.0,1.0
1998-01-23,14,43.0,43.0,41.5,42.5,22.0432,107800.0,0.0,1.0
1998-01-26,15,41.5,42.5,41.5,42.06,21.815,137000.0,0.0,1.0
1998-01-27,16,42.13,42.63,41.5,42.5,22.0432,120067.0,0.0,1.0
1998-01-28,17,42.63,43.25,41.0,43.25,22.4322,140000.0,0.0,1.0
1998-01-29,18,43.25,43.5,42.13,42.75,22.1729,437267.0,0.0,1.0
1998-01-30,19,43.63,43.75,41.75,41.75,21.6542,90467.0,0.0,1.0
1998-02-02,20,42.63,43.25,41.75,43.06,22.3337,161267.0,0.0,1.0
1998-02-03,21,43.25,43.25,42.0,42.13,21.8513,75267.0,0.0,1.0
1998-02-04,22,42.0,42.5,41.0,42.0,21.8773,100667.0,0.18,1.0
1998-02-05,23,41.88,41.88,40.0,40.0,20.8355,131267.0,0.0,1.0
1998-02-06,24,40.75,42.13,39.88,42.13,21.945,101667.0,0.0,1.0
1998-02-09,25,41.0,43.0,41.0,41.25,21.4866,86867.0,0.0,1.0
1998-02-10,26,42.88,43.5,41.25,43.13,22.4659,334400.0,0.0,1.0
1998-02-11,27,43.25,44.0,42.5,43.5,22.6586,191200.0,0.0,1.0
