date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,17.38,17.38,17.0,17.06,2.6137,183200.0,0.0,1.0
1998-01-05,1,17.06,17.06,16.56,16.75,2.5662,258800.0,0.0,1.0
1998-01-06,2,16.88,17.31,16.88,17.31,2.652,872833.0,0.0,1.0
1998-01-07,3,17.5,18.06,17.5,17.81,2.7286,810833.0,0.0,1.0
1998-01-08,4,17.88,18.31,17.75,18.06,2.7669,387067.0,0.0,1.0
1998-01-09,5,18.06,18.19,17.31,17.56,2.6903,221200.0,0.0,1.0
1998-01-12,6,17.56,18.19,17.25,18.19,2.7868,407633.0,0.0,1.0
1998-01-13,7,18.25,18.88,18.25,18.88,2.8925,804967.0,0.0,1.0
1998-01-14,8,18.87,19.38,18.87,19.38,2.9691,1277867.0,0.0,1.0
1998-01-15,9,19.5,19.88,19.38,19.38,2.9691,889233.0,0.0,1.0
1998-01-16,10,19.44,19.56,19.38,19.5,2.9875,585367.0,0.0,1.0
1998-01-20,11,19.94,20.25,19.81,20.25,3.1053,1043867.0,0.019,1.0
1998-01-21,12,20.25,20.25,19.94,20.06,3.0762,830800.0,0.0,1.0
1998-01-22,13,20.0,20.13,19.94,20.06,3.0762,313867.0,0.0,1.0
1998-01-23,14,20.06,20.13,19.81,19.88,3.0486,822433.0,0.0,1.0
1998-01-26,15,19.81,19.88,19.63,19.81,3.0379,332433.0,0.0,1.0
1998-01-27,16,19.75,19.75,19.56,19.63,3.0103,734033.0,0.0,1.0
1998-01-28,17,19.63,19.88,19.63,19.81,3.0379,328400.0,0.0,1.0
1998-01-29,18,19.75,20.13,19.69,20.0,3.067,663767.0,0.0,1.0
1998-01-30,19,20.06,20.06,19.75,19.75,3.0287,186167.0,0.0,1.0
1998-02-02,20,19.81,20.13,19.69,20.06,3.0762,586433.0,0.0,1.0
1998-02-03,21,20.0,20.88,19.94,20.44,3.1345,704800.0,0.0,1.0
1998-02-04,22,20.5,21.19,20.31,20.94,3.2111,733233.0,0.0,1.0
