date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,17.0,17.5,16.75,17.25,1.5295,165100.0,0.0,1.0
1998-01-05,1,17.63,17.63,16.75,17.0,1.5073,266000.0,0.0,1.0
1998-01-06,2,17.13,17.38,16.88,17.25,1.5295,137700.0,0.0,1.0
1998-01-07,3,17.13,17.75,17.13,17.75,1.5738,316700.0,0.0,1.0
1998-01-08,4,17.75,17.75,17.38,17.63,1.5631,104400.0,0.0,1.0
1998-01-09,5,17.63,17.63,16.88,17.25,1.5295,178800.0,0.0,1.0
1998-01-12,6,17.38,17.38,16.13,16.88,1.4966,243600.0,0.0,1.0
1998-01-13,7,16.88,17.5,16.88,17.5,1.5516,191400.0,0.0,1.0
1998-01-14,8,17.63,17.75,17.38,17.63,1.5631,178600.0,0.0,1.0
1998-01-15,9,17.63,17.63,17.0,17.13,1.5188,55500.0,0.0,1.0
1998-01-16,10,17.25,17.75,17.13,17.5,1.5516,65600.0,0.0,1.0
1998-01-20,11,17.75,18.25,17.13,18.13,1.6075,213100.0,0.0,1.0
1998-01-21,12,18.0,19.13,17.75,18.5,1.6403,243700.0,0.0,1.0
1998-01-22,13,18.5,18.5,18.0,18.0,1.596,69700.0,0.0,1.0
1998-01-23,14,17.88,18.5,17.75,17.75,1.5738,155300.0,0.0,1.0
1998-01-26,15,17.63,17.88,17.38,17.38,1.541,47600.0,0.0,1.0
1998-01-27,16,17.25,17.88,16.88,17.0,1.5073,52500.0,0.0,1.0
1998-01-28,17,17.25,17.38,17.0,17.13,1.5188,54800.0,0.0,1.0
1998-01-29,18,17.25,17.25,16.75,17.0,1.5073,92700.0,0.0,1.0
1998-01-30,19,17.13,17.13,16.5,16.63,1.4745,90900.0,0.0,1.0
1998-02-02,20,16.5,17.0,16.5,16.63,1.4745,75600.0,0.0,1.0
1998-02-03,21,16.75,17.25,16.25,16.88,1.4966,414800.0,0.0,1.0
1998-02-04,22,17.0,17.0,16.75,16.81,1.4904,54800.0,0.0,1.0
1998-02-05,23,17.0,17.0,16.75,16.88,1.4966,431800.0,0.0,1.0
1998-02-06,24,17.0,17.25,16.75,17.0,1.5073,149800.0,0.0,1.0
1998-02-09,25,17.25,18.0,16.88,17.44,1.5463,278700.0,0.0,1.0
1998-02-10,26,18.0,18.0,17.13,17.5,1.5516,175900.0,0.0,1.0
1998-02-11,27,17.13,17.94,17.13,17.38,1.541,192600.0,0.0,1.0
1998-02-12,28,17.5,17.94,17.38,17.5,1.5516,172700.0,0.0,1.0
1998-02-13,29,18.0,18.5,17.5,18.38,1.6296,221200.0,0.0,1.0
1998-02-17,30,18.63,18.75,18.38,18.63,1.6518,117600.0,0.0,1.0
1998-02-18,31,18.63,18.75,18.38,18.5,1.6403,122400.0,0.0,1.0
1998-02-19,32,18.75,18.88,18.5,18.75,1.6624,100800.0,0.0,1.0
1998-02-20,33,19.63,19.75,18.88,19.13,1.6961,263700.0,0.0,1.0
1998-02-23,34,19.75,19.75,19.13,19.5,1.7289,279900.0,0.0,1.0
1998-02-24,35,19.81,20.0,19.63,20.0,1.7733,195100.0,0.0,1.0
1998-02-25,36,20.13,21.38,20.0,20.75,1.8398,354700.0,0.0,1.0
1998-02-26,37,21.0,21.13,20.63,20.63,1.8291,161300.0,0.0,1.0
1998-02-27,38,20.63,21.13,20.38,21.0,1.8619,232500.0,0.0,1.0
1998-03-02,39,21.25,21.56,20.75,21.5,1.9063,222900.0,0.0,1.0
1998-03-03,40,21.38,21.5,19.75,20.75,1.8398,211500.0,0.0,1.0
1998-03-04,41,20.38,20.75,20.0,20.31,1.8008,85200.0,0.0,1.0
1998-03-05,42,20.25,20.75,19.75,20.13,1.7848,72100.0,0.0,1.0
1998-03-06,43,20.38,20.63,19.5,20.13,1.7848,317200.0,0.0,1.0
1998-03-09,44,20.0,21.0,20.0,20.75,1.8398,351300.0,0.0,1.0
1998-03-10,45,20.63,21.25,20.63,21.25,1.8841,61300.0,0.0,1.0
1998-03-11,46,21.25,21.63,20.88,21.44,1.901,144100.0,0.0,1.0
1998-03-12,47,21.0,22.0,21.0,21.88,1.94,166500.0,0.0,1.0
1998-03-13,48,22.0,22.94,21.63,22.88,2.0286,189900.0,0.0,1.0
1998-03-16,49,23.0,23.25,22.56,22.63,2.0065,173200.0,0.0,1.0
1998-03-17,50,22.56,22.63,21.13,21.13,1.8735,167900.0,0.0,1.0
1998-03-18,51,21.25,21.25,20.25,21.0,1.8619,226900.0,0.0,1.0
1998-03-19,52,21.13,21.25,20.63,20.63,1.8291,80000.0,0.0,1.0
1998-03-20,53,20.5,24.5,20.5,23.13,2.0508,957900.0,0.0,1.0
1998-03-23,54,23.0,23.25,22.0,22.13,1.9621,283400.0,0.0,1.0
1998-03-24,55,22.5,23.0,22.25,22.63,2.0065,190200.0,0.0,1.0
1998-03-25,56,23.0,23.63,22.38,22.56,2.0003,277300.0,0.0,1.0
1998-03-26,57,22.56,22.56,22.13,22.38,1.9843,150900.0,0.0,1.0
1998-03-27,58,22.38,22.75,21.75,21.88,1.94,113300.0,0.0,1.0
1998-03-30,59,21.63,22.06,21.5,22.0,1.9506,198400.0,0.0,1.0
1998-03-31,60,22.0,22.13,21.81,22.0,1.9506,96900.0,0.0,1.0
1998-04-01,61,22.5,24.5,22.25,24.0,2.1279,655600.0,0.0,1.0
1998-04-02,62,24.25,24.25,23.63,24.0,2.1279,310100.0,0.0,1.0
1998-04-03,63,23.88,23.88,22.75,23.13,2.0508,239800.0,0.0,1.0
1998-04-06,64,23.13,23.44,22.63,23.0,2.0393,79200.0,0.0,1.0
1998-04-07,65,22.5,23.13,22.0,22.5,1.9949,146500.0,0.0,1.0
1998-04-08,66,22.75,23.38,22.38,23.0,2.0393,153400.0,0.0,1.0
1998-04-09,67,23.5,24.0,23.13,23.25,2.0614,216300.0,0.0,1.0
1998-04-13,68,23.38,24.13,23.25,23.94,2.1226,212300.0,0.0,1.0
1998-04-14,69,24.38,27.38,24.38,26.0,2.3053,1096600.0,0.0,1.0
1998-04-15,70,26.5,27.13,26.0,27.13,2.4055,375800.0,0.0,1.0
1998-04-16,71,26.88,27.88,26.63,27.0,2.3939,222500.0,0.0,1.0
1998-04-17,72,27.0,27.0,25.0,25.63,2.2725,173700.0,0.0,1.0
1998-04-20,73,25.25,26.5,25.25,26.25,2.3274,378800.0,0.0,1.0
1998-04-21,74,26.13,26.38,26.0,26.13,2.3168,203800.0,0.0,1.0
1998-04-22,75,24.63,26.38,24.56,24.63,2.1838,200800.0,0.0,1.0
1998-04-23,76,25.0,25.0,24.5,24.88,2.206,180900.0,0.0,1.0
1998-04-24,77,25.0,25.13,24.25,24.88,2.206,177800.0,0.0,1.0
1998-04-27,78,24.13,24.5,22.75,24.5,2.1723,198100.0,0.0,1.0
1998-04-28,79,25.0,26.55,24.88,26.0,2.3053,239100.0,0.0,1.0
1998-04-29,80,26.0,26.63,25.88,26.5,2.3496,143200.0,0.0,1.0
1998-04-30,81,26.75,27.0,26.0,26.31,2.3327,200500.0,0.0,1.0
1998-05-01,82,26.13,26.63,26.0,26.25,2.3274,100700.0,0.0,1.0
1998-05-04,83,26.0,26.5,25.25,25.25,2.2388,150500.0,0.0,1.0
1998-05-05,84,25.38,25.81,24.63,24.75,2.1944,50900.0,0.0,1.0
1998-05-06,85,25.0,26.23,24.5,25.75,2.2831,138200.0,0.0,1.0
1998-05-07,86,25.63,26.25,25.38,26.13,2.3168,53400.0,0.0,1.0
1998-05-08,87,26.0,27.0,26.0,27.0,2.3939,317200.0,0.0,1.0
1998-05-11,88,27.0,27.06,26.5,26.63,2.3611,110900.0,0.0,1.0
1998-05-12,89,26.88,27.63,26.5,27.5,2.4383,448500.0,0.0,1.0
1998-05-13,90,28.88,31.0,28.75,31.0,2.7486,1141400.0,0.0,1.0
1998-05-14,91,31.0,31.0,29.81,29.81,2.6431,563900.0,0.0,1.0
1998-05-15,92,30.19,30.94,29.75,29.88,2.6493,505600.0,0.0,1.0
1998-05-18,93,29.63,29.88,26.81,27.56,2.4436,345600.0,0.0,1.0
1998-05-19,94,27.94,29.0,26.94,27.06,2.3992,286400.0,0.0,1.0
1998-05-20,95,27.25,27.5,26.62,27.5,2.4383,495700.0,0.0,1.0
1998-05-21,96,27.63,28.13,27.25,27.5,2.4383,267000.0,0.0,1.0
1998-05-22,97,27.63,28.0,26.88,27.0,2.3939,175700.0,0.0,1.0
1998-05-26,98,26.88,27.0,25.06,25.06,2.2219,144800.0,0.0,1.0
1998-05-27,99,25.0,25.25,23.63,25.0,2.2166,209400.0,0.0,1.0
1998-05-28,100,24.88,26.5,24.75,26.13,2.3168,486700.0,0.0,1.0
1998-05-29,101,26.0,26.25,25.38,25.44,2.2556,109100.0,0.0,1.0
1998-06-01,102,25.13,25.19,24.88,25.06,2.2219,124600.0,0.0,1.0
1998-06-02,103,25.25,25.38,23.88,24.13,2.1395,148300.0,0.0,1.0
1998-06-03,104,24.06,24.44,23.88,23.88,2.1173,62900.0,0.0,1.0
1998-06-04,105,24.44,25.0,24.0,24.88,2.206,174300.0,0.0,1.0
1998-06-05,106,24.5,25.0,24.38,24.88,2.206,45500.0,0.0,1.0
1998-06-08,107,24.88,27.13,24.63,27.13,2.4055,232400.0,0.0,1.0
1998-06-09,108,27.0,28.63,26.69,26.69,2.3664,295600.0,0.0,1.0
1998-06-10,109,26.38,26.62,25.75,25.75,2.2831,129900.0,0.0,1.0
1998-06-11,110,25.5,26.13,24.88,25.0,2.2166,46300.0,0.0,1.0
1998-06-12,111,24.81,25.31,24.13,24.75,2.1944,50400.0,0.0,1.0
1998-06-15,112,24.0,24.63,23.5,23.75,2.1058,80300.0,0.0,1.0
1998-06-16,113,24.13,25.34,23.5,24.63,2.1838,128200.0,0.0,1.0
1998-06-17,114,25.25,25.75,25.0,25.38,2.2503,103300.0,0.0,1.0
1998-06-18,115,25.75,25.75,25.25,25.25,2.2388,16000.0,0.0,1.0
