date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,41.38,41.38,38.5,38.94,5.7689,104563.0,0.0,1.0
1998-01-05,38.88,39.88,37.63,38.25,5.6667,359644.0,0.0,1.0
1998-01-06,39.25,39.38,38.0,38.13,5.6489,267852.0,0.0,1.0
1998-01-07,38.13,38.5,37.75,38.38,5.6859,99200.0,0.0,1.0
1998-01-08,38.06,38.63,37.25,38.31,5.6756,63763.0,0.0,1.0
1998-01-09,38.5,38.5,35.81,36.84,5.4578,387852.0,0.0,1.0
1998-01-12,35.0,38.0,34.5,37.75,5.5926,169867.0,0.0,1.0
1998-01-13,37.75,39.13,37.0,38.75,5.7407,155230.0,0.0,1.0
1998-01-14,38.75,39.25,37.25,37.5,5.5556,184652.0,0.0,1.0
1998-01-15,37.75,37.75,35.88,36.38,5.3896,331200.0,0.0,1.0
1998-01-16,36.88,36.88,35.75,35.88,5.3156,151378.0,0.0,1.0
1998-01-20,36.0,37.0,35.75,36.38,5.3896,253185.0,0.0,1.0
1998-01-21,36.38,36.88,36.0,36.25,5.3704,226785.0,0.0,1.0
1998-01-22,36.25,36.5,36.13,36.25,5.3704,1066044.0,0.0,1.0
1998-01-23,38.0,38.63,37.13,37.63,5.5748,501185.0,0.0,1.0
1998-01-26,37.88,39.0,37.75,38.38,5.6859,541067.0,0.0,1.0
1998-01-27,38.25,39.63,37.63,37.88,5.6119,384000.0,0.0,1.0
1998-01-28,37.69,42.38,37.69,41.88,6.2044,575763.0,0.0,1.0
1998-01-29,41.88,43.25,41.0,41.75,6.1852,230400.0,0.0,1.0
1998-01-30,41.5,42.75,41.25,42.56,6.3052,155763.0,0.0,1.0
1998-02-02,43.13,43.63,42.5,43.0,6.3704,180385.0,0.0,1.0
1998-02-03,43.25,43.75,42.75,43.25,6.4074,215852.0,0.0,1.0
1998-02-04,43.5,43.75,42.25,43.5,6.4444,244563.0,0.0,1.0
1998-02-05,43.5,44.5,42.94,44.44,6.5837,181867.0,0.0,1.0
1998-02-06,44.5,46.63,43.25,43.5,6.4444,152563.0,0.0,1.0
1998-02-09,43.13,43.38,42.0,43.25,6.4074,45600.0,0.0,1.0
1998-02-10,42.88,43.25,42.81,43.09,6.3837,47200.0,0.0,1.0
1998-02-11,43.0,43.25,41.25,42.0,6.2222,176444.0,0.0,1.0
1998-02-12,42.13,42.38,41.0,41.06,6.083,256267.0,0.0,1.0
1998-02-13,40.88,42.63,40.75,42.0,6.2222,144385.0,0.0,1.0
1998-02-17,42.25,44.5,42.25,44.13,6.5378,129778.0,0.0,1.0
1998-02-18,44.5,44.56,43.38,43.44,6.4356,111763.0,0.0,1.0
1998-02-19,43.75,43.75,42.88,42.88,6.3526,26400.0,0.0,1.0
1998-02-20,42.88,43.75,42.0,42.0,6.2222,104830.0,0.0,1.0
1998-02-23,42.0,43.25,42.0,42.75,6.3333,109778.0,0.0,1.0
1998-02-24,42.25,43.0,42.0,42.88,6.3526,78400.0,0.0,1.0
1998-02-25,42.5,43.25,42.44,42.63,6.3156,119644.0,0.0,1.0
1998-02-26,42.75,43.88,42.5,43.25,6.4074,76652.0,0.0,1.0
1998-02-27,42.88,43.5,42.0,43.38,6.4267,372030.0,0.0,1.0
1998-03-02,43.38,44.13,42.25,42.5,6.2963,239052.0,0.0,1.0
1998-03-03,42.5,42.5,42.0,42.25,6.2593,277600.0,0.0,1.0
1998-03-04,42.0,43.25,42.0,42.88,6.3526,75852.0,0.0,1.0
1998-03-05,42.13,42.75,41.63,42.13,6.2415,224563.0,0.0,1.0
1998-03-06,42.5,42.5,41.63,42.13,6.2415,157363.0,0.0,1.0
1998-03-09,42.0,42.13,41.44,41.5,6.1482,22844.0,0.0,1.0
1998-03-10,41.5,42.25,41.38,42.25,6.2593,63467.0,0.0,1.0
1998-03-11,41.5,42.13,41.0,42.13,6.2415,370252.0,0.0,1.0
1998-03-12,42.13,43.88,42.13,43.81,6.4904,261452.0,0.0,1.0
1998-03-13,44.0,45.0,44.0,45.0,6.6667,349630.0,0.0,1.0
1998-03-16,45.25,46.88,44.88,46.88,6.9452,694785.0,0.0,1.0
1998-03-17,45.88,49.38,45.88,49.31,7.3052,724652.0,0.0,1.0
1998-03-18,48.5,50.25,47.88,50.25,7.4444,6090785.0,0.0,1.0
1998-03-19,49.81,51.25,49.75,51.0,7.5556,1488978.0,0.0,1.0
1998-03-20,51.13,51.63,50.63,51.25,7.5926,437067.0,0.0,1.0
1998-03-23,51.25,51.88,50.88,51.75,7.6667,329985.0,0.0,1.0
1998-03-24,51.88,51.88,49.81,50.63,7.5007,500563.0,0.0,1.0
1998-03-25,50.38,51.0,48.63,49.25,7.2963,514163.0,0.0,1.0
1998-03-26,49.25,50.88,47.25,50.88,7.5378,537630.0,0.0,1.0
1998-03-27,50.63,51.38,49.75,50.25,7.4444,325600.0,0.0,1.0
1998-03-30,50.0,53.0,49.75,52.63,7.797,497778.0,0.0,1.0
1998-03-31,52.38,54.13,52.38,53.13,7.8711,501185.0,0.0,1.0
1998-04-01,52.88,53.0,50.75,52.38,7.76,263467.0,0.0,1.0
1998-04-02,52.25,53.75,52.13,53.13,7.8711,318578.0,0.0,1.0
1998-04-03,54.75,57.75,54.75,57.13,8.4637,892563.0,0.0,1.0
1998-04-06,56.88,58.25,55.5,55.88,8.2785,257244.0,0.0,1.0
1998-04-07,55.63,56.13,51.94,53.5,7.9259,375467.0,0.0,1.0
1998-04-08,53.5,55.13,51.59,52.75,7.8148,409600.0,0.0,1.0
1998-04-09,52.25,53.13,51.75,52.0,7.7037,249244.0,0.0,1.0
1998-04-13,52.0,53.75,51.0,51.31,7.6015,281244.0,0.0,1.0
1998-04-14,50.75,53.5,50.75,53.0,7.8519,223467.0,0.0,1.0
1998-04-15,53.0,53.0,51.13,51.88,7.6859,114785.0,0.0,1.0
1998-04-16,51.88,52.13,51.25,51.25,7.5926,149067.0,0.0,1.0
1998-04-17,51.13,52.13,50.5,52.13,7.723,87763.0,0.0,1.0
1998-04-20,52.13,52.13,50.88,51.75,7.6667,75644.0,0.0,1.0
1998-04-21,52.69,53.0,51.0,52.69,7.8059,65630.0,0.0,1.0
1998-04-22,53.0,54.63,52.25,53.0,7.8519,362578.0,0.0,1.0
1998-04-23,52.75,53.5,50.13,50.13,7.4267,88800.0,0.0,1.0
1998-04-24,53.0,54.0,52.5,53.63,7.9452,775230.0,0.0,1.0
1998-04-27,52.75,55.88,52.75,55.0,8.1482,575852.0,0.0,1.0
1998-04-28,54.5,55.13,53.5,54.63,8.0933,164385.0,0.0,1.0
1998-04-29,54.13,55.0,52.75,52.75,7.8148,191644.0,0.0,1.0
1998-04-30,53.13,54.63,53.13,54.25,8.037,147052.0,0.0,1.0
1998-05-01,54.5,55.5,54.19,55.0,8.1482,87852.0,0.0,1.0
1998-05-04,55.5,56.5,55.0,56.13,8.3156,190667.0,0.0,1.0
1998-05-05,55.75,56.75,54.25,54.25,8.037,164000.0,0.0,1.0
1998-05-06,54.75,55.0,53.13,53.25,7.8889,189067.0,0.0,1.0
1998-05-07,53.25,54.25,53.0,54.0,8.0,150963.0,0.0,1.0
1998-05-08,53.25,54.25,52.38,53.25,7.8889,423230.0,0.0,1.0
1998-05-11,53.25,53.38,51.75,53.0,7.8519,146578.0,0.0,1.0
1998-05-12,53.0,53.13,51.5,53.13,7.8711,187230.0,0.0,1.0
1998-05-13,53.13,54.13,52.5,53.44,7.917,146578.0,0.0,1.0
1998-05-14,53.5,53.75,52.25,52.25,7.7407,46430.0,0.0,1.0
1998-05-15,52.38,53.5,51.56,52.88,7.8341,113452.0,0.0,1.0
1998-05-18,53.0,53.63,52.13,52.22,7.7363,63852.0,0.0,1.0
1998-05-19,52.63,53.75,52.38,53.5,7.9259,92385.0,0.0,1.0
1998-05-20,53.25,54.0,52.25,53.38,7.9082,144178.0,0.0,1.0
1998-05-21,53.13,53.5,52.63,53.38,7.9082,40563.0,0.0,1.0
1998-05-22,52.88,53.88,52.88,53.13,7.8711,122844.0,0.0,1.0
1998-05-26,53.75,54.25,52.75,53.0,7.8519,400800.0,0.0,1.0
1998-05-27,53.0,53.41,51.63,51.69,7.6578,490400.0,0.0,1.0
1998-05-28,52.25,52.75,51.25,52.5,7.7778,427763.0,0.0,1.0
1998-05-29,52.5,52.5,51.06,51.75,7.6667,207852.0,0.0,1.0
1998-06-01,51.75,52.13,50.75,50.75,7.5185,271467.0,0.0,1.0
1998-06-02,50.75,51.5,50.75,51.13,7.5748,292563.0,0.0,1.0
1998-06-03,51.0,51.88,50.13,50.25,7.4444,182785.0,0.0,1.0
1998-06-04,50.75,51.88,50.44,51.63,7.6489,368800.0,0.0,1.0
1998-06-05,51.63,55.5,51.56,55.5,8.2222,866163.0,0.0,1.0
1998-06-08,55.75,59.75,55.0,59.75,8.8519,716563.0,0.0,1.0
1998-06-09,59.5,60.13,56.5,56.75,8.4074,437185.0,0.0,1.0
1998-06-10,56.75,56.88,54.75,54.88,8.1304,514963.0,0.0,1.0
1998-06-11,55.0,57.13,53.5,56.88,8.4267,369452.0,0.0,1.0
1998-06-12,57.0,58.88,55.13,58.81,8.7126,270667.0,0.0,1.0
1998-06-15,58.75,58.75,56.06,56.13,8.3156,142667.0,0.0,1.0
1998-06-16,56.13,58.13,56.13,57.5,8.5185,180652.0,0.0,1.0
1998-06-17,57.63,59.75,57.63,59.0,8.7407,168267.0,0.0,1.0
1998-06-18,59.0,59.0,57.13,57.13,8.4637,84000.0,0.0,1.0
1998-06-19,57.88,58.38,56.63,57.63,8.5378,59644.0,0.0,1.0
1998-06-22,57.63,61.25,57.63,61.0,9.037,404267.0,0.0,1.0
1998-06-23,61.25,62.88,60.63,62.13,9.2044,208178.0,0.0,1.0
1998-06-24,62.0,62.0,58.88,58.88,8.723,206163.0,0.0,1.0
1998-06-25,59.13,61.5,59.13,60.38,8.9452,160178.0,0.0,1.0
1998-06-26,60.5,61.5,60.0,60.0,8.8889,161244.0,0.0,1.0
1998-06-29,60.0,61.75,59.25,61.75,9.1482,351585.0,0.0,1.0
1998-06-30,41.25,41.25,40.5,40.63,9.0289,101452.0,0.0,1.5
1998-07-01,40.88,41.75,39.88,39.97,8.8822,189644.0,0.0,1.0
1998-07-02,40.38,40.5,39.75,39.75,8.8333,158178.0,0.0,1.0
1998-07-06,39.75,40.5,39.38,40.5,9.0,152400.0,0.0,1.0
1998-07-07,41.75,42.0,40.0,40.13,8.9178,372667.0,0.0,1.0
1998-07-08,40.0,41.0,40.0,41.0,9.1111,114000.0,0.0,1.0
1998-07-09,41.38,42.5,40.63,42.0,9.3333,247200.0,0.0,1.0
1998-07-10,42.38,42.38,41.38,41.38,9.1956,64000.0,0.0,1.0
1998-07-13,41.75,42.0,41.0,42.0,9.3333,194044.0,0.0,1.0
1998-07-14,42.0,42.0,41.13,41.88,9.3067,176667.0,0.0,1.0
1998-07-15,42.13,43.0,41.5,42.38,9.4178,211778.0,0.0,1.0
1998-07-16,42.0,43.25,41.75,43.25,9.6111,120667.0,0.0,1.0
1998-07-17,43.25,44.25,42.5,43.25,9.6111,118578.0,0.0,1.0
1998-07-20,43.63,44.88,43.13,44.75,9.9444,180978.0,0.0,1.0
1998-07-21,45.0,45.63,44.25,44.63,9.9178,229244.0,0.0,1.0
1998-07-22,45.0,47.13,44.25,46.63,10.3622,244444.0,0.0,1.0
1998-07-23,46.5,48.0,45.0,46.0,10.2222,434800.0,0.0,1.0
1998-07-24,45.75,48.0,45.75,48.0,10.6667,610178.0,0.0,1.0
1998-07-27,48.5,49.13,46.0,46.56,10.3467,614844.0,0.0,1.0
1998-07-28,46.5,48.69,46.38,48.13,10.6956,611200.0,0.0,1.0
1998-07-29,48.25,48.5,47.63,47.88,10.64,172000.0,0.0,1.0
1998-07-30,48.5,49.5,47.81,48.5,10.7778,290667.0,0.0,1.0
1998-07-31,48.13,49.25,44.5,45.38,10.0844,442044.0,0.0,1.0
1998-08-03,45.25,46.0,42.5,46.0,10.2222,360800.0,0.0,1.0
1998-08-04,46.88,47.0,41.88,42.41,9.4244,337067.0,0.0,1.0
1998-08-05,42.38,43.63,40.5,41.94,9.32,387644.0,0.0,1.0
1998-08-06,42.0,42.75,40.5,42.75,9.5,255644.0,0.0,1.0
1998-08-07,43.0,43.75,42.25,42.75,9.5,315644.0,0.0,1.0
1998-08-10,43.38,43.38,40.25,41.0,9.1111,319867.0,0.0,1.0
1998-08-11,40.5,41.5,40.0,41.19,9.1533,202844.0,0.0,1.0
1998-08-12,40.5,43.38,40.0,43.25,9.6111,301778.0,0.0,1.0
1998-08-13,43.38,44.75,42.94,44.13,9.8067,268044.0,0.0,1.0
1998-08-14,45.0,45.38,44.13,44.13,9.8067,129200.0,0.0,1.0
1998-08-17,44.63,46.13,44.0,45.88,10.1956,138267.0,0.0,1.0
1998-08-18,46.0,46.0,44.5,45.31,10.0689,492578.0,0.0,1.0
1998-08-19,45.75,45.75,44.25,44.5,9.8889,341778.0,0.0,1.0
1998-08-20,45.0,45.0,36.38,41.13,9.14,3762800.0,0.0,1.0
1998-08-21,41.0,41.38,36.88,38.0,8.4444,1493067.0,0.0,1.0
1998-08-24,38.0,39.0,37.38,37.63,8.3622,557378.0,0.0,1.0
1998-08-25,38.13,39.13,37.75,38.0,8.4444,1007600.0,0.0,1.0
1998-08-26,38.0,38.0,35.63,36.06,8.0133,528444.0,0.0,1.0
1998-08-27,36.0,36.0,32.63,33.06,7.3467,523778.0,0.0,1.0
1998-08-28,33.5,33.75,29.5,31.19,6.9311,744400.0,0.0,1.0
1998-08-31,30.63,31.5,28.63,29.0,6.4444,526667.0,0.0,1.0
1998-09-01,29.5,31.63,28.5,30.63,6.8067,804400.0,0.0,1.0
1998-09-02,31.25,31.5,30.5,30.84,6.8533,545244.0,0.0,1.0
1998-09-03,30.88,31.0,29.13,30.5,6.7778,298667.0,0.0,1.0
1998-09-04,30.75,32.5,29.38,31.0,6.8889,1076178.0,0.0,1.0
1998-09-08,31.5,34.38,31.5,34.0,7.5556,1082444.0,0.0,1.0
1998-09-09,34.0,35.38,33.63,34.88,7.7511,508844.0,0.0,1.0
1998-09-10,34.88,34.88,32.5,32.75,7.2778,687067.0,0.0,1.0
1998-09-11,32.63,35.13,32.63,35.0,7.7778,382400.0,0.0,1.0
1998-09-14,35.13,36.75,34.63,35.0,7.7778,283244.0,0.0,1.0
1998-09-15,35.38,35.38,34.25,34.25,7.6111,282044.0,0.0,1.0
1998-09-16,34.38,34.75,34.13,34.25,7.6111,549378.0,0.0,1.0
1998-09-17,31.75,33.5,31.38,31.75,7.0556,1062978.0,0.0,1.0
1998-09-18,31.5,33.13,31.5,33.0,7.3333,131067.0,0.0,1.0
1998-09-21,31.88,32.75,31.0,31.06,6.9022,319067.0,0.0,1.0
1998-09-22,31.5,33.25,31.25,31.69,7.0422,448267.0,0.0,1.0
1998-09-23,32.75,32.75,31.5,31.69,7.0422,406178.0,0.0,1.0
1998-09-24,31.69,31.88,29.31,29.5,6.5556,262000.0,0.0,1.0
1998-09-25,29.38,30.25,27.88,29.88,6.64,550844.0,0.0,1.0
1998-09-28,30.0,31.5,28.88,28.94,6.4311,791778.0,0.0,1.0
1998-09-29,31.13,32.0,29.38,31.06,6.9022,2158800.0,0.0,1.0
1998-09-30,29.38,31.75,29.38,31.31,6.9578,3041644.0,0.0,1.0
1998-10-01,30.88,32.38,30.0,31.0,6.8889,468578.0,0.0,1.0
1998-10-02,30.75,33.13,30.75,33.0,7.3333,547378.0,0.0,1.0
1998-10-05,33.0,33.25,31.5,32.63,7.2511,908444.0,0.0,1.0
1998-10-06,33.75,34.0,30.63,31.0,6.8889,860578.0,0.0,1.0
1998-10-07,30.75,30.75,27.5,27.69,6.1533,1169200.0,0.0,1.0
1998-10-08,25.75,28.75,23.75,28.75,6.3889,771778.0,0.0,1.0
1998-10-09,28.75,30.38,27.0,28.94,6.4311,262400.0,0.0,1.0
