date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,24.38,24.38,24.0,24.06,7.0023,68900.0,0.0,1.0
1998-01-05,1,24.31,24.31,24.06,24.12,7.0198,159100.0,0.0,1.0
1998-01-06,2,24.19,24.19,23.5,23.69,6.8947,202400.0,0.0,1.0
1998-01-07,3,24.0,24.06,23.5,23.56,6.8568,166300.0,0.0,1.0
1998-01-08,4,23.62,24.19,23.38,23.94,6.9674,299200.0,0.0,1.0
1998-01-09,5,24.19,24.25,23.62,23.62,6.8743,78800.0,0.0,1.0
1998-01-12,6,23.38,23.5,23.06,23.38,6.8044,111600.0,0.0,1.0
1998-01-13,7,23.62,24.12,23.06,23.75,6.9121,261800.0,0.0,1.0
1998-01-14,8,24.0,24.0,23.75,24.0,6.9849,185400.0,0.0,1.0
1998-01-15,9,24.44,24.56,23.88,24.0,6.9849,266300.0,0.0,1.0
1998-01-16,10,24.38,24.44,23.75,23.75,6.9121,145500.0,0.0,1.0
1998-01-20,11,24.0,24.69,23.81,24.62,7.1653,145800.0,0.0,1.0
1998-01-21,12,24.62,25.0,24.5,24.62,7.1653,159100.0,0.0,1.0
1998-01-22,13,24.44,24.56,23.94,23.94,6.9674,141000.0,0.0,1.0
1998-01-23,14,23.69,24.12,23.69,23.94,6.9674,98500.0,0.0,1.0
1998-01-26,15,23.69,24.19,23.56,24.0,6.9849,95100.0,0.0,1.0
1998-01-27,16,24.19,24.38,24.0,24.31,7.0751,102300.0,0.0,1.0
1998-01-28,17,24.56,24.69,24.12,24.25,7.0576,109800.0,0.0,1.0
1998-01-29,18,24.31,24.94,24.12,24.56,7.1479,167500.0,0.0,1.0
1998-01-30,19,24.81,24.81,23.69,23.75,6.9121,110100.0,0.0,1.0
1998-02-02,20,24.0,24.25,23.81,23.81,6.9296,230900.0,0.0,1.0
1998-02-03,21,24.0,24.0,23.62,23.69,6.8947,155100.0,0.0,1.0
1998-02-04,22,23.62,23.94,23.62,23.75,6.9121,198400.0,0.0,1.0
1998-02-05,23,23.75,24.0,23.69,23.75,6.9121,139100.0,0.0,1.0
1998-02-06,24,23.94,24.12,23.75,24.0,6.9849,164600.0,0.0,1.0
1998-02-09,25,24.12,24.12,23.94,23.94,6.9674,44600.0,0.0,1.0
1998-02-10,26,23.69,24.0,23.69,23.88,6.95,110800.0,0.0,1.0
1998-02-11,27,23.62,23.88,23.62,23.81,7.0169,140000.0,0.3,1.0
1998-02-12,28,23.94,23.94,23.25,23.75,6.9992,189400.0,0.0,1.0
1998-02-13,29,23.5,23.75,23.0,23.19,6.8342,156000.0,0.0,1.0
1998-02-17,30,23.38,23.44,23.19,23.25,6.8519,125200.0,0.0,1.0
1998-02-18,31,23.31,23.31,22.88,23.0,6.7782,106000.0,0.0,1.0
1998-02-19,32,23.25,23.25,22.81,22.94,6.7605,186100.0,0.0,1.0
1998-02-20,33,23.0,23.06,22.75,22.75,6.7045,169300.0,0.0,1.0
1998-02-23,34,22.94,22.94,22.31,22.62,6.6662,335800.0,0.0,1.0
1998-02-24,35,22.88,22.88,22.62,22.69,6.6868,84200.0,0.0,1.0
1998-02-25,36,22.56,22.94,22.56,22.81,6.7222,114000.0,0.0,1.0
1998-02-26,37,22.94,23.0,22.81,22.88,6.7428,60600.0,0.0,1.0
1998-02-27,38,23.06,23.06,22.62,22.94,6.7605,152800.0,0.0,1.0
1998-03-02,39,22.69,22.94,22.5,22.75,6.7045,243300.0,0.0,1.0
1998-03-03,40,22.5,22.75,22.5,22.75,6.7045,148100.0,0.0,1.0
1998-03-04,41,22.62,22.75,22.56,22.62,6.6662,107400.0,0.0,1.0
1998-03-05,42,22.5,22.94,22.5,22.94,6.7605,100200.0,0.0,1.0
1998-03-06,43,22.94,23.62,22.88,23.25,6.8519,140800.0,0.0,1.0
1998-03-09,44,23.0,23.62,23.0,23.31,6.8695,112300.0,0.0,1.0
1998-03-10,45,23.31,23.81,23.31,23.44,6.9078,111300.0,0.0,1.0
1998-03-11,46,23.25,23.62,23.25,23.38,6.8902,67500.0,0.0,1.0
1998-03-12,47,23.44,23.69,23.31,23.44,6.9078,83100.0,0.0,1.0
1998-03-13,48,23.44,23.62,23.38,23.38,6.8902,181700.0,0.0,1.0
1998-03-16,49,23.38,23.5,23.12,23.12,6.8135,189200.0,0.0,1.0
1998-03-17,50,23.12,23.31,23.0,23.06,6.7959,165700.0,0.0,1.0
1998-03-18,51,23.12,23.19,22.75,22.75,6.7045,113100.0,0.0,1.0
1998-03-19,52,22.5,23.0,22.5,22.69,6.6868,75600.0,0.0,1.0
1998-03-20,53,23.12,23.5,23.0,23.25,6.8519,138000.0,0.0,1.0
1998-03-23,54,23.0,23.44,22.94,23.44,6.9078,49000.0,0.0,1.0
1998-03-24,55,23.38,23.56,23.19,23.19,6.8342,162700.0,0.0,1.0
1998-03-25,56,23.31,23.94,23.25,23.81,7.0169,160500.0,0.0,1.0
1998-03-26,57,23.94,24.56,23.56,24.38,7.1849,178100.0,0.0,1.0
