date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,55.25,55.63,55.0,55.56,10.7646,59100.0,0.0,1.0
1998-01-05,56.88,56.88,56.06,56.06,10.8615,119900.0,0.0,1.0
1998-01-06,56.06,56.25,55.19,55.56,10.7646,111000.0,0.0,1.0
1998-01-07,55.31,55.94,55.13,55.44,10.7413,129100.0,0.0,1.0
1998-01-08,55.25,55.56,55.0,55.0,10.6561,83300.0,0.0,1.0
1998-01-09,55.0,55.25,54.38,54.38,10.536,140600.0,0.0,1.0
1998-01-12,54.0,54.63,53.69,54.19,10.4992,138600.0,0.0,1.0
1998-01-13,54.25,54.31,53.5,54.13,10.4875,147100.0,0.0,1.0
1998-01-14,54.31,54.38,53.5,54.13,10.4875,94900.0,0.0,1.0
1998-01-15,54.06,54.13,53.25,53.69,10.4023,77600.0,0.0,1.0
1998-01-16,27.25,28.0,26.88,27.81,10.7762,95100.0,0.0,2.0
1998-01-20,28.5,28.5,27.44,27.63,10.7065,147800.0,0.0,1.0
1998-01-21,27.38,27.69,27.0,27.56,10.6793,167000.0,0.0,1.0
1998-01-22,27.31,27.69,27.06,27.69,10.7297,116300.0,0.0,1.0
1998-01-23,27.56,27.81,26.69,27.38,10.6096,189200.0,0.0,1.0
1998-01-26,27.63,27.69,26.94,27.38,10.6096,169800.0,0.0,1.0
1998-01-27,27.25,27.63,27.19,27.31,10.5825,115000.0,0.0,1.0
1998-01-28,27.25,27.5,26.75,27.19,10.536,148200.0,0.0,1.0
1998-01-29,27.06,27.75,27.0,27.0,10.4623,190300.0,0.0,1.0
1998-01-30,27.5,27.69,27.13,27.38,10.6096,166600.0,0.0,1.0
1998-02-02,27.75,27.75,27.44,27.63,10.7065,161900.0,0.0,1.0
1998-02-03,27.44,27.94,27.44,27.75,10.753,215000.0,0.0,1.0
1998-02-04,27.75,27.94,27.25,27.25,10.5592,138200.0,0.0,1.0
1998-02-05,27.25,27.63,26.88,27.44,10.6328,192400.0,0.0,1.0
1998-02-06,27.69,27.94,27.63,27.63,10.7065,149000.0,0.0,1.0
1998-02-09,27.38,27.81,27.25,27.69,10.7297,224000.0,0.0,1.0
1998-02-10,27.94,28.31,27.75,28.19,10.9235,341800.0,0.0,1.0
1998-02-11,28.19,28.25,27.75,28.13,10.9002,227100.0,0.0,1.0
1998-02-12,28.0,28.38,27.63,28.13,10.9002,232000.0,0.0,1.0
1998-02-13,28.0,28.25,27.81,27.94,10.8266,140900.0,0.0,1.0
1998-02-17,27.69,28.56,27.69,28.31,10.97,138000.0,0.0,1.0
1998-02-18,28.38,28.56,28.19,28.25,10.9467,106800.0,0.0,1.0
1998-02-19,28.25,28.31,27.75,27.81,10.7762,234100.0,0.0,1.0
1998-02-20,28.06,28.44,27.88,28.44,11.0203,161900.0,0.0,1.0
1998-02-23,28.5,28.88,27.94,28.44,11.0203,198000.0,0.0,1.0
1998-02-24,28.38,28.44,28.13,28.31,10.97,213400.0,0.0,1.0
