date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,21.06,21.25,20.63,20.63,4.5631,292200.0,0.0,1.0
1998-01-05,1,20.63,20.69,19.94,20.0,4.4237,193900.0,0.0,1.0
1998-01-06,2,19.5,20.0,19.25,19.63,4.3419,649200.0,0.0,1.0
1998-01-07,3,19.63,20.13,19.63,19.81,4.3817,422900.0,0.0,1.0
1998-01-08,4,19.75,20.13,19.63,20.0,4.4237,216000.0,0.0,1.0
1998-01-09,5,20.0,20.0,19.0,19.06,4.2158,340800.0,0.0,1.0
1998-01-12,6,18.88,19.63,18.56,19.31,4.2711,211500.0,0.0,1.0
1998-01-13,7,19.25,19.94,19.25,19.75,4.3751,503500.0,0.03,1.0
1998-01-14,8,19.81,19.81,19.38,19.81,4.3884,156900.0,0.0,1.0
1998-01-15,9,20.0,20.25,19.88,20.0,4.4305,95700.0,0.0,1.0
1998-01-16,10,19.75,20.63,19.75,20.25,4.4858,235200.0,0.0,1.0
1998-01-20,11,20.44,21.06,20.38,20.81,4.6099,859700.0,0.0,1.0
1998-01-21,12,20.81,21.25,20.81,21.25,4.7074,514300.0,0.0,1.0
1998-01-22,13,20.69,20.75,20.25,20.31,4.4991,387700.0,0.0,1.0
1998-01-23,14,20.31,20.38,19.94,19.94,4.4172,222000.0,0.0,1.0
1998-01-26,15,19.75,20.13,19.69,19.88,4.4039,215100.0,0.0,1.0
1998-01-27,16,19.69,20.13,19.63,20.13,4.4593,134500.0,0.0,1.0
1998-01-28,17,20.06,20.31,19.75,20.06,4.4438,108000.0,0.0,1.0
1998-01-29,18,20.19,20.81,20.19,20.25,4.4858,459800.0,0.0,1.0
1998-01-30,19,20.31,20.31,19.88,20.0,4.4305,305000.0,0.0,1.0
1998-02-02,20,20.13,20.13,19.25,19.38,4.2931,765200.0,0.0,1.0
1998-02-03,21,19.38,19.88,19.38,19.63,4.3485,436000.0,0.0,1.0
1998-02-04,22,19.63,20.38,19.63,20.25,4.4858,561600.0,0.0,1.0
1998-02-05,23,20.5,20.63,20.38,20.5,4.5412,568500.0,0.0,1.0
1998-02-06,24,20.69,21.0,20.06,21.0,4.652,1074800.0,0.0,1.0
1998-02-09,25,21.0,21.0,20.56,20.81,4.6099,577500.0,0.0,1.0
1998-02-10,26,20.75,20.81,20.38,20.81,4.6099,252600.0,0.0,1.0
1998-02-11,27,20.94,20.94,20.5,20.56,4.5545,147100.0,0.0,1.0
1998-02-12,28,20.69,20.69,20.25,20.56,4.5545,189100.0,0.0,1.0
1998-02-13,29,20.5,20.75,20.25,20.56,4.5545,277800.0,0.0,1.0
1998-02-17,30,20.75,20.75,19.94,19.94,4.4172,354300.0,0.0,1.0
1998-02-18,31,20.0,20.63,19.88,20.38,4.5146,422300.0,0.0,1.0
1998-02-19,32,20.44,20.5,20.0,20.13,4.4593,484700.0,0.0,1.0
1998-02-20,33,20.19,20.5,20.13,20.25,4.4858,359100.0,0.0,1.0
1998-02-23,34,20.13,20.19,19.63,19.94,4.4172,464900.0,0.0,1.0
1998-02-24,35,20.0,20.38,19.88,20.25,4.4858,341000.0,0.0,1.0
1998-02-25,36,20.38,20.44,20.0,20.25,4.4858,147200.0,0.0,1.0
1998-02-26,37,20.5,21.5,20.38,21.19,4.6941,487600.0,0.0,1.0
