date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,29.94,30.13,29.56,29.75,12.7812,547800.0,0.0,1.0
1998-01-05,1,29.56,30.0,28.94,29.13,12.5148,1167100.0,0.0,1.0
1998-01-06,2,29.0,29.25,28.63,28.69,12.3258,503400.0,0.0,1.0
1998-01-07,3,28.69,28.69,28.0,28.5,12.2442,1098100.0,0.0,1.0
1998-01-08,4,28.44,28.56,27.94,28.5,12.2442,982400.0,0.0,1.0
1998-01-09,5,28.5,28.56,27.88,27.88,11.9778,814600.0,0.0,1.0
1998-01-12,6,27.88,28.63,27.75,28.56,12.2699,744800.0,0.0,1.0
1998-01-13,7,28.63,28.69,27.81,28.69,12.3258,1306700.0,0.0,1.0
1998-01-14,8,28.75,28.94,28.44,28.5,12.2442,1242900.0,0.0,1.0
1998-01-15,9,28.44,28.44,27.63,27.81,11.9477,722800.0,0.0,1.0
1998-01-16,10,28.0,28.5,27.94,28.0,12.0294,621700.0,0.0,1.0
1998-01-20,11,28.19,28.25,27.94,28.25,12.1368,803300.0,0.0,1.0
1998-01-21,12,28.13,28.81,28.06,28.69,12.3258,866100.0,0.0,1.0
1998-01-22,13,28.5,29.06,28.38,28.63,12.3,2032200.0,0.0,1.0
1998-01-23,14,28.63,28.75,28.44,28.56,12.2699,739900.0,0.0,1.0
1998-01-26,15,28.56,28.81,28.38,28.5,12.2442,316800.0,0.0,1.0
1998-01-27,16,28.5,28.75,28.44,28.44,12.2184,516300.0,0.0,1.0
1998-01-28,17,28.44,28.75,28.44,28.5,12.2442,430500.0,0.0,1.0
1998-01-29,18,28.56,29.25,28.44,29.0,12.459,1351900.0,0.0,1.0
1998-01-30,19,28.88,29.0,28.63,28.63,12.3,320500.0,0.0,1.0
1998-02-02,20,28.81,29.25,28.81,28.94,12.4332,612300.0,0.0,1.0
1998-02-03,21,29.06,29.19,28.94,29.06,12.4848,413600.0,0.0,1.0
