date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,38.5,39.38,38.25,39.0,4.067,81700.0,0.0,1.0
1998-01-05,1,39.25,39.38,37.5,38.38,4.0024,28100.0,0.0,1.0
1998-01-06,2,37.75,38.63,37.75,38.25,3.9888,285600.0,0.0,1.0
1998-01-07,3,38.38,38.38,36.25,37.38,3.8981,43700.0,0.0,1.0
1998-01-08,4,37.5,37.5,36.38,36.63,3.8199,166100.0,0.0,1.0
1998-01-09,5,37.25,37.25,35.75,36.19,3.774,162200.0,0.0,1.0
1998-01-12,6,36.0,36.0,34.63,35.0,3.6499,106800.0,0.0,1.0
1998-01-13,7,34.63,35.25,34.63,34.63,3.6113,210900.0,0.0,1.0
1998-01-14,8,35.13,35.13,34.0,34.44,3.5915,127500.0,0.0,1.0
1998-01-15,9,34.13,34.63,34.0,34.0,3.5456,156500.0,0.0,1.0
1998-01-16,10,34.38,35.13,33.63,35.0,3.6499,181900.0,0.0,1.0
1998-01-20,11,35.13,36.38,34.88,36.0,3.7542,220800.0,0.0,1.0
1998-01-21,12,34.63,35.88,34.63,35.88,3.7417,172900.0,0.0,1.0
1998-01-22,13,35.0,35.88,35.0,35.63,3.7156,47100.0,0.0,1.0
1998-01-23,14,35.0,35.88,32.75,33.69,3.5133,198400.0,0.0,1.0
1998-01-26,15,33.13,34.13,32.5,32.5,3.3892,250600.0,0.0,1.0
1998-01-27,16,32.75,32.75,29.94,30.75,3.2067,368100.0,0.0,1.0
1998-01-28,17,30.5,32.0,30.0,31.13,3.2463,313200.0,0.0,1.0
1998-01-29,18,31.5,31.63,30.88,31.63,3.2985,495500.0,0.0,1.0
1998-01-30,19,31.63,31.63,30.5,31.13,3.2463,325600.0,0.0,1.0
1998-02-02,20,32.25,33.5,31.38,32.25,3.3631,262200.0,0.0,1.0
1998-02-03,21,33.13,33.13,32.5,33.0,3.4413,419100.0,0.0,1.0
1998-02-04,22,33.0,34.88,32.75,34.88,3.6374,901500.0,0.0,1.0
1998-02-05,23,35.0,35.0,33.75,33.88,3.5331,139800.0,0.0,1.0
1998-02-06,24,33.75,34.5,33.75,34.25,3.5717,151800.0,0.0,1.0
1998-02-09,25,34.25,36.75,34.25,36.5,3.8063,155000.0,0.0,1.0
1998-02-10,26,38.5,39.63,37.5,39.38,4.1067,542700.0,0.0,1.0
1998-02-11,27,39.13,42.0,38.5,41.88,4.3674,462600.0,0.0,1.0
1998-02-12,28,40.88,42.0,40.81,41.94,4.3736,416700.0,0.0,1.0
1998-02-13,29,41.13,42.38,41.0,41.63,4.3413,127000.0,0.0,1.0
1998-02-17,30,42.13,43.0,41.63,42.88,4.4716,330600.0,0.0,1.0
1998-02-18,31,42.5,45.0,41.25,42.13,4.3934,577500.0,0.0,1.0
