date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,39.13,41.0,38.38,40.75,3.6673,269100.0,0.0,1.0
1998-01-05,40.5,43.13,40.5,42.69,3.8419,338500.0,0.0,1.0
1998-01-06,42.63,42.69,40.69,41.0,3.6898,193600.0,0.0,1.0
1998-01-07,40.75,40.88,39.5,40.0,3.5998,158000.0,0.0,1.0
1998-01-08,40.25,40.25,38.56,39.06,3.5152,345300.0,0.0,1.0
1998-01-09,38.81,38.81,34.88,34.88,3.139,622000.0,0.0,1.0
1998-01-12,35.13,37.0,34.25,35.94,3.2344,626400.0,0.0,1.0
1998-01-13,36.0,37.5,35.88,36.97,3.3271,440500.0,0.0,1.0
1998-01-14,37.5,37.5,36.75,37.13,3.3415,217300.0,0.0,1.0
1998-01-15,37.5,38.25,36.88,38.25,3.4423,370400.0,0.0,1.0
1998-01-16,37.75,39.63,37.75,38.63,3.4765,524000.0,0.0,1.0
1998-01-20,39.63,41.88,39.0,41.25,3.7123,322000.0,0.0,1.0
1998-01-21,41.13,42.5,40.88,41.5,3.7348,253300.0,0.0,1.0
1998-01-22,40.5,41.38,40.5,41.31,3.7177,135600.0,0.0,1.0
1998-01-23,41.88,42.5,41.25,42.19,3.7969,268100.0,0.0,1.0
1998-01-26,42.63,43.25,41.31,41.31,3.7177,239400.0,0.0,1.0
1998-01-27,41.63,43.13,41.0,42.81,3.8527,400400.0,0.0,1.0
1998-01-28,42.25,44.69,42.25,44.25,3.9823,331600.0,0.0,1.0
1998-01-29,44.38,45.13,44.25,45.13,4.0615,131800.0,0.0,1.0
1998-01-30,44.44,44.75,43.94,43.94,3.9544,147300.0,0.0,1.0
1998-02-02,44.06,44.06,43.0,43.13,3.8815,177600.0,0.0,1.0
1998-02-03,43.25,43.88,43.0,43.88,3.949,254000.0,0.0,1.0
1998-02-04,44.0,44.88,43.5,44.5,4.0048,278500.0,0.0,1.0
1998-02-05,44.88,45.13,44.5,44.56,4.0102,255200.0,0.0,1.0
1998-02-06,45.13,46.0,44.63,45.63,4.1065,199200.0,0.0,1.0
1998-02-09,46.25,47.5,45.63,46.63,4.1965,268100.0,0.0,1.0
1998-02-10,46.75,47.25,46.25,46.94,4.2244,78500.0,0.0,1.0
1998-02-11,47.0,47.75,46.5,47.75,4.2973,108500.0,0.0,1.0
1998-02-12,47.75,48.38,47.0,47.88,4.309,127900.0,0.0,1.0
1998-02-13,47.88,48.75,46.5,46.75,4.2073,220100.0,0.0,1.0
1998-02-17,47.25,47.25,45.0,45.56,4.1002,166400.0,0.0,1.0
1998-02-18,45.13,46.5,45.13,45.63,4.1065,105200.0,0.0,1.0
1998-02-19,45.63,47.19,45.25,46.25,4.1623,280500.0,0.0,1.0
1998-02-20,46.25,46.63,46.0,46.06,4.1452,104000.0,0.0,1.0
1998-02-23,46.13,47.75,46.13,47.25,4.2523,200600.0,0.0,1.0
1998-02-24,47.5,47.75,46.63,46.75,4.2073,117800.0,0.0,1.0
1998-02-25,47.0,47.25,46.31,46.69,4.2037,137400.0,0.02,1.0
1998-02-26,46.88,46.88,43.75,43.81,3.9444,501200.0,0.0,1.0
1998-02-27,44.38,44.5,43.75,43.88,3.9507,347400.0,0.0,1.0
1998-03-02,44.13,44.13,43.5,43.81,3.9444,332500.0,0.0,1.0
1998-03-03,44.25,44.25,43.38,43.38,3.9057,261400.0,0.0,1.0
1998-03-04,43.63,43.63,42.38,43.13,3.8832,112500.0,0.0,1.0
1998-03-05,42.25,43.5,42.25,42.88,3.8607,119300.0,0.0,1.0
1998-03-06,43.5,43.5,42.88,43.5,3.9165,187100.0,0.0,1.0
1998-03-09,43.5,43.88,42.88,43.59,3.9246,99700.0,0.0,1.0
1998-03-10,43.38,44.63,43.38,44.5,4.0065,368000.0,0.0,1.0
1998-03-11,44.75,46.5,44.38,46.19,4.1587,383600.0,0.0,1.0
1998-03-12,46.5,46.5,45.63,45.78,4.1218,172400.0,0.0,1.0
1998-03-13,45.94,47.0,45.5,47.0,4.2316,354500.0,0.0,1.0
1998-03-16,47.13,47.13,46.0,46.75,4.2091,107600.0,0.0,1.0
1998-03-17,46.88,47.13,46.25,46.25,4.1641,109100.0,0.0,1.0
1998-03-18,46.63,46.63,45.94,46.25,4.1641,261900.0,0.0,1.0
1998-03-19,45.75,45.75,44.75,44.94,4.0461,182500.0,0.0,1.0
1998-03-20,45.25,45.25,43.88,44.0,3.9615,148200.0,0.0,1.0
1998-03-23,44.13,44.25,43.75,43.94,3.9561,114500.0,0.0,1.0
1998-03-24,44.25,44.94,43.75,44.38,3.9957,191500.0,0.0,1.0
1998-03-25,45.0,46.06,44.44,45.25,4.074,205300.0,0.0,1.0
1998-03-26,45.13,46.25,44.63,45.88,4.1308,150600.0,0.0,1.0
1998-03-27,45.75,46.0,43.63,44.0,3.9615,376700.0,0.0,1.0
1998-03-30,44.0,44.25,41.63,41.88,3.7706,397500.0,0.0,1.0
1998-03-31,42.5,44.75,42.0,43.38,3.9057,355200.0,0.0,1.0
1998-04-01,43.81,43.81,41.5,42.38,3.8156,323200.0,0.0,1.0
1998-04-02,42.38,42.88,42.25,42.44,3.821,156300.0,0.0,1.0
1998-04-03,42.38,42.38,41.38,41.69,3.7535,310200.0,0.0,1.0
1998-04-06,41.63,41.75,40.75,40.88,3.6806,406800.0,0.0,1.0
1998-04-07,41.0,42.27,40.63,40.81,3.6743,414800.0,0.0,1.0
