date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,61.0,61.56,60.63,60.81,27.525,330000.0,0.0,1.0
1998-01-05,61.44,61.44,60.88,61.13,27.6699,310900.0,0.0,1.0
1998-01-06,61.13,64.44,60.88,63.88,28.9146,1045800.0,0.0,1.0
1998-01-07,63.88,65.31,63.38,64.63,29.2541,730600.0,0.0,1.0
1998-01-08,65.19,66.31,64.75,64.88,29.3673,906300.0,0.0,1.0
1998-01-09,64.63,64.75,62.44,62.56,28.3172,784900.0,0.0,1.0
1998-01-12,60.75,63.38,60.69,62.5,28.29,715200.0,0.0,1.0
1998-01-13,63.13,63.69,62.75,63.25,28.6295,397700.0,0.0,1.0
1998-01-14,63.88,63.88,62.56,62.63,28.3488,492000.0,0.0,1.0
1998-01-15,62.56,63.94,62.06,63.5,28.7426,859400.0,0.0,1.0
1998-01-16,64.13,67.63,64.13,65.88,29.8199,1315000.0,0.0,1.0
1998-01-20,66.0,66.63,65.75,66.44,30.0734,644800.0,0.0,1.0
1998-01-21,66.44,66.88,66.0,66.0,29.8742,438600.0,0.0,1.0
1998-01-22,66.5,67.31,65.56,65.69,29.7339,350100.0,0.0,1.0
1998-01-23,66.31,66.56,63.81,64.0,28.969,592800.0,0.0,1.0
1998-01-26,64.0,64.94,63.81,63.94,28.9418,399100.0,0.0,1.0
1998-01-27,64.44,64.69,63.81,64.13,29.0278,548500.0,0.0,1.0
1998-01-28,64.13,66.63,64.13,66.44,30.0734,853100.0,0.0,1.0
1998-01-29,66.44,66.44,65.0,65.63,29.7068,1256300.0,0.0,1.0
1998-01-30,64.25,65.63,64.13,65.06,29.4488,510100.0,0.0,1.0
1998-02-02,67.25,67.63,66.63,67.44,30.526,1030800.0,0.0,1.0
1998-02-03,67.25,67.75,66.88,67.75,30.6664,383900.0,0.0,1.0
1998-02-04,67.25,69.31,67.13,68.94,31.205,655700.0,0.0,1.0
1998-02-05,68.88,68.88,66.38,66.56,30.1277,791800.0,0.0,1.0
1998-02-06,66.56,66.56,66.0,66.19,29.9602,577200.0,0.0,1.0
1998-02-09,66.44,67.69,66.13,67.69,30.6392,392700.0,0.0,1.0
1998-02-10,67.94,68.69,67.63,68.06,30.8067,469800.0,0.0,1.0
1998-02-11,68.0,68.13,66.88,67.0,30.3269,321700.0,0.0,1.0
1998-02-12,67.13,68.75,67.0,68.56,31.033,539900.0,0.0,1.0
1998-02-13,68.56,68.75,67.94,68.38,30.9515,489300.0,0.0,1.0
1998-02-17,68.69,68.88,67.69,67.88,30.7252,252700.0,0.0,1.0
1998-02-18,67.88,67.88,66.0,67.25,30.44,571300.0,0.0,1.0
1998-02-19,67.5,67.5,65.75,65.75,29.7611,421000.0,0.0,1.0
1998-02-20,65.88,65.88,64.38,65.63,29.7068,670600.0,0.0,1.0
1998-02-23,65.56,67.13,65.56,66.0,29.8742,444900.0,0.0,1.0
1998-02-24,65.5,65.5,64.75,65.0,29.4216,366300.0,0.0,1.0
1998-02-25,66.0,67.31,65.56,67.25,30.44,358000.0,0.0,1.0
1998-02-26,66.88,66.94,65.31,66.06,29.9014,766600.0,0.0,1.0
1998-02-27,65.94,66.0,63.56,63.69,28.8286,1417800.0,0.0,1.0
1998-03-02,63.06,64.63,62.75,63.63,28.8015,1130300.0,0.0,1.0
1998-03-03,63.63,65.0,63.56,65.0,29.4216,1208500.0,0.0,1.0
1998-03-04,65.25,65.25,64.0,64.25,29.0821,477900.0,0.0,1.0
1998-03-05,63.5,64.25,63.25,64.0,28.969,464000.0,0.0,1.0
1998-03-06,63.75,65.5,63.75,65.5,29.6479,430600.0,0.0,1.0
1998-03-09,65.44,66.81,65.38,66.38,30.0462,509400.0,0.0,1.0
1998-03-10,66.38,68.25,66.38,67.88,30.7252,738600.0,0.0,1.0
1998-03-11,67.63,68.0,66.75,66.88,30.2726,586400.0,0.0,1.0
1998-03-12,66.75,67.88,66.0,67.63,30.6121,492800.0,0.0,1.0
1998-03-13,67.69,69.25,67.69,69.0,31.2322,788000.0,0.0,1.0
1998-03-16,69.13,71.0,69.0,70.69,31.9971,553500.0,0.0,1.0
1998-03-17,71.25,73.0,70.69,72.94,33.0156,796300.0,0.0,1.0
1998-03-18,71.5,73.44,71.38,73.38,33.2147,835200.0,0.0,1.0
1998-03-19,73.19,73.94,71.0,71.06,32.1646,701800.0,0.0,1.0
1998-03-20,72.0,72.0,69.69,70.0,31.6848,877300.0,0.0,1.0
1998-03-23,68.5,68.5,67.44,68.0,30.7795,940600.0,0.0,1.0
1998-03-24,67.88,69.0,67.31,67.31,30.4672,830500.0,0.0,1.0
1998-03-25,67.63,68.25,63.75,65.0,29.4216,1346100.0,0.0,1.0
1998-03-26,65.0,69.38,65.0,69.31,31.3725,2111100.0,0.0,1.0
1998-03-27,70.0,70.0,68.06,68.5,31.0058,927300.0,0.0,1.0
1998-03-30,68.38,68.69,67.56,68.25,30.8927,529800.0,0.0,1.0
1998-03-31,69.0,71.63,68.81,71.13,32.1963,799300.0,0.0,1.0
1998-04-01,71.19,72.38,71.19,71.94,32.5629,670700.0,0.0,1.0
1998-04-02,72.0,72.19,71.38,72.19,32.6761,400800.0,0.0,1.0
1998-04-03,72.19,72.5,71.25,71.63,32.4226,493200.0,0.0,1.0
1998-04-06,73.0,73.0,71.63,71.81,32.5041,639700.0,0.0,1.0
1998-04-07,70.75,70.94,69.63,69.63,31.5173,570400.0,0.0,1.0
1998-04-08,69.88,71.13,69.81,70.75,32.0243,365000.0,0.0,1.0
1998-04-09,71.06,73.13,70.94,72.69,32.9024,685800.0,0.0,1.0
1998-04-13,72.81,73.0,70.56,73.0,33.0427,577900.0,0.0,1.0
1998-04-14,72.88,73.56,72.44,73.0,33.0427,384800.0,0.0,1.0
1998-04-15,72.75,73.81,72.75,73.25,33.1559,593600.0,0.0,1.0
1998-04-16,73.19,75.0,73.06,74.25,33.6085,1139500.0,0.0,1.0
1998-04-17,74.25,74.38,73.0,73.94,33.4682,527900.0,0.0,1.0
1998-04-20,73.69,74.0,72.0,72.88,32.9884,381200.0,0.0,1.0
1998-04-21,72.88,73.69,72.81,73.69,33.355,451300.0,0.0,1.0
1998-04-22,73.0,73.13,72.25,72.38,32.7621,472100.0,0.0,1.0
1998-04-23,72.13,72.38,71.19,71.38,32.3095,302400.0,0.0,1.0
1998-04-24,71.13,71.25,69.75,71.0,32.1374,460400.0,0.0,1.0
1998-04-27,69.63,69.75,68.0,68.19,30.8655,406600.0,0.0,1.0
1998-04-28,69.0,69.19,66.69,67.25,30.44,517800.0,0.0,1.0
1998-04-29,67.31,67.81,67.19,67.5,30.5532,452200.0,0.0,1.0
1998-04-30,68.0,68.81,67.69,68.0,30.7795,489700.0,0.0,1.0
1998-05-01,68.5,69.06,67.38,67.81,30.6935,333600.0,0.0,1.0
1998-05-04,67.94,69.38,67.94,68.5,31.0058,706500.0,0.0,1.0
1998-05-05,68.5,68.5,67.0,67.25,30.44,242100.0,0.0,1.0
1998-05-06,66.75,66.94,65.69,65.75,29.7611,489900.0,0.0,1.0
1998-05-07,65.75,66.19,65.06,65.31,29.5619,409200.0,0.0,1.0
1998-05-08,65.31,66.44,65.31,66.19,29.9602,472400.0,0.0,1.0
1998-05-11,66.25,67.38,66.13,66.5,30.1006,378900.0,0.0,1.0
1998-05-12,66.5,66.5,65.13,65.56,29.6751,399700.0,0.0,1.0
1998-05-13,65.5,65.94,65.06,65.63,29.7068,300800.0,0.0,1.0
1998-05-14,65.5,66.0,65.13,65.56,29.6751,689900.0,0.0,1.0
1998-05-15,65.31,65.5,64.19,64.44,29.1681,726100.0,0.0,1.0
1998-05-18,63.75,63.94,62.88,63.0,28.5163,410700.0,0.0,1.0
1998-05-19,62.94,62.94,61.0,61.25,27.7242,1155900.0,0.0,1.0
1998-05-20,62.0,64.63,61.94,64.38,29.141,1228500.0,0.0,1.0
1998-05-21,64.63,65.56,64.19,65.31,29.5619,736100.0,0.0,1.0
1998-05-22,66.31,66.31,65.19,65.88,29.8199,546800.0,0.0,1.0
1998-05-26,67.0,67.38,65.06,65.06,29.4488,656000.0,0.0,1.0
1998-05-27,64.75,65.0,63.63,64.81,29.3356,496600.0,0.0,1.0
1998-05-28,64.69,65.0,64.13,64.81,29.3356,364800.0,0.0,1.0
