date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,20.12,20.5,19.62,19.75,2.2176,16100.0,0.0,1.0
1998-01-05,19.5,20.12,19.38,20.12,2.2592,4900.0,0.0,1.0
1998-01-06,20.12,20.12,19.62,19.62,2.203,3500.0,0.0,1.0
1998-01-07,19.38,19.62,18.38,18.75,2.1053,37100.0,0.0,1.0
1998-01-08,18.75,19.62,18.75,19.25,2.1615,10200.0,0.0,1.0
1998-01-09,19.25,19.62,19.0,19.0,2.1334,15700.0,0.0,1.0
1998-01-12,18.5,19.0,18.5,19.0,2.1334,600.0,0.0,1.0
1998-01-13,19.5,20.0,18.75,20.0,2.2457,4000.0,0.0,1.0
1998-01-14,19.38,20.0,19.38,19.38,2.1761,7100.0,0.0,1.0
1998-01-15,19.62,20.0,19.62,20.0,2.2457,1000.0,0.0,1.0
1998-01-16,20.0,20.06,19.62,19.78,2.221,16600.0,0.0,1.0
1998-01-20,20.0,20.0,19.75,19.75,2.2176,43000.0,0.0,1.0
1998-01-21,19.25,19.5,19.25,19.5,2.1896,500.0,0.0,1.0
1998-01-22,20.0,20.0,19.25,19.5,2.1896,59600.0,0.0,1.0
1998-01-23,19.25,19.25,19.0,19.0,2.1334,5200.0,0.0,1.0
1998-01-26,19.0,19.88,19.0,19.0,2.1334,2000.0,0.0,1.0
1998-01-27,19.88,19.88,18.62,18.62,2.0907,28400.0,0.0,1.0
1998-01-28,18.5,18.5,18.38,18.5,2.0773,11400.0,0.0,1.0
1998-01-29,18.12,18.25,17.38,18.25,2.0492,30100.0,0.0,1.0
1998-01-30,18.25,18.25,17.62,17.75,1.9931,24900.0,0.0,1.0
1998-02-02,17.75,18.0,16.75,16.88,1.8954,123800.0,0.0,1.0
1998-02-03,16.88,17.25,16.88,16.88,1.8954,22700.0,0.0,1.0
1998-02-04,17.62,17.62,16.88,17.38,1.9515,51100.0,0.0,1.0
1998-02-05,17.62,19.38,17.62,19.38,2.1761,95700.0,0.0,1.0
1998-02-06,19.0,19.19,18.38,18.44,2.0705,38500.0,0.0,1.0
1998-02-09,19.12,19.12,18.5,18.62,2.0907,17900.0,0.0,1.0
1998-02-10,18.69,19.0,18.56,18.75,2.1053,72100.0,0.0,1.0
1998-02-11,18.5,18.75,18.5,18.75,2.1053,2300.0,0.0,1.0
1998-02-12,18.75,18.75,18.5,18.56,2.084,121600.0,0.0,1.0
1998-02-13,18.5,19.12,18.5,19.0,2.1334,4700.0,0.0,1.0
1998-02-17,18.75,19.12,18.75,18.88,2.1199,24700.0,0.0,1.0
1998-02-18,19.12,19.5,18.75,19.5,2.1896,70700.0,0.0,1.0
1998-02-19,19.75,19.75,19.25,19.25,2.1615,43500.0,0.0,1.0
1998-02-20,19.12,19.5,19.0,19.0,2.1334,82800.0,0.0,1.0
1998-02-23,19.38,19.38,19.0,19.25,2.1615,36700.0,0.0,1.0
1998-02-24,19.25,19.5,19.0,19.44,2.1828,30500.0,0.0,1.0
1998-02-25,19.38,19.38,18.88,19.12,2.1469,4700.0,0.0,1.0
1998-02-26,18.88,19.75,18.88,19.62,2.203,11400.0,0.0,1.0
1998-02-27,19.62,19.62,19.25,19.25,2.1615,36500.0,0.0,1.0
1998-03-02,19.38,19.5,19.25,19.25,2.1615,20800.0,0.0,1.0
1998-03-03,19.12,19.38,19.0,19.38,2.1761,34200.0,0.0,1.0
1998-03-04,18.88,19.38,18.88,19.25,2.1615,16600.0,0.0,1.0
1998-03-05,18.88,19.25,18.88,19.25,2.1615,4700.0,0.0,1.0
1998-03-06,19.5,19.5,19.0,19.19,2.1547,25100.0,0.0,1.0
1998-03-09,19.0,19.38,19.0,19.25,2.1615,5800.0,0.0,1.0
1998-03-10,19.0,20.5,19.0,20.5,2.3018,90400.0,0.0,1.0
1998-03-11,20.0,20.25,19.75,20.12,2.2592,28400.0,0.0,1.0
1998-03-12,19.75,20.38,19.75,20.0,2.2457,55700.0,0.0,1.0
1998-03-13,20.12,20.38,19.75,20.12,2.2592,16400.0,0.0,1.0
1998-03-16,20.0,20.25,19.88,20.0,2.2457,9200.0,0.0,1.0
1998-03-17,19.88,20.5,19.88,20.5,2.3018,13100.0,0.0,1.0
1998-03-18,20.5,20.5,20.25,20.25,2.2738,3800.0,0.0,1.0
1998-03-19,19.88,20.62,19.88,20.25,2.2738,3000.0,0.0,1.0
1998-03-20,19.88,20.62,19.88,20.0,2.2457,12000.0,0.0,1.0
1998-03-23,19.88,20.0,19.88,19.88,2.2322,4300.0,0.0,1.0
1998-03-24,20.0,20.12,19.75,19.94,2.239,26300.0,0.0,1.0
1998-03-25,19.75,20.25,19.75,19.75,2.2176,3500.0,0.0,1.0
1998-03-26,19.75,20.25,19.75,20.0,2.2457,5800.0,0.0,1.0
1998-03-27,19.88,20.25,19.81,20.12,2.2592,46800.0,0.0,1.0
1998-03-30,20.38,20.38,20.0,20.25,2.2738,21600.0,0.0,1.0
1998-03-31,20.25,20.25,20.0,20.25,2.2738,21300.0,0.0,1.0
1998-04-01,20.0,20.12,19.88,20.0,2.2457,16800.0,0.0,1.0
1998-04-02,20.0,20.31,20.0,20.31,2.2805,16500.0,0.0,1.0
1998-04-03,20.0,20.38,20.0,20.06,2.2524,44400.0,0.0,1.0
1998-04-06,20.06,20.38,20.06,20.38,2.2884,8300.0,0.0,1.0
1998-04-07,20.06,20.19,20.06,20.19,2.267,10700.0,0.0,1.0
1998-04-08,20.06,20.25,20.06,20.25,2.2738,6300.0,0.0,1.0
1998-04-09,20.12,20.5,20.12,20.25,2.2738,2600.0,0.0,1.0
1998-04-13,20.12,20.19,20.0,20.12,2.2592,44200.0,0.0,1.0
1998-04-14,20.06,20.12,19.88,20.0,2.2457,28600.0,0.0,1.0
1998-04-15,20.0,20.12,19.94,20.0,2.2457,20300.0,0.0,1.0
1998-04-16,20.0,20.0,19.94,19.94,2.239,600.0,0.0,1.0
1998-04-17,20.25,20.38,19.94,20.0,2.2457,12000.0,0.0,1.0
1998-04-20,20.0,20.5,20.0,20.44,2.2951,7800.0,0.0,1.0
1998-04-21,20.5,20.5,20.12,20.5,2.3018,3000.0,0.0,1.0
1998-04-22,20.5,21.62,20.12,21.5,2.4141,32300.0,0.0,1.0
1998-04-23,20.88,21.12,20.62,21.12,2.3715,10000.0,0.0,1.0
1998-04-24,20.75,21.75,20.62,20.75,2.3299,12200.0,0.0,1.0
1998-04-27,20.62,20.88,20.25,20.25,2.2738,7800.0,0.0,1.0
1998-04-28,20.62,20.62,20.25,20.5,2.3018,1700.0,0.0,1.0
1998-04-29,20.5,21.0,20.38,20.5,2.3018,8300.0,0.0,1.0
1998-04-30,21.25,21.62,20.38,20.62,2.3153,40200.0,0.0,1.0
1998-05-01,20.69,21.0,20.38,20.69,2.3232,10400.0,0.0,1.0
1998-05-04,20.38,21.38,20.38,21.38,2.4007,11900.0,0.0,1.0
1998-05-05,21.38,21.38,20.38,20.88,2.3445,11700.0,0.0,1.0
1998-05-06,21.38,21.38,20.5,20.88,2.3445,8800.0,0.0,1.0
1998-05-07,21.0,21.0,20.38,20.38,2.2884,34100.0,0.0,1.0
1998-05-08,20.44,20.44,20.12,20.25,2.2738,9400.0,0.0,1.0
1998-05-11,20.25,20.25,20.25,20.25,2.2738,6100.0,0.0,1.0
1998-05-12,20.06,20.25,20.06,20.25,2.2738,34800.0,0.0,1.0
1998-05-13,20.06,20.25,20.06,20.25,2.2738,1000.0,0.0,1.0
1998-05-14,20.06,20.25,20.06,20.12,2.2592,21600.0,0.0,1.0
1998-05-15,20.38,20.38,20.06,20.25,2.2738,36800.0,0.0,1.0
1998-05-18,20.38,20.38,20.12,20.25,2.2738,25600.0,0.0,1.0
1998-05-19,20.12,20.12,20.06,20.06,2.2524,9700.0,0.0,1.0
1998-05-20,20.06,20.25,20.06,20.19,2.267,5900.0,0.0,1.0
1998-05-21,20.06,20.25,20.06,20.06,2.2524,40400.0,0.0,1.0
1998-05-22,20.06,20.25,20.0,20.25,2.2738,22000.0,0.0,1.0
1998-05-26,20.06,20.34,20.06,20.06,2.2524,114300.0,0.0,1.0
1998-05-27,19.5,20.06,19.0,19.44,2.1828,22000.0,0.0,1.0
1998-05-28,19.25,19.75,19.25,19.59,2.1997,2200.0,0.0,1.0
1998-05-29,19.25,19.28,18.44,18.75,2.1053,36300.0,0.0,1.0
1998-06-01,18.62,19.38,18.62,19.38,2.1761,86900.0,0.0,1.0
1998-06-02,19.38,19.5,19.12,19.5,2.1896,69200.0,0.0,1.0
1998-06-03,19.44,19.62,19.25,19.25,2.1615,163000.0,0.0,1.0
1998-06-04,19.62,19.62,19.12,19.38,2.1761,80600.0,0.0,1.0
1998-06-05,19.5,19.62,19.25,19.25,2.1615,12900.0,0.0,1.0
1998-06-08,19.12,19.5,19.0,19.0,2.1334,53300.0,0.0,1.0
1998-06-09,19.12,19.12,19.06,19.06,2.1402,21200.0,0.0,1.0
1998-06-10,19.06,19.25,19.06,19.25,2.1615,39400.0,0.0,1.0
1998-06-11,19.06,19.38,19.06,19.06,2.1402,23500.0,0.0,1.0
1998-06-12,19.12,19.12,18.75,18.88,2.1199,125400.0,0.0,1.0
1998-06-15,18.88,19.0,18.75,18.8,2.111,52100.0,0.0,1.0
1998-06-16,18.75,19.12,18.75,18.75,2.1053,45100.0,0.0,1.0
1998-06-17,18.75,18.88,18.75,18.88,2.1199,1200.0,0.0,1.0
1998-06-18,18.5,18.75,18.5,18.5,2.0773,12700.0,0.0,1.0
1998-06-19,19.0,19.0,17.94,17.94,2.0144,17100.0,0.0,1.0
1998-06-22,18.0,18.25,17.75,18.0,2.0211,3700.0,0.0,1.0
1998-06-23,18.0,18.0,17.62,17.62,1.9785,6000.0,0.0,1.0
1998-06-24,17.75,17.94,17.75,17.88,2.0077,6500.0,0.0,1.0
1998-06-25,17.75,18.25,17.75,18.12,2.0346,17000.0,0.0,1.0
1998-06-26,18.25,18.62,18.25,18.62,2.0907,13300.0,0.0,1.0
1998-06-29,18.75,18.75,17.25,17.25,1.9369,59800.0,0.0,1.0
1998-06-30,17.25,17.5,17.25,17.25,1.9369,1743800.0,0.0,1.0
1998-07-01,17.38,17.75,17.25,17.25,1.9369,326700.0,0.0,1.0
1998-07-02,17.25,17.38,17.25,17.25,1.9369,80900.0,0.0,1.0
1998-07-06,17.31,17.31,16.62,16.75,1.8808,52200.0,0.0,1.0
1998-07-07,16.62,17.12,15.75,16.69,1.874,197300.0,0.0,1.0
1998-07-08,16.62,17.0,16.62,16.75,1.8808,10400.0,0.0,1.0
1998-07-09,16.75,17.62,16.75,17.62,1.9785,187400.0,0.0,1.0
1998-07-10,18.12,18.12,17.25,17.5,1.965,115800.0,0.0,1.0
1998-07-13,17.75,18.0,17.38,17.38,1.9515,104900.0,0.0,1.0
1998-07-14,17.38,17.62,17.12,17.38,1.9515,160400.0,0.0,1.0
1998-07-15,17.38,17.69,17.19,17.38,1.9515,80600.0,0.0,1.0
1998-07-16,17.75,17.75,17.25,17.44,1.9583,19400.0,0.0,1.0
1998-07-17,17.38,17.5,17.38,17.5,1.965,59200.0,0.0,1.0
1998-07-20,17.56,17.75,17.5,17.69,1.9863,94400.0,0.0,1.0
1998-07-21,17.75,18.0,17.62,17.75,1.9931,201200.0,0.0,1.0
1998-07-22,17.62,17.62,17.5,17.62,1.9785,32800.0,0.0,1.0
1998-07-23,17.75,17.75,17.25,17.25,1.9369,34800.0,0.0,1.0
1998-07-24,17.44,17.88,17.25,17.25,1.9369,31200.0,0.0,1.0
1998-07-27,17.25,17.38,17.12,17.12,1.9223,53500.0,0.0,1.0
1998-07-28,17.12,17.31,16.88,16.88,1.8954,78100.0,0.0,1.0
1998-07-29,16.88,16.88,16.69,16.73,1.8785,33900.0,0.0,1.0
1998-07-30,16.69,17.0,16.62,16.88,1.8954,34500.0,0.0,1.0
1998-07-31,16.88,16.94,16.69,16.75,1.8808,13400.0,0.0,1.0
1998-08-03,16.94,17.0,16.62,16.81,1.8875,31500.0,0.0,1.0
1998-08-04,16.62,16.81,15.12,15.12,1.6977,78300.0,0.0,1.0
1998-08-05,15.12,15.75,14.88,15.38,1.7269,23700.0,0.0,1.0
1998-08-06,15.38,15.38,15.0,15.12,1.6977,12900.0,0.0,1.0
1998-08-07,15.12,15.38,15.0,15.12,1.6977,17800.0,0.0,1.0
1998-08-10,15.38,15.38,15.19,15.38,1.7269,11200.0,0.0,1.0
1998-08-11,15.0,15.38,14.88,15.25,1.7123,10600.0,0.0,1.0
1998-08-12,15.5,15.5,15.0,15.25,1.7123,10500.0,0.0,1.0
1998-08-13,15.5,15.5,15.0,15.0,1.6843,29300.0,0.0,1.0
1998-08-14,15.0,15.62,15.0,15.25,1.7123,32500.0,0.0,1.0
1998-08-17,15.12,15.62,15.12,15.25,1.7123,12000.0,0.0,1.0
1998-08-18,15.62,15.62,15.5,15.5,1.7404,7500.0,0.0,1.0
1998-08-19,15.62,15.75,15.38,15.5,1.7404,18100.0,0.0,1.0
1998-08-20,15.75,15.75,15.38,15.38,1.7269,14800.0,0.0,1.0
1998-08-21,15.5,15.75,15.25,15.25,1.7123,15800.0,0.0,1.0
