date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-12-01,21.0,28.12,21.0,27.0,10.6299,11600.0,0.0,1.0
2000-12-04,27.75,30.0,27.25,30.0,11.811,15500.0,0.0,1.0
2000-12-05,31.0,31.0,30.0,30.25,11.9094,6400.0,0.0,1.0
2000-12-06,30.0,30.38,30.0,30.0,11.811,5200.0,0.0,1.0
2000-12-07,30.0,30.0,29.62,29.62,11.6614,1300.0,0.0,1.0
2000-12-08,29.88,30.0,29.88,30.0,11.811,2100.0,0.0,1.0
2000-12-11,29.88,30.38,29.62,30.38,11.9606,16300.0,0.0,1.0
2000-12-12,29.75,30.25,29.75,30.25,11.9094,1800.0,0.0,1.0
2000-12-13,30.5,30.75,30.5,30.75,12.1063,1200.0,0.0,1.0
2000-12-14,30.62,30.62,30.5,30.5,12.0079,1400.0,0.0,1.0
2000-12-15,30.12,30.25,29.5,29.5,11.6142,41500.0,0.0,1.0
2000-12-18,29.5,30.25,29.5,30.25,11.9094,11600.0,0.0,1.0
2000-12-19,30.0,30.5,30.0,30.25,11.9094,1800.0,0.0,1.0
2000-12-20,30.0,30.0,29.25,29.5,11.6142,21200.0,0.0,1.0
2000-12-21,29.38,29.38,28.75,28.88,11.3701,121700.0,0.0,1.0
2000-12-22,29.5,33.19,29.5,32.69,12.8701,292600.0,0.0,1.0
2000-12-26,32.56,32.88,32.12,32.31,12.7205,139300.0,0.0,1.0
2000-12-27,32.44,33.06,32.44,33.06,13.0157,210500.0,0.0,1.0
2000-12-28,32.69,33.25,32.63,33.19,13.0669,158100.0,0.0,1.0
2000-12-29,33.06,33.31,31.75,33.06,13.0157,269900.0,0.0,1.0
2001-01-02,33.0,34.63,33.0,34.25,13.4842,285200.0,0.0,1.0
2001-01-03,34.88,35.13,34.31,34.75,13.6811,412100.0,0.0,1.0
2001-01-04,34.63,34.75,34.25,34.63,13.6339,262600.0,0.0,1.0
2001-01-05,34.44,34.69,33.5,33.63,13.2402,678800.0,0.0,1.0
2001-01-08,34.0,34.06,33.5,33.69,13.2638,921800.0,0.0,1.0
2001-01-09,33.44,33.63,33.31,33.56,13.2126,211100.0,0.0,1.0
2001-01-10,33.31,33.63,33.25,33.56,13.2126,207100.0,0.0,1.0
2001-01-11,33.56,33.69,33.19,33.44,13.1653,261700.0,0.0,1.0
2001-01-12,33.31,33.44,33.25,33.25,13.0905,401300.0,0.0,1.0
2001-01-16,32.75,33.13,32.75,33.0,12.9921,270500.0,0.0,1.0
2001-01-17,33.0,33.75,32.88,33.44,13.1653,205300.0,0.0,1.0
2001-01-18,33.25,33.56,33.06,33.44,13.1653,399100.0,0.0,1.0
2001-01-19,33.19,33.38,32.81,32.94,12.9685,255600.0,0.0,1.0
2001-01-22,32.44,32.88,32.19,32.44,12.7716,184200.0,0.0,1.0
2001-01-23,32.25,32.63,32.0,32.63,12.8465,291500.0,0.0,1.0
2001-01-24,32.5,32.69,32.0,32.56,12.8189,239900.0,0.0,1.0
2001-01-25,32.5,33.25,32.5,33.19,13.0669,204100.0,0.0,1.0
2001-01-26,33.19,33.44,33.06,33.19,13.0669,322700.0,0.0,1.0
2001-01-29,33.02,33.18,32.75,32.82,12.9213,386200.0,0.0,1.0
2001-01-30,32.57,32.57,31.7,31.82,12.5276,188600.0,0.0,1.0
2001-01-31,31.2,32.54,31.2,32.44,12.7716,316600.0,0.0,1.0
2001-02-01,31.6,36.0,31.6,34.51,13.5866,716700.0,0.0,1.0
2001-02-02,34.4,35.25,34.1,34.12,13.4331,519800.0,0.0,1.0
2001-02-05,33.92,35.35,33.7,33.7,13.2677,332500.0,0.0,1.0
2001-02-06,33.19,35.19,33.19,35.01,13.7835,363300.0,0.0,1.0
2001-02-07,35.01,36.45,35.01,36.22,14.2598,414900.0,0.0,1.0
2001-02-08,36.0,38.01,35.89,38.01,14.9646,599200.0,0.0,1.0
2001-02-09,37.63,38.52,37.3,38.52,15.1653,377500.0,0.0,1.0
2001-02-12,38.52,39.47,38.26,39.4,15.5118,390800.0,0.0,1.0
2001-02-13,38.6,39.9,38.46,39.19,15.4291,484400.0,0.0,1.0
2001-02-14,38.7,39.1,38.45,38.7,15.2362,279500.0,0.0,1.0
2001-02-15,38.9,39.43,38.86,39.18,15.4252,251100.0,0.0,1.0
2001-02-16,38.0,38.3,37.24,37.54,14.7795,223000.0,0.0,1.0
2001-02-20,37.51,37.89,36.2,36.2,14.252,201300.0,0.0,1.0
2001-02-21,36.2,36.56,36.07,36.1,14.2126,181800.0,0.0,1.0
2001-02-22,36.1,36.75,35.67,36.71,14.4528,317800.0,0.0,1.0
2001-02-23,36.71,37.15,36.7,37.05,14.5866,456500.0,0.0,1.0
2001-02-26,37.5,40.0,37.5,39.5,15.5512,1080400.0,0.0,1.0
2001-02-27,38.5,38.98,38.33,38.48,15.1496,417900.0,0.0,1.0
2001-02-28,38.0,39.2,37.97,38.12,15.0079,402400.0,0.0,1.0
