date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-12-09,0,27.25,28.11,26.99,27.92,26.1467,10609700.0,0.0,1.0
2010-12-10,1,27.4,27.72,27.06,27.41,25.6691,1206800.0,0.0,1.0
2010-12-13,2,27.5,27.72,27.0,27.4,25.6598,473200.0,0.0,1.0
2010-12-14,3,27.7,27.97,27.02,27.31,25.5755,358200.0,0.0,1.0
2010-12-15,4,27.2,27.7,27.19,27.45,25.7066,242200.0,0.0,1.0
2010-12-16,5,27.6,27.65,27.205,27.65,25.8939,260000.0,0.0,1.0
2010-12-17,6,27.55,28.06,27.5,28.06,26.2778,69800.0,0.0,1.0
2010-12-20,7,28.1,28.42,27.84,28.14,26.3528,65900.0,0.0,1.0
2010-12-21,8,28.17,29.04,28.01,28.91,27.0739,210200.0,0.0,1.0
2010-12-22,9,29.0,30.5204,28.96,29.45,27.5796,103000.0,0.0,1.0
2010-12-23,10,29.68,29.68,28.89,29.1,27.2518,66100.0,0.0,1.0
2010-12-27,11,29.15,29.3599,28.87,28.98,27.1394,29800.0,0.0,1.0
2010-12-28,12,28.99,29.125,28.81,29.05,27.205,90200.0,0.0,1.0
2010-12-29,13,29.25,29.25,28.84,29.08,27.2331,85300.0,0.0,1.0
2010-12-30,14,29.23,29.95,28.61,28.96,27.1207,149800.0,0.0,1.0
2010-12-31,15,29.0,29.12,28.83,29.12,27.2705,68800.0,0.0,1.0
2011-01-03,16,29.5,29.51,28.735,28.98,27.1394,230900.0,0.0,1.0
2011-01-04,17,29.23,29.23,28.5,28.53,26.718000000000004,56500.0,0.0,1.0
2011-01-05,18,28.68,28.9,28.3,28.41,26.6056,178700.0,0.0,1.0
2011-01-06,19,28.61,29.21,28.53,29.0,27.1581,218600.0,0.0,1.0
2011-01-07,20,31.04,31.2,30.1501,30.54,28.6003,2144000.0,0.0,1.0
2011-01-10,21,30.89,31.33,30.82,30.9299,28.9655,621700.0,0.0,1.0
2011-01-11,22,31.2,31.24,30.41,30.58,28.6378,330800.0,0.0,1.0
2011-01-12,23,30.78,30.9,30.21,30.3,28.3756,216500.0,0.0,1.0
2011-01-13,24,30.38,30.76,30.3,30.51,28.5722,132800.0,0.0,1.0
2011-01-14,25,30.67,31.35,30.59,31.35,29.3589,269100.0,0.0,1.0
2011-01-18,26,31.15,31.47,30.3,30.89,28.9281,49400.0,0.0,1.0
2011-01-19,27,30.67,30.83,30.41,30.52,28.5816,300200.0,0.0,1.0
2011-01-20,28,30.3,31.09,29.98,30.6,28.6565,155300.0,0.0,1.0
2011-01-21,29,30.71,30.71,29.99,30.22,28.3007,152300.0,0.0,1.0
2011-01-24,30,30.18,30.44,29.8,30.3,28.3756,85000.0,0.0,1.0
