date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-06-14,21.55,22.4,21.4,22.0,5.0729,6213500.0,0.0,1.0
2001-06-15,21.8,22.48,21.75,21.85,5.0383,1234400.0,0.0,1.0
2001-06-18,21.85,22.0,21.42,21.5,4.9576,804200.0,0.0,1.0
2001-06-19,21.65,21.65,20.8,20.85,4.8077,1002100.0,0.0,1.0
2001-06-20,20.75,20.8,19.8,20.8,4.7962,1306700.0,0.0,1.0
2001-06-21,20.7,20.7,19.99,20.0,4.6117,1079800.0,0.0,1.0
2001-06-22,20.0,20.1,20.0,20.0,4.6117,340000.0,0.0,1.0
2001-06-25,20.0,20.01,20.0,20.0,4.6117,32700.0,0.0,1.0
2001-06-26,20.0,20.05,20.0,20.01,4.614,182200.0,0.0,1.0
2001-06-27,20.0,20.01,19.6,19.8,4.5656,1035200.0,0.0,1.0
2001-06-28,19.8,20.0,19.7,19.7,4.5426,562200.0,0.0,1.0
2001-06-29,19.7,20.65,19.7,20.65,4.7616,195200.0,0.0,1.0
2001-07-02,20.65,20.65,19.7,19.8,4.5656,95100.0,0.0,1.0
2001-07-03,19.75,19.75,19.0,19.11,4.4065,229800.0,0.0,1.0
2001-07-05,19.25,19.5,19.25,19.5,4.4964,168300.0,0.0,1.0
2001-07-06,19.45,19.5,19.4,19.42,4.478,97900.0,0.0,1.0
2001-07-09,19.47,19.75,19.15,19.15,4.4157,513800.0,0.0,1.0
2001-07-10,19.15,19.15,17.95,18.0,4.1506,758600.0,0.0,1.0
2001-07-11,18.08,18.4,17.95,18.1,4.1736,655900.0,0.0,1.0
2001-07-12,18.1,18.1,17.95,18.1,4.1736,361000.0,0.0,1.0
2001-07-13,18.2,18.9,18.2,18.69,4.3097,423200.0,0.0,1.0
2001-07-16,18.51,18.51,17.83,17.95,4.139,173900.0,0.0,1.0
2001-07-17,17.85,18.08,17.41,17.59,4.056,350700.0,0.0,1.0
2001-07-18,17.49,18.05,17.49,17.84,4.1137,137400.0,0.0,1.0
2001-07-19,17.94,18.55,17.9,18.15,4.1851,173800.0,0.0,1.0
2001-07-20,18.1,18.15,17.9,18.09,4.1713,385700.0,0.0,1.0
2001-07-23,18.09,18.12,17.9,18.0,4.1506,77000.0,0.0,1.0
2001-07-24,17.9,18.9,17.85,18.0,4.1506,212800.0,0.0,1.0
2001-07-25,18.05,19.4,17.76,19.2,4.4273,294900.0,0.0,1.0
2001-07-26,19.1,19.2,18.9,19.1,4.4042,96100.0,0.0,1.0
2001-07-27,18.95,18.95,18.45,18.47,4.2589,85900.0,0.0,1.0
2001-07-30,18.52,18.57,18.21,18.49,4.2635,26700.0,0.0,1.0
2001-07-31,18.54,18.64,17.75,18.07,4.1667,417800.0,0.0,1.0
2001-08-01,18.17,18.3,17.99,18.0,4.1506,122700.0,0.0,1.0
2001-08-02,18.0,18.25,17.99,18.2,4.1967,173000.0,0.0,1.0
2001-08-03,18.24,18.24,17.95,17.95,4.139,68600.0,0.0,1.0
2001-08-06,17.85,17.87,17.55,17.6,4.0583,49100.0,0.0,1.0
2001-08-07,17.6,17.6,17.25,17.25,3.9776,27800.0,0.0,1.0
2001-08-08,17.25,17.5,16.99,16.99,3.9177,184400.0,0.0,1.0
2001-08-09,16.99,16.99,16.2,16.23,3.7424,329200.0,0.0,1.0
2001-08-10,16.13,16.25,16.0,16.25,3.747,92000.0,0.0,1.0
2001-08-13,16.3,16.3,16.0,16.0,3.6894,8700.0,0.0,1.0
2001-08-14,16.0,16.15,15.8,16.15,3.724,14200.0,0.0,1.0
2001-08-15,16.3,17.05,16.29,16.9,3.8969,236700.0,0.0,1.0
2001-08-16,16.92,16.92,16.75,16.75,3.8623,233600.0,0.0,1.0
2001-08-17,16.76,16.76,16.65,16.65,3.8393,37400.0,0.0,1.0
2001-08-20,16.65,16.65,16.65,16.65,3.8393,81100.0,0.0,1.0
2001-08-21,16.96,16.96,16.69,16.7,3.8508,23600.0,0.0,1.0
2001-08-22,16.7,16.94,16.6,16.64,3.837,23800.0,0.0,1.0
2001-08-23,16.59,16.63,16.45,16.48,3.8001,79800.0,0.0,1.0
2001-08-24,16.43,16.43,16.2,16.22,3.7401,89600.0,0.0,1.0
2001-08-27,16.17,17.0,16.17,16.5,3.8047,76300.0,0.0,1.0
2001-08-28,16.45,16.45,16.27,16.45,3.7931,75600.0,0.0,1.0
2001-08-29,16.35,16.5,16.25,16.42,3.7862,136700.0,0.0,1.0
2001-08-30,16.36,16.36,15.8,15.99,3.6871,168500.0,0.0,1.0
2001-08-31,16.04,16.27,16.04,16.27,3.7516,71600.0,0.0,1.0
2001-09-04,16.27,16.95,16.27,16.72,3.8554,166500.0,0.0,1.0
2001-09-05,16.67,16.71,16.3,16.5,3.8047,82500.0,0.0,1.0
2001-09-06,16.5,16.5,16.09,16.1,3.7124,361400.0,0.0,1.0
2001-09-07,16.0,16.01,15.8,15.85,3.6548,55000.0,0.0,1.0
2001-09-10,15.75,15.95,15.53,15.57,3.5902,115300.0,0.0,1.0
2001-09-17,15.47,15.47,13.85,13.9,3.2051,383300.0,0.0,1.0
2001-09-18,13.8,14.4,13.8,14.24,3.2835,289200.0,0.0,1.0
2001-09-19,14.2,14.21,13.85,14.0,3.2282,105000.0,0.0,1.0
2001-09-20,14.35,14.35,13.85,14.25,3.2859,221800.0,0.0,1.0
2001-09-21,14.35,14.35,13.9,14.0,3.2282,226700.0,0.0,1.0
2001-09-24,14.2,14.2,13.9,14.0,3.2282,69800.0,0.0,1.0
2001-09-25,14.0,14.0,14.0,14.0,3.2282,72000.0,0.0,1.0
2001-09-26,12.82,12.82,11.3,11.5,2.6517,147000.0,0.0,1.0
2001-09-27,11.4,11.8,10.99,11.8,2.7209,692300.0,0.0,1.0
2001-09-28,11.8,11.8,11.5,11.55,2.6633,162600.0,0.0,1.0
2001-10-01,11.55,11.55,11.36,11.36,2.6195,40400.0,0.0,1.0
2001-10-02,11.37,11.37,11.3,11.31,2.6079,130900.0,0.0,1.0
2001-10-03,11.98,11.98,11.06,11.98,2.7624,135400.0,0.0,1.0
2001-10-04,12.43,12.43,11.87,12.43,2.8662,190600.0,0.0,1.0
2001-10-05,12.6,12.6,11.7,11.75,2.7094,199900.0,0.0,1.0
2001-10-08,12.1,12.1,11.7,12.1,2.7901,60200.0,0.0,1.0
2001-10-09,12.15,12.15,11.9,12.15,2.8016,29800.0,0.0,1.0
2001-10-10,12.25,12.91,12.2,12.71,2.9308,36400.0,0.0,1.0
2001-10-11,12.81,13.95,12.81,13.71,3.1613,30000.0,0.0,1.0
2001-10-12,13.61,13.61,13.09,13.1,3.0207,20000.0,0.0,1.0
2001-10-15,13.0,13.1,12.65,12.65,2.9169,28500.0,0.0,1.0
2001-10-16,12.55,12.73,12.44,12.61,2.9077,51400.0,0.0,1.0
2001-10-17,12.7,12.7,12.45,12.5,2.8823,35200.0,0.0,1.0
2001-10-18,12.6,12.6,12.4,12.6,2.9054,250200.0,0.0,1.0
2001-10-19,12.55,12.65,12.5,12.65,2.9169,99400.0,0.0,1.0
2001-10-22,12.7,12.9,12.7,12.9,2.9746,3600.0,0.0,1.0
2001-10-23,13.0,13.15,13.0,13.11,3.023,25400.0,0.0,1.0
2001-10-24,13.11,13.11,13.0,13.02,3.0022,17500.0,0.0,1.0
2001-10-25,13.0,13.5,13.0,13.5,3.1129,35200.0,0.0,1.0
2001-10-26,13.49,13.78,13.4,13.78,3.1775,71400.0,0.0,1.0
2001-10-29,13.68,13.7,13.45,13.6,3.136,62100.0,0.0,1.0
2001-10-30,13.65,13.65,13.35,13.35,3.0783,60200.0,0.0,1.0
