date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-03-27,0,568.0,568.0,552.92,558.46,558.46,13100.0,0.0,1.0
2014-03-28,1,561.2,566.43,558.67,559.99,559.99,41100.0,0.0,1.0
2014-03-31,2,566.89,567.0,556.93,556.97,556.97,10800.0,0.0,1.0
2014-04-01,3,558.71,568.45,558.71,567.16,567.16,7900.0,0.0,1.0
2014-04-02,4,565.106,604.83,562.19,567.0,567.0,146700.0,0.0,1.0
2014-04-03,5,569.85,587.28,564.13,569.74,569.74,5085200.0,0.0,1.0
2014-04-04,6,574.65,577.77,543.0,543.14,543.14,6351900.0,0.0,1.0
2014-04-07,7,540.74,548.48,527.15,538.15,538.15,4389600.0,0.0,1.0
2014-04-08,8,542.6,555.0,541.61,554.9,554.9,3142600.0,0.0,1.0
2014-04-09,9,559.62,565.37,552.95,564.14,564.14,3321700.0,0.0,1.0
2014-04-10,10,565.0,565.0,539.9,540.95,540.95,4025800.0,0.0,1.0
2014-04-11,11,532.55,540.0,526.53,530.6,530.6,3914100.0,0.0,1.0
2014-04-14,12,538.25,544.1,529.561,532.52,532.52,2568000.0,0.0,1.0
2014-04-15,13,536.82,538.45,518.4601,536.44,536.44,3844500.0,0.0,1.0
2014-04-16,14,543.0,557.0,540.0,556.54,556.54,4879900.0,0.0,1.0
2014-04-17,15,548.81,549.5,531.15,536.1,536.1,6790900.0,0.0,1.0
2014-04-21,16,536.1,536.7,525.6,528.62,528.62,2559700.0,0.0,1.0
2014-04-22,17,528.64,537.23,527.51,534.81,534.81,2358900.0,0.0,1.0
2014-04-23,18,533.79,533.87,526.25,526.94,526.94,2046700.0,0.0,1.0
2014-04-24,19,530.07,531.65,522.12,525.16,525.16,1878000.0,0.0,1.0
2014-04-25,20,522.51,524.7,515.42,516.18,516.18,2094600.0,0.0,1.0
2014-04-28,21,517.18,518.6,502.8,517.15,517.15,3326400.0,0.0,1.0
2014-04-29,22,516.9,529.46,516.32,527.7,527.7,2691700.0,0.0,1.0
2014-04-30,23,527.6,528.0,522.52,526.66,526.66,1746400.0,0.0,1.0
2014-05-01,24,527.11,532.93,523.88,531.35,531.35,1900300.0,0.0,1.0
2014-05-02,25,533.76,533.9999,525.61,527.93,527.93,1683900.0,0.0,1.0
2014-05-05,26,524.82,528.9,521.32,527.81,527.81,1021300.0,0.0,1.0
2014-05-06,27,525.23,526.81,515.06,515.14,515.14,1684400.0,0.0,1.0
2014-05-07,28,515.79,516.68,503.3,509.96,509.96,3215500.0,0.0,1.0
2014-05-08,29,508.46,517.23,506.45,511.0,511.0,2015800.0,0.0,1.0
2014-05-09,30,510.75,519.9,504.2,518.73,518.73,2432800.0,0.0,1.0
2014-05-12,31,523.51,530.19,519.01,529.92,529.92,1907300.0,0.0,1.0
2014-05-13,32,530.89,536.07,529.51,533.09,533.09,1648900.0,0.0,1.0
2014-05-14,33,533.0,533.0,525.29,526.65,526.65,1188500.0,0.0,1.0
2014-05-15,34,525.7,525.87,517.42,519.98,519.98,1699700.0,0.0,1.0
2014-05-16,35,521.39,521.8,515.44,520.63,520.63,1481200.0,0.0,1.0
2014-05-19,36,519.7,529.78,517.5830000000002,528.86,528.86,1274300.0,0.0,1.0
2014-05-20,37,529.74,536.23,526.3,529.77,529.77,1779900.0,0.0,1.0
2014-05-21,38,532.9,539.1828,531.91,538.94,538.94,1193000.0,0.0,1.0
2014-05-22,39,541.13,547.5999,540.78,545.06,545.06,1611400.0,0.0,1.0
