date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-09-06,0,19.75,21.34,19.55,21.11,4.2687,7646000.0,0.0,1.0
2006-09-07,1,21.12,22.84,20.55,22.1,4.4688,5384800.0,0.0,1.0
2006-09-08,2,21.91,22.72,21.61,22.06,4.4608,3904500.0,0.0,1.0
2006-09-11,3,21.51,21.97,21.5,21.74,4.396,5187900.0,0.0,1.0
2006-09-12,4,21.69,22.05,21.45,21.93,4.4345,2288500.0,0.0,1.0
2006-09-13,5,22.01,23.2,22.01,22.55,4.5598,3069700.0,0.0,1.0
2006-09-14,6,22.25,22.5,21.67,21.81,4.4102,1378800.0,0.0,1.0
2006-09-15,7,21.71,21.84,21.2,21.27,4.301,2016000.0,0.0,1.0
2006-09-18,8,21.5,21.75,21.27,21.66,4.3799,900400.0,0.0,1.0
2006-09-19,9,21.55,22.5,21.23,21.4,4.3273,947200.0,0.0,1.0
2006-09-20,10,21.38,22.26,21.36,22.2,4.4891,634200.0,0.0,1.0
2006-09-21,11,21.7,22.0,21.6665,21.75,4.3981,691900.0,0.0,1.0
2006-09-22,12,21.77,22.22,21.66,22.14,4.4769,362200.0,0.0,1.0
2006-09-25,13,21.92,22.51,21.85,22.27,4.5032,801000.0,0.0,1.0
2006-09-26,14,22.4,22.5,22.3024,22.37,4.5234,422500.0,0.0,1.0
2006-09-27,15,21.86,22.6901,21.8,22.6,4.5699,1138100.0,0.0,1.0
2006-09-28,16,22.35,22.93,22.29,22.45,4.5396,749900.0,0.0,1.0
2006-09-29,17,22.55,22.64,22.21,22.51,4.5517,793300.0,0.0,1.0
2006-10-02,18,22.38,22.61,22.3,22.49,4.5477,548500.0,0.0,1.0
2006-10-03,19,22.58,22.73,22.32,22.51,4.5517,670100.0,0.0,1.0
2006-10-04,20,22.4,23.09,22.25,22.7,4.5902,749700.0,0.0,1.0
2006-10-05,21,22.6,23.2699,22.6,23.15,4.6812,1130800.0,0.0,1.0
2006-10-06,22,23.02,23.14,22.76,22.92,4.6347,399800.0,0.0,1.0
2006-10-09,23,22.8,23.13,22.65,22.98,4.6468,248400.0,0.0,1.0
2006-10-10,24,22.53,22.85,22.39,22.68,4.5861,983000.0,0.0,1.0
2006-10-11,25,22.7,22.76,22.35,22.65,4.5801,932800.0,0.0,1.0
2006-10-12,26,23.34,23.49,22.88,23.0,4.6508,1523800.0,0.0,1.0
2006-10-13,27,23.08,23.4299,23.08,23.35,4.7216,1009100.0,0.0,1.0
2006-10-16,28,23.34,23.34,23.0,23.0,4.6508,474600.0,0.0,1.0
2006-10-17,29,23.0,23.05,22.79,22.8,4.6104,510700.0,0.0,1.0
2006-10-18,30,22.89,23.05,22.73,22.99,4.6488,709700.0,0.0,1.0
2006-10-19,31,23.0,23.1,22.75,23.0,4.6508,343200.0,0.0,1.0
2006-10-20,32,23.01,23.38,23.01,23.24,4.6994,180600.0,0.0,1.0
2006-10-23,33,23.24,23.68,23.24,23.55,4.762,547700.0,0.0,1.0
2006-10-24,34,23.3,23.81,23.11,23.81,4.8146,484800.0,0.0,1.0
2006-10-25,35,23.7,24.15,23.6601,23.8,4.8126,542600.0,0.0,1.0
2006-10-26,36,23.79,24.5,23.72,24.27,4.9076,682400.0,0.0,1.0
2006-10-27,37,24.25,24.5,24.17,24.45,4.944,591500.0,0.0,1.0
2006-10-30,38,24.25,24.6,23.99,24.25,4.9036,531700.0,0.0,1.0
2006-10-31,39,23.5,23.91,23.02,23.6,4.7722,1326000.0,0.0,1.0
2006-11-01,40,23.37,23.43,22.89,23.02,4.6549,585300.0,0.0,1.0
2006-11-02,41,23.0,23.62,22.5,23.55,4.762,640500.0,0.0,1.0
2006-11-03,42,23.3,23.5,22.85,22.97,4.6448,649200.0,0.0,1.0
2006-11-06,43,22.8,23.0,22.705,22.8,4.6104,814300.0,0.0,1.0
2006-11-07,44,22.67,22.92,22.21,22.33,4.5154,715500.0,0.0,1.0
2006-11-08,45,22.0,22.36,21.7,22.13,4.4749,830700.0,0.0,1.0
2006-11-09,46,22.08,22.23,21.99,22.14,4.4769,717700.0,0.0,1.0
2006-11-10,47,22.35,22.55,22.0,22.53,4.5558,584600.0,0.0,1.0
2006-11-13,48,22.53,22.84,22.41,22.56,4.5619,372900.0,0.0,1.0
2006-11-14,49,22.5,23.61,22.5,23.48,4.7479,638800.0,0.0,1.0
2006-11-15,50,24.0,24.02,23.4521,23.78,4.8086,728000.0,0.0,1.0
2006-11-16,51,23.85,24.15,23.7,24.04,4.8611,730400.0,0.0,1.0
2006-11-17,52,24.06,24.06,23.78,24.0,4.853,652700.0,0.0,1.0
2006-11-20,53,24.0,24.37,23.85,24.28,4.9097,577900.0,0.0,1.0
2006-11-21,54,24.16,24.34,23.99,24.15,4.8834,313600.0,0.0,1.0
2006-11-22,55,24.24,24.65,24.14,24.48,4.9501,724100.0,0.0,1.0
2006-11-24,56,24.35,24.45,24.07,24.45,4.944,145300.0,0.0,1.0
2006-11-27,57,24.3,24.35,23.78,24.04,4.8611,280200.0,0.0,1.0
2006-11-28,58,23.98,24.14,23.7,24.02,4.8571,745200.0,0.0,1.0
2006-11-29,59,23.87,24.14,23.86,24.0,4.853,256300.0,0.0,1.0
2006-11-30,60,24.19,24.56,24.01,24.39,4.9319,1263000.0,0.0,1.0
2006-12-01,61,24.42,24.77,24.15,24.71,4.9966,576500.0,0.0,1.0
2006-12-04,62,24.06,24.07,23.58,23.88,4.8288,1109000.0,0.0,1.0
2006-12-05,63,23.95,24.2199,23.9,24.08,4.8692,238800.0,0.0,1.0
2006-12-06,64,24.17,24.18,23.76,23.93,4.8389,455800.0,0.0,1.0
2006-12-07,65,23.93,24.26,23.75,23.85,4.8227,443600.0,0.0,1.0
2006-12-08,66,23.8,24.1,23.49,23.71,4.7944,479600.0,0.0,1.0
2006-12-11,67,23.65,24.0,23.26,23.97,4.847,550500.0,0.0,1.0
