date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,59.0,59.13,57.13,58.5,13.3302,1163100.0,0.0,1.0
1998-01-05,1,58.69,58.88,57.56,57.69,13.1457,1552800.0,0.0,1.0
1998-01-06,2,57.13,58.06,57.13,58.06,13.23,1221900.0,0.0,1.0
1998-01-07,3,58.0,59.13,57.69,58.69,13.3735,1803800.0,0.0,1.0
1998-01-08,4,59.69,59.69,58.38,58.44,13.3166,1599300.0,0.0,1.0
1998-01-09,5,58.13,58.13,56.0,56.38,12.8472,1389400.0,0.0,1.0
1998-01-12,6,55.31,58.13,55.31,58.13,13.2459,1684100.0,0.0,1.0
1998-01-13,7,58.63,59.19,58.13,59.13,13.4738,1662200.0,0.0,1.0
1998-01-14,8,59.0,59.75,58.88,59.69,13.6014,1368200.0,0.0,1.0
1998-01-15,9,59.44,59.88,58.44,59.31,13.5148,1181600.0,0.0,1.0
1998-01-16,10,59.63,59.88,59.13,59.31,13.5148,1208100.0,0.0,1.0
1998-01-20,11,59.63,61.0,59.06,60.75,13.8429,1634900.0,0.0,1.0
1998-01-21,12,60.69,60.81,59.81,60.69,13.8293,1253500.0,0.0,1.0
1998-01-22,13,59.88,60.13,59.38,59.5,13.5581,1195000.0,0.0,1.0
1998-01-23,14,59.25,60.25,59.13,59.88,13.6447,1848600.0,0.0,1.0
1998-01-26,15,60.13,60.13,58.56,58.81,13.4009,1237500.0,0.0,1.0
1998-01-27,16,58.69,60.69,58.63,60.31,13.7427,1715400.0,0.0,1.0
1998-01-28,17,60.75,61.19,60.38,60.56,13.7996,1993600.0,0.0,1.0
1998-01-29,18,60.63,61.63,60.38,60.56,13.7996,1602300.0,0.0,1.0
1998-01-30,19,60.69,61.31,60.13,60.5,13.786,893700.0,0.0,1.0
1998-02-02,20,61.5,62.38,61.25,61.81,14.0845,1356600.0,0.0,1.0
1998-02-03,21,61.63,63.06,61.44,62.75,14.2987,1526300.0,0.0,1.0
1998-02-04,22,62.63,63.06,62.25,63.0,14.3556,1262400.0,0.0,1.0
1998-02-05,23,63.0,63.38,62.38,63.06,14.3693,1917600.0,0.0,1.0
1998-02-06,24,63.19,63.88,63.0,63.63,14.4992,1555100.0,0.0,1.0
1998-02-09,25,63.0,63.44,62.81,63.06,14.3693,1372200.0,0.0,1.0
1998-02-10,26,63.31,64.0,63.06,64.0,14.5835,851900.0,0.0,1.0
1998-02-11,27,63.88,64.0,63.31,63.94,14.5698,1712400.0,0.0,1.0
1998-02-12,28,63.88,65.25,63.06,65.13,14.841,1372300.0,0.0,1.0
1998-02-13,29,64.75,65.69,64.69,65.5,14.9253,1105800.0,0.0,1.0
1998-02-17,30,66.38,67.13,66.31,66.75,15.2101,2133600.0,0.0,1.0
1998-02-18,31,66.75,67.0,66.56,66.88,15.2398,1652000.0,0.0,1.0
1998-02-19,32,67.0,67.13,66.56,67.13,15.2967,1484700.0,0.0,1.0
1998-02-20,33,67.06,67.13,66.38,67.0,15.2671,1492200.0,0.0,1.0
1998-02-23,34,67.25,68.81,67.25,68.56,15.6226,2686500.0,0.0,1.0
1998-02-24,35,67.0,67.31,65.13,65.13,14.841,3892300.0,0.0,1.0
1998-02-25,36,65.75,67.13,65.0,66.56,15.1668,3313800.0,0.0,1.0
1998-02-26,37,65.5,66.5,65.13,65.31,14.882,2402900.0,0.0,1.0
1998-02-27,38,65.13,65.25,63.25,63.88,14.5562,2658300.0,0.0,1.0
1998-03-02,39,63.63,65.06,63.63,64.63,14.7271,2262900.0,0.0,1.0
1998-03-03,40,63.56,64.69,63.56,64.38,14.6815,1889500.0,0.05,1.0
