date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,93.0,93.25,92.0,92.31,30.0326,167300.0,0.0,1.0
1998-01-05,1,92.56,94.56,92.25,92.44,30.0749,303600.0,0.0,1.0
1998-01-06,2,92.38,92.5,91.5,92.06,29.9512,282600.0,0.0,1.0
1998-01-07,3,92.06,92.06,91.06,91.69,29.8308,171200.0,0.0,1.0
1998-01-08,4,91.31,91.44,89.88,90.31,29.3819,157600.0,0.0,1.0
1998-01-09,5,90.13,90.63,89.5,89.5,29.1183,584400.0,0.0,1.0
1998-01-12,6,89.0,90.38,88.69,90.38,29.4046,264500.0,0.0,1.0
1998-01-13,7,90.31,91.63,90.25,91.31,29.7072,311200.0,0.0,1.0
1998-01-14,8,91.31,91.94,90.94,91.69,29.8308,196400.0,0.0,1.0
1998-01-15,9,91.56,91.69,89.75,90.0,29.281,210500.0,0.0,1.0
1998-01-16,10,90.25,92.13,90.25,91.25,29.6877,309100.0,0.0,1.0
1998-01-20,11,91.5,94.0,91.0,93.63,30.462,243000.0,0.0,1.0
1998-01-21,12,92.69,92.75,90.75,90.94,29.5868,331500.0,0.0,1.0
1998-01-22,13,90.5,91.69,90.31,91.25,29.6877,474200.0,0.0,1.0
1998-01-23,14,91.5,91.69,89.88,90.0,29.281,312000.0,0.0,1.0
1998-01-26,15,90.25,91.0,89.56,90.0,29.281,157700.0,0.0,1.0
1998-01-27,16,90.25,90.31,89.5,89.69,29.1802,294400.0,0.0,1.0
1998-01-28,17,89.88,90.19,89.13,90.0,29.281,926800.0,0.0,1.0
1998-01-29,18,90.0,91.44,89.88,90.63,29.486,660100.0,0.0,1.0
1998-01-30,19,90.13,90.13,89.44,90.0,29.281,348000.0,0.0,1.0
1998-02-02,20,90.25,90.56,89.63,89.94,29.2615,765500.0,0.0,1.0
1998-02-03,21,89.5,90.25,89.0,90.19,29.3428,759700.0,0.0,1.0
1998-02-04,22,90.19,91.44,89.81,90.81,29.5445,431100.0,0.0,1.0
1998-02-05,23,91.06,91.31,89.38,90.06,29.3005,253700.0,0.0,1.0
1998-02-06,24,90.5,91.5,90.38,91.13,29.6487,130500.0,0.0,1.0
1998-02-09,25,91.63,93.13,91.63,93.0,30.2571,302900.0,0.0,1.0
1998-02-10,26,92.75,93.38,92.56,93.38,30.3807,327500.0,0.0,1.0
1998-02-11,27,93.13,93.69,92.38,92.5,30.0944,215700.0,0.0,1.0
1998-02-12,28,92.75,92.94,91.53,92.88,30.218000000000004,296100.0,0.0,1.0
1998-02-13,29,92.63,94.25,92.38,93.81,30.5206,305700.0,0.0,1.0
1998-02-17,30,93.38,94.31,92.19,92.38,30.0553,262800.0,0.0,1.0
1998-02-18,31,92.31,92.88,92.06,92.5,30.0944,193200.0,0.0,1.0
1998-02-19,32,92.75,92.75,92.0,92.63,30.1367,335000.0,0.0,1.0
1998-02-20,33,92.75,94.0,92.44,94.0,30.5824,408800.0,0.0,1.0
1998-02-23,34,94.44,95.25,93.63,95.19,30.9696,546300.0,0.0,1.0
1998-02-24,35,94.94,96.44,94.38,95.63,31.1127,432000.0,0.0,1.0
1998-02-25,36,96.25,97.63,96.25,97.31,31.6593,417400.0,0.0,1.0
1998-02-26,37,97.0,97.56,96.63,97.31,31.7959,288200.0,0.42,1.0
1998-02-27,38,97.56,98.63,97.38,98.25,32.1031,318500.0,0.0,1.0
1998-03-02,39,98.13,99.0,98.0,98.69,32.2468,375900.0,0.0,1.0
1998-03-03,40,99.44,100.9,99.25,100.6,32.8709,487700.0,0.0,1.0
1998-03-04,41,100.6,100.6,99.25,99.38,32.4723,485800.0,0.0,1.0
1998-03-05,42,99.0,99.38,98.5,98.94,32.3285,531400.0,0.0,1.0
1998-03-06,43,99.25,100.1,99.0,99.94,32.6553,478500.0,0.0,1.0
1998-03-09,44,100.1,103.1,99.94,103.1,33.6878,702800.0,0.0,1.0
1998-03-10,45,103.0,103.4,102.7,103.0,33.6551,581100.0,0.0,1.0
1998-03-11,46,102.9,103.5,102.3,103.3,33.7532,152100.0,0.0,1.0
