date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,27.0,27.56,26.88,27.31,9.7442,282200.0,0.0,1.0
1998-01-05,1,27.38,27.5,26.81,26.88,9.5908,586200.0,0.0,1.0
1998-01-06,2,26.5,26.62,26.06,26.25,9.366,700500.0,0.0,1.0
1998-01-07,3,26.31,26.81,26.25,26.56,9.4766,440800.0,0.0,1.0
1998-01-08,4,26.56,26.56,25.88,26.0,9.2768,618400.0,0.0,1.0
1998-01-09,5,25.88,26.88,25.5,26.19,9.3446,1595200.0,0.0,1.0
1998-01-12,6,25.5,26.5,25.0,26.12,9.3196,880400.0,0.0,1.0
1998-01-13,7,26.25,26.44,25.94,25.94,9.2554,521400.0,0.0,1.0
1998-01-14,8,26.0,26.25,26.0,26.12,9.3196,348700.0,0.0,1.0
1998-01-15,9,26.38,27.12,26.38,26.5,9.4552,618500.0,0.0,1.0
1998-01-16,10,26.75,27.06,26.19,26.31,9.3874,273800.0,0.0,1.0
1998-01-20,11,27.0,27.38,26.56,27.25,9.7228,656700.0,0.0,1.0
1998-01-21,12,27.12,27.19,26.38,26.5,9.4552,1063100.0,0.0,1.0
1998-01-22,13,26.25,26.62,26.06,26.62,9.498,310400.0,0.0,1.0
1998-01-23,14,26.38,26.5,25.75,26.12,9.3196,449200.0,0.0,1.0
1998-01-26,15,26.19,26.19,24.94,25.12,8.9628,845200.0,0.0,1.0
1998-01-27,16,25.44,26.0,25.19,25.19,8.9878,1043500.0,0.0,1.0
1998-01-28,17,25.38,25.56,25.31,25.44,9.077,679500.0,0.0,1.0
1998-01-29,18,25.5,25.5,25.06,25.31,9.0306,950100.0,0.0,1.0
1998-01-30,19,25.31,25.31,25.12,25.12,8.9628,531600.0,0.0,1.0
1998-02-02,20,25.19,25.62,25.19,25.62,9.1412,1436900.0,0.0,1.0
1998-02-03,21,25.56,25.88,25.31,25.5,9.0984,599400.0,0.0,1.0
1998-02-04,22,25.5,27.0,25.44,26.69,9.523,2039300.0,0.0,1.0
1998-02-05,23,26.75,26.94,26.19,26.31,9.3874,727000.0,0.0,1.0
1998-02-06,24,26.0,26.5,26.0,26.31,9.3874,630100.0,0.0,1.0
1998-02-09,25,26.38,27.0,26.31,26.94,9.6122,840300.0,0.0,1.0
1998-02-10,26,26.88,27.25,26.88,26.94,9.6122,524400.0,0.0,1.0
1998-02-11,27,27.0,27.19,26.62,26.88,9.5908,403000.0,0.0,1.0
1998-02-12,28,26.62,26.88,26.31,26.62,9.498,347600.0,0.0,1.0
1998-02-13,29,26.88,27.12,26.75,27.06,9.655,419100.0,0.0,1.0
1998-02-17,30,27.75,28.94,27.38,28.31,10.101,1075100.0,0.0,1.0
1998-02-18,31,28.31,28.88,28.0,28.56,10.1902,1080600.0,0.0,1.0
1998-02-19,32,28.88,29.06,28.56,28.62,10.2116,560500.0,0.0,1.0
1998-02-20,33,28.75,29.44,28.62,29.25,10.4364,341400.0,0.0,1.0
1998-02-23,34,29.44,29.75,29.31,29.62,10.5684,686900.0,0.0,1.0
1998-02-24,35,29.81,29.81,28.94,29.31,10.4578,818100.0,0.0,1.0
1998-02-25,36,29.31,29.56,28.75,29.19,10.415,475200.0,0.0,1.0
1998-02-26,37,29.19,29.56,29.0,29.31,10.4578,332800.0,0.0,1.0
1998-02-27,38,29.25,29.25,28.88,29.0,10.3472,390900.0,0.0,1.0
1998-03-02,39,29.62,29.62,29.19,29.19,10.415,357900.0,0.0,1.0
1998-03-03,40,29.38,29.38,28.75,29.38,10.4828,712100.0,0.0,1.0
1998-03-04,41,29.5,29.62,29.25,29.62,10.5684,719600.0,0.0,1.0
1998-03-05,42,29.5,29.75,28.69,29.56,10.547,684600.0,0.0,1.0
1998-03-06,43,29.56,29.75,29.12,29.31,10.4578,1084000.0,0.0,1.0
1998-03-09,44,29.31,29.69,29.12,29.56,10.547,1063200.0,0.0,1.0
1998-03-10,45,29.69,29.69,29.06,29.56,10.547,570100.0,0.0,1.0
1998-03-11,46,29.44,30.25,29.25,29.88,10.6612,807500.0,0.0,1.0
1998-03-12,47,30.0,30.5,29.81,30.38,10.8396,423300.0,0.0,1.0
1998-03-13,48,30.5,30.88,30.25,30.44,10.8735,369500.0,0.035,1.0
1998-03-16,49,30.56,30.69,29.75,30.12,10.7592,225900.0,0.0,1.0
1998-03-17,50,30.12,31.25,29.88,31.0,11.0735,737200.0,0.0,1.0
1998-03-18,51,31.25,32.0,31.25,31.75,11.3414,620800.0,0.0,1.0
1998-03-19,52,31.88,33.5,31.88,32.94,11.7665,944800.0,0.0,1.0
1998-03-20,53,32.94,33.25,32.69,33.12,11.8308,708500.0,0.0,1.0
1998-03-23,54,32.94,33.0,32.31,32.5,11.6093,343700.0,0.0,1.0
1998-03-24,55,32.56,33.0,32.5,32.94,11.7665,325300.0,0.0,1.0
1998-03-25,56,33.0,33.75,32.88,33.06,11.8094,328200.0,0.0,1.0
1998-03-26,57,33.25,33.25,32.75,32.94,11.7665,275200.0,0.0,1.0
1998-03-27,58,33.0,33.12,32.12,32.44,11.5879,280600.0,0.0,1.0
1998-03-30,59,32.38,32.5,32.06,32.19,11.4986,169600.0,0.0,1.0
1998-03-31,60,32.12,33.19,32.12,33.0,11.7879,381000.0,0.0,1.0
1998-04-01,61,33.06,33.06,32.44,32.81,11.7201,283600.0,0.0,1.0
1998-04-02,62,32.81,32.81,32.31,32.69,11.6772,293900.0,0.0,1.0
1998-04-03,63,32.69,32.75,32.38,32.38,11.5665,249000.0,0.0,1.0
1998-04-06,64,32.44,32.5,31.25,31.25,11.1628,449600.0,0.0,1.0
1998-04-07,65,31.5,31.94,31.06,31.19,11.1414,353200.0,0.0,1.0
1998-04-08,66,31.25,31.5,30.75,30.94,11.0521,358700.0,0.0,1.0
1998-04-09,67,31.31,31.31,30.62,31.0,11.0735,432100.0,0.0,1.0
1998-04-13,68,32.0,32.5,31.62,32.5,11.6093,319300.0,0.0,1.0
1998-04-14,69,33.5,35.38,33.5,35.12,12.5452,1189600.0,0.0,1.0
1998-04-15,70,35.38,36.25,35.38,35.62,12.7238,811300.0,0.0,1.0
1998-04-16,71,35.56,36.06,35.0,35.94,12.8381,509100.0,0.0,1.0
1998-04-17,72,36.38,37.5,36.12,37.19,13.2846,595700.0,0.0,1.0
1998-04-20,73,37.19,37.38,36.5,36.69,13.106,703300.0,0.0,1.0
1998-04-21,74,36.88,37.0,36.62,36.94,13.1953,268200.0,0.0,1.0
1998-04-22,75,36.88,37.25,36.06,36.44,13.0167,464300.0,0.0,1.0
1998-04-23,76,36.44,36.62,35.75,35.94,12.8381,306800.0,0.0,1.0
1998-04-24,77,35.69,35.94,34.5,34.62,12.3666,354300.0,0.0,1.0
1998-04-27,78,34.38,34.38,32.62,33.25,11.8772,658500.0,0.0,1.0
1998-04-28,79,34.81,36.0,34.0,35.0,12.5023,415600.0,0.0,1.0
1998-04-29,80,35.12,35.94,35.12,35.44,12.6595,198700.0,0.0,1.0
1998-04-30,81,35.81,36.5,35.75,36.0,12.8596,259700.0,0.0,1.0
1998-05-01,82,36.25,36.75,36.12,36.31,12.9703,325400.0,0.0,1.0
1998-05-04,83,36.25,36.56,35.25,35.88,12.8167,229100.0,0.0,1.0
1998-05-05,84,35.94,35.94,34.88,35.12,12.5452,320600.0,0.0,1.0
1998-05-06,85,35.31,36.0,35.0,35.69,12.7488,225800.0,0.0,1.0
1998-05-07,86,35.81,36.0,35.56,35.88,12.8167,153200.0,0.0,1.0
1998-05-08,87,35.88,36.0,35.56,35.56,12.7024,172900.0,0.0,1.0
1998-05-11,88,35.62,36.25,35.56,35.81,12.7917,141800.0,0.0,1.0
1998-05-12,89,35.5,35.81,34.69,34.75,12.413,260000.0,0.0,1.0
1998-05-13,90,34.75,35.06,34.5,34.94,12.4809,416700.0,0.0,1.0
1998-05-14,91,34.88,35.0,34.62,34.94,12.4809,134200.0,0.0,1.0
1998-05-15,92,34.94,34.94,34.25,34.31,12.2559,169900.0,0.0,1.0
1998-05-18,93,34.31,34.5,34.12,34.5,12.3237,170200.0,0.0,1.0
1998-05-19,94,35.0,35.62,34.94,35.06,12.5238,286500.0,0.0,1.0
1998-05-20,95,35.0,35.0,34.06,34.81,12.4345,209100.0,0.0,1.0
1998-05-21,96,35.06,35.38,34.5,34.75,12.413,267400.0,0.0,1.0
1998-05-22,97,34.75,34.94,34.38,34.56,12.3452,109100.0,0.0,1.0
1998-05-26,98,34.81,35.0,33.5,34.25,12.2344,322000.0,0.0,1.0
1998-05-27,99,34.0,34.12,33.5,33.94,12.1237,264700.0,0.0,1.0
1998-05-28,100,34.0,34.69,34.0,34.69,12.3916,262600.0,0.0,1.0
1998-05-29,101,34.88,35.88,34.81,35.81,12.7917,571500.0,0.0,1.0
1998-06-01,102,35.75,35.75,34.62,34.81,12.4345,340900.0,0.0,1.0
1998-06-02,103,34.94,35.38,34.62,34.75,12.413,160600.0,0.0,1.0
1998-06-03,104,35.0,35.38,34.62,34.62,12.3666,287300.0,0.0,1.0
1998-06-04,105,34.69,34.69,33.56,34.25,12.2344,473300.0,0.0,1.0
1998-06-05,106,34.56,35.25,34.44,35.12,12.5452,210600.0,0.0,1.0
1998-06-08,107,35.38,36.25,35.38,36.0,12.8596,346400.0,0.0,1.0
1998-06-09,108,36.31,37.25,36.25,36.81,13.1489,401200.0,0.0,1.0
1998-06-10,109,36.62,36.88,36.25,36.69,13.106,193800.0,0.0,1.0
1998-06-11,110,36.44,36.75,36.25,36.31,12.9703,282400.0,0.0,1.0
1998-06-12,111,36.31,37.44,35.12,36.75,13.1417,405500.0,0.04,1.0
1998-06-15,112,35.75,36.56,35.75,36.25,12.963,281200.0,0.0,1.0
1998-06-16,113,36.19,36.25,35.56,36.0,12.8736,344200.0,0.0,1.0
1998-06-17,114,36.0,37.0,36.0,36.38,13.0094,273800.0,0.0,1.0
1998-06-18,115,36.44,36.62,35.81,36.38,13.0094,344600.0,0.0,1.0
1998-06-19,116,36.12,36.31,35.88,36.0,12.8736,268100.0,0.0,1.0
1998-06-22,117,36.0,36.38,35.62,36.38,13.0094,242800.0,0.0,1.0
1998-06-23,118,36.75,37.25,36.25,36.25,12.963,295800.0,0.0,1.0
1998-06-24,119,37.0,37.25,36.44,37.0,13.2311,250000.0,0.0,1.0
1998-06-25,120,37.25,38.0,37.25,37.75,13.4993,443200.0,0.0,1.0
1998-06-26,121,37.56,37.81,37.12,37.75,13.4993,482100.0,0.0,1.0
1998-06-29,122,38.12,39.44,38.06,39.0,13.9463,598700.0,0.0,1.0
1998-06-30,123,39.25,39.56,38.75,38.75,13.8569,723700.0,0.0,1.0
1998-07-01,124,39.12,39.75,39.06,39.56,14.1466,448900.0,0.0,1.0
1998-07-02,125,39.38,39.5,39.06,39.19,14.0143,278900.0,0.0,1.0
1998-07-06,126,39.25,39.25,38.88,38.94,13.9249,278200.0,0.0,1.0
1998-07-07,127,39.0,39.38,38.5,38.69,13.8355,368600.0,0.0,1.0
1998-07-08,128,38.69,39.0,38.5,38.94,13.9249,502000.0,0.0,1.0
1998-07-09,129,38.81,38.94,38.19,38.75,13.8569,240300.0,0.0,1.0
1998-07-10,130,38.62,39.31,38.62,39.19,14.0143,465000.0,0.0,1.0
1998-07-13,131,39.06,40.5,39.06,40.38,14.4398,748300.0,0.0,1.0
1998-07-14,132,41.0,41.44,40.5,40.81,14.5936,1074500.0,0.0,1.0
1998-07-15,133,41.94,42.0,40.5,41.31,14.7724,659200.0,0.0,1.0
1998-07-16,134,41.81,41.88,40.06,41.0,14.6615,554800.0,0.0,1.0
1998-07-17,135,41.44,41.44,40.25,41.0,14.6615,276100.0,0.0,1.0
1998-07-20,136,41.0,41.81,40.75,41.56,14.8618,635200.0,0.0,1.0
1998-07-21,137,41.81,41.88,40.81,40.81,14.5936,270800.0,0.0,1.0
1998-07-22,138,40.25,40.94,39.25,39.94,14.2825,328600.0,0.0,1.0
1998-07-23,139,40.0,40.38,38.94,38.94,13.9249,671700.0,0.0,1.0
1998-07-24,140,38.88,39.5,37.31,39.06,13.9678,569900.0,0.0,1.0
1998-07-27,141,39.0,40.12,38.62,40.0,14.3039,257500.0,0.0,1.0
1998-07-28,142,40.0,40.0,38.81,38.81,13.8784,397100.0,0.0,1.0
1998-07-29,143,38.81,39.75,38.5,39.5,14.1251,327900.0,0.0,1.0
1998-07-30,144,39.88,40.19,39.62,40.0,14.3039,267000.0,0.0,1.0
1998-07-31,145,40.25,40.25,39.56,39.62,14.1681,463100.0,0.0,1.0
1998-08-03,146,39.38,39.44,38.88,39.06,13.9678,318600.0,0.0,1.0
1998-08-04,147,39.25,39.25,36.75,37.38,13.367,459100.0,0.0,1.0
1998-08-05,148,37.06,37.31,36.25,36.94,13.2097,670100.0,0.0,1.0
1998-08-06,149,37.0,38.81,36.94,38.81,13.8784,381300.0,0.0,1.0
1998-08-07,150,39.81,40.0,39.5,39.56,14.1466,255600.0,0.0,1.0
1998-08-10,151,39.31,39.56,39.06,39.38,14.0822,438000.0,0.0,1.0
1998-08-11,152,38.5,38.5,37.19,37.44,13.3885,366100.0,0.0,1.0
1998-08-12,153,37.94,38.5,37.56,37.62,13.4529,374600.0,0.0,1.0
1998-08-13,154,37.62,37.62,36.62,36.94,13.2097,400800.0,0.0,1.0
1998-08-14,155,36.75,36.75,35.62,36.0,12.8736,579900.0,0.0,1.0
1998-08-17,156,36.0,36.12,34.75,35.75,12.7842,489500.0,0.0,1.0
1998-08-18,157,35.69,37.44,35.69,37.19,13.2991,377900.0,0.0,1.0
