date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,61.69,62.0,61.06,61.63,19.1376,92400.0,0.0,1.0
1998-01-05,1,61.69,62.44,60.69,61.31,19.0382,244600.0,0.0,1.0
1998-01-06,2,61.31,62.25,61.0,61.94,19.2338,188600.0,0.0,1.0
1998-01-07,3,61.69,62.0,60.75,62.0,19.2524,274200.0,0.0,1.0
1998-01-08,4,61.75,62.75,61.5,62.0,19.2524,247600.0,0.0,1.0
1998-01-09,5,62.0,62.25,60.38,60.44,18.768,280700.0,0.0,1.0
1998-01-12,6,60.06,61.94,60.06,61.81,19.1934,467400.0,0.0,1.0
1998-01-13,7,61.94,62.38,61.44,62.38,19.3704,223300.0,0.0,1.0
1998-01-14,8,62.56,62.56,61.38,62.06,19.2711,88000.0,0.0,1.0
1998-01-15,9,61.81,62.0,61.25,61.5,19.0972,118400.0,0.0,1.0
1998-01-16,10,61.5,62.19,61.25,61.5,19.0972,177600.0,0.0,1.0
1998-01-20,11,61.75,62.38,61.44,62.0,19.2524,94400.0,0.0,1.0
1998-01-21,12,62.06,62.75,60.88,61.81,19.1934,153000.0,0.0,1.0
1998-01-22,13,61.56,61.69,60.56,61.06,18.9606,159500.0,0.0,1.0
1998-01-23,14,61.0,61.5,59.75,60.13,18.6718,159100.0,0.0,1.0
1998-01-26,15,60.38,60.56,59.69,59.81,18.5724,84100.0,0.0,1.0
1998-01-27,16,59.81,61.88,59.81,60.44,18.768,257200.0,0.0,1.0
1998-01-28,17,60.69,64.25,60.56,64.25,19.9511,417800.0,0.0,1.0
1998-01-29,18,63.5,65.75,62.63,65.0,20.184,655900.0,0.0,1.0
1998-01-30,19,66.19,66.19,63.63,63.69,19.7772,461200.0,0.0,1.0
1998-02-02,20,63.94,64.5,62.63,62.75,19.4853,301300.0,0.0,1.0
1998-02-03,21,62.25,64.13,62.19,63.81,19.8145,271600.0,0.0,1.0
1998-02-04,22,63.56,64.38,63.5,63.69,19.7772,179700.0,0.0,1.0
1998-02-05,23,63.63,63.75,62.56,62.94,19.5443,195600.0,0.0,1.0
1998-02-06,24,63.31,64.63,63.0,64.0,19.8735,247400.0,0.0,1.0
1998-02-09,25,64.25,64.31,63.69,64.19,19.9325,142600.0,0.0,1.0
1998-02-10,26,64.19,64.31,63.44,63.63,19.7586,143200.0,0.0,1.0
1998-02-11,27,63.75,63.81,63.19,63.81,19.8145,97700.0,0.0,1.0
1998-02-12,28,63.06,64.63,63.0,64.56,20.0474,171900.0,0.0,1.0
1998-02-13,29,64.06,64.25,63.25,63.25,19.6406,100900.0,0.0,1.0
1998-02-17,30,63.5,64.56,63.5,64.56,20.0474,174700.0,0.0,1.0
1998-02-18,31,64.56,66.5,64.38,65.94,20.4759,346000.0,0.0,1.0
1998-02-19,32,66.19,66.19,64.69,64.81,20.125,174600.0,0.0,1.0
1998-02-20,33,65.13,65.56,64.5,65.44,20.389,165900.0,0.22,1.0
1998-02-23,34,65.81,67.0,65.81,66.69,20.7784,285100.0,0.0,1.0
