date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,15.88,16.5,15.88,16.06,4.015,119800.0,0.0,1.0
1998-01-05,1,15.94,16.06,15.25,15.88,3.97,108200.0,0.0,1.0
1998-01-06,2,15.5,16.38,15.5,15.75,3.9375,206400.0,0.0,1.0
1998-01-07,3,15.75,16.13,15.5,15.88,3.97,229900.0,0.0,1.0
1998-01-08,4,15.63,15.88,14.5,14.88,3.72,218000.0,0.0,1.0
1998-01-09,5,14.88,14.88,12.75,13.38,3.345,601100.0,0.0,1.0
1998-01-12,6,12.5,13.13,12.25,12.88,3.22,576300.0,0.0,1.0
1998-01-13,7,13.13,13.75,13.0,13.56,3.39,436600.0,0.0,1.0
1998-01-14,8,13.5,14.13,13.31,13.88,3.47,269700.0,0.0,1.0
1998-01-15,9,13.63,14.13,13.63,13.81,3.4525,138500.0,0.0,1.0
1998-01-16,10,14.0,14.5,13.75,14.38,3.595,266200.0,0.0,1.0
1998-01-20,11,14.25,14.5,13.63,14.13,3.5325,121100.0,0.0,1.0
1998-01-21,12,13.88,14.63,13.88,14.44,3.61,159700.0,0.0,1.0
1998-01-22,13,14.31,14.88,14.31,14.5,3.625,162000.0,0.0,1.0
1998-01-23,14,14.75,14.81,14.31,14.75,3.6875,94800.0,0.0,1.0
1998-01-26,15,14.63,15.25,14.56,14.88,3.72,166800.0,0.0,1.0
1998-01-27,16,15.0,15.5,15.0,15.13,3.7825,123100.0,0.0,1.0
1998-01-28,17,15.19,15.69,15.0,15.5,3.875,192900.0,0.0,1.0
1998-01-29,18,15.5,15.75,14.0,14.25,3.5625,355800.0,0.0,1.0
1998-01-30,19,14.13,14.19,13.63,13.69,3.4225,171500.0,0.0,1.0
1998-02-02,20,13.88,15.13,13.88,15.0,3.75,247900.0,0.0,1.0
1998-02-03,21,14.75,16.13,14.75,15.63,3.9075,398000.0,0.0,1.0
1998-02-04,22,15.75,17.5,15.38,16.97,4.2425,742100.0,0.0,1.0
1998-02-05,23,16.88,17.0,15.88,16.88,4.22,277800.0,0.0,1.0
1998-02-06,24,16.5,17.13,16.13,16.75,4.1875,254800.0,0.0,1.0
1998-02-09,25,16.63,17.25,16.44,17.13,4.2825,161000.0,0.0,1.0
1998-02-10,26,17.19,17.63,17.0,17.63,4.4075,243800.0,0.0,1.0
1998-02-11,27,17.75,18.0,17.38,17.63,4.4075,179000.0,0.0,1.0
1998-02-12,28,17.88,18.06,17.63,17.75,4.4375,274400.0,0.0,1.0
1998-02-13,29,18.06,19.38,17.5,18.88,4.72,1428700.0,0.0,1.0
1998-02-17,30,18.5,18.81,16.81,16.94,4.235,921300.0,0.0,1.0
1998-02-18,31,16.56,17.25,16.31,17.25,4.3125,455700.0,0.0,1.0
1998-02-19,32,17.19,17.25,16.31,16.34,4.085,355800.0,0.0,1.0
1998-02-20,33,16.38,16.63,15.72,16.13,4.0325,347900.0,0.0,1.0
1998-02-23,34,16.25,16.25,15.75,15.81,3.9525,266900.0,0.0,1.0
1998-02-24,35,15.75,16.0,15.0,15.0,3.75,249800.0,0.0,1.0
1998-02-25,36,15.13,16.38,15.0,15.94,3.985,296600.0,0.0,1.0
1998-02-26,37,15.88,16.13,15.63,16.13,4.0325,114500.0,0.0,1.0
1998-02-27,38,16.0,16.13,15.5,15.69,3.9225,120800.0,0.0,1.0
1998-03-02,39,15.94,15.94,14.0,14.13,3.5325,671000.0,0.0,1.0
1998-03-03,40,14.94,16.63,14.94,16.5,4.125,936500.0,0.0,1.0
1998-03-04,41,16.5,16.69,15.75,16.38,4.095,429700.0,0.0,1.0
1998-03-05,42,15.75,16.13,15.25,15.88,3.97,293200.0,0.0,1.0
1998-03-06,43,15.75,16.56,15.75,16.38,4.095,433100.0,0.0,1.0
1998-03-09,44,17.25,17.5,16.88,17.06,4.265,384000.0,0.0,1.0
1998-03-10,45,17.0,17.38,16.63,16.69,4.1725,324900.0,0.0,1.0
1998-03-11,46,16.25,17.25,16.13,17.19,4.2975,309600.0,0.0,1.0
1998-03-12,47,17.25,17.56,16.88,17.5,4.375,420400.0,0.0,1.0
1998-03-13,48,17.5,17.75,17.13,17.31,4.3275,210300.0,0.0,1.0
1998-03-16,49,17.5,17.63,17.0,17.0,4.25,87600.0,0.0,1.0
1998-03-17,50,17.0,17.31,16.63,16.63,4.1575,94700.0,0.0,1.0
1998-03-18,51,16.88,17.63,16.63,17.63,4.4075,169900.0,0.0,1.0
1998-03-19,52,17.5,17.75,17.31,17.5,4.375,208700.0,0.0,1.0
1998-03-20,53,17.5,17.75,17.38,17.56,4.39,342800.0,0.0,1.0
1998-03-23,54,17.38,17.88,17.25,17.63,4.4075,205300.0,0.0,1.0
1998-03-24,55,17.63,18.5,17.56,18.0,4.5,296000.0,0.0,1.0
