date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,51.38,51.88,50.75,51.31,31.213,99300.0,0.0,1.0
1998-01-05,1,51.31,51.75,50.5,50.88,30.9514,125000.0,0.0,1.0
1998-01-06,2,50.88,51.25,46.56,46.94,28.5546,540000.0,0.0,1.0
1998-01-07,3,46.0,46.38,44.69,46.25,28.1349,1158100.0,0.0,1.0
1998-01-08,4,46.25,46.25,44.63,45.5,27.6786,365800.0,0.0,1.0
1998-01-09,5,45.44,45.88,43.75,44.25,26.9182,425500.0,0.0,1.0
1998-01-12,6,43.5,44.88,43.44,44.5,27.0703,202500.0,0.0,1.0
1998-01-13,7,44.44,44.75,43.81,44.0,26.7661,232300.0,0.0,1.0
1998-01-14,8,44.0,44.25,43.75,44.25,26.9182,226100.0,0.0,1.0
1998-01-15,9,44.06,45.06,43.94,45.06,27.411,241900.0,0.0,1.0
1998-01-16,10,45.31,45.88,45.13,45.5,27.6786,292300.0,0.0,1.0
1998-01-20,11,45.5,45.5,44.69,45.0,27.3745,422400.0,0.0,1.0
1998-01-21,12,45.0,46.06,45.0,45.44,27.6421,407200.0,0.0,1.0
1998-01-22,13,45.25,45.25,44.56,44.88,27.3015,212900.0,0.0,1.0
1998-01-23,14,44.88,45.19,43.38,43.63,26.5411,367100.0,0.0,1.0
1998-01-26,15,43.63,43.94,42.75,43.75,26.6141,315200.0,0.0,1.0
1998-01-27,16,43.75,44.25,43.06,43.5,26.462,421700.0,0.0,1.0
1998-01-28,17,43.5,43.94,43.13,43.94,26.7296,240800.0,0.0,1.0
1998-01-29,18,43.69,44.38,43.13,43.25,26.3099,750800.0,0.0,1.0
1998-01-30,19,43.25,43.25,42.06,42.25,25.7016,448900.0,0.0,1.0
1998-02-02,20,42.63,44.13,42.31,43.75,26.6141,435300.0,0.0,1.0
1998-02-03,21,43.56,44.0,43.13,44.0,26.7661,263100.0,0.0,1.0
1998-02-04,22,43.75,43.94,43.25,43.5,26.462,227900.0,0.0,1.0
1998-02-05,23,43.88,44.0,43.0,43.81,26.6506,378800.0,0.0,1.0
1998-02-06,24,43.13,44.13,43.0,43.31,26.3464,358500.0,0.0,1.0
1998-02-09,25,43.31,43.94,43.0,43.06,26.1943,384900.0,0.0,1.0
1998-02-10,26,43.13,45.25,43.06,44.19,26.8817,468000.0,0.0,1.0
1998-02-11,27,44.19,44.19,43.44,44.13,26.8452,178500.0,0.0,1.0
1998-02-12,28,44.13,44.56,43.31,44.25,26.9182,235100.0,0.0,1.0
1998-02-13,29,43.75,44.25,43.63,44.0,26.7661,193600.0,0.0,1.0
1998-02-17,30,44.19,44.38,43.81,44.06,26.8026,135400.0,0.0,1.0
1998-02-18,31,43.56,44.69,43.56,44.63,27.1494,175700.0,0.0,1.0
1998-02-19,32,44.38,45.0,43.81,44.88,27.3015,366800.0,0.0,1.0
1998-02-20,33,45.0,46.19,44.69,45.88,27.9098,586200.0,0.0,1.0
1998-02-23,34,45.88,46.25,45.38,45.75,27.8307,193500.0,0.0,1.0
1998-02-24,35,45.75,46.25,45.19,45.5,27.6786,243000.0,0.0,1.0
1998-02-25,36,45.5,46.25,45.5,45.81,27.8672,196800.0,0.0,1.0
1998-02-26,37,45.75,46.44,45.75,46.13,28.0619,429900.0,0.0,1.0
1998-02-27,38,45.94,46.19,45.44,46.0,27.9828,343700.0,0.0,1.0
1998-03-02,39,45.63,46.25,45.25,46.25,28.1349,159300.0,0.0,1.0
1998-03-03,40,46.0,46.0,45.56,45.75,27.8307,136100.0,0.0,1.0
1998-03-04,41,45.31,46.06,45.13,46.06,28.0193,213700.0,0.0,1.0
1998-03-05,42,45.81,46.63,45.31,46.38,28.2139,362300.0,0.0,1.0
1998-03-06,43,46.25,47.75,46.25,47.63,28.9743,447100.0,0.0,1.0
1998-03-09,44,47.38,48.75,47.31,48.06,29.2359,365300.0,0.0,1.0
1998-03-10,45,48.06,48.25,47.44,48.06,29.2359,417100.0,0.0,1.0
1998-03-11,46,47.94,48.0,47.25,47.75,29.0473,499100.0,0.0,1.0
1998-03-12,47,47.75,47.75,46.81,47.0,28.5911,380500.0,0.0,1.0
1998-03-13,48,47.0,47.38,45.63,47.13,28.6702,368100.0,0.0,1.0
1998-03-16,49,47.38,47.44,46.69,46.88,28.5181,147900.0,0.0,1.0
1998-03-17,50,47.06,47.78,46.94,47.44,28.8588,167900.0,0.0,1.0
1998-03-18,51,47.31,48.0,47.06,47.81,29.0838,463700.0,0.0,1.0
1998-03-19,52,47.56,47.69,46.44,46.81,28.4755,348100.0,0.0,1.0
1998-03-20,53,46.38,47.75,46.38,47.13,28.6702,588400.0,0.0,1.0
1998-03-23,54,46.88,46.94,45.81,45.88,27.9098,326300.0,0.0,1.0
1998-03-24,55,45.5,45.88,45.0,45.63,27.9828,283000.0,0.37,1.0
1998-03-25,56,46.44,46.63,45.88,46.44,28.4795,405100.0,0.0,1.0
1998-03-26,57,46.63,46.94,46.0,46.63,28.596,271000.0,0.0,1.0
1998-03-27,58,46.63,47.19,46.63,47.0,28.8229,421800.0,0.0,1.0
1998-03-30,59,47.0,47.75,46.81,47.0,28.8229,326000.0,0.0,1.0
1998-03-31,60,47.0,47.75,47.0,47.13,28.9027,298200.0,0.0,1.0
1998-04-01,61,47.19,47.38,45.81,47.38,29.056,284700.0,0.0,1.0
1998-04-02,62,47.38,47.88,47.0,47.44,29.0928,219300.0,0.0,1.0
1998-04-03,63,47.31,47.75,46.69,47.13,28.9027,202200.0,0.0,1.0
1998-04-06,64,47.13,47.63,46.81,47.0,28.8229,103300.0,0.0,1.0
1998-04-07,65,47.0,47.19,45.5,46.31,28.3998,148600.0,0.0,1.0
1998-04-08,66,46.19,46.56,45.75,46.0,28.2097,138400.0,0.0,1.0
1998-04-09,67,46.06,46.13,45.5,45.63,27.9828,164700.0,0.0,1.0
1998-04-13,68,45.44,45.81,44.56,45.69,28.0196,213300.0,0.0,1.0
1998-04-14,69,45.44,46.19,45.38,45.94,28.1729,175800.0,0.0,1.0
1998-04-15,70,45.75,46.38,45.44,45.88,28.1361,493400.0,0.0,1.0
1998-04-16,71,45.81,45.81,44.75,45.5,27.9031,360000.0,0.0,1.0
1998-04-17,72,45.75,47.0,45.75,46.81,28.7064,299700.0,0.0,1.0
1998-04-20,73,47.13,47.31,46.5,47.25,28.9762,150700.0,0.0,1.0
1998-04-21,74,47.0,47.75,46.81,47.69,29.2461,345900.0,0.0,1.0
1998-04-22,75,47.44,48.88,47.13,48.5,29.7428,720700.0,0.0,1.0
1998-04-23,76,48.63,48.88,48.38,48.69,29.8593,489100.0,0.0,1.0
1998-04-24,77,48.56,49.56,48.44,48.88,29.9759,779200.0,0.0,1.0
1998-04-27,78,48.38,48.75,47.75,48.0,29.4362,419200.0,0.0,1.0
1998-04-28,79,48.25,48.38,47.56,48.0,29.4362,403200.0,0.0,1.0
1998-04-29,80,48.0,48.81,48.0,48.69,29.8593,240900.0,0.0,1.0
1998-04-30,81,48.69,49.0,48.56,48.94,30.0126,231400.0,0.0,1.0
1998-05-01,82,49.0,49.94,49.0,49.94,30.6259,259900.0,0.0,1.0
1998-05-04,83,50.0,50.0,49.56,49.94,30.6259,145500.0,0.0,1.0
1998-05-05,84,49.88,50.0,49.06,49.88,30.5891,100000.0,0.0,1.0
1998-05-06,85,49.75,49.75,48.56,49.38,30.2825,191300.0,0.0,1.0
1998-05-07,86,49.38,49.44,48.75,49.38,30.2825,223800.0,0.0,1.0
1998-05-08,87,49.19,50.31,49.06,49.19,30.166,226900.0,0.0,1.0
1998-05-11,88,49.19,49.75,49.06,49.38,30.2825,184700.0,0.0,1.0
1998-05-12,89,49.25,50.0,48.38,49.81,30.5462,181200.0,0.0,1.0
1998-05-13,90,49.69,50.0,49.25,49.81,30.5462,167200.0,0.0,1.0
1998-05-14,91,49.63,49.94,49.44,49.69,30.4726,95700.0,0.0,1.0
1998-05-15,92,49.63,49.75,49.19,49.25,30.2028,142700.0,0.0,1.0
1998-05-18,93,49.25,49.31,48.88,49.06,30.0862,295300.0,0.0,1.0
1998-05-19,94,49.06,49.06,48.0,49.0,30.0494,737900.0,0.0,1.0
1998-05-20,95,48.88,48.88,48.88,48.88,29.9759,213900.0,0.0,1.0
1998-05-21,96,49.38,49.44,48.31,48.75,29.8961,252000.0,0.0,1.0
1998-05-22,97,48.63,48.63,48.25,48.44,29.706,134500.0,0.0,1.0
1998-05-26,98,48.69,49.0,48.19,48.31,29.6263,200800.0,0.0,1.0
1998-05-27,99,48.31,48.38,47.63,47.81,29.3197,248000.0,0.0,1.0
1998-05-28,100,47.81,48.56,47.56,48.13,29.5159,194500.0,0.0,1.0
1998-05-29,101,48.06,48.63,47.63,48.0,29.4362,182700.0,0.0,1.0
1998-06-01,102,47.75,48.75,47.75,48.25,29.5895,187200.0,0.0,1.0
1998-06-02,103,48.25,48.5,46.81,47.25,28.9762,252100.0,0.0,1.0
