date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,43.0,44.0,41.5,42.75,21.375,48700.0,0.0,1.0
1998-01-05,1,43.5,44.5,41.0,42.25,21.125,78200.0,0.0,1.0
1998-01-06,2,43.75,43.75,40.5,41.0,20.5,403700.0,0.0,1.0
1998-01-07,3,41.5,41.5,39.75,40.88,20.44,214600.0,0.0,1.0
1998-01-08,4,41.13,41.88,40.0,40.25,20.125,485200.0,0.0,1.0
1998-01-09,5,40.0,41.88,39.25,39.38,19.69,149100.0,0.0,1.0
1998-01-12,6,38.5,38.5,34.0,36.0,18.0,255800.0,0.0,1.0
1998-01-13,7,36.5,38.63,35.75,38.0,19.0,176700.0,0.0,1.0
1998-01-14,8,39.5,41.5,38.75,40.13,20.065,239700.0,0.0,1.0
1998-01-15,9,41.25,42.38,39.0,41.0,20.5,356100.0,0.0,1.0
1998-01-16,10,41.75,44.0,40.75,43.25,21.625,568200.0,0.0,1.0
1998-01-20,11,44.25,45.38,44.0,45.03,22.515,395700.0,0.0,1.0
1998-01-21,12,45.25,45.25,43.75,44.25,22.125,266200.0,0.0,1.0
1998-01-22,13,44.25,44.25,43.13,43.5,21.75,24000.0,0.0,1.0
1998-01-23,14,43.13,44.25,42.25,43.5,21.75,139800.0,0.0,1.0
1998-01-26,15,43.94,44.63,42.25,42.75,21.375,46300.0,0.0,1.0
1998-01-27,16,44.0,44.5,42.75,42.88,21.44,51000.0,0.0,1.0
1998-01-28,17,43.63,44.0,43.25,43.75,21.875,59200.0,0.0,1.0
1998-01-29,18,44.0,44.0,43.25,44.0,22.0,82300.0,0.0,1.0
1998-01-30,19,43.63,44.5,43.38,43.38,21.69,78500.0,0.0,1.0
1998-02-02,20,44.75,47.25,43.5,47.0,23.5,283900.0,0.0,1.0
1998-02-03,21,47.5,50.0,47.0,49.0,24.5,306400.0,0.0,1.0
1998-02-04,22,48.75,50.38,48.0,50.38,25.19,220400.0,0.0,1.0
1998-02-05,23,50.38,50.5,48.63,48.75,24.375,67100.0,0.0,1.0
1998-02-06,24,49.88,50.25,48.75,50.0,25.0,100200.0,0.0,1.0
1998-02-09,25,51.0,51.0,49.5,50.13,25.065,108100.0,0.0,1.0
1998-02-10,26,50.5,50.5,48.25,48.31,24.155,102900.0,0.0,1.0
1998-02-11,27,48.25,49.0,47.0,47.38,23.69,198500.0,0.0,1.0
1998-02-12,28,47.75,47.75,46.75,47.13,23.565,150400.0,0.0,1.0
1998-02-13,29,47.5,48.5,47.5,47.5,23.75,87800.0,0.0,1.0
1998-02-17,30,48.5,48.5,47.0,47.0,23.5,39400.0,0.0,1.0
1998-02-18,31,47.0,48.25,47.0,47.0,23.5,38600.0,0.0,1.0
1998-02-19,32,47.0,47.25,46.13,46.25,23.125,80500.0,0.0,1.0
1998-02-20,33,46.0,46.75,45.5,46.75,23.375,74100.0,0.0,1.0
1998-02-23,34,47.0,48.0,45.5,46.88,23.44,31100.0,0.0,1.0
1998-02-24,35,48.0,48.0,46.0,46.38,23.19,12300.0,0.0,1.0
1998-02-25,36,47.5,47.5,46.63,47.0,23.5,38300.0,0.0,1.0
1998-02-26,37,47.5,49.0,46.63,47.25,23.625,86100.0,0.0,1.0
1998-02-27,38,47.5,47.5,45.38,45.5,22.75,75300.0,0.0,1.0
1998-03-02,39,46.75,47.25,45.25,45.25,22.625,46900.0,0.0,1.0
1998-03-03,40,45.0,46.13,45.0,45.75,22.875,165700.0,0.0,1.0
1998-03-04,41,45.63,46.0,45.5,45.63,22.815,127700.0,0.0,1.0
1998-03-05,42,45.0,45.5,44.5,45.03,22.515,56400.0,0.0,1.0
1998-03-06,43,45.25,47.75,44.75,47.56,23.78,207800.0,0.0,1.0
1998-03-09,44,47.0,47.38,46.0,46.0,23.0,73100.0,0.0,1.0
1998-03-10,45,46.0,46.44,44.5,44.94,22.47,82000.0,0.0,1.0
1998-03-11,46,45.63,45.63,43.0,43.0,21.5,191500.0,0.0,1.0
1998-03-12,47,43.0,44.5,42.0,43.25,21.625,86600.0,0.0,1.0
1998-03-13,48,43.25,46.5,42.63,44.63,22.315,128400.0,0.0,1.0
1998-03-16,49,43.88,45.5,43.88,45.0,22.5,84400.0,0.0,1.0
1998-03-17,50,44.0,45.5,43.88,44.06,22.03,24200.0,0.0,1.0
1998-03-18,51,45.0,45.0,43.88,44.69,22.345,14900.0,0.0,1.0
1998-03-19,52,45.25,45.5,43.88,44.38,22.19,28700.0,0.0,1.0
1998-03-20,53,45.0,46.13,44.5,46.13,23.065,45600.0,0.0,1.0
1998-03-23,54,46.25,46.88,45.75,46.25,23.125,110500.0,0.0,1.0
1998-03-24,55,46.38,46.38,45.5,45.81,22.905,121500.0,0.0,1.0
1998-03-25,56,45.5,47.75,45.5,47.75,23.875,285300.0,0.0,1.0
1998-03-26,57,48.25,49.0,47.0,47.0,23.5,117500.0,0.0,1.0
1998-03-27,58,47.75,47.75,47.0,47.0,23.5,22600.0,0.0,1.0
1998-03-30,59,48.0,48.5,47.0,47.81,23.905,31800.0,0.0,1.0
1998-03-31,60,48.0,48.0,46.0,46.75,23.375,86600.0,0.0,1.0
1998-04-01,61,47.0,47.0,45.5,46.5,23.25,35900.0,0.0,1.0
1998-04-02,62,45.5,48.0,45.5,47.25,23.625,114300.0,0.0,1.0
1998-04-03,63,47.63,47.88,46.75,46.75,23.375,49700.0,0.0,1.0
1998-04-06,64,46.75,47.63,45.25,45.44,22.72,98200.0,0.0,1.0
1998-04-07,65,45.38,46.13,45.13,45.5,22.75,127200.0,0.0,1.0
1998-04-08,66,45.38,45.5,44.5,44.84,22.42,193300.0,0.0,1.0
1998-04-09,67,45.13,45.13,44.63,45.06,22.53,146200.0,0.0,1.0
1998-04-13,68,45.13,45.13,44.0,44.25,22.125,188400.0,0.0,1.0
1998-04-14,69,44.0,44.63,42.75,43.5,21.75,153000.0,0.0,1.0
1998-04-15,70,44.0,44.0,40.5,41.0,20.5,813700.0,0.0,1.0
1998-04-16,71,41.5,42.0,40.0,41.75,20.875,305200.0,0.0,1.0
1998-04-17,72,42.0,43.5,41.63,43.38,21.69,195200.0,0.0,1.0
1998-04-20,73,42.63,42.88,41.5,41.88,20.94,223200.0,0.0,1.0
1998-04-21,74,42.0,42.75,41.5,42.0,21.0,381900.0,0.0,1.0
