date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,49.69,50.63,49.25,49.88,19.0522,173400.0,0.0,1.0
1998-01-05,1,50.38,51.25,50.0,51.25,19.5755,420800.0,0.0,1.0
1998-01-06,2,50.94,50.94,50.06,50.38,19.2432,244700.0,0.0,1.0
1998-01-07,3,49.88,50.0,49.13,49.56,18.93,316500.0,0.0,1.0
1998-01-08,4,49.94,50.94,49.75,50.5,19.289,331700.0,0.0,1.0
1998-01-09,5,50.38,50.38,47.75,48.88,18.6703,332400.0,0.0,1.0
1998-01-12,6,48.38,49.56,48.19,48.75,18.6206,480900.0,0.0,1.0
1998-01-13,7,48.75,48.75,48.25,48.38,18.4793,393600.0,0.0,1.0
1998-01-14,8,48.5,48.5,47.94,48.44,18.5022,399200.0,0.0,1.0
1998-01-15,9,48.56,48.94,47.75,47.88,18.2883,283500.0,0.0,1.0
1998-01-16,10,48.38,49.25,48.19,48.63,18.5748,342200.0,0.0,1.0
1998-01-20,11,49.0,49.63,48.88,49.0,18.7161,313800.0,0.0,1.0
1998-01-21,12,48.5,48.75,48.0,48.25,18.4296,360600.0,0.0,1.0
1998-01-22,13,48.13,48.56,47.94,48.5,18.5251,190200.0,0.0,1.0
1998-01-23,14,48.75,49.0,47.63,47.69,18.2157,182200.0,0.0,1.0
1998-01-26,15,47.69,48.63,47.63,48.31,18.4525,199300.0,0.0,1.0
1998-01-27,16,48.25,48.75,48.0,48.69,18.5977,185200.0,0.0,1.0
1998-01-28,17,48.63,48.63,48.0,48.31,18.4525,260300.0,0.0,1.0
1998-01-29,18,48.63,49.88,48.38,48.94,18.6932,581600.0,0.0,1.0
1998-01-30,19,49.06,49.69,48.88,49.06,18.739,229600.0,0.0,1.0
1998-02-02,20,49.0,50.0,49.0,49.63,18.9567,521100.0,0.0,1.0
1998-02-03,21,49.88,50.13,49.5,50.0,19.0981,406200.0,0.0,1.0
1998-02-04,22,49.75,50.5,49.75,50.44,19.2661,364400.0,0.0,1.0
1998-02-05,23,50.44,51.13,50.13,50.13,19.1477,311800.0,0.0,1.0
1998-02-06,24,50.13,51.25,49.81,51.0,19.48,288200.0,0.0,1.0
1998-02-09,25,51.0,51.0,50.0,50.81,19.4075,209900.0,0.0,1.0
1998-02-10,26,50.81,51.81,50.81,51.44,19.6481,272300.0,0.0,1.0
1998-02-11,27,51.19,52.0,51.13,51.81,19.7894,220300.0,0.0,1.0
1998-02-12,28,52.0,52.75,51.38,52.63,20.1026,319000.0,0.0,1.0
1998-02-13,29,52.63,52.94,52.38,52.5,20.053,276500.0,0.0,1.0
