date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-12-13,0,25.0,26.06,21.61,25.6,25.3486,10771500.0,0.0,1.0
2006-12-14,1,25.66,26.0,24.51,25.15,24.903,998900.0,0.0,1.0
2006-12-15,2,25.24,26.0,24.11,24.6,24.3584,1012600.0,0.0,1.0
2006-12-18,3,24.4,25.0,23.6,23.79,23.5563,734400.0,0.0,1.0
2006-12-19,4,23.58,23.99,22.5,23.1,22.8731,1297900.0,0.0,1.0
2006-12-20,5,23.2,25.47,23.05,25.0,24.7545,495800.0,0.0,1.0
2006-12-21,6,25.16,25.65,24.0,24.6,24.3584,277000.0,0.0,1.0
2006-12-22,7,24.59,25.0,23.71,24.02,23.7841,222300.0,0.0,1.0
2006-12-26,8,23.92,24.38,23.9,24.21,23.9722,109500.0,0.0,1.0
2006-12-27,9,24.25,24.25,23.91,24.08,23.8435,91100.0,0.0,1.0
2006-12-28,10,23.9,24.12,23.51,23.9999,23.7642,62100.0,0.0,1.0
2006-12-29,11,24.35,24.35,23.86,24.0,23.7643,68900.0,0.0,1.0
2007-01-03,12,23.83,24.29,23.7,24.09,23.8534,193400.0,0.0,1.0
2007-01-04,13,23.85,24.22,23.85,24.09,23.8534,253400.0,0.0,1.0
2007-01-05,14,23.91,25.24,23.82,24.82,24.5762,192200.0,0.0,1.0
2007-01-08,15,24.88300000000001,25.0,24.09,24.66,24.4178,82300.0,0.0,1.0
2007-01-09,16,24.49,25.75,24.19,25.7,25.4476,119200.0,0.0,1.0
2007-01-10,17,25.5,27.96,25.43,27.24,26.9725,257400.0,0.0,1.0
2007-01-11,18,27.5,27.5,26.54,26.8,26.5368,188800.0,0.0,1.0
2007-01-12,19,26.83,26.83,26.33,26.33,26.0714,129100.0,0.0,1.0
2007-01-16,20,26.27,26.3951,23.57,25.12,24.8733,600300.0,0.0,1.0
2007-01-17,21,25.15,26.16,24.58,26.02,25.7644,118800.0,0.0,1.0
2007-01-18,22,25.95,25.95,24.81,25.13,24.8832,63800.0,0.0,1.0
2007-01-19,23,24.95,25.37,24.95,25.09,24.8436,81300.0,0.0,1.0
2007-01-22,24,26.0,26.38,25.18,25.79,25.5367,182800.0,0.0,1.0
2007-01-23,25,26.06,26.1,25.35,25.37,25.1208,88600.0,0.0,1.0
2007-01-24,26,26.0,26.0,24.9,25.6,25.3486,134900.0,0.0,1.0
2007-01-25,27,25.9,25.9,25.17,25.44,25.1901,31600.0,0.0,1.0
2007-01-26,28,25.59,26.5,25.0,26.42,26.1605,88800.0,0.0,1.0
2007-01-29,29,26.55,27.2,26.5,27.04,26.7744,95500.0,0.0,1.0
2007-01-30,30,27.75,28.0,27.04,27.47,27.2002,103900.0,0.0,1.0
2007-01-31,31,27.325,27.37,26.32,26.41,26.1506,154800.0,0.0,1.0
2007-02-01,32,27.0,27.0,25.49,26.04,25.7842,62200.0,0.0,1.0
2007-02-02,33,25.85,26.98,25.78,26.41,26.1506,37000.0,0.0,1.0
2007-02-05,34,26.4,26.5,25.42,26.09,25.8338,80700.0,0.0,1.0
2007-02-06,35,26.09,26.1,25.75,25.88,25.6258,47900.0,0.0,1.0
2007-02-07,36,26.16,26.55,25.88,26.3,26.0417,61100.0,0.0,1.0
2007-02-08,37,26.46,26.46,26.01,26.3,26.0417,39800.0,0.0,1.0
2007-02-09,38,26.14,26.69,25.91,26.19,25.9328,72600.0,0.0,1.0
2007-02-12,39,26.29,26.29,25.34,25.6,25.3486,110400.0,0.0,1.0
2007-02-13,40,25.44,25.82,25.0,25.06,24.8139,106900.0,0.0,1.0
2007-02-14,41,25.0,25.5,25.0,25.04,24.7941,35500.0,0.0,1.0
2007-02-15,42,25.01,25.25,24.13,24.18,23.9425,166700.0,0.0,1.0
2007-02-16,43,24.23,25.0,24.1,24.75,24.5069,29400.0,0.0,1.0
2007-02-20,44,25.06,25.68,24.5801,25.37,25.1208,137800.0,0.0,1.0
2007-02-21,45,25.12,25.85,25.0,25.21,24.9624,62500.0,0.0,1.0
2007-02-22,46,25.02,25.2801,24.84,25.0,24.7545,73200.0,0.0,1.0
2007-02-23,47,25.0,25.0,24.45,24.52,24.2792,71200.0,0.0,1.0
2007-02-26,48,24.75,24.75,22.62,24.0,23.7643,275300.0,0.0,1.0
2007-02-27,49,23.25,23.56,22.89,23.05,22.8236,323200.0,0.0,1.0
2007-02-28,50,22.87,23.48,22.87,23.19,22.9622,141600.0,0.0,1.0
2007-03-01,51,23.05,23.25,22.0101,22.46,22.2394,193500.0,0.0,1.0
2007-03-02,52,22.4,24.25,22.11,23.82,23.586,159200.0,0.0,1.0
2007-03-05,53,23.24,23.99,22.82,23.23,23.0018,152700.0,0.0,1.0
2007-03-06,54,22.46,22.6,19.51,21.45,21.2393,1111800.0,0.0,1.0
2007-03-07,55,21.2,21.4,19.6,20.38,20.1798,637400.0,0.0,1.0
2007-03-08,56,19.64,20.35,19.64,20.3,20.1006,313000.0,0.0,1.0
2007-03-09,57,19.98,20.3,19.37,19.9,19.7045,220200.0,0.0,1.0
2007-03-12,58,19.79,20.1,19.5,19.87,19.6748,80200.0,0.0,1.0
2007-03-13,59,19.8,20.1,19.65,19.8,19.6055,119600.0,0.0,1.0
2007-03-14,60,19.8,20.0,18.89,19.09,18.9025,265300.0,0.0,1.0
2007-03-15,61,18.94,19.22,17.92,18.02,17.843,482100.0,0.0,1.0
2007-03-16,62,18.0,18.33,17.78,18.23,18.051,304200.0,0.0,1.0
2007-03-19,63,18.03,18.85,18.03,18.69,18.5064,231400.0,0.0,1.0
2007-03-20,64,18.52,19.07,18.2501,19.0,18.8134,186900.0,0.0,1.0
2007-03-21,65,19.1,19.2,18.86,19.05,18.8629,216100.0,0.0,1.0
