date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,36.0,36.0,36.0,36.0,3.7006,20.0,0.0,1.0
1998-01-05,1,36.0,36.0,35.75,35.75,3.6749,7210.0,0.0,1.0
1998-01-06,2,36.13,36.13,35.13,35.13,3.6112,15605.0,0.0,1.0
1998-01-07,3,35.63,35.88,35.13,35.88,3.6883,67516.0,0.0,1.0
1998-01-08,4,35.88,35.88,35.13,35.5,3.6492,10864.0,0.0,1.0
1998-01-09,5,35.31,35.5,35.13,35.31,3.6297,2133.0,0.0,1.0
1998-01-12,6,35.13,35.25,35.13,35.25,3.6235,6677.0,0.0,1.0
1998-01-13,7,34.94,35.75,34.81,35.75,3.6749,9363.0,0.0,1.0
1998-01-14,8,35.06,35.25,35.0,35.25,3.6235,849.0,0.0,1.0
1998-01-15,9,35.75,35.75,34.75,34.75,3.5721,8494.0,0.0,1.0
1998-01-16,10,35.0,35.0,34.56,34.94,3.5917,9995.0,0.0,1.0
1998-01-20,11,34.75,35.38,34.63,35.25,3.6235,6044.0,0.0,1.0
1998-01-21,12,35.0,35.75,34.75,35.06,3.604,35911.0,0.0,1.0
1998-01-22,13,35.31,35.75,34.88,35.31,3.6297,4365.0,0.0,1.0
1998-01-23,14,35.0,35.13,35.0,35.0,3.5978,18212.0,0.0,1.0
1998-01-26,15,35.0,35.16,34.97,35.13,3.6112,30281.0,0.0,1.0
1998-01-27,16,34.75,35.25,34.75,35.25,3.6235,474.0,0.0,1.0
1998-01-28,17,34.75,35.5,34.75,35.13,3.6112,57126.0,0.0,1.0
1998-01-29,18,35.13,35.5,35.0,35.5,3.6492,54380.0,0.0,1.0
1998-01-30,19,35.25,35.75,35.0,35.75,3.6749,56099.0,0.0,1.0
1998-02-02,20,35.75,35.75,35.06,35.75,3.6749,3299.0,0.0,1.0
1998-02-03,21,35.75,35.75,35.38,35.38,3.6369,19062.0,0.0,1.0
1998-02-04,22,35.38,35.5,35.38,35.38,3.6369,15605.0,0.0,1.0
1998-02-05,23,35.5,35.5,35.0,35.0,3.5978,5590.0,0.0,1.0
1998-02-06,24,34.5,34.75,34.0,34.31,3.5269,12820.0,0.0,1.0
1998-02-09,25,34.0,34.5,33.63,34.38,3.5341,69847.0,0.0,1.0
1998-02-10,26,34.38,35.25,34.31,35.25,3.6235,10983.0,0.0,1.0
1998-02-11,27,34.75,35.25,34.75,35.25,3.6235,1481.0,0.0,1.0
1998-02-12,28,34.25,34.38,34.25,34.25,3.5207,9936.0,0.0,1.0
1998-02-13,29,35.03,35.03,34.81,34.81,3.5783,593.0,0.0,1.0
1998-02-17,30,34.38,35.25,34.0,34.25,3.5207,9067.0,0.0,1.0
1998-02-18,31,34.0,34.5,33.5,33.75,3.4693,12583.0,0.0,1.0
1998-02-19,32,33.25,33.38,33.25,33.38,3.4313,5788.0,0.0,1.0
1998-02-20,33,33.0,33.06,33.0,33.0,3.3923,3299.0,0.0,1.0
1998-02-23,34,33.25,33.56,33.0,33.56,3.4498,22519.0,0.0,1.0
1998-02-24,35,33.5,33.5,33.44,33.5,3.4437,4938.0,0.0,1.0
1998-02-25,36,34.25,34.25,33.88,33.88,3.4827,106015.0,0.0,1.0
1998-02-26,37,34.13,34.38,33.88,33.88,3.4827,37630.0,0.0,1.0
1998-02-27,38,33.69,34.0,33.63,34.0,3.495,11279.0,0.0,1.0
1998-03-02,39,33.75,34.25,33.75,34.0,3.495,23862.0,0.0,1.0
1998-03-03,40,33.75,33.75,32.63,33.25,3.418,62795.0,0.0,1.0
1998-03-04,41,33.0,34.0,33.0,33.06,3.3984,5215.0,0.0,1.0
1998-03-05,42,32.25,33.25,32.13,32.19,3.309,49956.0,0.0,1.0
1998-03-06,43,32.13,33.0,31.37,32.0,3.2895,20089.0,0.0,1.0
1998-03-09,44,33.0,33.0,31.5,33.0,3.3923,9936.0,0.0,1.0
1998-03-10,45,32.75,33.25,32.75,33.25,3.418,16632.0,0.0,1.0
1998-03-11,46,33.25,33.5,32.88,33.5,3.4437,20089.0,0.0,1.0
