date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,85.88,86.25,85.5,86.25,10.2837,1500.0,0.0,1.0
1998-01-05,1,83.5,84.19,83.5,84.0,10.0154,7900.0,0.0,1.0
1998-01-06,2,83.75,83.75,83.25,83.25,9.926,1400.0,0.0,1.0
1998-01-07,3,83.06,83.06,83.06,83.06,9.9033,600.0,0.0,1.0
1998-01-08,4,83.25,83.25,83.25,83.25,9.926,2000.0,0.0,1.0
1998-01-09,5,83.0,83.0,81.25,81.5,9.7173,4800.0,0.0,1.0
1998-01-12,6,80.5,80.5,78.5,79.38,9.4646,8000.0,0.0,1.0
1998-01-13,7,79.13,79.13,79.13,79.13,9.4347,300.0,0.0,1.0
1998-01-14,8,79.06,79.13,79.06,79.06,9.4264,1900.0,0.0,1.0
1998-01-15,9,79.5,79.5,79.5,79.5,9.4789,200.0,0.0,1.0
1998-01-16,10,80.5,80.5,80.5,80.5,9.5981,1500.0,0.0,1.0
1998-01-20,11,80.0,80.0,79.0,79.81,9.5158,300.0,0.0,1.0
1998-01-21,12,77.88,78.06,77.5,78.06,9.3072,900.0,0.0,1.0
1998-01-22,13,78.0,78.13,78.0,78.13,9.3155,9000.0,0.0,1.0
1998-01-23,14,79.0,79.0,77.75,77.75,9.2702,19200.0,0.0,1.0
1998-01-26,15,77.88,78.0,77.5,77.75,9.2702,1600.0,0.0,1.0
1998-01-27,16,77.75,78.0,77.5,77.63,9.2559,8100.0,0.0,1.0
1998-01-28,17,80.5,82.0,80.5,81.25,9.6875,8400.0,0.0,1.0
1998-01-29,18,83.5,84.0,83.5,83.5,9.9558,6200.0,0.0,1.0
1998-01-30,19,92.13,92.5,89.25,90.31,10.7677,27200.0,0.0,1.0
1998-02-02,20,89.94,90.56,89.94,90.56,10.7976,8800.0,0.0,1.0
1998-02-03,21,90.31,91.25,90.25,90.94,10.8429,7100.0,0.0,1.0
1998-02-04,22,90.0,90.0,90.0,90.0,10.7308,1000.0,0.0,1.0
1998-02-05,23,90.0,90.0,90.0,90.0,10.7308,600.0,0.0,1.0
1998-02-06,24,90.25,90.25,90.0,90.0,10.7308,200.0,0.0,1.0
1998-02-09,25,90.5,90.75,90.5,90.75,10.8202,1000.0,0.0,1.0
1998-02-10,26,91.25,92.5,91.25,91.94,10.9621,2800.0,0.0,1.0
1998-02-11,27,92.25,92.25,91.5,92.0,10.9692,2700.0,0.0,1.0
1998-02-12,28,91.75,92.5,91.5,92.5,11.0289,1800.0,0.0,1.0
1998-02-13,29,92.0,92.13,92.0,92.06,10.9764,6300.0,0.0,1.0
1998-02-17,30,96.25,96.5,95.75,95.94,11.439,6700.0,0.0,1.0
1998-02-18,31,96.25,97.0,96.13,96.5,11.5058,6700.0,0.0,1.0
1998-02-19,32,96.25,96.25,95.75,95.75,11.4164,400.0,0.0,1.0
1998-02-20,33,96.0,96.5,96.0,96.5,11.5058,1400.0,0.0,1.0
1998-02-23,34,95.87,95.87,93.0,93.12,11.1028,5000.0,0.0,1.0
1998-02-24,35,93.75,94.0,93.75,93.75,11.1779,6200.0,0.0,1.0
1998-02-25,36,96.0,96.0,95.25,95.5,11.3866,6000.0,0.0,1.0
1998-02-26,37,95.75,96.13,95.75,95.81,11.4235,1900.0,0.0,1.0
1998-02-27,38,95.81,96.5,95.75,96.25,11.476,3200.0,0.0,1.0
1998-03-02,39,100.5,101.3,100.5,101.0,12.0423,15400.0,0.0,1.0
1998-03-03,40,100.5,100.5,98.0,98.13,11.7001,11100.0,0.0,1.0
1998-03-04,41,98.5,98.5,97.25,97.5,11.625,700.0,0.0,1.0
1998-03-05,42,97.38,98.0,97.0,98.0,11.6846,4900.0,0.0,1.0
1998-03-06,43,98.0,98.0,96.0,97.25,11.5952,4900.0,0.0,1.0
1998-03-09,44,97.25,98.75,97.25,98.25,11.7144,1900.0,0.0,1.0
1998-03-10,45,98.75,98.75,97.75,97.75,11.6548,500.0,0.0,1.0
1998-03-11,46,98.75,99.31,98.75,99.31,11.8408,1400.0,0.0,1.0
1998-03-12,47,99.75,99.75,99.13,99.69,11.8861,2700.0,0.0,1.0
1998-03-13,48,99.69,99.69,99.25,99.25,11.8337,300.0,0.0,1.0
1998-03-16,49,99.31,100.3,99.31,100.0,11.9231,2500.0,0.0,1.0
1998-03-17,50,104.3,105.0,104.0,104.0,12.4,10900.0,0.0,1.0
1998-03-18,51,105.8,106.8,105.8,105.8,12.6146,11700.0,0.0,1.0
1998-03-19,52,108.8,109.0,108.8,109.0,12.9962,2300.0,0.0,1.0
