date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,44.75,44.88,43.44,44.75,11.8756,3081800.0,0.0,1.0
1998-01-05,1,44.75,45.5,44.56,45.5,12.0746,2996400.0,0.0,1.0
1998-01-06,2,45.13,45.63,44.88,45.5,12.0746,3807200.0,0.0,1.0
1998-01-07,3,45.0,45.13,44.31,44.56,11.8252,2276800.0,0.0,1.0
1998-01-08,4,44.5,44.69,43.5,44.38,11.7774,2373200.0,0.0,1.0
1998-01-09,5,44.5,45.06,42.56,43.0,11.4112,3286600.0,0.0,1.0
1998-01-12,6,42.5,44.19,42.38,44.13,11.711,2067800.0,0.0,1.0
1998-01-13,7,45.0,45.0,43.88,44.69,11.8597,2164400.0,0.0,1.0
1998-01-14,8,44.94,44.94,43.69,44.88,11.9101,1660800.0,0.0,1.0
1998-01-15,9,44.75,45.5,44.44,45.38,12.0428,1738400.0,0.0,1.0
1998-01-16,10,45.81,45.94,44.5,44.63,11.8437,2115400.0,0.0,1.0
1998-01-20,11,44.69,45.81,44.25,45.69,12.125,2164800.0,0.0,1.0
1998-01-21,12,45.56,45.56,43.94,44.69,11.8597,2395400.0,0.0,1.0
1998-01-22,13,44.5,44.63,43.19,44.0,11.6765,2105800.0,0.0,1.0
1998-01-23,14,43.75,44.75,42.38,44.31,11.7588,2833200.0,0.0,1.0
1998-01-26,15,43.88,44.0,43.38,43.81,11.6261,2055400.0,0.0,1.0
1998-01-27,16,43.81,44.38,43.25,43.38,11.512,3661600.0,0.0,1.0
1998-01-28,17,43.63,44.06,43.31,43.88,11.6447,2051000.0,0.0,1.0
1998-01-29,18,44.0,44.75,43.94,44.44,11.7933,3845800.0,0.0,1.0
1998-01-30,19,44.5,44.56,44.25,44.38,11.7774,2600600.0,0.0,1.0
1998-02-02,20,44.5,45.13,44.5,44.94,11.925999999999998,2250200.0,0.0,1.0
1998-02-03,21,44.69,46.06,44.63,45.94,12.1914,3336800.0,0.0,1.0
1998-02-04,22,45.94,46.81,45.63,46.0,12.2073,2426800.0,0.0,1.0
1998-02-05,23,45.94,46.13,45.44,46.06,12.2232,1727200.0,0.0,1.0
1998-02-06,24,46.0,46.38,45.75,46.38,12.3081,1657200.0,0.0,1.0
1998-02-09,25,46.19,46.25,45.75,46.0,12.2073,995600.0,0.0,1.0
1998-02-10,26,46.0,46.38,45.81,46.25,12.2736,1800400.0,0.0,1.0
1998-02-11,27,46.5,46.94,45.25,45.5,12.0746,1818800.0,0.0,1.0
1998-02-12,28,45.5,46.94,45.25,46.81,12.4223,1759800.0,0.0,1.0
1998-02-13,29,46.81,46.94,46.38,46.94,12.4568,1984600.0,0.0,1.0
1998-02-17,30,47.0,48.13,47.0,47.44,12.5894,1967000.0,0.0,1.0
1998-02-18,31,47.56,48.44,47.38,48.31,12.8203,1807600.0,0.0,1.0
1998-02-19,32,48.13,48.81,47.75,48.75,12.9371,2537400.0,0.0,1.0
1998-02-20,33,48.38,48.44,47.06,47.81,12.6876,1676800.0,0.0,1.0
1998-02-23,34,48.0,48.06,47.0,47.31,12.5549,1572200.0,0.0,1.0
1998-02-24,35,47.56,48.56,47.25,48.56,12.8867,2275000.0,0.0,1.0
1998-02-25,36,48.5,49.06,48.13,48.31,12.8203,1654200.0,0.0,1.0
1998-02-26,37,48.31,49.5,47.75,49.5,13.1361,1526400.0,0.0,1.0
1998-02-27,38,49.5,50.75,49.38,50.63,13.436,2319800.0,0.0,1.0
1998-03-02,39,50.0,50.75,49.25,50.75,13.4678,2304400.0,0.0,1.0
1998-03-03,40,51.0,53.0,51.0,52.38,13.9004,18482200.0,0.0,1.0
1998-03-04,41,52.38,53.31,52.13,52.94,14.049,5272800.0,0.0,1.0
1998-03-05,42,52.0,52.75,51.88,52.44,13.9163,2825800.0,0.0,1.0
1998-03-06,43,52.56,53.25,52.31,53.0,14.0649,3925400.0,0.0,1.0
1998-03-09,44,52.5,52.94,51.88,52.25,13.8659,3049600.0,0.0,1.0
1998-03-10,45,52.44,53.13,52.44,52.75,13.9986,2297200.0,0.0,1.0
1998-03-11,46,52.88,53.0,52.56,52.75,13.9986,1404000.0,0.0,1.0
1998-03-12,47,53.63,54.25,53.38,53.63,14.2321,3187600.0,0.0,1.0
1998-03-13,48,53.94,54.63,53.63,54.38,14.4311,7138600.0,0.0,1.0
1998-03-16,49,54.75,56.31,54.75,56.0,14.8611,3207000.0,0.0,1.0
1998-03-17,50,56.31,56.44,55.19,55.63,14.7629,3382800.0,0.0,1.0
1998-03-18,51,54.75,55.31,54.44,55.0,14.5957,3135600.0,0.0,1.0
1998-03-19,52,54.75,55.5,54.63,55.44,14.7124,1394800.0,0.0,1.0
1998-03-20,53,56.0,56.94,55.5,56.5,14.9937,3464800.0,0.0,1.0
1998-03-23,54,56.31,56.69,55.69,55.81,14.8106,1993400.0,0.0,1.0
1998-03-24,55,55.94,56.06,55.56,55.63,14.7629,2825800.0,0.0,1.0
1998-03-25,56,56.13,57.44,55.56,56.38,14.9619,3664000.0,0.0,1.0
1998-03-26,57,56.44,57.0,55.13,56.06,14.877,2616600.0,0.0,1.0
1998-03-27,58,56.75,57.19,54.75,55.31,14.6779,1987800.0,0.0,1.0
1998-03-30,59,55.44,55.5,53.5,53.75,14.264,2584000.0,0.0,1.0
1998-03-31,60,54.0,55.25,54.0,54.63,14.4975,2531000.0,0.0,1.0
1998-04-01,61,54.5,56.44,54.0,56.13,14.9022,2587800.0,0.025,1.0
1998-04-02,62,55.63,56.19,55.13,55.94,14.8517,1733600.0,0.0,1.0
1998-04-03,63,55.94,55.94,53.5,54.0,14.3367,3213400.0,0.0,1.0
1998-04-06,64,54.0,54.25,53.56,53.81,14.2862,4331800.0,0.0,1.0
1998-04-07,65,53.56,53.69,52.88,53.06,14.0871,2619000.0,0.0,1.0
1998-04-08,66,52.75,53.44,52.69,53.31,14.1535,2343000.0,0.0,1.0
1998-04-09,67,53.56,54.31,53.38,54.0,14.3367,1451200.0,0.0,1.0
1998-04-13,68,54.13,54.13,52.44,52.75,14.0048,1795200.0,0.0,1.0
