date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,25.38,25.56,25.0,25.56,6.2495,54400.0,0.0,1.0
1998-01-05,1,25.44,25.63,25.31,25.63,6.2667,71300.0,0.0,1.0
1998-01-06,2,25.63,25.94,25.56,25.94,6.3425,90800.0,0.0,1.0
1998-01-07,3,25.88,25.88,25.63,25.81,6.3107,72500.0,0.0,1.0
1998-01-08,4,25.88,25.88,25.56,25.81,6.3107,61200.0,0.0,1.0
1998-01-09,5,25.75,26.0,24.75,25.0,6.1126,135200.0,0.0,1.0
1998-01-12,6,24.75,25.5,24.75,25.25,6.1737,92500.0,0.0,1.0
1998-01-13,7,25.25,25.94,25.25,25.94,6.3425,72700.0,0.0,1.0
1998-01-14,8,25.81,26.63,25.81,26.44,6.4647,157100.0,0.0,1.0
1998-01-15,9,26.63,26.63,26.13,26.19,6.4036,67200.0,0.0,1.0
1998-01-16,10,26.63,27.06,26.38,27.0,6.6016,108300.0,0.0,1.0
1998-01-20,11,27.38,27.94,27.38,27.81,6.7997,65700.0,0.0,1.0
1998-01-21,12,27.69,27.69,27.31,27.56,6.7385,114000.0,0.0,1.0
1998-01-22,13,27.56,27.56,27.13,27.19,6.6481,190800.0,0.0,1.0
1998-01-23,14,27.31,27.31,26.94,26.94,6.5870000000000015,54600.0,0.0,1.0
1998-01-26,15,26.94,27.31,26.94,27.0,6.6016,100400.0,0.0,1.0
1998-01-27,16,27.06,27.19,26.88,27.0,6.6016,16700.0,0.0,1.0
1998-01-28,17,27.06,27.25,27.0,27.19,6.6481,51500.0,0.0,1.0
1998-01-29,18,27.25,27.44,27.13,27.25,6.6628,81400.0,0.0,1.0
1998-01-30,19,27.06,27.19,26.94,26.94,6.5870000000000015,58100.0,0.0,1.0
1998-02-02,20,27.19,27.19,26.88,27.0,6.6016,66600.0,0.0,1.0
1998-02-03,21,27.0,28.06,27.0,28.06,6.8608,156100.0,0.0,1.0
1998-02-04,22,27.94,28.31,27.63,28.19,6.8926,45100.0,0.0,1.0
1998-02-05,23,28.25,29.63,28.13,29.31,7.1664,151100.0,0.0,1.0
1998-02-06,24,28.75,29.88,28.75,28.94,7.0760000000000005,95900.0,0.0,1.0
1998-02-09,25,28.88,29.38,28.69,29.25,7.1518,21000.0,0.0,1.0
1998-02-10,26,29.0,29.94,29.0,29.63,7.2447,53000.0,0.0,1.0
1998-02-11,27,29.56,29.75,29.25,29.75,7.274,78700.0,0.0,1.0
1998-02-12,28,29.56,29.56,29.06,29.25,7.1518,101900.0,0.0,1.0
1998-02-13,29,29.38,29.63,29.0,29.63,7.2447,30800.0,0.0,1.0
1998-02-17,30,29.5,29.81,29.44,29.5,7.2129,74500.0,0.0,1.0
1998-02-18,31,29.5,29.56,29.13,29.5,7.2129,101100.0,0.0,1.0
1998-02-19,32,29.5,30.06,29.5,30.0,7.3351,129400.0,0.0,1.0
1998-02-20,33,29.81,30.13,29.75,30.13,7.3669,54600.0,0.0,1.0
1998-02-23,34,30.06,30.13,29.5,29.81,7.2887,68400.0,0.0,1.0
1998-02-24,35,29.81,30.0,29.56,29.69,7.2593,39500.0,0.0,1.0
1998-02-25,36,29.88,29.94,29.44,29.63,7.2447,72300.0,0.0,1.0
1998-02-26,37,29.56,29.94,29.44,29.69,7.2593,101600.0,0.0,1.0
1998-02-27,38,29.69,29.94,29.56,29.94,7.3205,81100.0,0.0,1.0
1998-03-02,39,30.0,30.25,29.88,30.19,7.3816,54900.0,0.0,1.0
1998-03-03,40,30.06,30.44,30.0,30.38,7.4281,62600.0,0.0,1.0
1998-03-04,41,30.44,30.44,30.19,30.31,7.4109,38900.0,0.0,1.0
1998-03-05,42,30.25,30.25,30.0,30.13,7.3669,114200.0,0.0,1.0
1998-03-06,43,30.13,30.56,30.13,30.13,7.3669,243400.0,0.0,1.0
1998-03-09,44,30.06,30.25,29.88,30.0,7.3351,60000.0,0.0,1.0
1998-03-10,45,29.88,30.19,29.81,30.19,7.3816,136800.0,0.0,1.0
1998-03-11,46,30.06,31.25,30.06,30.94,7.565,681800.0,0.0,1.0
1998-03-12,47,31.0,31.13,30.63,30.69,7.5038,94900.0,0.0,1.0
1998-03-13,48,30.69,31.25,30.63,31.06,7.5943,141700.0,0.0,1.0
1998-03-16,49,31.0,31.5,31.0,31.38,7.6726,144100.0,0.0,1.0
1998-03-17,50,31.5,31.69,31.31,31.69,7.7484,107700.0,0.0,1.0
1998-03-18,51,31.88,31.88,31.5,31.56,7.7166,90400.0,0.0,1.0
1998-03-19,52,31.5,31.88,31.5,31.69,7.7484,162200.0,0.0,1.0
1998-03-20,53,31.63,31.81,31.63,31.69,7.7484,218400.0,0.0,1.0
1998-03-23,54,31.56,31.69,31.56,31.63,7.7337,68800.0,0.0,1.0
1998-03-24,55,31.75,32.0,31.63,32.0,7.8241,68200.0,0.0,1.0
1998-03-25,56,32.0,32.0,31.5,31.56,7.7166,62900.0,0.0,1.0
1998-03-26,57,31.63,31.94,31.63,31.94,7.8095,25500.0,0.0,1.0
1998-03-27,58,31.94,32.19,31.75,32.06,7.8388,106800.0,0.0,1.0
1998-03-30,59,32.06,32.06,31.63,31.81,7.7777,76100.0,0.0,1.0
1998-03-31,60,31.94,32.38,31.75,32.38,7.9171,66900.0,0.0,1.0
1998-04-01,61,32.5,32.69,32.25,32.63,7.9782,101200.0,0.0,1.0
1998-04-02,62,32.63,32.88,32.56,32.69,7.9929,69900.0,0.0,1.0
1998-04-03,63,32.63,33.0,32.44,32.56,7.9611,86500.0,0.0,1.0
1998-04-06,64,32.81,33.0,32.5,32.56,7.9611,75800.0,0.0,1.0
1998-04-07,65,32.5,32.94,32.25,32.56,7.9611,165900.0,0.0,1.0
1998-04-08,66,32.5,32.81,31.94,32.19,7.8706,104700.0,0.0,1.0
1998-04-09,67,32.31,32.94,32.31,32.75,8.0075,82900.0,0.0,1.0
1998-04-13,68,32.75,32.75,32.0,32.31,7.8999,24900.0,0.0,1.0
1998-04-14,69,32.31,33.31,32.31,33.0,8.0687,74000.0,0.0,1.0
1998-04-15,70,33.06,33.38,33.06,33.31,8.1444,60200.0,0.0,1.0
1998-04-16,71,33.19,33.5,33.06,33.06,8.0833,48400.0,0.0,1.0
1998-04-17,72,33.06,33.63,33.06,33.56,8.2056,40900.0,0.0,1.0
1998-04-20,73,33.5,33.69,33.5,33.56,8.2056,31500.0,0.0,1.0
1998-04-21,74,33.5,34.06,33.5,33.94,8.2985,51400.0,0.0,1.0
1998-04-22,75,34.0,34.19,34.0,34.06,8.3278,63400.0,0.0,1.0
1998-04-23,76,34.19,34.25,33.88,33.88,8.2838,62600.0,0.0,1.0
1998-04-24,77,33.63,33.88,33.19,33.25,8.1298,59200.0,0.0,1.0
1998-04-27,78,33.0,33.13,32.19,33.0,8.0687,103100.0,0.0,1.0
1998-04-28,79,33.0,33.5,32.94,33.13,8.1004,58600.0,0.0,1.0
1998-04-29,80,33.13,33.44,33.13,33.31,8.1444,48900.0,0.0,1.0
1998-04-30,81,33.38,33.5,33.31,33.38,8.1616,49500.0,0.0,1.0
1998-05-01,82,33.31,33.44,33.25,33.38,8.1616,20500.0,0.0,1.0
1998-05-04,83,33.44,33.94,33.25,33.75,8.252,92700.0,0.0,1.0
1998-05-05,84,33.94,33.94,33.56,33.94,8.2985,23500.0,0.0,1.0
1998-05-06,85,33.75,33.94,33.63,33.88,8.2838,20000.0,0.0,1.0
