date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,34.44,34.44,33.63,33.94,5.4843,135400.0,0.0,1.0
1998-01-05,33.69,34.13,33.56,33.94,5.4843,66400.0,0.0,1.0
1998-01-06,33.94,34.5,33.75,34.5,5.5748,52367.0,0.0,1.0
1998-01-07,34.5,34.69,34.13,34.38,5.5554,197233.0,0.0,1.0
1998-01-08,34.5,34.88,34.13,34.63,5.5958,93633.0,0.0,1.0
1998-01-09,34.63,34.69,34.13,34.44,5.5651,81733.0,0.0,1.0
1998-01-12,34.19,34.31,33.81,34.19,5.5247,117467.0,0.0,1.0
1998-01-13,34.38,35.13,34.31,35.0,5.6556,303833.0,0.0,1.0
1998-01-14,35.0,35.0,34.63,34.69,5.6055,47500.0,0.0,1.0
1998-01-15,34.56,35.0,34.56,34.81,5.6249,58400.0,0.0,1.0
1998-01-16,34.56,35.0,34.5,35.0,5.6556,61800.0,0.0,1.0
1998-01-20,35.0,35.19,34.94,35.06,5.6653,346700.0,0.0,1.0
1998-01-21,35.06,35.44,35.0,35.44,5.7267,294100.0,0.0,1.0
1998-01-22,35.44,35.44,34.88,35.0,5.6556,263733.0,0.0,1.0
1998-01-23,34.94,35.19,34.75,34.75,5.6152,65300.0,0.0,1.0
1998-01-26,34.88,34.88,34.44,34.56,5.5845,61000.0,0.0,1.0
1998-01-27,34.5,34.88,34.5,34.81,5.6249,76200.0,0.0,1.0
1998-01-28,34.81,34.88,34.69,34.81,5.6249,44133.0,0.0,1.0
1998-01-29,34.81,34.81,34.5,34.56,5.5845,56467.0,0.0,1.0
1998-01-30,34.81,34.81,34.63,34.69,5.6055,66733.0,0.0,1.0
1998-02-02,34.81,35.0,34.56,34.81,5.6249,212433.0,0.0,1.0
1998-02-03,34.88,34.94,34.69,34.75,5.6152,85100.0,0.0,1.0
1998-02-04,34.63,34.75,34.44,34.63,5.5958,264933.0,0.0,1.0
1998-02-05,34.63,35.0,34.63,34.63,5.5958,196133.0,0.0,1.0
1998-02-06,34.56,34.88,34.56,34.75,5.6152,81400.0,0.0,1.0
1998-02-09,34.63,34.75,34.5,34.75,5.6152,59400.0,0.0,1.0
1998-02-10,34.63,34.75,34.5,34.5,5.5748,88100.0,0.0,1.0
1998-02-11,34.5,34.63,34.25,34.5,5.5748,155667.0,0.0,1.0
1998-02-12,34.38,34.75,34.0,34.69,5.6055,377933.0,0.0,1.0
1998-02-13,34.81,35.88,34.63,35.63,5.7574,160267.0,0.0,1.0
1998-02-17,35.75,37.0,35.75,36.25,5.8576,141767.0,0.0,1.0
1998-02-18,36.0,36.81,36.0,36.63,5.919,155067.0,0.0,1.0
1998-02-19,37.5,37.56,37.19,37.38,6.0402,137000.0,0.0,1.0
1998-02-20,37.56,37.56,36.94,37.31,6.0289,46067.0,0.0,1.0
1998-02-23,37.44,37.88,37.44,37.63,6.0806,39000.0,0.0,1.0
1998-02-24,37.88,39.5,37.88,38.63,6.2422,125700.0,0.0,1.0
1998-02-25,38.75,39.13,38.63,38.63,6.2422,68667.0,0.0,1.0
1998-02-26,38.75,38.81,37.88,37.94,6.1307,19967.0,0.0,1.0
1998-02-27,38.0,38.38,37.75,37.75,6.1,46867.0,0.0,1.0
1998-03-02,37.81,37.94,37.5,37.94,6.1307,59633.0,0.0,1.0
1998-03-03,38.06,38.44,38.0,38.38,6.2018,72900.0,0.0,1.0
1998-03-04,38.38,38.38,38.0,38.38,6.2018,18067.0,0.0,1.0
1998-03-05,38.19,38.31,38.0,38.25,6.1808,33067.0,0.0,1.0
1998-03-06,38.44,39.0,38.44,38.94,6.2923,95900.0,0.0,1.0
1998-03-09,39.0,39.0,38.5,38.69,6.2519,33467.0,0.0,1.0
1998-03-10,38.88,38.88,37.63,38.69,6.2519,95900.0,0.0,1.0
1998-03-11,38.69,39.0,38.69,38.81,6.2713,46867.0,0.0,1.0
