date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,108.62,110.62,107.56,110.62,19.4755,971900.0,0.62,1.0
1998-01-05,1,111.88,112.69,111.0,112.44,19.7959,2477800.0,0.0,1.0
1998-01-06,2,110.0,111.0,106.56,107.19,18.8716,3687700.0,0.0,1.0
1998-01-07,3,106.75,108.38,104.31,108.38,19.0811,3370600.0,0.0,1.0
1998-01-08,4,107.25,107.62,104.0,104.19,18.3434,2993200.0,0.0,1.0
1998-01-09,5,104.44,105.69,101.25,101.87,17.935,3414300.0,0.0,1.0
1998-01-12,6,98.56,102.62,98.56,102.62,18.067,3640800.0,0.0,1.0
1998-01-13,7,103.5,104.38,102.69,103.63,18.2448,2346300.0,0.0,1.0
1998-01-14,8,106.06,106.25,103.56,104.38,18.3769,3394200.0,0.0,1.0
1998-01-15,9,104.0,104.31,103.0,103.25,18.1779,2279700.0,0.0,1.0
1998-01-16,10,104.12,106.12,104.0,105.5,18.574,1957500.0,0.0,1.0
1998-01-20,11,106.25,107.87,103.94,107.19,18.8716,2709000.0,0.0,1.0
1998-01-21,12,107.0,107.75,104.12,105.13,18.5089,2642300.0,0.0,1.0
1998-01-22,13,104.06,105.81,104.06,104.25,18.354,2402100.0,0.0,1.0
1998-01-23,14,104.25,104.5,102.19,103.25,18.1779,2778300.0,0.0,1.0
1998-01-26,15,103.0,104.5,102.13,102.13,17.9807,2459100.0,0.0,1.0
1998-01-27,16,102.94,105.44,102.44,105.25,18.53,2386100.0,0.0,1.0
1998-01-28,17,105.88,106.5,104.25,106.0,18.6621,2689500.0,0.0,1.0
1998-01-29,18,106.37,108.38,106.25,106.81,18.8047,2260100.0,0.0,1.0
1998-01-30,19,108.0,108.0,106.81,107.19,18.8716,1707600.0,0.0,1.0
1998-02-02,20,108.5,111.56,108.44,111.19,19.5758,2547900.0,0.0,1.0
1998-02-03,21,111.5,114.25,111.13,114.25,20.1145,2328200.0,0.0,1.0
1998-02-04,22,113.94,114.94,112.75,114.5,20.1586,1923600.0,0.0,1.0
1998-02-05,23,115.0,115.75,113.12,114.56,20.1691,2001300.0,0.0,1.0
1998-02-06,24,115.25,118.0,115.12,116.94,20.5881,2377000.0,0.0,1.0
1998-02-09,25,117.56,121.0,117.38,121.0,21.3029,2709000.0,0.0,1.0
1998-02-10,26,120.13,120.81,119.25,119.87,21.104,2086600.0,0.0,1.0
1998-02-11,27,119.75,120.44,119.31,119.81,21.0934,1336800.0,0.0,1.0
1998-02-12,28,119.12,119.94,117.62,119.38,21.0177,1764500.0,0.0,1.0
1998-02-13,29,119.06,119.12,117.5,118.19,20.8082,1207700.0,0.0,1.0
1998-02-17,30,119.75,120.81,119.38,120.75,21.2589,1812800.0,0.0,1.0
1998-02-18,31,121.0,122.44,120.88,121.81,21.4455,1746100.0,0.0,1.0
1998-02-19,32,122.0,122.0,119.38,119.62,21.06,1531700.0,0.0,1.0
1998-02-20,33,120.0,120.0,118.25,119.81,21.0934,1610100.0,0.0,1.0
1998-02-23,34,121.63,121.81,120.5,121.19,21.3364,1191300.0,0.0,1.0
1998-02-24,35,121.19,121.19,119.69,119.75,21.0829,1457800.0,0.0,1.0
1998-02-25,36,121.06,123.19,120.56,122.38,21.5459,1484300.0,0.0,1.0
