date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,59.88,60.13,58.0,58.5,8.8802,371700.0,0.0,1.0
1998-01-05,1,58.88,59.88,57.5,59.13,8.9759,546500.0,0.0,1.0
1998-01-06,2,59.25,60.75,58.75,59.75,9.07,642100.0,0.0,1.0
1998-01-07,3,59.75,60.0,54.25,56.91,8.6389,3285300.0,0.0,1.0
1998-01-08,4,57.25,59.31,57.0,58.63,8.9,1369600.0,0.0,1.0
1998-01-09,5,58.5,58.75,57.25,58.25,8.8423,1088400.0,0.0,1.0
1998-01-12,6,57.5,58.0,56.38,56.84,8.6282,949700.0,0.0,1.0
1998-01-13,7,56.63,56.63,52.88,52.88,8.0271,2356100.0,0.0,1.0
1998-01-14,8,53.63,53.63,49.88,51.0,7.7417,2522000.0,0.0,1.0
1998-01-15,9,51.0,52.13,47.0,49.5,7.5139999999999985,4039000.0,0.0,1.0
1998-01-16,10,43.0,46.19,42.86,44.88,6.8127,12009200.0,0.0,1.0
1998-01-20,11,46.06,47.0,45.63,47.0,7.1345,2278900.0,0.0,1.0
1998-01-21,12,47.38,47.75,46.75,47.56,7.2195,1898100.0,0.0,1.0
1998-01-22,13,47.75,49.44,47.5,49.0,7.4381,1158500.0,0.0,1.0
1998-01-23,14,49.75,50.0,49.25,50.0,7.5899,1892800.0,0.0,1.0
1998-01-26,15,50.5,50.75,48.63,48.75,7.4002,1574900.0,0.0,1.0
1998-01-27,16,48.88,49.5,48.38,49.13,7.4579,1580200.0,0.0,1.0
1998-01-28,17,49.19,49.25,48.69,49.19,7.467,1635800.0,0.0,1.0
1998-01-29,18,49.38,51.63,49.25,49.75,7.552,1197500.0,0.0,1.0
1998-01-30,19,49.63,51.25,48.75,50.88,7.7235,1091700.0,0.0,1.0
1998-02-02,20,51.5,52.25,50.25,50.63,7.6856,1051700.0,0.0,1.0
1998-02-03,21,50.5,51.38,50.38,51.25,7.7797,1024900.0,0.0,1.0
1998-02-04,22,51.13,51.25,50.63,51.06,7.7508,681800.0,0.0,1.0
1998-02-05,23,51.25,53.38,50.94,53.19,8.0742,1470100.0,0.0,1.0
1998-02-06,24,53.13,55.13,51.75,55.13,8.3687,989300.0,0.0,1.0
1998-02-09,25,54.88,55.0,52.25,52.25,7.9315,816800.0,0.0,1.0
1998-02-10,26,52.5,53.75,52.0,53.5,8.1212,1007200.0,0.0,1.0
1998-02-11,27,53.0,55.5,53.0,53.75,8.1592,806800.0,0.0,1.0
1998-02-12,28,54.0,57.38,52.75,57.0,8.6525,1613000.0,0.0,1.0
1998-02-13,29,56.13,57.0,55.38,56.0,8.5007,763300.0,0.0,1.0
1998-02-17,30,57.13,58.75,56.5,56.63,8.5964,1065700.0,0.0,1.0
1998-02-18,31,56.38,57.0,55.88,56.13,8.5205,793800.0,0.0,1.0
1998-02-19,32,56.25,56.25,54.63,55.0,8.3489,769700.0,0.0,1.0
1998-02-20,33,54.88,55.13,53.25,54.06,8.2062,1709200.0,0.0,1.0
1998-02-23,34,54.25,54.5,53.25,53.88,8.1789,606300.0,0.0,1.0
1998-02-24,35,54.38,58.25,53.5,57.94,8.7952,2563400.0,0.0,1.0
