date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,9.063,9.563,8.875,9.563,4.7815,170600.0,0.0,1.0
1998-01-05,1,9.813,9.813,9.25,9.375,4.6875,91500.0,0.0,1.0
1998-01-06,2,9.375,9.438,9.188,9.25,4.625,56500.0,0.0,1.0
1998-01-07,3,9.0,9.0,8.062999999999999,8.5,4.25,180100.0,0.0,1.0
1998-01-08,4,8.437999999999999,8.437999999999999,7.75,7.813,3.9065,201100.0,0.0,1.0
1998-01-09,5,7.875,7.938,7.313,7.563,3.7815,152100.0,0.0,1.0
1998-01-12,6,7.688,8.0,7.625,7.938,3.969,95700.0,0.0,1.0
1998-01-13,7,8.0,8.0,7.625,7.75,3.875,88700.0,0.0,1.0
1998-01-14,8,7.875,8.0,7.5,7.688,3.844,146200.0,0.0,1.0
1998-01-15,9,7.75,7.75,7.313,7.375,3.6875,170600.0,0.0,1.0
1998-01-16,10,7.5,7.5,7.375,7.5,3.75,325900.0,0.0,1.0
1998-01-20,11,7.5,7.563,7.375,7.375,3.6875,123100.0,0.0,1.0
1998-01-21,12,7.375,7.438,7.125,7.125,3.5625,65400.0,0.0,1.0
1998-01-22,13,7.063,7.125,6.75,6.938,3.469,146600.0,0.0,1.0
1998-01-23,14,6.813,7.0,6.5,6.813,3.4065,917700.0,0.0,1.0
1998-01-26,15,6.938,7.25,6.625,7.0,3.5,99700.0,0.0,1.0
1998-01-27,16,7.0,7.813,6.875,7.75,3.875,126000.0,0.0,1.0
1998-01-28,17,7.813,8.25,7.688,8.0,4.0,211000.0,0.0,1.0
1998-01-29,18,8.125,8.187999999999999,7.938,7.938,3.969,212900.0,0.0,1.0
1998-01-30,19,8.062999999999999,8.125,7.5,7.688,3.844,181400.0,0.0,1.0
1998-02-02,20,8.125,8.187999999999999,7.75,7.875,3.9375,143500.0,0.0,1.0
1998-02-03,21,7.938,8.25,7.813,8.0,4.0,245200.0,0.0,1.0
1998-02-04,22,8.0,8.062999999999999,7.938,8.0,4.0,423100.0,0.0,1.0
1998-02-05,23,8.75,9.938,8.5,9.125,4.5625,460000.0,0.0,1.0
1998-02-06,24,9.25,9.625,8.812999999999997,8.812999999999997,4.4065,174000.0,0.0,1.0
1998-02-09,25,9.25,9.75,9.188,9.625,4.8125,195600.0,0.0,1.0
1998-02-10,26,9.75,10.0,9.75,9.813,4.9065,234200.0,0.0,1.0
1998-02-11,27,9.813,9.813,9.313,9.375,4.6875,203300.0,0.0,1.0
1998-02-12,28,9.375,9.563,9.188,9.563,4.7815,72100.0,0.0,1.0
1998-02-13,29,9.563,9.563,9.313,9.375,4.6875,57800.0,0.0,1.0
1998-02-17,30,9.375,9.375,9.125,9.188,4.5939999999999985,42400.0,0.0,1.0
1998-02-18,31,9.188,9.25,9.0,9.0,4.5,55400.0,0.0,1.0
1998-02-19,32,9.0,9.188,9.0,9.125,4.5625,71400.0,0.0,1.0
1998-02-20,33,9.0,9.438,9.0,9.188,4.5939999999999985,62600.0,0.0,1.0
1998-02-23,34,9.188,9.313,9.0,9.0,4.5,37400.0,0.0,1.0
1998-02-24,35,9.063,9.188,8.875,9.125,4.5625,38200.0,0.0,1.0
1998-02-25,36,9.375,9.438,9.063,9.125,4.5625,82400.0,0.0,1.0
1998-02-26,37,9.188,9.313,9.0,9.0,4.5,95000.0,0.0,1.0
1998-02-27,38,9.0,9.25,9.0,9.25,4.625,48100.0,0.0,1.0
1998-03-02,39,9.75,10.0,9.75,10.0,5.0,491400.0,0.0,1.0
1998-03-03,40,9.875,10.0,9.75,9.875,4.9375,90400.0,0.0,1.0
1998-03-04,41,9.938,10.81,9.875,10.38,5.19,465000.0,0.0,1.0
1998-03-05,42,10.38,10.38,9.938,9.938,4.9689999999999985,159700.0,0.0,1.0
1998-03-06,43,10.0,10.06,9.938,10.06,5.03,143100.0,0.0,1.0
1998-03-09,44,9.938,10.0,9.75,10.0,5.0,147600.0,0.0,1.0
1998-03-10,45,10.13,10.94,10.13,10.88,5.44,310900.0,0.0,1.0
1998-03-11,46,10.88,10.88,10.56,10.75,5.375,237500.0,0.0,1.0
1998-03-12,47,10.94,10.94,10.63,10.81,5.405,146100.0,0.0,1.0
1998-03-13,48,10.88,11.13,10.75,11.13,5.565,1011100.0,0.0,1.0
1998-03-16,49,11.5,11.63,11.38,11.5,5.75,199200.0,0.0,1.0
1998-03-17,50,11.56,11.88,11.38,11.69,5.845,245000.0,0.0,1.0
1998-03-18,51,12.06,12.13,11.63,11.63,5.815,300600.0,0.0,1.0
1998-03-19,52,11.75,11.81,11.5,11.75,5.875,55300.0,0.0,1.0
1998-03-20,53,11.81,11.81,11.56,11.56,5.78,52600.0,0.0,1.0
1998-03-23,54,11.69,11.94,11.5,11.81,5.905,160500.0,0.0,1.0
1998-03-24,55,11.88,11.88,11.63,11.63,5.815,142500.0,0.0,1.0
1998-03-25,56,11.63,11.69,11.5,11.69,5.845,139700.0,0.0,1.0
1998-03-26,57,11.5,11.75,11.5,11.56,5.78,495300.0,0.0,1.0
1998-03-27,58,11.56,11.63,11.38,11.38,5.69,186600.0,0.0,1.0
1998-03-30,59,11.25,11.5,11.25,11.38,5.69,111100.0,0.0,1.0
1998-03-31,60,11.56,11.88,11.44,11.63,5.815,123200.0,0.0,1.0
1998-04-01,61,11.63,11.94,11.5,11.94,5.97,115100.0,0.0,1.0
1998-04-02,62,12.38,12.38,11.94,12.06,6.03,261500.0,0.0,1.0
1998-04-03,63,12.38,12.38,12.06,12.25,6.125,96900.0,0.0,1.0
1998-04-06,64,12.5,12.88,12.0,12.25,6.125,245200.0,0.0,1.0
1998-04-07,65,12.38,12.5,12.13,12.38,6.19,121900.0,0.0,1.0
1998-04-08,66,12.38,12.63,12.25,12.5,6.25,92900.0,0.0,1.0
1998-04-09,67,12.63,12.75,12.5,12.63,6.315,62300.0,0.0,1.0
1998-04-13,68,12.69,12.88,12.63,12.69,6.345,54400.0,0.0,1.0
1998-04-14,69,12.81,12.94,12.63,12.81,6.405,93200.0,0.0,1.0
1998-04-15,70,12.81,13.06,12.63,12.81,6.405,63000.0,0.0,1.0
