date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,31.25,31.44,30.88,31.44,0.9542,623800.0,0.0,1.0
1998-01-05,1,31.0,31.0,30.0,30.75,0.9332,1411400.0,0.0,1.0
1998-01-06,2,30.5,31.38,30.25,31.19,0.9466,855200.0,0.0,1.0
1998-01-07,3,31.19,32.0,30.31,30.81,0.9351,891800.0,0.0,1.0
1998-01-08,4,30.75,30.75,29.5,29.88,0.9068,799600.0,0.0,1.0
1998-01-09,5,29.5,29.5,28.0,28.12,0.8534,1278800.0,0.0,1.0
1998-01-12,6,26.25,28.25,26.25,28.12,0.8534,780200.0,0.0,1.0
1998-01-13,7,28.19,29.25,27.62,29.0,0.8801,473200.0,0.0,1.0
1998-01-14,8,29.25,30.38,29.25,29.69,0.9011,594000.0,0.0,1.0
1998-01-15,9,29.69,29.69,28.09,28.44,0.8631,770400.0,0.0,1.0
1998-01-16,10,28.62,29.62,28.62,29.25,0.8877,486400.0,0.0,1.0
1998-01-20,11,29.5,29.75,28.88,29.44,0.8935,687200.0,0.0,1.0
1998-01-21,12,29.44,29.44,28.19,28.81,0.8744,461800.0,0.0,1.0
1998-01-22,13,28.56,28.69,27.94,28.0,0.8498,203400.0,0.0,1.0
1998-01-23,14,28.0,28.25,27.25,27.56,0.8364,576200.0,0.0,1.0
1998-01-26,15,27.62,27.75,26.88,27.0,0.8194,540000.0,0.0,1.0
1998-01-27,16,26.88,28.5,26.88,28.5,0.865,1300800.0,0.0,1.0
1998-01-28,17,28.19,28.81,28.0,28.75,0.8725,696000.0,0.0,1.0
1998-01-29,18,28.62,29.88,28.5,29.38,0.8917,2036800.0,0.0,1.0
1998-01-30,19,29.62,30.19,29.62,30.0,0.9105,767400.0,0.0,1.0
1998-02-02,20,30.06,31.75,30.06,31.62,0.9596,1078800.0,0.0,1.0
1998-02-03,21,31.88,32.62,30.5,30.56,0.9275,2047200.0,0.0,1.0
1998-02-04,22,30.5,30.94,30.25,30.75,0.9332,1084800.0,0.0,1.0
1998-02-05,23,30.5,31.31,30.5,31.06,0.9426,1004000.0,0.0,1.0
1998-02-06,24,31.12,32.0,31.06,31.56,0.9578,1007200.0,0.0,1.0
1998-02-09,25,31.69,31.75,30.75,31.06,0.9426,471400.0,0.0,1.0
1998-02-10,26,31.19,32.0,31.0,32.0,0.9712,947000.0,0.0,1.0
1998-02-11,27,32.25,33.56,32.25,32.81,0.9958,1677000.0,0.0,1.0
1998-02-12,28,32.88,34.62,32.88,34.44,1.0452,3302600.0,0.0,1.0
1998-02-13,29,34.44,34.44,33.56,33.62,1.0203,1771600.0,0.0,1.0
1998-02-17,30,33.56,33.94,33.44,33.81,1.0261,508600.0,0.0,1.0
1998-02-18,31,33.56,34.0,33.56,33.69,1.0237,297200.0,0.04,1.0
1998-02-19,32,35.0,35.0,34.44,34.94,1.0617,1816600.0,0.0,1.0
1998-02-20,33,35.0,35.38,34.5,34.62,1.0519,1032800.0,0.0,1.0
1998-02-23,34,35.12,36.69,35.12,36.62,1.1127,1889400.0,0.0,1.0
1998-02-24,35,36.38,36.81,35.94,36.44,1.1072,1232200.0,0.0,1.0
1998-02-25,36,36.88,37.44,36.56,37.12,1.1279,3909200.0,0.0,1.0
1998-02-26,37,37.0,37.31,36.88,37.19,1.13,3434200.0,0.0,1.0
1998-02-27,38,37.19,37.19,36.88,37.19,1.13,619200.0,0.0,1.0
1998-03-02,39,37.06,37.81,37.0,37.44,1.1376,665800.0,0.0,1.0
1998-03-03,40,37.31,37.62,37.0,37.31,1.1337,586600.0,0.0,1.0
1998-03-04,41,37.19,37.69,37.06,37.44,1.1376,1299000.0,0.0,1.0
1998-03-05,42,37.12,37.31,36.81,37.0,1.1243,349200.0,0.0,1.0
1998-03-06,43,37.75,38.25,37.62,37.88,1.151,1660600.0,0.0,1.0
1998-03-09,44,38.12,38.75,38.0,38.19,1.1604,671200.0,0.0,1.0
1998-03-10,45,38.0,38.38,38.0,38.25,1.1622,702200.0,0.0,1.0
1998-03-11,46,38.75,39.0,38.12,38.19,1.1604,974000.0,0.0,1.0
1998-03-12,47,38.25,38.88,38.25,38.5,1.1698,8297600.0,0.0,1.0
1998-03-13,48,38.5,38.75,37.94,38.12,1.1583,2005800.0,0.0,1.0
1998-03-16,49,38.19,38.44,37.75,38.0,1.1546,3909600.0,0.0,1.0
1998-03-17,50,38.06,40.88,38.06,40.5,1.2306,6812000.0,0.0,1.0
1998-03-18,51,40.44,41.62,39.5,40.75,1.2382,1391600.0,0.0,1.0
1998-03-19,52,40.75,42.12,40.62,42.0,1.2762,1423400.0,0.0,1.0
1998-03-20,53,43.88,43.88,43.31,43.75,1.3294,2314200.0,0.0,1.0
1998-03-23,54,43.25,43.25,42.25,42.69,1.2971,1222600.0,0.0,1.0
1998-03-24,55,42.88,43.69,42.5,43.56,1.3236,1125200.0,0.0,1.0
1998-03-25,56,43.75,44.25,43.12,43.75,1.3294,1861800.0,0.0,1.0
1998-03-26,57,43.94,44.38,42.62,44.38,1.3485,677200.0,0.0,1.0
1998-03-27,58,44.44,45.31,43.75,45.0,1.3673,1859200.0,0.0,1.0
1998-03-30,59,45.25,46.0,44.75,45.06,1.3692,2248600.0,0.0,1.0
1998-03-31,60,45.12,45.31,43.62,44.0,1.3369,918600.0,0.0,1.0
1998-04-01,61,44.62,44.62,43.38,44.12,1.3406,973600.0,0.0,1.0
1998-04-02,62,42.75,45.38,42.62,45.38,1.3789,3229000.0,0.0,1.0
1998-04-03,63,45.44,46.25,44.5,45.75,1.3901,885000.0,0.0,1.0
1998-04-06,64,45.75,48.0,45.75,47.31,1.4375,1949600.0,0.0,1.0
1998-04-07,65,47.12,48.88,47.12,48.0,1.4585,2285200.0,0.0,1.0
1998-04-08,66,47.75,47.88,46.38,46.56,1.4147,980800.0,0.0,1.0
1998-04-09,67,46.56,48.5,46.38,48.25,1.4661,1274800.0,0.0,1.0
1998-04-13,68,48.25,49.5,48.0,49.38,1.5004,1938200.0,0.0,1.0
1998-04-14,69,49.25,49.62,48.88,49.56,1.5059,898400.0,0.0,1.0
1998-04-15,70,49.44,49.5,47.19,48.06,1.4603,653000.0,0.0,1.0
1998-04-16,71,48.31,48.31,46.12,46.44,1.4111,778800.0,0.0,1.0
1998-04-17,72,46.25,48.0,46.12,47.81,1.4527,652200.0,0.0,1.0
1998-04-20,73,48.0,48.0,46.62,47.19,1.4339,416200.0,0.0,1.0
1998-04-21,74,47.12,47.25,45.25,45.75,1.3901,665600.0,0.0,1.0
1998-04-22,75,45.88,46.81,45.56,46.19,1.4035,520000.0,0.0,1.0
1998-04-23,76,46.31,46.75,44.75,45.19,1.3731,395200.0,0.0,1.0
1998-04-24,77,45.31,46.94,44.56,44.75,1.3597,854800.0,0.0,1.0
1998-04-27,78,43.75,44.69,43.0,44.62,1.3558,713800.0,0.0,1.0
1998-04-28,79,44.38,45.5,44.38,45.38,1.3789,969200.0,0.0,1.0
1998-04-29,80,45.38,45.38,44.69,45.06,1.3692,395600.0,0.0,1.0
1998-04-30,81,45.31,45.75,45.19,45.19,1.3731,470800.0,0.0,1.0
1998-05-01,82,45.06,45.69,44.94,45.62,1.3862,513600.0,0.0,1.0
1998-05-04,83,45.5,47.31,45.5,47.31,1.4375,928600.0,0.0,1.0
1998-05-05,84,47.31,47.56,46.56,46.75,1.4205,369400.0,0.0,1.0
1998-05-06,85,46.5,46.62,45.56,45.62,1.3862,214600.0,0.0,1.0
1998-05-07,86,44.88,45.0,44.5,45.0,1.3673,484600.0,0.0,1.0
1998-05-08,87,44.62,45.31,44.62,44.88,1.3637,303600.0,0.0,1.0
1998-05-11,88,45.0,45.38,44.38,44.69,1.3579,234400.0,0.0,1.0
1998-05-12,89,44.56,44.62,43.56,43.88,1.3333,575000.0,0.0,1.0
1998-05-13,90,43.88,45.75,43.81,45.19,1.3731,536200.0,0.0,1.0
1998-05-14,91,45.06,45.5,44.75,44.88,1.3637,333800.0,0.0,1.0
1998-05-15,92,44.69,44.94,44.19,44.56,1.354,421000.0,0.0,1.0
1998-05-18,93,44.38,45.0,44.06,44.19,1.3427,213800.0,0.0,1.0
1998-05-19,94,44.12,44.81,44.12,44.62,1.3558,271800.0,0.0,1.0
1998-05-20,95,44.69,44.69,44.06,44.38,1.3497,755200.0,0.04,1.0
1998-05-21,96,44.25,44.5,44.0,44.31,1.3476,320200.0,0.0,1.0
1998-05-22,97,44.38,44.75,43.94,44.0,1.3382,927800.0,0.0,1.0
1998-05-26,98,43.0,43.25,41.62,42.0,1.2773,963600.0,0.0,1.0
1998-05-27,99,41.0,41.25,39.62,40.75,1.2393,1320600.0,0.0,1.0
1998-05-28,100,41.0,42.5,40.69,41.75,1.2697,1107600.0,0.0,1.0
1998-05-29,101,41.94,42.5,41.44,42.38,1.2889,513200.0,0.0,1.0
1998-06-01,102,42.19,42.88,42.0,42.5,1.2925,605800.0,0.0,1.0
1998-06-02,103,42.62,43.12,42.62,42.81,1.3019999999999998,590200.0,0.0,1.0
1998-06-03,104,42.94,44.12,42.94,44.12,1.3418,886200.0,0.0,1.0
1998-06-04,105,43.94,44.12,43.38,43.62,1.3266,231600.0,0.0,1.0
