date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,21.63,21.63,21.44,21.5,8.1912,197800.0,0.0,1.0
1998-01-05,21.5,22.13,21.5,21.81,8.3093,281400.0,0.0,1.0
1998-01-06,22.0,22.0,21.44,21.63,8.2407,479600.0,0.0,1.0
1998-01-07,21.5,21.56,21.31,21.5,8.1912,165800.0,0.0,1.0
1998-01-08,21.5,21.5,21.25,21.5,8.1912,396900.0,0.0,1.0
1998-01-09,21.38,21.44,20.75,21.0,8.0007,299700.0,0.0,1.0
1998-01-12,20.63,21.13,20.5,21.13,8.0502,507400.0,0.0,1.0
1998-01-13,21.25,21.75,21.25,21.44,8.1683,250400.0,0.0,1.0
1998-01-14,21.63,21.69,21.5,21.69,8.2636,349800.0,0.0,1.0
1998-01-15,21.75,22.0,21.63,21.81,8.3093,433700.0,0.0,1.0
1998-01-16,22.13,22.13,20.5,20.81,7.9283,616800.0,0.0,1.0
1998-01-20,21.19,21.5,21.0,21.5,8.1912,331700.0,0.0,1.0
1998-01-21,21.63,21.88,21.44,21.81,8.3093,233200.0,0.0,1.0
1998-01-22,21.94,22.88,21.81,22.81,8.6903,814700.0,0.0,1.0
1998-01-23,23.19,23.19,22.5,22.75,8.6674,596000.0,0.0,1.0
1998-01-26,22.88,22.88,21.5,22.63,8.6217,349600.0,0.0,1.0
1998-01-27,22.63,23.0,22.63,22.94,8.7398,225600.0,0.0,1.0
1998-01-28,23.0,23.19,22.75,23.19,8.8351,290000.0,0.0,1.0
1998-01-29,23.0,24.19,22.94,24.13,9.1932,431600.0,0.0,1.0
1998-01-30,24.38,24.81,24.13,24.56,9.357,373000.0,0.0,1.0
1998-02-02,25.5,25.75,24.88,25.13,9.5742,552700.0,0.0,1.0
1998-02-03,25.38,25.44,24.75,25.31,9.6477,288600.0,0.013,1.0
1998-02-04,25.5,26.38,25.38,26.38,10.0556,475000.0,0.0,1.0
1998-02-05,27.0,27.5,26.38,27.0,10.2919,594500.0,0.0,1.0
1998-02-06,27.06,27.25,26.38,26.69,10.1737,200600.0,0.0,1.0
1998-02-09,26.88,26.94,26.5,26.63,10.1509,430600.0,0.0,1.0
1998-02-10,26.75,27.0,26.56,26.88,10.2462,310100.0,0.0,1.0
1998-02-11,26.88,28.13,26.75,28.0,10.6731,376500.0,0.0,1.0
1998-02-12,27.94,28.31,27.88,28.0,10.6731,206700.0,0.0,1.0
1998-02-13,28.13,28.38,28.13,28.31,10.7913,175400.0,0.0,1.0
1998-02-17,28.5,28.75,27.88,28.0,10.6731,177300.0,0.0,1.0
1998-02-18,28.13,28.5,27.5,27.69,10.5549,133400.0,0.0,1.0
1998-02-19,27.63,27.81,27.38,27.75,10.5778,139800.0,0.0,1.0
1998-02-20,27.63,27.75,27.5,27.75,10.5778,74400.0,0.0,1.0
1998-02-23,27.75,27.88,27.38,27.38,10.4368,134100.0,0.0,1.0
1998-02-24,27.44,27.44,27.0,27.44,10.4596,98400.0,0.0,1.0
1998-02-25,27.81,28.25,27.44,27.63,10.532,133500.0,0.0,1.0
1998-02-26,27.63,27.81,27.19,27.5,10.4825,184400.0,0.0,1.0
1998-02-27,27.5,28.0,27.44,27.94,10.6502,127800.0,0.0,1.0
1998-03-02,27.94,27.94,27.75,27.88,10.6273,114800.0,0.0,1.0
1998-03-03,27.94,28.06,27.75,28.0,10.6731,221100.0,0.0,1.0
1998-03-04,28.31,29.25,28.13,29.25,11.1496,572400.0,0.0,1.0
1998-03-05,29.19,29.44,28.75,29.06,11.0771,197100.0,0.0,1.0
1998-03-06,29.19,29.63,29.06,29.31,11.1724,220900.0,0.0,1.0
1998-03-09,29.31,29.5,29.0,29.38,11.1991,210700.0,0.0,1.0
1998-03-10,29.44,29.63,29.31,29.5,11.2449,268100.0,0.0,1.0
1998-03-11,29.69,29.88,29.5,29.81,11.363,244100.0,0.0,1.0
1998-03-12,29.88,29.94,29.63,29.75,11.3402,134200.0,0.0,1.0
1998-03-13,29.63,29.75,29.13,29.38,11.1991,84700.0,0.0,1.0
1998-03-16,29.5,30.75,29.5,30.38,11.5803,208300.0,0.0,1.0
1998-03-17,30.38,31.0,29.94,30.81,11.7442,201900.0,0.0,1.0
1998-03-18,30.88,30.88,30.63,30.81,11.7442,344600.0,0.0,1.0
1998-03-19,30.69,30.69,29.5,30.0,11.4354,372600.0,0.0,1.0
1998-03-20,30.0,31.44,29.94,31.25,11.9119,624000.0,0.0,1.0
1998-03-23,31.0,31.13,30.31,30.38,11.5803,269900.0,0.0,1.0
1998-03-24,30.0,31.13,29.88,31.0,11.8166,276200.0,0.0,1.0
1998-03-25,31.63,33.69,31.63,32.88,12.5333,498300.0,0.0,1.0
1998-03-26,33.13,34.13,33.0,33.13,12.6285,359700.0,0.0,1.0
1998-03-27,33.38,33.88,32.75,32.81,12.5066,232400.0,0.0,1.0
1998-03-30,32.81,33.5,32.81,33.19,12.6514,273300.0,0.0,1.0
1998-03-31,33.31,34.63,33.31,34.44,13.1279,295000.0,0.0,1.0
1998-04-01,34.63,35.0,33.5,33.63,12.8191,443100.0,0.0,1.0
1998-04-02,34.0,35.38,34.0,34.38,13.105,363500.0,0.0,1.0
1998-04-03,34.63,34.75,34.25,34.69,13.2232,204500.0,0.0,1.0
1998-04-06,34.94,35.0,33.88,33.94,12.9373,133000.0,0.0,1.0
1998-04-07,33.88,34.38,33.88,34.06,12.983,146900.0,0.0,1.0
1998-04-08,34.06,34.38,33.94,34.0,12.9602,215000.0,0.0,1.0
1998-04-09,35.0,36.0,35.0,35.13,13.3909,305500.0,0.0,1.0
1998-04-13,35.25,35.38,34.88,35.0,13.3414,129700.0,0.0,1.0
1998-04-14,35.13,35.25,35.0,35.0,13.3414,100400.0,0.0,1.0
1998-04-15,35.0,35.25,34.88,35.25,13.4367,149200.0,0.0,1.0
1998-04-16,35.44,35.44,34.56,35.31,13.4595,171300.0,0.0,1.0
1998-04-17,35.31,36.0,34.94,36.0,13.7225,166700.0,0.0,1.0
1998-04-20,36.13,36.19,35.38,35.44,13.5091,121400.0,0.0,1.0
1998-04-21,35.5,35.63,35.38,35.38,13.4862,101400.0,0.0,1.0
1998-04-22,35.38,35.56,35.06,35.38,13.4862,158600.0,0.0,1.0
1998-04-23,35.5,35.5,31.0,33.38,12.7238,445100.0,0.0,1.0
1998-04-24,33.13,33.25,32.0,32.25,12.2931,281100.0,0.0,1.0
1998-04-27,31.0,31.0,27.88,29.0,11.0543,1121900.0,0.0,1.0
1998-04-28,29.63,29.88,26.63,26.94,10.269,1421300.0,0.0,1.0
1998-04-29,27.0,27.63,26.13,26.94,10.269,1357600.0,0.0,1.0
1998-04-30,27.13,27.81,27.13,27.44,10.4596,1273500.0,0.0,1.0
1998-05-01,27.63,28.5,27.63,27.69,10.5599,492300.0,0.013,1.0
1998-05-04,28.0,29.69,27.94,29.31,11.1777,612800.0,0.0,1.0
1998-05-05,29.31,29.5,28.63,29.19,11.1319,373400.0,0.0,1.0
