date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-10-01,165.58,169.1,165.29,168.87,167.116,2329700.0,0.0,1.0
2018-10-11,157.93,158.21,153.77,154.26,152.6577,1977000.0,0.0,1.0
2018-10-30,166.11,167.67,162.74,164.5,162.7913,57375600.0,0.0,1.0
2018-10-31,161.74,165.6,161.31,165.47,163.7513,18032219.0,0.0,1.0
2018-11-01,164.66,165.48,161.94,162.0,160.3173,11423528.0,0.0,1.0
2018-11-02,160.66,161.81,155.44,159.84,158.1798,6835139.0,0.0,1.0
2018-11-05,157.65,162.19,157.45,161.99,160.3074,4477443.0,0.0,1.0
2018-11-06,161.83,166.35,161.67,165.53,163.8106,2510572.0,0.0,1.0
2018-11-07,164.54,166.85,164.23,166.85,165.1169,7626295.0,0.0,1.0
2018-11-08,164.5,166.15,162.93,165.3,163.583,4010008.0,0.0,1.0
2018-11-09,162.99,163.94,160.55,161.52,159.8423,3249146.0,0.0,1.0
2018-11-12,160.06,162.3,158.91,159.22,157.5662,1990839.0,0.0,1.0
2018-11-13,160.22,160.33,156.53,156.93,155.3,2507084.0,0.0,1.0
2018-11-14,158.19,158.24,153.0,153.36,151.7671,2338763.0,0.0,1.0
2018-11-15,156.09,156.3,152.56,155.18,153.5682,2759391.0,0.0,1.0
2018-11-16,153.74,158.4575,153.4,158.08,156.438,2726823.0,0.0,1.0
2018-11-19,158.61,161.45,158.44,159.5,157.8433,2464717.0,0.0,1.0
2018-11-20,157.49,160.19,157.24,157.87,156.2302,2151626.0,0.0,1.0
2018-11-21,159.24,161.24,158.5518,159.06,157.4079,2070941.0,0.0,1.0
2018-11-23,156.86,158.01,156.02,156.19,154.5677,963558.0,0.0,1.0
2018-11-26,157.04,158.22,156.88,157.32,155.6859,2678195.0,0.0,1.0
2018-11-27,155.66,156.65,151.52,152.55,150.9655,2525894.0,0.0,1.0
2018-11-28,153.53,156.48,151.7,156.29,154.6666,1808830.0,0.0,1.0
2018-11-29,155.51,159.84,155.35,159.31,157.6553,2901283.0,0.0,1.0
2018-11-30,157.02,160.61,156.94,159.05,157.398,3944199.0,0.0,1.0
