date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-11-10,0,32.04,32.35,29.82,30.33,29.3831,35019076.0,0.0,1.0
2016-11-11,1,29.8,30.09,28.85,29.89,28.9568,6020148.0,0.0,1.0
2016-11-14,2,29.34,30.43,28.75,30.19,29.2475,4481917.0,0.0,1.0
2016-11-15,3,29.64,30.6995,29.62,30.43,29.48,3667256.0,0.0,1.0
2016-11-16,4,30.77,32.04,30.61,31.7,30.7103,4342310.0,0.0,1.0
2016-11-17,5,31.4,33.065,30.635,32.51,31.495,5252133.0,0.0,1.0
2016-11-18,6,32.14,33.1,31.79,32.68,31.6597,4253380.0,0.0,1.0
2016-11-21,7,32.26,32.5,31.29,31.74,30.7491,5036677.0,0.0,1.0
2016-11-22,8,31.52,33.15,30.43,32.7,31.6791,5601830.0,0.0,1.0
2016-11-23,9,32.7,33.47,32.5,33.02,31.9891,3620409.0,0.0,1.0
2016-11-25,10,32.76,32.78,32.27,32.59,31.5725,827809.0,0.0,1.0
2016-11-28,11,32.27,33.5,32.17,32.74,31.7179,1929250.0,0.0,1.0
2016-11-29,12,33.05,33.36,32.72,33.19,32.1538,2139479.0,0.0,1.0
2016-11-30,13,33.26,34.3,33.0,33.48,32.4348,2764920.0,0.0,1.0
2016-12-01,14,33.04,33.26,32.185,32.51,31.495,2914939.0,0.0,1.0
2016-12-02,15,32.16,33.21,32.01,32.99,31.9601,1213120.0,0.0,1.0
2016-12-05,16,32.87,33.7595,32.7501,33.65,32.5995,2004735.0,0.0,1.0
2016-12-06,17,33.45,33.86,33.21,33.82,32.7641,1622915.0,0.0,1.0
2016-12-07,18,34.07,34.98,34.0,34.75,33.6651,3809431.0,0.0,1.0
2016-12-08,19,34.91,36.0,34.61,35.93,34.8083,2602986.0,0.0,1.0
2016-12-09,20,35.82,36.51,35.6,36.38,35.2442,1993074.0,0.0,1.0
2016-12-12,21,36.38,37.215,36.31,36.73,35.5833,1258339.0,0.0,1.0
2016-12-13,22,36.97,37.09,35.67,36.58,35.438,1814756.0,0.0,1.0
2016-12-14,23,36.62,37.0,34.97,35.15,34.0526,3886277.0,0.0,1.0
2016-12-15,24,35.06,35.264,34.15,34.38,33.3067,1555074.0,0.0,1.0
2016-12-16,25,34.34,35.47,34.28,35.26,34.1592,3783968.0,0.0,1.0
2016-12-19,26,35.31,35.84,34.27,34.48,33.4035,1983266.0,0.0,1.0
2016-12-20,27,34.22,35.11,34.2,34.95,33.8589,944998.0,0.0,1.0
2016-12-21,28,34.64,35.22,34.46,35.02,33.9267,703934.0,0.0,1.0
2016-12-22,29,35.0,36.62,34.8,36.33,35.1958,1438479.0,0.0,1.0
