date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,43.5,43.81,42.31,42.31,14.4335,627300.0,0.0,1.0
1998-01-05,1,42.38,42.44,41.75,41.88,14.2869,1113300.0,0.0,1.0
1998-01-06,2,41.88,42.31,41.5,41.5,14.1572,852300.0,0.0,1.0
1998-01-07,3,41.5,41.5,41.06,41.44,14.1368,1038700.0,0.0,1.0
1998-01-08,4,41.5,43.31,41.38,43.31,14.7747,1244300.0,0.0,1.0
1998-01-09,5,43.5,43.5,41.44,41.81,14.263,1029300.0,0.0,1.0
1998-01-12,6,41.31,42.44,41.31,41.63,14.2016,672500.0,0.0,1.0
1998-01-13,7,41.63,43.0,41.56,42.94,14.6485,482500.0,0.0,1.0
1998-01-14,8,43.0,43.13,42.06,42.5,14.4984,655800.0,0.0,1.0
1998-01-15,9,42.56,43.25,42.31,42.94,14.6485,808800.0,0.0,1.0
1998-01-16,10,42.94,43.19,42.44,43.06,14.6894,1408000.0,0.0,1.0
1998-01-20,11,43.5,44.25,43.25,44.13,15.0544,1016600.0,0.0,1.0
1998-01-21,12,44.0,44.44,43.19,43.88,14.9691,1118800.0,0.0,1.0
1998-01-22,13,43.69,44.0,42.88,43.75,14.9248,912900.0,0.0,1.0
1998-01-23,14,44.13,44.13,43.06,43.63,14.8838,719500.0,0.0,1.0
1998-01-26,15,43.63,43.81,42.13,42.25,14.4131,789000.0,0.0,1.0
1998-01-27,16,41.0,41.5,40.75,41.5,14.1572,2434500.0,0.0,1.0
1998-01-28,17,41.5,41.5,40.19,41.31,14.0924,2559700.0,0.0,1.0
1998-01-29,18,41.5,42.81,41.5,42.06,14.3483,1039700.0,0.0,1.0
1998-01-30,19,42.5,43.0,42.25,42.31,14.4335,993000.0,0.0,1.0
1998-02-02,20,43.0,43.69,42.75,43.69,14.9043,972200.0,0.0,1.0
1998-02-03,21,44.0,44.25,44.0,44.19,15.0749,700400.0,0.0,1.0
1998-02-04,22,44.19,44.31,43.75,44.06,15.0305,594000.0,0.0,1.0
1998-02-05,23,44.06,44.81,44.06,44.44,15.1602,492100.0,0.0,1.0
1998-02-06,24,44.69,45.69,44.69,45.69,15.5866,1302300.0,0.0,1.0
