date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,31.27,31.27,30.88,30.91,9.9945,211783.0,0.0,1.0
1998-01-05,30.91,31.19,30.71,31.13,10.0656,291808.0,0.0,1.0
1998-01-06,31.02,31.19,30.59,30.71,9.9298,207381.0,0.0,1.0
1998-01-07,30.71,31.05,30.37,30.85,9.9751,264952.0,0.0,1.0
1998-01-08,30.79,30.79,30.25,30.54,9.8749,218262.0,0.0,1.0
1998-01-09,30.42,30.42,28.41,28.78,9.3058,1063219.0,0.0,1.0
1998-01-12,27.99,28.38,27.87,28.1,9.0859,1109711.0,0.0,1.0
1998-01-13,28.13,29.01,27.62,28.95,9.3607,1141414.0,0.0,1.0
1998-01-14,29.01,29.57,28.78,29.57,9.5612,308129.0,0.0,1.0
1998-01-15,29.69,29.69,29.4,29.55,9.5548,312333.0,0.0,1.0
1998-01-16,29.83,30.23,29.6,30.14,9.7455,346559.0,0.0,1.0
1998-01-20,30.14,31.3,30.14,31.3,10.1206,945458.0,0.0,1.0
1998-01-21,31.27,31.44,31.08,31.36,10.14,407146.0,0.0,1.0
1998-01-22,31.39,31.56,31.05,31.36,10.14,647616.0,0.0,1.0
1998-01-23,31.47,31.64,31.1,31.3,10.1206,312778.0,0.0,1.0
1998-01-26,31.27,31.61,31.22,31.42,10.1594,536432.0,0.0,1.0
1998-01-27,31.5,32.29,31.5,32.15,10.3954,390775.0,0.0,1.0
1998-01-28,32.1,32.18,31.78,31.93,10.3243,280432.0,0.0,1.0
1998-01-29,31.98,31.98,31.5,31.81,10.2855,531041.0,0.0,1.0
1998-01-30,31.87,31.87,31.1,31.33,10.1303,222862.0,0.0,1.0
1998-02-02,31.73,32.12,31.64,32.04,10.3599,398540.0,0.0,1.0
1998-02-03,31.93,32.92,31.87,32.92,10.6444,370200.0,0.0,1.0
1998-02-04,32.69,33.14,32.61,32.86,10.625,310701.0,0.0,1.0
1998-02-05,32.75,32.92,32.41,32.63,10.5506,299573.0,0.0,1.0
1998-02-06,32.69,33.12,32.63,32.78,10.5991,194522.0,0.0,1.0
1998-02-09,32.66,32.72,31.93,32.29,10.4407,201347.0,0.0,1.0
1998-02-10,32.27,33.09,32.27,32.66,10.5603,176519.0,0.0,1.0
1998-02-11,32.55,32.97,32.49,32.95,10.6541,149910.0,0.0,1.0
1998-02-12,32.89,33.29,32.44,33.23,10.7446,226423.0,0.0,1.0
1998-02-13,33.12,33.31,32.92,33.06,10.6897,192049.0,0.0,1.0
1998-02-17,33.09,33.17,32.52,32.72,10.5797,245465.0,0.0,1.0
1998-02-18,32.75,33.12,32.75,33.06,10.6897,238541.0,0.0,1.0
1998-02-19,32.97,33.03,32.55,32.83,10.6153,170436.0,0.0,1.0
1998-02-20,33.06,33.51,32.97,33.51,10.8352,277613.0,0.0,1.0
1998-02-23,33.43,33.54,33.09,33.14,10.7155,150256.0,0.0,1.0
1998-02-24,33.03,33.03,32.58,32.83,10.6153,268117.0,0.0,1.0
1998-02-25,32.83,33.65,32.8,33.37,10.7899,346361.0,0.0,1.0
1998-02-26,33.14,33.71,32.92,33.6,10.8643,171474.0,0.0,1.0
1998-02-27,33.6,34.35,33.54,34.33,11.1003,294528.0,0.0,1.0
1998-03-02,33.99,34.14,33.8,34.05,11.0098,220241.0,0.0,1.0
1998-03-03,34.05,34.62,33.77,34.62,11.1941,229588.0,0.0,1.0
1998-03-04,34.73,35.21,34.62,35.1,11.3493,332216.0,0.0,1.0
1998-03-05,35.01,35.33,34.82,35.21,11.3849,232309.0,0.0,1.0
1998-03-06,35.21,36.15,35.21,35.83,11.5853,297446.0,0.0,1.0
1998-03-09,35.72,35.89,35.47,35.81,11.5789,247690.0,0.0,1.0
1998-03-10,36.15,36.68,35.98,36.66,11.8537,249174.0,0.0,1.0
1998-03-11,36.54,36.54,35.83,36.23,11.7147,228748.0,0.0,1.0
1998-03-12,36.17,37.45,36.03,37.14,12.0089,214009.0,0.0,1.0
1998-03-13,37.08,37.28,36.06,36.2,11.705,223901.0,0.0,1.0
1998-03-16,35.95,37.02,35.95,36.83,11.9087,153471.0,0.0,1.0
1998-03-17,36.74,36.8,35.81,36.06,11.6597,277366.0,0.0,1.0
1998-03-18,36.12,36.94,36.06,36.94,11.9442,179239.0,0.0,1.0
1998-03-19,36.83,36.97,36.49,36.68,11.8602,118850.0,0.0,1.0
1998-03-20,37.14,37.14,36.09,36.2,11.705,262726.0,0.0,1.0
1998-03-23,36.0,36.0,36.0,36.0,11.6403,495.0,0.0,1.0
1998-03-24,36.5,37.38,36.5,37.38,12.0865,57669.0,0.0,1.0
1998-03-25,37.88,37.94,37.5,37.94,12.2676,13700.0,0.0,1.0
1998-03-26,37.69,37.75,37.31,37.75,12.2062,37539.0,0.0,1.0
1998-03-27,37.63,37.63,36.38,36.88,14.0486,419016.0,6.568,1.0
1998-03-30,36.38,36.81,35.75,35.94,13.6905,190269.0,0.0,1.0
1998-03-31,36.13,36.44,35.5,35.81,13.641,318812.0,0.0,1.0
1998-04-01,35.0,35.13,33.75,34.88,13.2867,496914.0,0.0,1.0
1998-04-02,34.88,36.63,34.88,36.5,13.9038,517539.0,0.0,1.0
1998-04-03,36.38,37.25,35.75,37.06,14.1171,379202.0,0.0,1.0
1998-04-06,36.94,37.19,36.0,36.0,13.7133,206491.0,0.0,1.0
1998-04-07,36.25,36.25,34.5,35.31,13.4505,749847.0,0.0,1.0
1998-04-08,35.31,35.5,34.56,35.19,13.4048,297595.0,0.0,1.0
1998-04-09,35.25,36.06,34.5,34.5,13.142,351653.0,0.0,1.0
1998-04-13,34.0,34.63,33.75,34.63,13.1915,622045.0,0.0,1.0
1998-04-14,34.75,36.25,34.75,36.19,13.7857,780116.0,0.0,1.0
1998-04-15,37.25,37.25,36.5,37.19,14.1666,295122.0,0.0,1.0
1998-04-16,37.13,37.13,35.06,35.19,13.4219,208964.0,0.045,1.0
1998-04-17,35.19,35.31,34.19,34.38,13.113,389885.0,0.0,1.0
1998-04-20,34.31,34.38,33.44,33.44,12.7545,285329.0,0.0,1.0
1998-04-21,33.56,33.94,31.75,31.75,12.1099,408086.0,0.0,1.0
1998-04-22,31.75,32.5,31.75,32.31,12.3235,602707.0,0.0,1.0
1998-04-23,31.88,32.13,31.5,32.13,12.2548,482719.0,0.0,1.0
1998-04-24,32.0,32.63,32.0,32.5,12.3959,426584.0,0.0,1.0
1998-04-27,32.31,32.63,32.0,32.5,12.3959,426188.0,0.0,1.0
1998-04-28,32.56,33.75,32.5,33.31,12.7049,150998.0,0.0,1.0
1998-04-29,33.56,33.56,32.88,33.13,12.6362,468920.0,0.0,1.0
1998-04-30,33.06,33.25,32.0,32.0,12.2052,983788.0,0.0,1.0
1998-05-01,32.0,33.5,32.0,33.38,12.7316,465013.0,0.0,1.0
1998-05-04,34.75,35.0,34.38,34.75,13.2541,228599.0,0.0,1.0
1998-05-05,34.81,34.88,34.13,34.69,13.2312,112569.0,0.0,1.0
1998-05-06,34.88,35.0,33.63,33.75,12.8727,367628.0,0.0,1.0
1998-05-07,33.31,33.31,32.31,32.38,12.3502,429947.0,0.0,1.0
1998-05-08,32.38,33.13,32.38,32.44,12.373,300166.0,0.0,1.0
1998-05-11,32.44,32.5,31.5,31.75,12.1099,521100.0,0.0,1.0
1998-05-12,32.0,32.0,30.5,30.5,11.6331,625013.0,0.0,1.0
1998-05-13,31.0,33.44,31.0,33.13,12.6362,1090521.0,0.0,1.0
1998-05-14,32.56,33.25,32.0,33.13,12.6362,176074.0,0.0,1.0
1998-05-15,33.13,33.88,32.81,33.56,12.8002,188142.0,0.0,1.0
1998-05-18,33.5,34.44,33.5,33.81,12.8956,266584.0,0.0,1.0
1998-05-19,33.88,34.25,33.63,33.69,12.8498,214504.0,0.0,1.0
1998-05-20,33.81,35.56,33.81,35.56,13.5631,322621.0,0.0,1.0
1998-05-21,35.31,35.31,34.25,34.38,13.113,300315.0,0.0,1.0
1998-05-22,34.5,34.5,33.94,33.94,12.9452,264655.0,0.0,1.0
1998-05-26,34.25,34.38,33.69,33.69,12.8498,535987.0,0.0,1.0
1998-05-27,33.69,34.81,33.56,34.44,13.1359,281867.0,0.0,1.0
1998-05-28,34.19,34.69,34.13,34.44,13.1359,273013.0,0.0,1.0
1998-05-29,34.5,35.0,34.5,34.75,13.2541,534058.0,0.0,1.0
1998-06-01,34.25,35.5,34.13,34.81,13.277,375146.0,0.0,1.0
1998-06-02,34.88,35.0,34.0,34.19,13.0405,248185.0,0.0,1.0
1998-06-03,33.88,34.5,33.88,34.19,13.0405,376581.0,0.0,1.0
1998-06-04,33.81,34.94,33.56,34.94,13.3266,442806.0,0.0,1.0
1998-06-05,34.81,35.19,34.81,35.0,13.3495,430886.0,0.0,1.0
1998-06-08,35.0,35.13,33.44,33.56,12.8002,452599.0,0.0,1.0
1998-06-09,32.63,33.06,32.44,32.44,12.373,507647.0,0.0,1.0
1998-06-10,32.5,32.88,31.94,32.06,12.2281,709439.0,0.0,1.0
1998-06-11,32.13,32.44,31.63,31.75,12.1099,394188.0,0.0,1.0
1998-06-12,32.13,32.38,31.56,32.0,12.2052,453192.0,0.0,1.0
1998-06-15,31.75,31.94,31.13,31.13,11.8734,317527.0,0.0,1.0
1998-06-16,31.25,32.75,31.25,32.13,12.2548,346361.0,0.0,1.0
1998-06-17,32.19,32.75,32.06,32.06,12.2281,924190.0,0.0,1.0
1998-06-18,32.13,32.13,31.5,31.5,12.0145,374701.0,0.0,1.0
1998-06-19,31.31,31.5,31.06,31.13,11.8734,402893.0,0.0,1.0
1998-06-22,31.63,32.0,30.0,30.13,11.492,426584.0,0.0,1.0
1998-06-23,30.5,31.56,30.5,31.44,11.9916,550726.0,0.0,1.0
1998-06-24,31.13,31.75,30.94,31.75,12.1286,721359.0,0.049,1.0
1998-06-25,31.5,31.75,31.19,31.19,11.9146,418868.0,0.0,1.0
1998-06-26,31.31,31.44,30.94,31.31,11.9605,623331.0,0.0,1.0
1998-06-29,31.56,32.0,31.56,31.75,12.1286,391023.0,0.0,1.0
1998-06-30,31.63,32.38,31.31,32.38,12.3692,871022.0,0.0,1.0
1998-07-01,32.31,32.88,31.81,32.19,12.2966,620067.0,0.0,1.0
1998-07-02,32.19,32.19,31.56,31.63,12.0827,258275.0,0.0,1.0
1998-07-06,31.69,32.25,31.56,32.0,12.2241,381230.0,0.0,1.0
1998-07-07,32.0,32.06,31.44,31.81,12.1515,4162713.0,0.0,1.0
1998-07-08,32.06,33.0,32.06,32.94,12.5831,851683.0,0.0,1.0
1998-07-09,32.94,32.94,32.75,32.75,12.5106,716166.0,0.0,1.0
1998-07-10,32.75,32.94,32.63,32.75,12.5106,730262.0,0.0,1.0
1998-07-13,32.63,32.81,32.25,32.56,12.438,552308.0,0.0,1.0
1998-07-14,32.44,32.63,32.25,32.44,12.3921,838824.0,0.0,1.0
1998-07-15,32.44,32.5,31.5,31.63,12.0827,2074952.0,0.0,1.0
1998-07-16,32.0,32.25,31.81,31.94,12.2011,514274.0,0.0,1.0
1998-07-17,31.94,32.0,31.63,31.88,12.1782,1586693.0,0.0,1.0
1998-07-20,31.88,32.31,31.75,32.31,12.3425,958713.0,0.0,1.0
1998-07-21,32.31,32.56,31.75,31.75,12.1286,638416.0,0.0,1.0
1998-07-22,31.88,33.69,31.81,33.69,12.8696,1087899.0,0.0,1.0
