date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,37.25,38.06,37.25,37.75,20.3323,461900.0,0.0,1.0
1998-01-05,38.0,38.13,36.38,36.63,19.7291,495500.0,0.0,1.0
1998-01-06,36.75,37.81,36.63,37.5,20.1976,961100.0,0.0,1.0
1998-01-07,37.5,37.5,35.63,36.25,19.5244,1746300.0,0.0,1.0
1998-01-08,36.19,36.44,36.0,36.0,19.3897,1960900.0,0.0,1.0
1998-01-09,36.5,36.69,35.63,35.63,19.1905,2620100.0,0.0,1.0
1998-01-12,35.44,37.25,35.13,37.06,19.9607,890800.0,0.0,1.0
1998-01-13,38.25,38.31,37.25,37.94,20.4346,973600.0,0.0,1.0
1998-01-14,37.88,39.13,37.5,39.13,21.0756,1115600.0,0.0,1.0
1998-01-15,38.88,39.94,38.0,39.44,21.2425,1291700.0,0.0,1.0
1998-01-16,39.5,39.69,39.13,39.38,21.2102,1420800.0,0.0,1.0
1998-01-20,39.44,40.75,39.31,40.75,21.9481,1136900.0,0.0,1.0
1998-01-21,40.5,40.5,39.75,39.81,21.4418,867700.0,0.0,1.0
1998-01-22,40.31,40.5,39.38,39.75,21.4095,1263100.0,0.0,1.0
1998-01-23,40.0,40.25,39.81,39.94,21.5118,1145600.0,0.0,1.0
1998-01-26,40.19,40.94,40.19,40.56,21.8458,918100.0,0.0,1.0
1998-01-27,40.0,41.5,40.0,41.13,22.1528,772700.0,0.0,1.0
1998-01-28,41.25,41.38,40.44,40.94,22.0504,916600.0,0.0,1.0
1998-01-29,40.94,40.94,40.0,40.63,21.8835,2064500.0,0.0,1.0
1998-01-30,41.0,41.31,40.44,40.5,21.8135,595400.0,0.0,1.0
1998-02-02,40.75,42.0,40.63,41.94,22.589,671100.0,0.0,1.0
1998-02-03,41.69,42.19,41.0,42.0,22.6214,733600.0,0.0,1.0
1998-02-04,41.75,42.25,41.06,42.06,22.6537,496400.0,0.0,1.0
1998-02-05,42.0,42.38,41.69,42.0,22.6214,2645100.0,0.0,1.0
1998-02-06,42.06,42.06,41.56,41.69,22.4544,2076500.0,0.0,1.0
1998-02-09,41.56,41.63,41.31,41.5,22.3521,923200.0,0.0,1.0
1998-02-10,41.5,41.75,41.38,41.63,22.4221,723400.0,0.0,1.0
1998-02-11,41.75,42.75,41.75,42.0,22.6214,1720900.0,0.0,1.0
1998-02-12,42.0,42.44,41.75,42.31,22.7883,1164500.0,0.0,1.0
1998-02-13,42.19,42.25,41.38,41.75,22.4867,1016200.0,0.0,1.0
1998-02-17,41.75,41.75,41.38,41.5,22.3521,1324200.0,0.0,1.0
1998-02-18,41.56,41.94,41.5,41.63,22.4221,617100.0,0.0,1.0
1998-02-19,41.56,42.19,41.44,41.81,22.519,1601800.0,0.0,1.0
1998-02-20,41.94,41.94,41.63,41.88,22.5567,597600.0,0.0,1.0
